record_id,metric,value,units,reference_year,release_year,estimate_period,geographic_unit,geographic_scale,origin_node_id,destination_node_id,source_product,observed_estimated_modeled,source_id,confidence,reality_status,canon_status,notes
MOB-39039-JOBS,job_count,14922.0,jobs,2023,2025,2023,39039,county,POP-ZONE-39039,,LODES 8.4 WAC 2023,modeled,s11b_lodes_oh_wac,high,real,verified,Workplace job count; not resident population or commuter flow.
MOB-39039-WORKERS,worker_count,17206.0,workers,2023,2025,2023,39039,county,POP-ZONE-39039,,LODES 8.4 RAC 2023,modeled,s11b_lodes_oh_rac,high,real,verified,Residence-based worker tabulation; not population count or migration.
MOB-39039-BAL,workplace_residence_difference,-2284.0,jobs_minus_workers,2023/2023,2025,2023/2023,39039,county,POP-ZONE-39039,,LODES 8.4 WAC/RAC comparison 2023/2023,modeled,s11b_lodes_oh_wac_rac,high,real,verified,Same-vintage workplace-minus-resident-worker comparison; not a causal employment-access or migration measure.
MOB-39051-JOBS,job_count,17586.0,jobs,2023,2025,2023,39051,county,POP-ZONE-39051,,LODES 8.4 WAC 2023,modeled,s11b_lodes_oh_wac,high,real,verified,Workplace job count; not resident population or commuter flow.
MOB-39051-WORKERS,worker_count,19936.0,workers,2023,2025,2023,39051,county,POP-ZONE-39051,,LODES 8.4 RAC 2023,modeled,s11b_lodes_oh_rac,high,real,verified,Residence-based worker tabulation; not population count or migration.
MOB-39051-BAL,workplace_residence_difference,-2350.0,jobs_minus_workers,2023/2023,2025,2023/2023,39051,county,POP-ZONE-39051,,LODES 8.4 WAC/RAC comparison 2023/2023,modeled,s11b_lodes_oh_wac_rac,high,real,verified,Same-vintage workplace-minus-resident-worker comparison; not a causal employment-access or migration measure.
MOB-39063-JOBS,job_count,44531.0,jobs,2023,2025,2023,39063,county,POP-ZONE-39063,,LODES 8.4 WAC 2023,modeled,s11b_lodes_oh_wac,high,real,verified,Workplace job count; not resident population or commuter flow.
MOB-39063-WORKERS,worker_count,35574.0,workers,2023,2025,2023,39063,county,POP-ZONE-39063,,LODES 8.4 RAC 2023,modeled,s11b_lodes_oh_rac,high,real,verified,Residence-based worker tabulation; not population count or migration.
MOB-39063-BAL,workplace_residence_difference,8957.0,jobs_minus_workers,2023/2023,2025,2023/2023,39063,county,POP-ZONE-39063,,LODES 8.4 WAC/RAC comparison 2023/2023,modeled,s11b_lodes_oh_wac_rac,high,real,verified,Same-vintage workplace-minus-resident-worker comparison; not a causal employment-access or migration measure.
MOB-39069-JOBS,job_count,10592.0,jobs,2023,2025,2023,39069,county,POP-ZONE-39069,,LODES 8.4 WAC 2023,modeled,s11b_lodes_oh_wac,high,real,verified,Workplace job count; not resident population or commuter flow.
MOB-39069-WORKERS,worker_count,12533.0,workers,2023,2025,2023,39069,county,POP-ZONE-39069,,LODES 8.4 RAC 2023,modeled,s11b_lodes_oh_rac,high,real,verified,Residence-based worker tabulation; not population count or migration.
MOB-39069-BAL,workplace_residence_difference,-1941.0,jobs_minus_workers,2023/2023,2025,2023/2023,39069,county,POP-ZONE-39069,,LODES 8.4 WAC/RAC comparison 2023/2023,modeled,s11b_lodes_oh_wac_rac,high,real,verified,Same-vintage workplace-minus-resident-worker comparison; not a causal employment-access or migration measure.
