dependency_id,source_node_id,dependent_node_id,ecological_component,dependency_type,ecological_function,relationship_basis,dependency_strength,evidence_quality,source_id,confidence,notes
ECD-001,ECO-001,ECO-016,western_lake_erie_aquatic,hydrologic_dependency,aquatic condition depends on lake and tributary water exchange,documented_hydrography,high,high,usgs_nhdplus_hr,high,Broad water-system dependency; no effect size or scoring.
ECD-002,ECO-016,ECO-002,western_lake_erie_aquatic,nutrient_condition_dependency,HAB condition interface depends on nutrient and water-quality context,documented_water_quality_context,moderate,moderate,epa_lake_erie,moderate,Condition relationship is not quantified causation.
ECD-003,ECO-002,ECO-005,coastal_wetlands_marshes,wetland_dependency,nearshore function depends on coastal wetland interfaces,habitat_dependency,moderate,moderate,usfws_nwi,moderate,Generalized wetland interface; no habitat-quality score.
ECD-004,ECO-005,ECO-008,coastal_wetlands_marshes,habitat_dependency,wetland function depends on contemporary wetland network,documented_wetland_inventory,high,high,usfws_nwi,high,Inventory presence is not equivalent to condition or redundancy.
ECD-005,ECO-006,ECO-013,migratory_mobile_species,protected_area_dependency,migratory stopover function depends partly on protected coastal habitat,documented_protected_area,moderate,moderate,phase6a_usfws_ottawa_nwr,moderate,Generalized refuge function; no sensitive occurrences.
ECD-006,ECO-003,ECO-004,maumee_tributary_floodplain,connectivity_dependency,tributary and floodplain function depends on river connectivity,documented_hydrography,high,high,usgs_3dhp_all,high,"Physical network structure, not animal movement route."
ECD-007,ECO-011,ECO-003,maumee_tributary_floodplain,riparian_dependency,riparian function depends on river/floodplain interface,habitat_dependency,moderate,moderate,usgs_3dhp_all,moderate,Generalized riparian relationship.
ECD-008,ECO-014,ECO-003,migratory_mobile_species,migration_dependency,fish movement function depends on lake-to-tributary connectivity,documented_fishery_context,moderate,moderate,phase6a_glfc_lake_erie_committee,moderate,"No passage model, stock size, or precise spawning location."
ECD-009,ECO-009,ECO-008,black_swamp_legacy_agriculture,landscape_dependency,modern agricultural matrix function depends on wetland remnants and drainage context,historical_context_plus_inventory,moderate,moderate,h2ohio_great_black_swamp_history,moderate,Historical legacy is not a modern habitat boundary.
ECD-010,ECO-010,ECO-011,terrestrial_habitat_fragmentation,habitat_dependency,terrestrial mosaic depends on riparian and habitat-edge continuity,generalized_land_cover,moderate,low,phase6a_mrlc_land_cover,low,Broad class relationship; no habitat-quality metric.
ECD-011,ECO-013,ECO-010,migratory_mobile_species,migration_dependency,migratory-bird function depends on connected coastal and terrestrial habitat,documented_ecological_function,moderate,moderate,phase6a_usfws_ottawa_nwr,moderate,"Functional network, not flight path."
ECD-012,ECO-015,ECO-010,migratory_mobile_species,habitat_dependency,pollinator function depends on habitat mosaic and flowering edges,generalized_land_cover,low,low,phase6a_mrlc_land_cover,low,No insect inventory or movement route.
ECD-013,ECO-004,ECO-003,maumee_tributary_floodplain,hydrologic_dependency,floodplain ecological function depends on hydrologic connectivity,documented_hydrography,high,high,usgs_3dhp_all,high,Tributary and river structure are linked at a generalized ecological level.
ECD-014,ECO-012,ECO-010,terrestrial_habitat_fragmentation,landscape_dependency,urban edge constrains terrestrial habitat continuity,generalized_land_cover,moderate,moderate,phase6a_mrlc_land_cover,moderate,Broad fragmentation interface; no causal harm claim.
ECD-015,ECO-007,ECO-005,coastal_wetlands_marshes,restoration_dependency,coastal wetland function may be supported by restoration context,documented_wetland_inventory,low,low,usfws_nwi,low,No project boundary or restoration performance is asserted.
ECD-016,ECO-008,ECO-013,migratory_mobile_species,connectivity_dependency,wetland network supports broad migratory stopover function,documented_ecological_function,moderate,moderate,phase6a_usfws_ottawa_nwr,moderate,No exact route is asserted.
ECD-017,ECO-016,ECO-001,western_lake_erie_aquatic,food_web_dependency,aquatic productivity interfaces support fish and plankton functions,documented_monitoring_science,low,low,noaa_hab,low,Conceptual food-web interface; no numerical fish or productivity measure.
ECD-018,ECO-010,ECO-015,migratory_mobile_species,landscape_dependency,pollinator function depends on terrestrial habitat continuity,generalized_land_cover,low,low,phase6a_mrlc_land_cover,low,Generalized habitat function only.
