endpoint_crosswalk_id,dependency_id,endpoint_position,local_endpoint_id,local_namespace,source_phase,source_artifact,entity_type,canonical_name,atlas_entity_id,canonical_system_id,mapping_type,mapping_status,evidence_basis,notes
XEP-IDB-001-FROM,IDB-001,from,EXT-CLIMATE,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-CLIMATE,SYS-CLIMATE,SYS-CLIMATE,system-level concept,resolved_system_level,Phase 13B IDB-001 from-endpoint; source_id=phase9_hazard_dependency_context; relationship_type=frames_seasonality; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-001-TO,IDB-001,to,EXT-VECTOR-ECOLOGY,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-VECTOR-ECOLOGY,SYS-VECTOR-ECOLOGY,SYS-VECTOR-ECOLOGY,system-level concept,resolved_system_level,Phase 13B IDB-001 to-endpoint; source_id=phase9_hazard_dependency_context; relationship_type=frames_seasonality; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-002-FROM,IDB-002,from,EXT-HYDROLOGY,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-HYDROLOGY,SYS-WATER,SYS-WATER,system-level concept,resolved_system_level,Phase 13B IDB-002 from-endpoint; source_id=phase1_water_context; relationship_type=creates_habitat_opportunity; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-002-TO,IDB-002,to,EXT-VECTOR-ECOLOGY,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-VECTOR-ECOLOGY,SYS-VECTOR-ECOLOGY,SYS-VECTOR-ECOLOGY,system-level concept,resolved_system_level,Phase 13B IDB-002 to-endpoint; source_id=phase1_water_context; relationship_type=creates_habitat_opportunity; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-003-FROM,IDB-003,from,EXT-ECOLOGY,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-ECOLOGY,SYS-ECOLOGY,SYS-ECOLOGY,system-level concept,resolved_system_level,Phase 13B IDB-003 from-endpoint; source_id=phase6_ecology_context; relationship_type=mediates_host_habitat; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-003-TO,IDB-003,to,EXT-VECTOR-ECOLOGY,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-VECTOR-ECOLOGY,SYS-VECTOR-ECOLOGY,SYS-VECTOR-ECOLOGY,system-level concept,resolved_system_level,Phase 13B IDB-003 to-endpoint; source_id=phase6_ecology_context; relationship_type=mediates_host_habitat; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-004-FROM,IDB-004,from,EXT-VECTOR-ECOLOGY,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-VECTOR-ECOLOGY,SYS-VECTOR-ECOLOGY,SYS-VECTOR-ECOLOGY,system-level concept,resolved_system_level,Phase 13B IDB-004 from-endpoint; source_id=phase12_vector_dependency_context; relationship_type=frames_transmission_opportunity; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-006-TO,IDB-006,to,REF-4,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,REF-4,SYS-DATA,SYS-DATA,system-level concept,resolved_system_level,Phase 13B IDB-006 to-endpoint; source_id=phase4_information; relationship_type=feeds_observation; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-007-FROM,IDB-007,from,EXT-HYDROLOGY,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-HYDROLOGY,SYS-WATER,SYS-WATER,system-level concept,resolved_system_level,Phase 13B IDB-007 from-endpoint; source_id=phase1_water_context; relationship_type=conditions_exposure_opportunity; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-008-FROM,IDB-008,from,EXT-FLOODING,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-FLOODING,SYS-CLIMATE,SYS-CLIMATE,system-level concept,resolved_system_level,Phase 13B IDB-008 from-endpoint; source_id=phase9_hazard_dependency_context; relationship_type=disrupts_or_connects_pathway; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
XEP-IDB-009-FROM,IDB-009,from,EXT-WATER-INFRASTRUCTURE,phase13b.infectious_disease_dependency_register,13B,data/processed/analysis/infectious_disease_dependency_register.csv,conceptual_dependency_endpoint,EXT-WATER-INFRASTRUCTURE,SYS-WATER,SYS-WATER,system-level concept,resolved_system_level,Phase 13B IDB-009 from-endpoint; source_id=phase1_water_context; relationship_type=depends_on_system_condition; documented_or_inferred=inferred,Interpretive mapping only; the Phase 13B conceptual endpoint remains visible and is not replaced.
