old_connector_id,from_huc12,to_huc12,confidence,unresolved_category,observed_3dhp_downstream_huc12,source_method,physical_geometry,explanation
WTR-HUC-ROUTE-041000090402,041000090402,041000090403,low,complex_divergence,041000090207,project_inference,False,The source HUC contains 3 native divergent flowline records and observed 3DHP transitions lead to 041000090207 rather than WBD target 041000090403. Retain the WBD relationship as abstract pending outlet-scale review.
WTR-HUC-ROUTE-041000030204,041000030204,041000030302,low,complex_divergence,041000030106,project_inference,False,The source HUC contains 2 native divergent flowline records and observed 3DHP transitions lead to 041000030106 rather than WBD target 041000030302. Retain the WBD relationship as abstract pending outlet-scale review.
WTR-HUC-ROUTE-041000060204,041000060204,041000060205,low,ambiguous_huc_outlet,041000060301,project_inference,False,"Native 3DHP transitions assigned from 041000060204 lead to 041000060301 rather than WBD target 041000060205, and no forward same-feature crossing confirms the WBD pair. Retain it as an abstract routing relationship pending local outlet review."
WTR-HUC-ROUTE-041000030103,041000030103,041000030104,low,direction_conflict,041000030106,project_inference,False,"A 3DHP feature intersects both 041000030103 (Laird Creek) and 041000030104 (Bird Creek-East Branch Saint Joseph River), but its documented digitized direction runs opposite the WBD tohuc relationship. The WBD edge is retained as abstract pending local outlet review."
WTR-HUC-ROUTE-041000030303,041000030303,041000030304,low,ambiguous_huc_outlet,041000030306,project_inference,False,"Native 3DHP transitions assigned from 041000030303 lead to 041000030306 rather than WBD target 041000030304, and no forward same-feature crossing confirms the WBD pair. Retain it as an abstract routing relationship pending local outlet review."
WTR-HUC-ROUTE-041000040102,041000040102,041000040103,low,ambiguous_huc_outlet,041000040106,project_inference,False,"Native 3DHP transitions assigned from 041000040102 lead to 041000040106 rather than WBD target 041000040103, and no forward same-feature crossing confirms the WBD pair. Retain it as an abstract routing relationship pending local outlet review."
WTR-HUC-ROUTE-041000070102,041000070102,041000070103,low,ambiguous_huc_outlet,041000070105,project_inference,False,"Native 3DHP transitions assigned from 041000070102 lead to 041000070105 rather than WBD target 041000070103, and no forward same-feature crossing confirms the WBD pair. Retain it as an abstract routing relationship pending local outlet review."
WTR-HUC-ROUTE-041000070401,041000070401,041000070402,low,ambiguous_huc_outlet,041000070306,project_inference,False,"Native 3DHP transitions assigned from 041000070401 lead to 041000070306 rather than WBD target 041000070402, and no forward same-feature crossing confirms the WBD pair. Retain it as an abstract routing relationship pending local outlet review."
WTR-HUC-ROUTE-041000071001,041000071001,041000071002,low,complex_divergence,041000071003,project_inference,False,The source HUC contains 1 native divergent flowline record and observed 3DHP transitions lead to 041000071003 rather than WBD target 041000071002. Retain the WBD relationship as abstract pending outlet-scale review.
WTR-HUC-ROUTE-041000080104,041000080104,041000080105,low,ambiguous_huc_outlet,041000080203,project_inference,False,"Native 3DHP transitions assigned from 041000080104 lead to 041000080203 rather than WBD target 041000080105, and no forward same-feature crossing confirms the WBD pair. Retain it as an abstract routing relationship pending local outlet review."
WTR-HUC-ROUTE-041000080401,041000080401,041000080402,low,complex_divergence,041000080404,project_inference,False,The source HUC contains 2 native divergent flowline records and observed 3DHP transitions lead to 041000080404 rather than WBD target 041000080402. Retain the WBD relationship as abstract pending outlet-scale review.
WTR-HUC-ROUTE-041000080405,041000080405,041000080506,low,ambiguous_huc_outlet,041000080602,project_inference,False,"Native 3DHP transitions assigned from 041000080405 lead to 041000080602 rather than WBD target 041000080506, and no forward same-feature crossing confirms the WBD pair. Retain it as an abstract routing relationship pending local outlet review."
