assumption_id,scenario_id,scenario_year,pathway_family,assumption,driver,basis,source_id,plausibility,uncertainty,dependency,status,notes
EA-01-01,A,2050,Drinking Water / HAB,Drinking Water / HAB follows the A institutional pathway at 2050; monitoring and control states evolve qualitatively.,environmental conditions and institutional capacity,"proactive civic infrastructure, integration, adaptation",noaa_climate,high,moderate,monitoring/control capacity,scenario,"No exposure, dose, or illness is implied."
EA-01-02,A,2050,Ambient Air,Ambient Air follows the A institutional pathway at 2050; monitoring and control states evolve qualitatively.,environmental conditions and institutional capacity,"proactive civic infrastructure, integration, adaptation",noaa_climate,high,moderate,monitoring/control capacity,scenario,"No exposure, dose, or illness is implied."
EA-01-03,A,2050,Soil / Groundwater / Legacy Contamination,Soil / Groundwater / Legacy Contamination follows the A institutional pathway at 2050; monitoring and control states evolve qualitatively.,environmental conditions and institutional capacity,"proactive civic infrastructure, integration, adaptation",noaa_climate,high,moderate,monitoring/control capacity,scenario,"No exposure, dose, or illness is implied."
EA-01-04,A,2050,Food / Fish / Recreational Water,Food / Fish / Recreational Water follows the A institutional pathway at 2050; monitoring and control states evolve qualitatively.,environmental conditions and institutional capacity,"proactive civic infrastructure, integration, adaptation",noaa_climate,high,moderate,monitoring/control capacity,scenario,"No exposure, dose, or illness is implied."
EA-01-05,A,2050,Heat,Heat follows the A institutional pathway at 2050; monitoring and control states evolve qualitatively.,environmental conditions and institutional capacity,"proactive civic infrastructure, integration, adaptation",noaa_climate,high,moderate,monitoring/control capacity,scenario,"No exposure, dose, or illness is implied."
EA-02-01,A,2075,Drinking Water / HAB,Drinking Water / HAB follows the A institutional pathway at 2075; monitoring and control states evolve qualitatively.,environmental conditions and institutional capacity,"proactive civic infrastructure, integration, adaptation",noaa_climate,high,moderate,monitoring/control capacity,scenario,"No exposure, dose, or illness is implied."
EA-02-02,A,2075,Ambient Air,Ambient Air follows the A institutional pathway at 2075; monitoring and control states evolve qualitatively.,environmental conditions and institutional capacity,"proactive civic infrastructure, integration, adaptation",noaa_climate,high,moderate,monitoring/control capacity,scenario,"No exposure, dose, or illness is implied."
EA-02-03,A,2075,Soil / Groundwater / Legacy Contamination,Soil / Groundwater / Legacy Contamination follows the A institutional pathway at 2075; monitoring and control states evolve qualitatively.,environmental conditions and institutional capacity,"proactive civic infrastructure, integration, adaptation",noaa_climate,high,moderate,monitoring/control capacity,scenario,"No exposure, dose, or illness is implied."
EA-02-04,A,2075,Food / Fish / Recreational Water,Food / Fish / Recreational Water follows the A institutional pathway at 2075; monitoring and control states evolve qualitatively.,environmental conditions and institutional capacity,"proactive civic infrastructure, integration, adaptation",noaa_climate,high,moderate,monitoring/control capacity,scenario,"No exposure, dose, or illness is implied."
EA-02-05,A,2075,Heat,Heat follows the A institutional pathway at 2075; monitoring and control states evolve qualitatively.,environmental conditions and institutional capacity,"proactive civic infrastructure, integration, adaptation",noaa_climate,high,moderate,monitoring/control capacity,scenario,"No exposure, dose, or illness is implied."
EA-03-01,B,2050,Drinking Water / HAB,Drinking Water / HAB follows the B institutional pathway at 2050; monitoring and control states evolve qualitatively.,environmental conditions and institutional capacity,targeted controls in a working landscape,noaa_climate,moderate,moderate,monitoring/control capacity,scenario,"No exposure, dose, or illness is implied."
EA-03-02,B,2050,Ambient Air,Ambient Air follows the B institutional pathway at 2050; monitoring and control states evolve qualitatively.,environmental conditions and institutional capacity,targeted controls in a working landscape,noaa_climate,moderate,moderate,monitoring/control capacity,scenario,"No exposure, dose, or illness is implied."
