actor_id,name,actor_type,jurisdictional_scale,geographic_scope,systems,operational_or_authority_summary,source_id,evidence_strength,reality_status,canon_status,notes
GA-001,U.S. Environmental Protection Agency,federal_agency,federal,United States / Great Lakes,Water;Environmental Health / Exposure;Biogeochemical / Nutrient Flux;Ecology / Biodiversity,"Federal environmental standards, program oversight, permitting/enforcement authorities in defined programs, monitoring, and funding/coordination roles.",s01_epa_sdwa,high,real,verified,EPA authority is program-specific; it is not the operator of Toledo's municipal water plant or private utilities.
GA-002,Ohio Environmental Protection Agency,state_agency,state,Ohio,Water;Environmental Health / Exposure;Biogeochemical / Nutrient Flux;Ecology / Biodiversity;Climate / Natural Hazards,"Ohio water, air, public-water, NPDES, and related environmental regulatory and monitoring programs.",s02_ohio_pws,high,real,verified,"State permitting and regulation do not equal physical operation of public utilities, farms, or wetlands."
GA-003,City of Toledo,municipal_government,municipal,City of Toledo,Water;Freight / Industry;Climate / Natural Hazards;Environmental Health / Exposure,"Municipal owner/authority for city services, including the public water system through its utility division.",s03_toledo_treatment,high,real,verified,Municipal ownership and operation are distinct from Ohio EPA regulation.
GA-004,City of Toledo Public Utilities — Water Treatment Division,public_utility,public utility,Toledo service area and surrounding customers,Water;Environmental Health / Exposure,Operates and maintains the municipal surface-water treatment and distribution system and performs water-quality monitoring/reporting.,s03_toledo_treatment,high,real,verified,The utility's operational responsibility does not make it the drinking-water regulator or the source-water scientific authority.
GA-005,U.S. Geological Survey,research_monitoring_body,federal,United States / monitoring locations,Water;Climate / Natural Hazards;Data / Sensors / Security,Collects and publishes water observations and scientific information through monitoring locations and data services.,s06_usgs_data,high,real,verified,"USGS observation and data roles do not confer regulatory, permitting, or operational control."
GA-006,National Oceanic and Atmospheric Administration / National Weather Service,federal_agency,federal,United States / forecast and warning areas,Climate / Natural Hazards;Water;Data / Sensors / Security;Ecology / Biodiversity,"Provides weather, water, and climate observations, forecasts, warnings, and decision-support information.",s36_nws,high,real,verified,Warning and information roles do not equal local emergency command or utility operation.
GA-007,NOAA Great Lakes Environmental Research Laboratory,research_monitoring_body,federal,Great Lakes / western Lake Erie,Water;Ecology / Biodiversity;Climate / Natural Hazards;Data / Sensors / Security,"Great Lakes observing, research, modeling, and information products that inform management decisions.",s07_glerl,high,real,verified,Scientific information is kept separate from legal decision authority and physical operation.
GA-008,U.S. Army Corps of Engineers,federal_agency,federal,United States / waters and projects within federal programs,Ecology / Biodiversity;Water;Freight / Industry;Environmental Health / Exposure,Regulatory permitting and related compliance functions for covered aquatic and infrastructure activities; separate civil-works and remediation functions are not treated as universal control.,s07_usace_regulatory,high,real,verified,A permit role is not physical operation of every permitted project.
GA-009,U.S. Fish and Wildlife Service,federal_agency,federal,United States / national wetland and wildlife programs,Ecology / Biodiversity;Water,"Wetland and habitat mapping, monitoring, conservation, technical information, and restoration/program roles.",s08_usfws_nwi,high,real,verified,Ecological interest and data production do not by themselves establish a permit or enforcement authority.
GA-010,Federal Emergency Management Agency,federal_agency,federal,"United States / state, tribal, local partners",Climate / Natural Hazards;Water,"Flood-hazard information, mitigation planning guidance, and conditional assistance/funding mechanisms.",s34_fema_nfhl,high,real,verified,FEMA data and funding roles do not make FEMA the local floodplain administrator or owner of local assets.
