evidence_id,dependency_id,claim_type,claim_status,source_id,evidence_basis,spatial_scale,temporal_scope,supported_statement,not_supported_statement
IDB-E-001,IDB-001,environmental driver,inferred,phase9_hazard_dependency_context,accepted_layer_plus_project_inference,station/county/regional,2026 context; seasonal,Accepted climate/hazard context can frame seasonality; it is not a thermal suitability model or disease forecast.,"It does not establish vector abundance, human contact, infection, disease, incidence, or local transmission."
IDB-E-002,IDB-002,ecological mediator,inferred,phase1_water_context,accepted_layer_plus_project_inference,watershed/wetland/ditch generalized,2026 context; event/season dependent,"Hydrology and wetland context can identify a habitat interface, but no vector count, abundance response, or human disease result is inferred.","It does not establish vector abundance, human contact, infection, disease, incidence, or local transmission."
IDB-E-003,IDB-003,ecological mediator,inferred,phase6_ecology_context,accepted_layer_plus_project_inference,regional ecology/forest/wetland,2026 context,Accepted ecology and vector layers meet at generalized habitat and host interfaces; no abundance or contact rate is produced.,"It does not establish vector abundance, human contact, infection, disease, incidence, or local transmission."
IDB-E-004,IDB-004,ecological mediator,inferred,phase12_vector_dependency_context,accepted_layer_plus_project_inference,county/habitat/program,2026 context,"Vector ecology is a dependency context for the West Nile system; it is not human infection, disease, incidence, or local transmission.","It does not establish vector abundance, human contact, infection, disease, incidence, or local transmission."
IDB-E-005,IDB-005,population/contact interface,inferred,phase11_population,project_inference,county/place/generalized employment,2026 context,"Population and settlement context identifies a possible interface only; no individual contact, exposure, infection, or disease is assigned.","It does not establish vector abundance, human contact, infection, disease, incidence, or local transmission."
IDB-E-006,IDB-006,surveillance dependency,inferred,phase4_information,accepted_layer_plus_project_inference,agency/county/state/program,2026 program context,"Vector detections can enter an observation chain; this is not a disease observation or a risk estimate; detection intensity is not incidence, abundance, or response effectiveness.","It does not establish vector abundance, human contact, infection, disease, incidence, or local transmission."
IDB-E-007,IDB-007,environmental driver,inferred,phase1_water_context,accepted_layer_plus_project_inference,watershed/source/recreational water,2026 context; event dependent,Water-system and hydrologic context support pathway analysis only; no contamination or exposure event is asserted.,"It does not establish contamination, treatment failure, exposure, infection, illness, or outbreak."
IDB-E-008,IDB-008,environmental driver,inferred,phase9_hazard_dependency_context,accepted_layer_plus_project_inference,watershed/floodplain/source/recreational water,2026 context; event dependent,"Flooding and runoff are qualitative pathway interfaces; the record does not establish contamination, infection, illness, or outbreak.","It does not establish contamination, treatment failure, exposure, infection, illness, or outbreak."
IDB-E-009,IDB-009,infrastructure dependency,inferred,phase1_water_context,accepted_layer_plus_project_inference,water system/source/utility generalized,2026 context,"Infrastructure condition is generalized; no treatment failure, facility condition, receptor exposure, or disease burden is inferred.","It does not establish contamination, treatment failure, exposure, infection, illness, or outbreak."
IDB-E-010,IDB-010,population/contact interface,documented,s13_cdc_water_surv,documented_source,source/recreational-water/investigation,current surveillance/pathway context,CDC waterborne surveillance supports an exposure/pathway interface; contamination is not infection or illness.,"It does not establish contamination, treatment failure, exposure, infection, illness, or outbreak."
IDB-E-011,IDB-011,surveillance dependency,documented,s13_cdc_legionella_surv,documented_source,jurisdiction/national/investigation,current program context,Legionellosis reporting and exposure-setting information are surveillance interfaces; source attribution requires investigation.,"It does not establish contamination, treatment failure, exposure, infection, illness, or outbreak."
IDB-E-012,IDB-012,institutional response dependency,inferred,phase10_coordination_context,accepted_layer_plus_project_inference,program/agency/jurisdiction,2026 context,Observation may inform coordination; this is not a risk model; monitoring is not control and no response effectiveness is estimated.,"It does not establish contamination, treatment failure, exposure, infection, illness, or outbreak."
IDB-E-013,IDB-013,food/freight interface,inferred,phase5_freight_context,accepted_layer_plus_project_inference,regional/agricultural/bulk generalized,2026 context,"Accepted freight/material context supports a generalized food-system interface; no facility, commodity, shipment, or contamination claim is made.","It does not establish a shipment, contaminated product, exposure, infection, outbreak, or incidence."
