mechanism_id,mechanism_type,mechanism_name,actors,systems,mandatory_or_voluntary,documented_or_inferred,binding_character,source_id,evidence_strength,notes
GCM-001,statute/regulation,Ohio public-water and NPDES requirements,GA-002;GA-004,Water;Biogeochemical / Nutrient Flux,mandatory,documented,binding where applicable,s02_ohio_pws,high,Regulatory requirements and utility operation remain separate roles.
GCM-002,permit,Ohio EPA and USACE aquatic permitting,GA-002;GA-008,Water;Ecology / Biodiversity,mandatory,documented,binding permit conditions,s05_ohio_npdes,high,"Exact jurisdiction depends on activity, resource, and applicable law."
GCM-003,compact,Great Lakes Basin Compact / regional water framework,GA-017;GA-018,Water;Ecology / Biodiversity,mixed,documented,framework-specific,s13_glc,high,Regional coordination is not a general state/federal permit.
GCM-004,treaty/agreement,Great Lakes Water Quality Agreement and binational implementation,GA-019;GA-020,Water;Ecology / Biodiversity,mixed,inferred,agreement framework,s15_glwqa,limited,The agreement is not encoded as a stand-alone domestic regulator.
GCM-005,funding program,NRCS EQIP and conservation assistance,GA-011;GA-013,Biogeochemical / Nutrient Flux;Water,voluntary,documented,program/contract conditions,s12_nrcs_eqip,high,Financial assistance and technical plans are not universal individual mandates.
GCM-006,funding program,FEMA hazard-mitigation assistance,GA-010;GA-038,Climate / Natural Hazards,mixed,documented,conditional assistance,s35_fema_mitigation,high,Funding conditions do not transfer local operational control.
GCM-007,funding program,Federal freight and rail investment,GA-032;GA-033;GA-031,Freight / Industry,mixed,documented,program conditions,s29_fhwa,high,Funding supports infrastructure/program objectives but does not operate private carriers.
GCM-008,market/operator rule,FERC/NERC/PJM reliability and market framework,GA-024;GA-025;GA-026;GA-030,Energy / Grid / Compute,mandatory,documented,FERC-approved/market rules,s23_nerc,high,"Standards, market operation, regulation, and utility ownership are distinct."
GCM-009,planning process,H2Ohio and conservation planning,GA-012;GA-013;GA-011,Biogeochemical / Nutrient Flux;Water,voluntary,documented,program/planning,s10_h2ohio,moderate,Planning targets and incentive pathways are not assumed to be enforceable farm obligations.
GCM-010,emergency protocol,Weather/water warnings to local and utility decision-makers,GA-006;GA-030;GA-038;GA-039,Climate / Natural Hazards;Energy / Grid / Compute;Water,unknown,inferred,protocol not established here,s36_nws,moderate,Warning exists; a specific local command or utility protocol is not modeled.
GCM-011,scientific/data-sharing network,"USGS, NOAA, GLERL, EPA, and public-utility data interfaces",GA-005;GA-006;GA-007;GA-001;GA-004,Water;Data / Sensors / Security;Climate / Natural Hazards,mixed,inferred,information interface,s06_usgs_data,moderate,Data dependency does not make scientific agencies the legal decision-maker.
GCM-012,memorandum/agreement,Port-authority / private-carrier interface,GA-035;GA-036;GA-037,Freight / Industry,mixed,inferred,contractual/project-specific,s32_port,limited,No specific contract is asserted; the mechanism is a bounded coordination category.
GCM-013,consultation relationship,EPA / Tribal government involvement,GA-001;GA-022;GA-023,Ecology / Biodiversity;Water,voluntary,documented,consultation/involvement,s18_epa_tribal,limited,Consultation and resource interest are not current territorial jurisdiction.
GCM-014,planning process,FEMA flood data and local mitigation planning,GA-010;GA-038,Climate / Natural Hazards;Water,mixed,documented,planning/assistance,s34_fema_nfhl,high,NFHL data support planning; local authority remains separate.
