scenario_id,scenario_year,state_id,control_domain,baseline_control,future_state,change_type,reality_status,relationship_basis,assumption_id,source_id,plausibility,notes
A2050,2050,CSR-A2050-01,warning_systems,2026_warning_systems,control_strengthened_and_integrated,qualitative_change,fictional,scenario_assumption,CSA-A2050-04,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
A2050,2050,CSR-A2050-02,heat_adaptation,2026_heat_adaptation,control_strengthened_and_integrated,qualitative_change,fictional,scenario_assumption,CSA-A2050-05,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
A2050,2050,CSR-A2050-03,floodplain_stormwater,2026_floodplain_stormwater,control_strengthened_and_integrated,qualitative_change,fictional,scenario_assumption,CSA-A2050-06,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
A2050,2050,CSR-A2050-04,wetland_floodplain_buffer,2026_wetland_floodplain_buffer,control_strengthened_and_integrated,qualitative_change,fictional,scenario_assumption,CSA-A2050-01,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
A2050,2050,CSR-A2050-05,water_treatment,2026_water_treatment,control_strengthened_and_integrated,qualitative_change,fictional,scenario_assumption,CSA-A2050-02,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
A2050,2050,CSR-A2050-06,lake_monitoring,2026_lake_monitoring,control_strengthened_and_integrated,qualitative_change,fictional,scenario_assumption,CSA-A2050-03,c9_epa_great_lakes,limited,Control state is qualitative; effectiveness is not quantified.
A2050,2050,CSR-A2050-07,agricultural_conservation,2026_agricultural_conservation,control_strengthened_and_integrated,qualitative_change,fictional,scenario_assumption,CSA-A2050-04,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
A2050,2050,CSR-A2050-08,grid_information_redundancy,2026_grid_information_redundancy,control_strengthened_and_integrated,qualitative_change,fictional,scenario_assumption,CSA-A2050-05,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
A2075,2075,CSR-A2075-01,warning_systems,2026_warning_systems,control_strengthened_and_integrated,qualitative_change,fictional,scenario_assumption,CSA-A2075-04,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
A2075,2075,CSR-A2075-02,heat_adaptation,2026_heat_adaptation,control_strengthened_and_integrated,qualitative_change,fictional,scenario_assumption,CSA-A2075-05,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
A2075,2075,CSR-A2075-03,floodplain_stormwater,2026_floodplain_stormwater,control_strengthened_and_integrated,qualitative_change,fictional,scenario_assumption,CSA-A2075-06,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
A2075,2075,CSR-A2075-04,wetland_floodplain_buffer,2026_wetland_floodplain_buffer,control_strengthened_and_integrated,qualitative_change,fictional,scenario_assumption,CSA-A2075-01,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
A2075,2075,CSR-A2075-05,water_treatment,2026_water_treatment,control_strengthened_and_integrated,qualitative_change,fictional,scenario_assumption,CSA-A2075-02,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
A2075,2075,CSR-A2075-06,lake_monitoring,2026_lake_monitoring,control_strengthened_and_integrated,qualitative_change,fictional,scenario_assumption,CSA-A2075-03,c9_epa_great_lakes,limited,Control state is qualitative; effectiveness is not quantified.
A2075,2075,CSR-A2075-07,agricultural_conservation,2026_agricultural_conservation,control_strengthened_and_integrated,qualitative_change,fictional,scenario_assumption,CSA-A2075-04,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
A2075,2075,CSR-A2075-08,grid_information_redundancy,2026_grid_information_redundancy,control_strengthened_and_integrated,qualitative_change,fictional,scenario_assumption,CSA-A2075-05,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
B2050,2050,CSR-B2050-01,warning_systems,2026_warning_systems,control_targeted_or_uneven,qualitative_change,fictional,scenario_assumption,CSA-B2050-04,c9_nca_midwest,moderate,Control state is qualitative; effectiveness is not quantified.
B2050,2050,CSR-B2050-02,heat_adaptation,2026_heat_adaptation,control_targeted_or_uneven,qualitative_change,fictional,scenario_assumption,CSA-B2050-05,c9_nca_midwest,moderate,Control state is qualitative; effectiveness is not quantified.
B2050,2050,CSR-B2050-03,floodplain_stormwater,2026_floodplain_stormwater,control_targeted_or_uneven,qualitative_change,fictional,scenario_assumption,CSA-B2050-06,c9_nca_midwest,moderate,Control state is qualitative; effectiveness is not quantified.
B2050,2050,CSR-B2050-04,wetland_floodplain_buffer,2026_wetland_floodplain_buffer,control_targeted_or_uneven,qualitative_change,fictional,scenario_assumption,CSA-B2050-01,c9_nca_midwest,moderate,Control state is qualitative; effectiveness is not quantified.
B2050,2050,CSR-B2050-05,water_treatment,2026_water_treatment,control_targeted_or_uneven,qualitative_change,fictional,scenario_assumption,CSA-B2050-02,c9_nca_midwest,moderate,Control state is qualitative; effectiveness is not quantified.
B2050,2050,CSR-B2050-06,lake_monitoring,2026_lake_monitoring,control_targeted_or_uneven,qualitative_change,fictional,scenario_assumption,CSA-B2050-03,c9_epa_great_lakes,moderate,Control state is qualitative; effectiveness is not quantified.
B2050,2050,CSR-B2050-07,agricultural_conservation,2026_agricultural_conservation,control_targeted_or_uneven,qualitative_change,fictional,scenario_assumption,CSA-B2050-04,c9_nca_midwest,moderate,Control state is qualitative; effectiveness is not quantified.
B2050,2050,CSR-B2050-08,grid_information_redundancy,2026_grid_information_redundancy,control_targeted_or_uneven,qualitative_change,fictional,scenario_assumption,CSA-B2050-05,c9_nca_midwest,moderate,Control state is qualitative; effectiveness is not quantified.
B2075,2075,CSR-B2075-01,warning_systems,2026_warning_systems,control_targeted_or_uneven,qualitative_change,fictional,scenario_assumption,CSA-B2075-04,c9_nca_midwest,moderate,Control state is qualitative; effectiveness is not quantified.
B2075,2075,CSR-B2075-02,heat_adaptation,2026_heat_adaptation,control_targeted_or_uneven,qualitative_change,fictional,scenario_assumption,CSA-B2075-05,c9_nca_midwest,moderate,Control state is qualitative; effectiveness is not quantified.
B2075,2075,CSR-B2075-03,floodplain_stormwater,2026_floodplain_stormwater,control_targeted_or_uneven,qualitative_change,fictional,scenario_assumption,CSA-B2075-06,c9_nca_midwest,moderate,Control state is qualitative; effectiveness is not quantified.
B2075,2075,CSR-B2075-04,wetland_floodplain_buffer,2026_wetland_floodplain_buffer,control_targeted_or_uneven,qualitative_change,fictional,scenario_assumption,CSA-B2075-01,c9_nca_midwest,moderate,Control state is qualitative; effectiveness is not quantified.
B2075,2075,CSR-B2075-05,water_treatment,2026_water_treatment,control_targeted_or_uneven,qualitative_change,fictional,scenario_assumption,CSA-B2075-02,c9_nca_midwest,moderate,Control state is qualitative; effectiveness is not quantified.
B2075,2075,CSR-B2075-06,lake_monitoring,2026_lake_monitoring,control_targeted_or_uneven,qualitative_change,fictional,scenario_assumption,CSA-B2075-03,c9_epa_great_lakes,moderate,Control state is qualitative; effectiveness is not quantified.
B2075,2075,CSR-B2075-07,agricultural_conservation,2026_agricultural_conservation,control_targeted_or_uneven,qualitative_change,fictional,scenario_assumption,CSA-B2075-04,c9_nca_midwest,moderate,Control state is qualitative; effectiveness is not quantified.
B2075,2075,CSR-B2075-08,grid_information_redundancy,2026_grid_information_redundancy,control_targeted_or_uneven,qualitative_change,fictional,scenario_assumption,CSA-B2075-05,c9_nca_midwest,moderate,Control state is qualitative; effectiveness is not quantified.
C2050,2050,CSR-C2050-01,warning_systems,2026_warning_systems,control_burdened_and_lagging,qualitative_change,fictional,scenario_assumption,CSA-C2050-04,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
C2050,2050,CSR-C2050-02,heat_adaptation,2026_heat_adaptation,control_burdened_and_lagging,qualitative_change,fictional,scenario_assumption,CSA-C2050-05,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
C2050,2050,CSR-C2050-03,floodplain_stormwater,2026_floodplain_stormwater,control_burdened_and_lagging,qualitative_change,fictional,scenario_assumption,CSA-C2050-06,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
C2050,2050,CSR-C2050-04,wetland_floodplain_buffer,2026_wetland_floodplain_buffer,control_burdened_and_lagging,qualitative_change,fictional,scenario_assumption,CSA-C2050-01,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
C2050,2050,CSR-C2050-05,water_treatment,2026_water_treatment,control_burdened_and_lagging,qualitative_change,fictional,scenario_assumption,CSA-C2050-02,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
C2050,2050,CSR-C2050-06,lake_monitoring,2026_lake_monitoring,control_burdened_and_lagging,qualitative_change,fictional,scenario_assumption,CSA-C2050-03,c9_epa_great_lakes,limited,Control state is qualitative; effectiveness is not quantified.
C2050,2050,CSR-C2050-07,agricultural_conservation,2026_agricultural_conservation,control_burdened_and_lagging,qualitative_change,fictional,scenario_assumption,CSA-C2050-04,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
C2050,2050,CSR-C2050-08,grid_information_redundancy,2026_grid_information_redundancy,control_burdened_and_lagging,qualitative_change,fictional,scenario_assumption,CSA-C2050-05,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
C2075,2075,CSR-C2075-01,warning_systems,2026_warning_systems,control_burdened_and_lagging,qualitative_change,fictional,scenario_assumption,CSA-C2075-04,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
C2075,2075,CSR-C2075-02,heat_adaptation,2026_heat_adaptation,control_burdened_and_lagging,qualitative_change,fictional,scenario_assumption,CSA-C2075-05,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
C2075,2075,CSR-C2075-03,floodplain_stormwater,2026_floodplain_stormwater,control_burdened_and_lagging,qualitative_change,fictional,scenario_assumption,CSA-C2075-06,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
C2075,2075,CSR-C2075-04,wetland_floodplain_buffer,2026_wetland_floodplain_buffer,control_burdened_and_lagging,qualitative_change,fictional,scenario_assumption,CSA-C2075-01,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
C2075,2075,CSR-C2075-05,water_treatment,2026_water_treatment,control_burdened_and_lagging,qualitative_change,fictional,scenario_assumption,CSA-C2075-02,c9_nca_midwest,limited,Control state is qualitative; effectiveness is not quantified.
