uncertainty_state_id,scenario_id,scenario_family,horizon,uncertainty_domain,subject,uncertainty_level,uncertainty,scenario_dependence,what_is_not_inferred,evidence_basis,assumption_id,source_or_basis,reality_status,canon_status,relationship_basis,notes
TUS-A2050-01,A2050,Coordinated Technological Adaptation,2050,technology_maturity_and_capability,all Phase 15A families,moderate,Moderate uncertainty remains around technology maturity and capability; the horizon does not add precision.,Depends on the scenario family and horizon; 2075 divergence is wider than 2050 without becoming more precise.,"No exact deployment, adoption percentage, capacity, probability, health outcome, or composite risk/resilience/readiness score is inferred.",Phase 15A accepted/frozen baseline and explicit scenario construction.,TFA-A2050-01,EXT-DOE-AI-RECOMMENDATIONS,scenario,scenario,scenario_assumption,"Unknown is retained as unknown; it is not low risk, absence, or a guaranteed bottleneck. 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation."
TUS-A2050-02,A2050,Coordinated Technological Adaptation,2050,regional_adoption,regional nodes and institutions,moderate,Moderate uncertainty remains around regional adoption; the horizon does not add precision.,Depends on the scenario family and horizon; 2075 divergence is wider than 2050 without becoming more precise.,"No exact deployment, adoption percentage, capacity, probability, health outcome, or composite risk/resilience/readiness score is inferred.",Phase 15A accepted/frozen baseline and explicit scenario construction.,TFA-A2050-01,EXT-NOAA-IOOS,scenario,scenario,scenario_assumption,"Unknown is retained as unknown; it is not low risk, absence, or a guaranteed bottleneck. 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation."
TUS-A2050-03,A2050,Coordinated Technological Adaptation,2050,infrastructure_and_interoperability,"digital, energy, and physical interfaces",moderate,Moderate uncertainty remains around infrastructure and interoperability; the horizon does not add precision.,Depends on the scenario family and horizon; 2075 divergence is wider than 2050 without becoming more precise.,"No exact deployment, adoption percentage, capacity, probability, health outcome, or composite risk/resilience/readiness score is inferred.",Phase 15A accepted/frozen baseline and explicit scenario construction.,TFA-A2050-01,EXT-CISA-CPG,scenario,scenario,scenario_assumption,"Unknown is retained as unknown; it is not low risk, absence, or a guaranteed bottleneck. 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation."
TUS-A2050-04,A2050,Coordinated Technological Adaptation,2050,governance_and_oversight,authority and oversight interfaces,moderate,Moderate uncertainty remains around governance and oversight; the horizon does not add precision.,Depends on the scenario family and horizon; 2075 divergence is wider than 2050 without becoming more precise.,"No exact deployment, adoption percentage, capacity, probability, health outcome, or composite risk/resilience/readiness score is inferred.",Phase 15A accepted/frozen baseline and explicit scenario construction.,TFA-A2050-01,EXT-NIST-PRIVACY,scenario,scenario,scenario_assumption,"Unknown is retained as unknown; it is not low risk, absence, or a guaranteed bottleneck. 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation."
TUS-A2050-05,A2050,Coordinated Technological Adaptation,2050,trust_and_legitimacy,public and institutional legitimacy,moderate,Moderate uncertainty remains around trust and legitimacy; the horizon does not add precision.,Depends on the scenario family and horizon; 2075 divergence is wider than 2050 without becoming more precise.,"No exact deployment, adoption percentage, capacity, probability, health outcome, or composite risk/resilience/readiness score is inferred.",Phase 15A accepted/frozen baseline and explicit scenario construction.,TFA-A2050-01,EXT-NIST-PRIVACY,scenario,scenario,scenario_assumption,"Unknown is retained as unknown; it is not low risk, absence, or a guaranteed bottleneck. 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation."
TUS-A2050-06,A2050,Coordinated Technological Adaptation,2050,cybersecurity_and_continuity,defensive digital continuity,moderate,Moderate uncertainty remains around cybersecurity and continuity; the horizon does not add precision.,Depends on the scenario family and horizon; 2075 divergence is wider than 2050 without becoming more precise.,"No exact deployment, adoption percentage, capacity, probability, health outcome, or composite risk/resilience/readiness score is inferred.",Phase 15A accepted/frozen baseline and explicit scenario construction.,TFA-A2050-01,EXT-CISA-CPG,scenario,scenario,scenario_assumption,"Unknown is retained as unknown; it is not low risk, absence, or a guaranteed bottleneck. 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation."
TUS-A2050-07,A2050,Coordinated Technological Adaptation,2050,workforce_and_maintenance,workforce and maintenance systems,moderate,Moderate uncertainty remains around workforce and maintenance; the horizon does not add precision.,Depends on the scenario family and horizon; 2075 divergence is wider than 2050 without becoming more precise.,"No exact deployment, adoption percentage, capacity, probability, health outcome, or composite risk/resilience/readiness score is inferred.",Phase 15A accepted/frozen baseline and explicit scenario construction.,TFA-A2050-01,EXT-NIST-MANUFACTURING,scenario,scenario,scenario_assumption,"Unknown is retained as unknown; it is not low risk, absence, or a guaranteed bottleneck. 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation."
TUS-A2050-08,A2050,Coordinated Technological Adaptation,2050,energy_and_compute,"energy, compute, and communications",moderate,Moderate uncertainty remains around energy and compute; the horizon does not add precision.,Depends on the scenario family and horizon; 2075 divergence is wider than 2050 without becoming more precise.,"No exact deployment, adoption percentage, capacity, probability, health outcome, or composite risk/resilience/readiness score is inferred.",Phase 15A accepted/frozen baseline and explicit scenario construction.,TFA-A2050-01,EXT-DOE-ENERGY-STORAGE,scenario,scenario,scenario_assumption,"Unknown is retained as unknown; it is not low risk, absence, or a guaranteed bottleneck. 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation."
TUS-A2050-09,A2050,Coordinated Technological Adaptation,2050,materials_and_supply_chain,qualified materials and supply chains,moderate,Moderate uncertainty remains around materials and supply chain; the horizon does not add precision.,Depends on the scenario family and horizon; 2075 divergence is wider than 2050 without becoming more precise.,"No exact deployment, adoption percentage, capacity, probability, health outcome, or composite risk/resilience/readiness score is inferred.",Phase 15A accepted/frozen baseline and explicit scenario construction.,TFA-A2050-01,EXT-NIST-MANUFACTURING,scenario,scenario,scenario_assumption,"Unknown is retained as unknown; it is not low risk, absence, or a guaranteed bottleneck. 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation."
TUS-A2050-10,A2050,Coordinated Technological Adaptation,2050,biosecurity_attribution_and_response,"diagnostic, environmental, food/agricultural, and public-health interfaces",moderate,"Diagnostic speed, sampling, attribution, laboratory capacity, public communication, supply-chain resilience, dual-use governance, and response coordination remain uncertain.",Depends on the scenario family and horizon; 2075 divergence is wider than 2050 without becoming more precise.,"No pathogen design, engineering method, harmful-agent optimization, evasion method, attack scenario, wet-lab procedure, incidence, or health outcome is inferred.",Phase 15A accepted/frozen baseline and explicit scenario construction.,TFA-A2050-01,EXT-CDC-AMD,scenario,scenario,scenario_assumption,"Unknown is retained as unknown; it is not low risk, absence, or a guaranteed bottleneck. 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation."
