scenario_id,scenario_year,uncertainty_id,baseline_object_id,uncertainty_domain,level,status,source_id,notes
A2050,2050,BGS-U-A2050-01,BGC-001,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
A2050,2050,BGS-U-A2050-02,BGC-004,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
A2050,2050,BGS-U-A2050-03,BGC-005,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
A2050,2050,BGS-U-A2050-04,BGC-007,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
A2050,2050,BGS-U-A2050-05,BGC-008,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
A2050,2050,BGS-U-A2050-06,BGC-010,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
A2050,2050,BGS-U-A2050-07,BGC-013,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
A2050,2050,BGS-U-A2050-08,BGC-014,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
A2075,2075,BGS-U-A2075-01,BGC-001,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
A2075,2075,BGS-U-A2075-02,BGC-004,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
A2075,2075,BGS-U-A2075-03,BGC-005,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
A2075,2075,BGS-U-A2075-04,BGC-007,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
A2075,2075,BGS-U-A2075-05,BGC-008,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
A2075,2075,BGS-U-A2075-06,BGC-010,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
A2075,2075,BGS-U-A2075-07,BGC-013,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
A2075,2075,BGS-U-A2075-08,BGC-014,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
B2050,2050,BGS-U-B2050-01,BGC-001,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
B2050,2050,BGS-U-B2050-02,BGC-004,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
B2050,2050,BGS-U-B2050-03,BGC-005,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
B2050,2050,BGS-U-B2050-04,BGC-007,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
B2050,2050,BGS-U-B2050-05,BGC-008,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
B2050,2050,BGS-U-B2050-06,BGC-010,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
B2050,2050,BGS-U-B2050-07,BGC-013,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
B2050,2050,BGS-U-B2050-08,BGC-014,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
B2075,2075,BGS-U-B2075-01,BGC-001,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
B2075,2075,BGS-U-B2075-02,BGC-004,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
B2075,2075,BGS-U-B2075-03,BGC-005,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
B2075,2075,BGS-U-B2075-04,BGC-007,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
B2075,2075,BGS-U-B2075-05,BGC-008,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
B2075,2075,BGS-U-B2075-06,BGC-010,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
B2075,2075,BGS-U-B2075-07,BGC-013,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
B2075,2075,BGS-U-B2075-08,BGC-014,uncertainty_state,moderate,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
C2050,2050,BGS-U-C2050-01,BGC-001,uncertainty_state,high,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
C2050,2050,BGS-U-C2050-02,BGC-004,uncertainty_state,high,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
C2050,2050,BGS-U-C2050-03,BGC-005,uncertainty_state,high,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
C2050,2050,BGS-U-C2050-04,BGC-007,uncertainty_state,high,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
C2050,2050,BGS-U-C2050-05,BGC-008,uncertainty_state,high,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
C2050,2050,BGS-U-C2050-06,BGC-010,uncertainty_state,high,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
C2050,2050,BGS-U-C2050-07,BGC-013,uncertainty_state,high,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
C2050,2050,BGS-U-C2050-08,BGC-014,uncertainty_state,high,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
C2075,2075,BGS-U-C2075-01,BGC-001,uncertainty_state,high,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
C2075,2075,BGS-U-C2075-02,BGC-004,uncertainty_state,high,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
C2075,2075,BGS-U-C2075-03,BGC-005,uncertainty_state,high,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
C2075,2075,BGS-U-C2075-04,BGC-007,uncertainty_state,high,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
C2075,2075,BGS-U-C2075-05,BGC-008,uncertainty_state,high,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
C2075,2075,BGS-U-C2075-06,BGC-010,uncertainty_state,high,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
C2075,2075,BGS-U-C2075-07,BGC-013,uncertainty_state,high,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
C2075,2075,BGS-U-C2075-08,BGC-014,uncertainty_state,high,scenario,bge_noaa_climate,Uncertainty is not low risk or absence.
