scenario_id,scenario_year,scenario_family,dimension,level,basis
A2050,2050,A,centralized_generation_dependence,moderate,qualitative scenario comparison; not probability or quantitative risk
A2050,2050,A,distributed_resilience,moderate,qualitative scenario comparison; not probability or quantitative risk
A2050,2050,A,storage_reliance,moderate,qualitative scenario comparison; not probability or quantitative risk
A2050,2050,A,external_fuel_dependence,moderate,qualitative scenario comparison; not probability or quantitative risk
A2050,2050,A,critical_load_resilience,moderate,qualitative scenario comparison; not probability or quantitative risk
A2050,2050,A,industrial_electrification,moderate,qualitative scenario comparison; not probability or quantitative risk
A2050,2050,A,compute_intensity,moderate,qualitative scenario comparison; not probability or quantitative risk
A2050,2050,A,water_energy_coupling,moderate,qualitative scenario comparison; not probability or quantitative risk
A2075,2075,A,centralized_generation_dependence,low,qualitative scenario comparison; not probability or quantitative risk
A2075,2075,A,distributed_resilience,moderate,qualitative scenario comparison; not probability or quantitative risk
A2075,2075,A,storage_reliance,moderate,qualitative scenario comparison; not probability or quantitative risk
A2075,2075,A,external_fuel_dependence,low,qualitative scenario comparison; not probability or quantitative risk
A2075,2075,A,critical_load_resilience,moderate,qualitative scenario comparison; not probability or quantitative risk
A2075,2075,A,industrial_electrification,high,qualitative scenario comparison; not probability or quantitative risk
A2075,2075,A,compute_intensity,moderate,qualitative scenario comparison; not probability or quantitative risk
A2075,2075,A,water_energy_coupling,low,qualitative scenario comparison; not probability or quantitative risk
B2050,2050,B,centralized_generation_dependence,low,qualitative scenario comparison; not probability or quantitative risk
B2050,2050,B,distributed_resilience,high,qualitative scenario comparison; not probability or quantitative risk
B2050,2050,B,storage_reliance,high,qualitative scenario comparison; not probability or quantitative risk
B2050,2050,B,external_fuel_dependence,low,qualitative scenario comparison; not probability or quantitative risk
B2050,2050,B,critical_load_resilience,high,qualitative scenario comparison; not probability or quantitative risk
B2050,2050,B,industrial_electrification,moderate,qualitative scenario comparison; not probability or quantitative risk
B2050,2050,B,compute_intensity,moderate,qualitative scenario comparison; not probability or quantitative risk
B2050,2050,B,water_energy_coupling,low,qualitative scenario comparison; not probability or quantitative risk
B2075,2075,B,centralized_generation_dependence,low,qualitative scenario comparison; not probability or quantitative risk
B2075,2075,B,distributed_resilience,high,qualitative scenario comparison; not probability or quantitative risk
B2075,2075,B,storage_reliance,high,qualitative scenario comparison; not probability or quantitative risk
B2075,2075,B,external_fuel_dependence,low,qualitative scenario comparison; not probability or quantitative risk
B2075,2075,B,critical_load_resilience,high,qualitative scenario comparison; not probability or quantitative risk
B2075,2075,B,industrial_electrification,high,qualitative scenario comparison; not probability or quantitative risk
B2075,2075,B,compute_intensity,moderate,qualitative scenario comparison; not probability or quantitative risk
B2075,2075,B,water_energy_coupling,low,qualitative scenario comparison; not probability or quantitative risk
C2050,2050,C,centralized_generation_dependence,high,qualitative scenario comparison; not probability or quantitative risk
C2050,2050,C,distributed_resilience,moderate,qualitative scenario comparison; not probability or quantitative risk
C2050,2050,C,storage_reliance,high,qualitative scenario comparison; not probability or quantitative risk
C2050,2050,C,external_fuel_dependence,high,qualitative scenario comparison; not probability or quantitative risk
C2050,2050,C,critical_load_resilience,moderate,qualitative scenario comparison; not probability or quantitative risk
C2050,2050,C,industrial_electrification,high,qualitative scenario comparison; not probability or quantitative risk
C2050,2050,C,compute_intensity,high,qualitative scenario comparison; not probability or quantitative risk
C2050,2050,C,water_energy_coupling,high,qualitative scenario comparison; not probability or quantitative risk
C2075,2075,C,centralized_generation_dependence,high,qualitative scenario comparison; not probability or quantitative risk
C2075,2075,C,distributed_resilience,moderate,qualitative scenario comparison; not probability or quantitative risk
C2075,2075,C,storage_reliance,high,qualitative scenario comparison; not probability or quantitative risk
C2075,2075,C,external_fuel_dependence,high,qualitative scenario comparison; not probability or quantitative risk
C2075,2075,C,critical_load_resilience,moderate,qualitative scenario comparison; not probability or quantitative risk
C2075,2075,C,industrial_electrification,high,qualitative scenario comparison; not probability or quantitative risk
C2075,2075,C,compute_intensity,high,qualitative scenario comparison; not probability or quantitative risk
C2075,2075,C,water_energy_coupling,high,qualitative scenario comparison; not probability or quantitative risk
