vegetation_code,vegetation_class,source_feature_count_statewide,feature_count_intersecting_project_extent,area_in_project_extent_km2,area_of_selected_complete_polygons_km2,candidate_gbs_component,reason,historical_support,uncertainty,include_recommendation,source,source_scale
1,Beech,94,28,7749.5,,no,upland forest; not swamp evidence,Gordon 1966 vegetation association interpreted at time of earliest land surveys,"Class is generalized at 1:500,000 and is not itself a named Great Black Swamp boundary",exclude,ODNR Original Natural Vegetation of Ohio (Gordon 1966 digitization),"1:500,000"
2,Mixed Oak,193,20,524.06,,no,upland forest; not swamp evidence,Gordon 1966 vegetation association interpreted at time of earliest land surveys,"Class is generalized at 1:500,000 and is not itself a named Great Black Swamp boundary",exclude,ODNR Original Natural Vegetation of Ohio (Gordon 1966 digitization),"1:500,000"
3,Oak-Sugar Maple,122,15,86.21,,no,upland forest; not swamp evidence,Gordon 1966 vegetation association interpreted at time of earliest land surveys,"Class is generalized at 1:500,000 and is not itself a named Great Black Swamp boundary",exclude,ODNR Original Natural Vegetation of Ohio (Gordon 1966 digitization),"1:500,000"
4,Elm-Ash Swamp Forests,562,122,5811.88,4672.66,yes,closest source class to presettlement swamp forest; broader than the named Great Black Swamp,Gordon 1966 vegetation association interpreted at time of earliest land surveys,"Class is generalized at 1:500,000 and is not itself a named Great Black Swamp boundary",candidate basis,ODNR Original Natural Vegetation of Ohio (Gordon 1966 digitization),"1:500,000"
5,Mixed Mesophytic,95,0,0.0,,no,upland/mesic forest; not swamp evidence,Gordon 1966 vegetation association interpreted at time of earliest land surveys,"Class is generalized at 1:500,000 and is not itself a named Great Black Swamp boundary",exclude,ODNR Original Natural Vegetation of Ohio (Gordon 1966 digitization),"1:500,000"
6,Prairie Grasslands,426,24,225.32,,no,may include wet prairie but source class is not swamp-specific,Gordon 1966 vegetation association interpreted at time of earliest land surveys,"Class is generalized at 1:500,000 and is not itself a named Great Black Swamp boundary",context only,ODNR Original Natural Vegetation of Ohio (Gordon 1966 digitization),"1:500,000"
7,Oak Savannas,6,6,387.69,,no,important Oak Openings context; not swamp evidence,Gordon 1966 vegetation association interpreted at time of earliest land surveys,"Class is generalized at 1:500,000 and is not itself a named Great Black Swamp boundary",context only,ODNR Original Natural Vegetation of Ohio (Gordon 1966 digitization),"1:500,000"
8,Freshwater Marshes and Fens,56,16,156.72,,no,coastal/inland marsh context; excluded to avoid conflating marsh with swamp forest,Gordon 1966 vegetation association interpreted at time of earliest land surveys,"Class is generalized at 1:500,000 and is not itself a named Great Black Swamp boundary",context only,ODNR Original Natural Vegetation of Ohio (Gordon 1966 digitization),"1:500,000"
9,Sphagnum Peat Bogs,57,0,0.0,,no,distinct wetland type,Gordon 1966 vegetation association interpreted at time of earliest land surveys,"Class is generalized at 1:500,000 and is not itself a named Great Black Swamp boundary",exclude,ODNR Original Natural Vegetation of Ohio (Gordon 1966 digitization),"1:500,000"
10,Bottomland Hardwood,14,1,0.54,,no,floodplain forest context; excluded to avoid conflating river bottoms with the named swamp,Gordon 1966 vegetation association interpreted at time of earliest land surveys,"Class is generalized at 1:500,000 and is not itself a named Great Black Swamp boundary",context only,ODNR Original Natural Vegetation of Ohio (Gordon 1966 digitization),"1:500,000"
11,Mixed Mesophytic (special),5,0,0.0,,no,special source-map class; not swamp evidence,Gordon 1966 vegetation association interpreted at time of earliest land surveys,"Class is generalized at 1:500,000 and is not itself a named Great Black Swamp boundary",exclude,ODNR Original Natural Vegetation of Ohio (Gordon 1966 digitization),"1:500,000"
12,White Pine-Red Maple Swamp,1,0,0.0,,no,single northeastern Ohio class; outside candidate basis,Gordon 1966 vegetation association interpreted at time of earliest land surveys,"Class is generalized at 1:500,000 and is not itself a named Great Black Swamp boundary",exclude,ODNR Original Natural Vegetation of Ohio (Gordon 1966 digitization),"1:500,000"
13,Beach,1,0,0.0,,no,shoreline land cover; not swamp evidence,Gordon 1966 vegetation association interpreted at time of earliest land surveys,"Class is generalized at 1:500,000 and is not itself a named Great Black Swamp boundary",exclude,ODNR Original Natural Vegetation of Ohio (Gordon 1966 digitization),"1:500,000"
