state_id,scenario_id,scenario,horizon,actor_id,actor_name,actor_type,current_fact,scenario_assumption,scenario_consequence,future_role,change_type,authority_boundary,assumption_id,current_fact_source_id,source_id,reality_status,canon_status,notes
GAS-A2050-001,A2050,Integrated Basin Governance,2050,GA-001,U.S. Environmental Protection Agency,federal_agency,"CURRENT FACT (2026 baseline): Federal environmental standards, program oversight, permitting/enforcement authorities in defined programs, monitoring, and funding/coordination roles.","SCENARIO ASSUMPTION: Interoperable public environmental and infrastructure data standards expand across selected basin products. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the U.S. Environmental Protection Agency institutional interface gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",The actor retains its current role and participates in stronger cross-system protocols and evidence review where relevant.,coordination_interface_strengthened,"Current legal, sovereign, ownership, and operational boundaries remain distinct; coordination is not itself binding authority. AI or automated analysis, if present, can advise or prioritize but cannot replace legal or human decision authority; automated monitoring is not automatic enforcement. AI recommendation ≠ legal authority; automated monitoring ≠ automatic enforcement; algorithmic prioritization ≠ final public decision; sensor coverage ≠ institutional capacity.",GSA-A2050-01,s01_epa_sdwa,GFS-006,fictional,scenario,Future actor state is a scenario delta over the accepted 2026 actor registry; it is not a new legal classification.
GAS-A2050-002,A2050,Integrated Basin Governance,2050,GA-002,Ohio Environmental Protection Agency,state_agency,"CURRENT FACT (2026 baseline): Ohio water, air, public-water, NPDES, and related environmental regulatory and monitoring programs.","SCENARIO ASSUMPTION: Federal, state, local, tribal, and binational actors use clearer cross-system review protocols while retaining distinct authority. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the Ohio Environmental Protection Agency institutional interface gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",The actor retains its current role and participates in stronger cross-system protocols and evidence review where relevant.,coordination_interface_strengthened,"Current legal, sovereign, ownership, and operational boundaries remain distinct; coordination is not itself binding authority. AI or automated analysis, if present, can advise or prioritize but cannot replace legal or human decision authority; automated monitoring is not automatic enforcement. AI recommendation ≠ legal authority; automated monitoring ≠ automatic enforcement; algorithmic prioritization ≠ final public decision; sensor coverage ≠ institutional capacity.",GSA-A2050-02,s02_ohio_pws,GFS-011,fictional,scenario,Future actor state is a scenario delta over the accepted 2026 actor registry; it is not a new legal classification.
GAS-A2050-003,A2050,Integrated Basin Governance,2050,GA-003,City of Toledo,municipal_government,"CURRENT FACT (2026 baseline): Municipal owner/authority for city services, including the public water system through its utility division.","SCENARIO ASSUMPTION: Nutrient, water, ecology, and climate programs use recurring evidence review and adjustment cycles across selected interfaces. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the City of Toledo institutional interface gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",The actor retains its current role and participates in stronger cross-system protocols and evidence review where relevant.,coordination_interface_strengthened,"Current legal, sovereign, ownership, and operational boundaries remain distinct; coordination is not itself binding authority. AI or automated analysis, if present, can advise or prioritize but cannot replace legal or human decision authority; automated monitoring is not automatic enforcement. AI recommendation ≠ legal authority; automated monitoring ≠ automatic enforcement; algorithmic prioritization ≠ final public decision; sensor coverage ≠ institutional capacity.",GSA-A2050-03,s03_toledo_treatment,GFS-014,fictional,scenario,Future actor state is a scenario delta over the accepted 2026 actor registry; it is not a new legal classification.
GAS-A2050-004,A2050,Integrated Basin Governance,2050,GA-004,City of Toledo Public Utilities — Water Treatment Division,public_utility,CURRENT FACT (2026 baseline): Operates and maintains the municipal surface-water treatment and distribution system and performs water-quality monitoring/reporting.,"SCENARIO ASSUMPTION: Great Lakes and treaty-related coordination becomes more legible in planning and monitoring without merging sovereign nations or creating a single basin government. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the City of Toledo Public Utilities — Water Treatment Division institutional interface gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.","The actor retains its current ownership/operation boundary while its reporting, continuity, and coordination interface changes under the scenario.",coordination_interface_strengthened,"Current legal, sovereign, ownership, and operational boundaries remain distinct; coordination is not itself binding authority. AI or automated analysis, if present, can advise or prioritize but cannot replace legal or human decision authority; automated monitoring is not automatic enforcement. AI recommendation ≠ legal authority; automated monitoring ≠ automatic enforcement; algorithmic prioritization ≠ final public decision; sensor coverage ≠ institutional capacity.",GSA-A2050-04,s03_toledo_treatment,GFS-012,fictional,scenario,Future actor state is a scenario delta over the accepted 2026 actor registry; it is not a new legal classification.
GAS-A2050-005,A2050,Integrated Basin Governance,2050,GA-005,U.S. Geological Survey,research_monitoring_body,CURRENT FACT (2026 baseline): Collects and publishes water observations and scientific information through monitoring locations and data services.,"SCENARIO ASSUMPTION: Selected resilience-finance programs align water, ecological-infrastructure, and infrastructure-maintenance priorities more consistently. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the U.S. Geological Survey institutional interface gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",The actor retains its current role and participates in stronger cross-system protocols and evidence review where relevant.,coordination_interface_strengthened,"Current legal, sovereign, ownership, and operational boundaries remain distinct; coordination is not itself binding authority. AI or automated analysis, if present, can advise or prioritize but cannot replace legal or human decision authority; automated monitoring is not automatic enforcement. AI recommendation ≠ legal authority; automated monitoring ≠ automatic enforcement; algorithmic prioritization ≠ final public decision; sensor coverage ≠ institutional capacity.",GSA-A2050-05,s06_usgs_data,GFS-008,fictional,scenario,Future actor state is a scenario delta over the accepted 2026 actor registry; it is not a new legal classification.
GAS-A2050-006,A2050,Integrated Basin Governance,2050,GA-006,National Oceanic and Atmospheric Administration / National Weather Service,federal_agency,"CURRENT FACT (2026 baseline): Provides weather, water, and climate observations, forecasts, warnings, and decision-support information.","SCENARIO ASSUMPTION: Public agencies and private operators use stronger reporting and continuity agreements while regulation, ownership, and operation remain distinct. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the National Oceanic and Atmospheric Administration / National Weather Service institutional interface gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",The actor retains its current role and participates in stronger cross-system protocols and evidence review where relevant.,coordination_interface_strengthened,"Current legal, sovereign, ownership, and operational boundaries remain distinct; coordination is not itself binding authority. AI or automated analysis, if present, can advise or prioritize but cannot replace legal or human decision authority; automated monitoring is not automatic enforcement. AI recommendation ≠ legal authority; automated monitoring ≠ automatic enforcement; algorithmic prioritization ≠ final public decision; sensor coverage ≠ institutional capacity.",GSA-A2050-06,s36_nws,GFS-007,fictional,scenario,Future actor state is a scenario delta over the accepted 2026 actor registry; it is not a new legal classification.
GAS-A2050-007,A2050,Integrated Basin Governance,2050,GA-007,NOAA Great Lakes Environmental Research Laboratory,research_monitoring_body,"CURRENT FACT (2026 baseline): Great Lakes observing, research, modeling, and information products that inform management decisions.","SCENARIO ASSUMPTION: Wetlands, riparian systems, and other ecological infrastructure are treated as maintained cross-system assets in selected planning processes. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the NOAA Great Lakes Environmental Research Laboratory institutional interface gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",The actor retains its current role and participates in stronger cross-system protocols and evidence review where relevant.,coordination_interface_strengthened,"Current legal, sovereign, ownership, and operational boundaries remain distinct; coordination is not itself binding authority. AI or automated analysis, if present, can advise or prioritize but cannot replace legal or human decision authority; automated monitoring is not automatic enforcement. AI recommendation ≠ legal authority; automated monitoring ≠ automatic enforcement; algorithmic prioritization ≠ final public decision; sensor coverage ≠ institutional capacity.",GSA-A2050-07,s07_glerl,GFS-009,fictional,scenario,Future actor state is a scenario delta over the accepted 2026 actor registry; it is not a new legal classification.
GAS-A2050-008,A2050,Integrated Basin Governance,2050,GA-012,Ohio Department of Agriculture,state_agency,"CURRENT FACT (2026 baseline): State agriculture program, coordination, and agriculture-specific regulatory/assistance context.","SCENARIO ASSUMPTION: Environmental analytics, bounded AI recommendations, digital model exchange, and institutional after-action learning improve selected decision handoffs without transferring legal authority to software. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the Ohio Department of Agriculture institutional interface gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",The actor retains its current role and participates in stronger cross-system protocols and evidence review where relevant.,coordination_interface_strengthened,"Current legal, sovereign, ownership, and operational boundaries remain distinct; coordination is not itself binding authority. AI or automated analysis, if present, can advise or prioritize but cannot replace legal or human decision authority; automated monitoring is not automatic enforcement. AI recommendation ≠ legal authority; automated monitoring ≠ automatic enforcement; algorithmic prioritization ≠ final public decision; sensor coverage ≠ institutional capacity.",GSA-A2050-08,s44_ohio_oda,GFS-004,fictional,scenario,Future actor state is a scenario delta over the accepted 2026 actor registry; it is not a new legal classification.
GAS-A2050-009,A2050,Integrated Basin Governance,2050,GA-017,Great Lakes Commission,interstate_body,"CURRENT FACT (2026 baseline): Compact-created regional policy, coordination, and advisory institution.","SCENARIO ASSUMPTION: Interoperable public environmental and infrastructure data standards expand across selected basin products. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the Great Lakes Commission institutional interface gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",The actor retains its current role and participates in stronger cross-system protocols and evidence review where relevant.,coordination_interface_strengthened,"Current legal, sovereign, ownership, and operational boundaries remain distinct; coordination is not itself binding authority. AI or automated analysis, if present, can advise or prioritize but cannot replace legal or human decision authority; automated monitoring is not automatic enforcement. AI recommendation ≠ legal authority; automated monitoring ≠ automatic enforcement; algorithmic prioritization ≠ final public decision; sensor coverage ≠ institutional capacity.",GSA-A2050-01,s13_glc,GFS-006,fictional,scenario,Future actor state is a scenario delta over the accepted 2026 actor registry; it is not a new legal classification.
GAS-A2050-010,A2050,Integrated Basin Governance,2050,GA-018,Great Lakes–St. Lawrence Governors & Premiers,binational_body,CURRENT FACT (2026 baseline): Executive-level regional coordination and policy framework for water management and restoration.,"SCENARIO ASSUMPTION: Federal, state, local, tribal, and binational actors use clearer cross-system review protocols while retaining distinct authority. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the Great Lakes–St. Lawrence Governors & Premiers institutional interface gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",The actor retains its current role and participates in stronger cross-system protocols and evidence review where relevant.,coordination_interface_strengthened,"Current legal, sovereign, ownership, and operational boundaries remain distinct; coordination is not itself binding authority. AI or automated analysis, if present, can advise or prioritize but cannot replace legal or human decision authority; automated monitoring is not automatic enforcement. AI recommendation ≠ legal authority; automated monitoring ≠ automatic enforcement; algorithmic prioritization ≠ final public decision; sensor coverage ≠ institutional capacity.",GSA-A2050-02,s14_gsgp,GFS-011,fictional,scenario,Future actor state is a scenario delta over the accepted 2026 actor registry; it is not a new legal classification.
