surveillance_id,disease_or_pathogen,reporting_period,geography,surveillance_system,case_definition_or_surveillance_definition,reporting_basis,numerator,denominator,case_geography_basis,exposure_geography_basis,suppression_missingness,source_id,confidence,uncertainty,notes
IDS-001,West Nile virus,2025,Ohio; agency/county,Ohio pooled mosquito surveillance,pooled mosquito surveillance; positive-pool status,agency and county mosquito-pool testing,42 counties with positive pools,"11,980 pooled samples; 58 agencies; 49 counties",not applicable; vector sampling geography,not applicable; no human exposure geography,species and county effort not supplied,phase12_vector_findings,high,positive pool != human infection/case/local transmission,Retains program effort and positive-pool results separately.
IDS-002,West Nile virus,2025,Ohio; county of residence,Ohio human disease surveillance,reported human WNV case map,reported cases to state public health,45 reported cases,not meaningful for case count context,county of residence,exposure location not supplied,case map does not resolve exposure or infection location,phase12_vector_findings,high,residence != exposure; case != local transmission,Contextual human-case record only.
IDS-003,West Nile virus,2023,Michigan participating jurisdictions,Michigan MDHHS/local mosquito surveillance,pooled mosquito surveillance; positive-pool status,local health-department sampling and laboratory testing,124 WNV-positive pools,"6,351 mosquito pools tested",not applicable; sampling geography,not applicable; no human exposure geography,participating jurisdictions and methods vary,s13_mi_vector,high,positive pool != human case/incidence,Program denominator is not merged with Ohio or Indiana.
IDS-004,West Nile virus,2026 dated update,Indiana; 33 counties,Indiana mosquito testing,mosquito testing positive status,state/county mosquito testing summary,33 counties with positive mosquito tests,not supplied,not applicable; sampling geography,not applicable; no human exposure geography,effort and species counts not supplied,s13_ind_wnv_2026,moderate,positive mosquito != human infection/case,State summary retained without a comparable denominator.
IDS-005,West Nile virus,2026 dated update,"Allen County, Indiana; residence",Indiana human surveillance,reported human WNV case,state public-health case reporting,one reported case,not meaningful for this context,county of residence,exposure location not supplied,source release provides no exposure location,s13_ind_wnv_2026,high,residence != exposure; reported case != local transmission,Context only.
IDS-006,Lyme disease,2023/current context,United States; state/county residence context,CDC/NNDSS Lyme surveillance,CDC Lyme case-surveillance context,state health department case reporting,reported cases; regional value not extracted,not supplied for this package,state/county of residence context,exposure location not necessarily identified,case geography and underdiagnosis/reporting limitations remain,s13_cdc_lyme,high,case != exposure location/transmission,No Western Basin case count or local map is generated.
IDS-007,Legionellosis,2014–2025; 2024–2025 provisional,United States and jurisdictions,CDC legionellosis surveillance,Legionellosis national surveillance systems and disease-specific case definition,jurisdictional case reporting plus supplemental surveillance,reported cases/incidence; regional value not extracted,jurisdiction/year-specific,jurisdiction/case reporting geography,investigation-specific exposure setting; not inferred,provisional years and system combination,s13_cdc_legionella_surv,high,reported case != environmental source attribution,Source page supports system structure and provisional status; no local count fabricated.
IDS-008,Waterborne disease outbreaks,current system,United States; state/local/territorial investigations,CDC waterborne surveillance/NORS,two or more epidemiologically linked people plus water implicated as probable source for an outbreak definition,epidemiologic outbreak investigation/reporting,investigated outbreak reports,not a denominator for all infections,investigation-specific time/location/illness linkage,exposure location is investigation evidence,reporting depends on investigation and identification,s13_cdc_water_surv,high,contamination != exposure/infection/illness,Definition and reporting interface only; no Western Basin outbreak is asserted.
IDS-009,Foodborne and enteric pathogens,current system,United States; state/local/territorial partners,CDC NORS/SEDRIC,"outbreak reporting categories for foodborne, animal-contact, person-to-person, environmental, and other enteric outbreaks",public-health outbreak reporting,reported outbreaks,not a denominator for all infections,outbreak investigation geography,exposure setting is outbreak-specific,non-reporting is not absence,s13_cdc_nors,high,outbreak report != incidence,Retained as an outbreak-observation system distinct from case surveillance.
IDS-010,"Salmonella, Campylobacter, and STEC",current system,United States; state/territorial public-health laboratories,CDC national enteric laboratory surveillance/LEDS plus NNDSS,laboratory identification and case-based surveillance definitions,laboratory and case reporting,identified infections; package does not extract regional numerators,not supplied in source page,case reporting/residence fields vary,exposure information is condition-specific and not assumed,laboratory and case completeness vary,s13_cdc_enteric,high,lab-confirmed/reporting != all community infection,Three foodborne systems remain distinct within one surveillance interface.
IDS-011,FoodNet pathogen set,current page; reporting changes after 2025-07-01,FoodNet surveillance area,FoodNet active surveillance,laboratory-diagnosed infection surveillance and active clinical-laboratory follow-up,CDC/USDA/FDA/ten state health departments collaboration,eight historically tracked pathogens,surveillance area includes 16% of U.S. population,surveillance-area reporting; not Western Basin residence,exposure fields are infection-specific,post-2025 reporting optional for most pathogens except Salmonella and STEC,s13_cdc_foodnet,high,program coverage != Western Basin incidence,Scope and denominator context only.
IDS-012,Influenza A/B,2026 weekly interface,United States/HHS region/state and stream-specific systems,CDC FluView/FluView Interactive,"component-specific laboratory, outpatient, hospitalization, mortality, and other surveillance definitions",multi-partner weekly reporting,stream-specific observations; no package numerator,stream-specific laboratory/outpatient/hospital denominators,stream-specific geography,exposure location not part of most streams,weekly data preliminary; testing practices differ,s13_cdc_flu_methods,high,testing intensity != disease intensity; hospitalization != community incidence,System example only; no large pandemic dataset reproduced.
IDS-013,SARS-CoV-2 and tracked respiratory viruses,2026 current program,community/sewershed/state/regional/national,CDC wastewater monitoring,wastewater viral measurement and trend interpretation,sewershed sample collection and laboratory measurement,viral activity measurements/trend signals,"sewershed population coverage, not infection denominator",sewershed/community geography,not individual exposure or residence,septic and disconnected populations may be underrepresented; infection count not determinable,s13_cdc_wastewater,high,wastewater signal != infection count/incidence,Complementary community-level observation.
IDS-014,Rabies virus,current system,United States; animal and exposure investigations,animal rabies testing and PEP interface,"animal testing, potential-exposure assessment, and PEP response records",animal-control/veterinary/public-health reporting,animal tests/exposure/PEP records; no regional numerator extracted,not a denominator for all animal contact,animal test or exposure-investigation geography,exposure investigation location; residence not substituted,event- and response-dependent,s13_cdc_rabies,high,animal case/exposure/PEP != human infection/disease,Zoonotic interface retained without an animal or human risk ranking.
IDS-015,Healthcare-associated infections,current system,healthcare facilities/state/regional/national,CDC NHSN,standardized facility HAI surveillance definitions and measures,facility reporting and public-health/CMS reporting interfaces,facility-reported HAI measures; local value not extracted,participating facilities and measure-specific denominators,facility/state reporting geography,facility acquisition context; not community exposure geography,participation and measure coverage vary,s13_cdc_nhsn,high,facility surveillance != community incidence,Generalized institutional system only.
IDS-016,Antimicrobial resistance,2019 national report context,United States; national,CDC AR threat and surveillance context,AR threat categories and report-specific estimation methods,national laboratory/healthcare/public-health context,national estimates; not used as regional numerator,national/report-specific,national estimate geography,not Western Basin exposure geography,national estimates and older report year,s13_cdc_ar,moderate,national estimate != Western Basin burden,"No local prevalence, resistance map, or facility ranking."
IDS-017,Reportable infectious conditions,2026 current page,Indiana provider/hospital reporting,Indiana communicable disease reporting,state reportable-condition list and NBS/forms instructions,"healthcare provider, hospital, laboratory, and public-health reporting",reports submitted under state rules,not a uniform condition-specific denominator,condition-specific reporting geography,condition-specific exposure fields,reportability and completeness are condition-specific,s13_ind_reportable,high,reporting pathway != incidence,State infrastructure context.
