state_id,scenario_id,scenario,horizon,dependency_id,system_a,system_b,dependency_type,current_fact,scenario_assumption,scenario_consequence,dependency_state,coordination_implication,assumption_id,current_fact_source_id,source_id,reality_status,canon_status,notes
GAD-A2050-001,A2050,Integrated Basin Governance,2050,GDEP-001,Biogeochemical / Nutrient Flux,Water,split_responsibility,CURRENT FACT (2026 baseline): Biogeochemical / Nutrient Flux ↔ Water is recorded as split_responsibility through planning process; this is a inferred relationship.,"SCENARIO ASSUMPTION: Interoperable public environmental and infrastructure data standards expand across selected basin products. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: Biogeochemical / Nutrient Flux to Water dependency gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",shared_review_and_protocol_strengthened,"Dependency is not converted into a governance score, failure probability, or universal control claim.",GSA-A2050-01,s10_h2ohio,GFS-006,fictional,scenario,Future dependency state preserves the accepted Phase 10B interface and adds only a qualitative scenario consequence.
GAD-A2050-002,A2050,Integrated Basin Governance,2050,GDEP-002,Water,Water,mandatory_coordination,CURRENT FACT (2026 baseline): Water ↔ Water is recorded as mandatory_coordination through statute/regulation; this is a documented relationship.,"SCENARIO ASSUMPTION: Federal, state, local, tribal, and binational actors use clearer cross-system review protocols while retaining distinct authority. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: Water to Water dependency gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",shared_review_and_protocol_strengthened,"Dependency is not converted into a governance score, failure probability, or universal control claim.",GSA-A2050-02,s02_ohio_pws,GFS-011,fictional,scenario,Future dependency state preserves the accepted Phase 10B interface and adds only a qualitative scenario consequence.
GAD-A2050-003,A2050,Integrated Basin Governance,2050,GDEP-003,Water,Water,information_dependency,CURRENT FACT (2026 baseline): Water ↔ Water is recorded as information_dependency through scientific/data-sharing network; this is a documented relationship.,"SCENARIO ASSUMPTION: Nutrient, water, ecology, and climate programs use recurring evidence review and adjustment cycles across selected interfaces. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: Water to Water dependency gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",shared_review_and_protocol_strengthened,"Dependency is not converted into a governance score, failure probability, or universal control claim.",GSA-A2050-03,s06_usgs_data,GFS-014,fictional,scenario,Future dependency state preserves the accepted Phase 10B interface and adds only a qualitative scenario consequence.
GAD-A2050-004,A2050,Integrated Basin Governance,2050,GDEP-004,Water,Water,mandatory_coordination,CURRENT FACT (2026 baseline): Water ↔ Water is recorded as mandatory_coordination through statute/regulation; this is a documented relationship.,"SCENARIO ASSUMPTION: Great Lakes and treaty-related coordination becomes more legible in planning and monitoring without merging sovereign nations or creating a single basin government. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: Water to Water dependency gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",shared_review_and_protocol_strengthened,"Dependency is not converted into a governance score, failure probability, or universal control claim.",GSA-A2050-04,s04_toledo_quality,GFS-012,fictional,scenario,Future dependency state preserves the accepted Phase 10B interface and adds only a qualitative scenario consequence.
GAD-A2050-005,A2050,Integrated Basin Governance,2050,GDEP-005,Water,Water,monitoring-without-control,CURRENT FACT (2026 baseline): Water ↔ Water is recorded as monitoring-without-control through scientific/data-sharing network; this is a inferred relationship.,"SCENARIO ASSUMPTION: Selected resilience-finance programs align water, ecological-infrastructure, and infrastructure-maintenance priorities more consistently. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: Water to Water dependency gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",shared_review_and_protocol_strengthened,"Monitoring can inform decisions without becoming regulation, enforcement, or operation.",GSA-A2050-05,s07_glerl,GFS-008,fictional,scenario,Future dependency state preserves the accepted Phase 10B interface and adds only a qualitative scenario consequence.
GAD-A2050-006,A2050,Integrated Basin Governance,2050,GDEP-006,Climate / Natural Hazards,Energy / Grid / Compute,information_dependency,CURRENT FACT (2026 baseline): Climate / Natural Hazards ↔ Energy / Grid / Compute is recorded as information_dependency through emergency protocol; this is a inferred relationship.,"SCENARIO ASSUMPTION: Public agencies and private operators use stronger reporting and continuity agreements while regulation, ownership, and operation remain distinct. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: Climate / Natural Hazards to Energy / Grid / Compute dependency gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",shared_review_and_protocol_strengthened,"Dependency is not converted into a governance score, failure probability, or universal control claim.",GSA-A2050-06,s36_nws,GFS-007,fictional,scenario,Future dependency state preserves the accepted Phase 10B interface and adds only a qualitative scenario consequence.
GAD-A2050-007,A2050,Integrated Basin Governance,2050,GDEP-007,Energy / Grid / Compute,Energy / Grid / Compute,public_private_dependency,CURRENT FACT (2026 baseline): Energy / Grid / Compute ↔ Energy / Grid / Compute is recorded as public_private_dependency through market/operator rule; this is a documented relationship.,"SCENARIO ASSUMPTION: Wetlands, riparian systems, and other ecological infrastructure are treated as maintained cross-system assets in selected planning processes. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: Energy / Grid / Compute to Energy / Grid / Compute dependency gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",shared_review_and_protocol_strengthened,"Regulation, public finance, private operation, and asset ownership remain separate roles.",GSA-A2050-07,s24_pjm,GFS-009,fictional,scenario,Future dependency state preserves the accepted Phase 10B interface and adds only a qualitative scenario consequence.
GAD-A2050-008,A2050,Integrated Basin Governance,2050,GDEP-008,Energy / Grid / Compute,Energy / Grid / Compute,sequential_authority,CURRENT FACT (2026 baseline): Energy / Grid / Compute ↔ Energy / Grid / Compute is recorded as sequential_authority through market/operator rule; this is a documented relationship.,"SCENARIO ASSUMPTION: Environmental analytics, bounded AI recommendations, digital model exchange, and institutional after-action learning improve selected decision handoffs without transferring legal authority to software. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: Energy / Grid / Compute to Energy / Grid / Compute dependency gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",shared_review_and_protocol_strengthened,"Dependency is not converted into a governance score, failure probability, or universal control claim.",GSA-A2050-08,s21_ferc,GFS-004,fictional,scenario,Future dependency state preserves the accepted Phase 10B interface and adds only a qualitative scenario consequence.
GAD-A2050-009,A2050,Integrated Basin Governance,2050,GDEP-009,Energy / Grid / Compute,Energy / Grid / Compute,control-without-direct-observation,CURRENT FACT (2026 baseline): Energy / Grid / Compute ↔ Energy / Grid / Compute is recorded as control-without-direct-observation through market/operator rule; this is a documented relationship.,"SCENARIO ASSUMPTION: Interoperable public environmental and infrastructure data standards expand across selected basin products. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: Energy / Grid / Compute to Energy / Grid / Compute dependency gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",shared_review_and_protocol_strengthened,"Dependency is not converted into a governance score, failure probability, or universal control claim.",GSA-A2050-01,s23_nerc,GFS-006,fictional,scenario,Future dependency state preserves the accepted Phase 10B interface and adds only a qualitative scenario consequence.
GAD-A2050-010,A2050,Integrated Basin Governance,2050,GDEP-010,Energy / Grid / Compute,Energy / Grid / Compute,sequential_authority,CURRENT FACT (2026 baseline): Energy / Grid / Compute ↔ Energy / Grid / Compute is recorded as sequential_authority through statute/regulation; this is a documented relationship.,"SCENARIO ASSUMPTION: Federal, state, local, tribal, and binational actors use clearer cross-system review protocols while retaining distinct authority. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: Energy / Grid / Compute to Energy / Grid / Compute dependency gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",shared_review_and_protocol_strengthened,"Dependency is not converted into a governance score, failure probability, or universal control claim.",GSA-A2050-02,s25_puco,GFS-011,fictional,scenario,Future dependency state preserves the accepted Phase 10B interface and adds only a qualitative scenario consequence.
