stressor_id,system_id,pathway_cell,basis,is_severity_measure,is_risk_or_vulnerability_score,notes
STRESS-COMMS-COMPUTE,SYS-WATER,NO CURRENT DEFENSIBLE PATH,No Phase 14 relationship or explicit Phase 15 scenario interaction selected in Phase 16A.,false,false,"Compatibility/pathway finding only; do not rank, sum, or interpret as severity, risk, or vulnerability."
STRESS-COMMS-COMPUTE,SYS-MATERIALS,NO CURRENT DEFENSIBLE PATH,No Phase 14 relationship or explicit Phase 15 scenario interaction selected in Phase 16A.,false,false,"Compatibility/pathway finding only; do not rank, sum, or interpret as severity, risk, or vulnerability."
STRESS-COMMS-COMPUTE,SYS-ENERGY,DIRECT,Immediate baseline source-system effect or explicit baseline stage-1 pathway.,false,false,"Compatibility/pathway finding only; do not rank, sum, or interpret as severity, risk, or vulnerability."
STRESS-COMMS-COMPUTE,SYS-DATA,DIRECT,Immediate baseline source-system effect or explicit baseline stage-1 pathway.,false,false,"Compatibility/pathway finding only; do not rank, sum, or interpret as severity, risk, or vulnerability."
STRESS-COMMS-COMPUTE,SYS-FREIGHT,NO CURRENT DEFENSIBLE PATH,No Phase 14 relationship or explicit Phase 15 scenario interaction selected in Phase 16A.,false,false,"Compatibility/pathway finding only; do not rank, sum, or interpret as severity, risk, or vulnerability."
STRESS-COMMS-COMPUTE,SYS-ECOLOGY,NO CURRENT DEFENSIBLE PATH,No Phase 14 relationship or explicit Phase 15 scenario interaction selected in Phase 16A.,false,false,"Compatibility/pathway finding only; do not rank, sum, or interpret as severity, risk, or vulnerability."
STRESS-COMMS-COMPUTE,SYS-EXPOSURE,NO CURRENT DEFENSIBLE PATH,No Phase 14 relationship or explicit Phase 15 scenario interaction selected in Phase 16A.,false,false,"Compatibility/pathway finding only; do not rank, sum, or interpret as severity, risk, or vulnerability."
STRESS-COMMS-COMPUTE,SYS-BIOGEOCHEMISTRY,NO CURRENT DEFENSIBLE PATH,No Phase 14 relationship or explicit Phase 15 scenario interaction selected in Phase 16A.,false,false,"Compatibility/pathway finding only; do not rank, sum, or interpret as severity, risk, or vulnerability."
STRESS-COMMS-COMPUTE,SYS-CLIMATE,NO CURRENT DEFENSIBLE PATH,No Phase 14 relationship or explicit Phase 15 scenario interaction selected in Phase 16A.,false,false,"Compatibility/pathway finding only; do not rank, sum, or interpret as severity, risk, or vulnerability."
STRESS-COMMS-COMPUTE,SYS-GOVERNANCE,DIRECT,Immediate baseline source-system effect or explicit baseline stage-1 pathway.,false,false,"Compatibility/pathway finding only; do not rank, sum, or interpret as severity, risk, or vulnerability."
STRESS-COMMS-COMPUTE,SYS-POPULATION,NO CURRENT DEFENSIBLE PATH,No Phase 14 relationship or explicit Phase 15 scenario interaction selected in Phase 16A.,false,false,"Compatibility/pathway finding only; do not rank, sum, or interpret as severity, risk, or vulnerability."
STRESS-COMMS-COMPUTE,SYS-VECTOR-ECOLOGY,NO CURRENT DEFENSIBLE PATH,No Phase 14 relationship or explicit Phase 15 scenario interaction selected in Phase 16A.,false,false,"Compatibility/pathway finding only; do not rank, sum, or interpret as severity, risk, or vulnerability."
STRESS-COMMS-COMPUTE,SYS-INFECTIOUS-DISEASE,NO CURRENT DEFENSIBLE PATH,No Phase 14 relationship or explicit Phase 15 scenario interaction selected in Phase 16A.,false,false,"Compatibility/pathway finding only; do not rank, sum, or interpret as severity, risk, or vulnerability."
STRESS-CRITICAL-MATERIAL,SYS-WATER,NO CURRENT DEFENSIBLE PATH,No Phase 14 relationship or explicit Phase 15 scenario interaction selected in Phase 16A.,false,false,"Compatibility/pathway finding only; do not rank, sum, or interpret as severity, risk, or vulnerability."
