atlas_normalization_id,local_taxonomy_id,local_term,local_field,local_term_count,source_phase,source_artifact,normalized_relationship_class,directionality,causal_semantics,flow_semantics,Atlas_join_role,mapping_status,information_loss_or_caveat
RN-RT-0001,RT-0001,advisory_relationship,dependency_type,2,10,data/processed/analysis/governance_dependency_register.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0002,RT-0002,binational_dependency,dependency_type,1,10,data/processed/analysis/governance_dependency_register.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0003,RT-0003,control-without-direct-observation,dependency_type,1,10,data/processed/analysis/governance_dependency_register.csv,governance / authority,role_assignment,control or authority relation; not an observation edge or automatic enforcement,governance/control interface; no physical flow,governance role join,normalized_shared_class,"Control-without-direct-observation remains a governance/authority distinction, not information flow or automatic enforcement."
RN-RT-0004,RT-0004,emergency_coordination,dependency_type,1,10,data/processed/analysis/governance_dependency_register.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0005,RT-0005,funding_dependency,dependency_type,3,10,data/processed/analysis/governance_dependency_register.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0006,RT-0006,information_dependency,dependency_type,3,10,data/processed/analysis/governance_dependency_register.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0007,RT-0007,interstate_dependency,dependency_type,1,10,data/processed/analysis/governance_dependency_register.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0008,RT-0008,mandatory_coordination,dependency_type,2,10,data/processed/analysis/governance_dependency_register.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0009,RT-0009,monitoring-without-control,dependency_type,3,10,data/processed/analysis/governance_dependency_register.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0010,RT-0010,overlapping_authority,dependency_type,1,10,data/processed/analysis/governance_dependency_register.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0011,RT-0011,public_private_dependency,dependency_type,3,10,data/processed/analysis/governance_dependency_register.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0012,RT-0012,sequential_authority,dependency_type,2,10,data/processed/analysis/governance_dependency_register.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0013,RT-0013,split_responsibility,dependency_type,1,10,data/processed/analysis/governance_dependency_register.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0014,RT-0014,voluntary_coordination,dependency_type,1,10,data/processed/analysis/governance_dependency_register.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0015,RT-0015,advisory_relationship,dependency_type,2,10,data/processed/networks/governance_dependency_edges.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0016,RT-0016,binational_dependency,dependency_type,1,10,data/processed/networks/governance_dependency_edges.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0017,RT-0017,control-without-direct-observation,dependency_type,1,10,data/processed/networks/governance_dependency_edges.csv,governance / authority,role_assignment,control or authority relation; not an observation edge or automatic enforcement,governance/control interface; no physical flow,governance role join,normalized_shared_class,"Control-without-direct-observation remains a governance/authority distinction, not information flow or automatic enforcement."
RN-RT-0018,RT-0018,emergency_coordination,dependency_type,1,10,data/processed/networks/governance_dependency_edges.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0019,RT-0019,funding_dependency,dependency_type,3,10,data/processed/networks/governance_dependency_edges.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0020,RT-0020,information_dependency,dependency_type,3,10,data/processed/networks/governance_dependency_edges.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0021,RT-0021,interstate_dependency,dependency_type,1,10,data/processed/networks/governance_dependency_edges.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0022,RT-0022,mandatory_coordination,dependency_type,2,10,data/processed/networks/governance_dependency_edges.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0023,RT-0023,monitoring-without-control,dependency_type,3,10,data/processed/networks/governance_dependency_edges.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0024,RT-0024,overlapping_authority,dependency_type,1,10,data/processed/networks/governance_dependency_edges.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0025,RT-0025,public_private_dependency,dependency_type,3,10,data/processed/networks/governance_dependency_edges.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0026,RT-0026,sequential_authority,dependency_type,2,10,data/processed/networks/governance_dependency_edges.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0027,RT-0027,split_responsibility,dependency_type,1,10,data/processed/networks/governance_dependency_edges.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0028,RT-0028,voluntary_coordination,dependency_type,1,10,data/processed/networks/governance_dependency_edges.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0029,RT-0029,actor_system_role,relationship_type,100,10,data/processed/networks/governance_relationships.csv,governance / authority,role_assignment,"role, mandate, or coordination relation; not automatic operational control",governance role/interface; no physical flow,governance role join,normalized_shared_class,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control."
RN-RT-0030,RT-0030,advisory_relationship,dependency_type,12,10,data/processed/scenarios/governance_dependency_states_scenario.csv,scenario influence,scenario_delta,scenario assumption/state; not observed causation,no flow semantics,scenario-only join,normalized_shared_class,Scenario term remains separate from baseline fact and forecast language.
RN-RT-0031,RT-0031,binational_dependency,dependency_type,6,10,data/processed/scenarios/governance_dependency_states_scenario.csv,scenario influence,scenario_delta,scenario assumption/state; not observed causation,no flow semantics,scenario-only join,normalized_shared_class,Scenario term remains separate from baseline fact and forecast language.
