scenario_id,scenario_year,state_id,compound_id,hazard_a,hazard_b,affected_system,future_state,change_type,reality_status,relationship_basis,assumption_id,source_id,plausibility,notes
A2050,2050,CSC-A2050-01,heat_plus_power,heat,power,cross_system,pathway_remains_possible_but_buffered,qualitative_change,fictional,scenario_assumption,CSA-A2050-05,c9_nca_energy,limited,"Scenario interaction, not a probability or guaranteed co-occurrence."
A2050,2050,CSC-A2050-02,heat_plus_drought,heat,drought,cross_system,pathway_remains_possible_but_buffered,qualitative_change,fictional,scenario_assumption,CSA-A2050-06,c9_nca_midwest,limited,"Scenario interaction, not a probability or guaranteed co-occurrence."
A2050,2050,CSC-A2050-03,precip_plus_nutrient,precip,nutrient,cross_system,pathway_remains_possible_but_buffered,qualitative_change,fictional,scenario_assumption,CSA-A2050-01,c9_pnas_hab,limited,"Scenario interaction, not a probability or guaranteed co-occurrence."
A2050,2050,CSC-A2050-04,precip_plus_stormwater_wastewater,precip,stormwater_wastewater,cross_system,pathway_remains_possible_but_buffered,qualitative_change,fictional,scenario_assumption,CSA-A2050-02,c9_nca_midwest,limited,"Scenario interaction, not a probability or guaranteed co-occurrence."
A2050,2050,CSC-A2050-05,high_lake_plus_seiche,high_lake,seiche,cross_system,pathway_remains_possible_but_buffered,qualitative_change,fictional,scenario_assumption,CSA-A2050-03,c9_epa_great_lakes,limited,"Scenario interaction, not a probability or guaranteed co-occurrence."
A2050,2050,CSC-A2050-06,flood_plus_freight,flood,freight,cross_system,pathway_remains_possible_but_buffered,qualitative_change,fictional,scenario_assumption,CSA-A2050-04,c9_nca_midwest,limited,"Scenario interaction, not a probability or guaranteed co-occurrence."
A2050,2050,CSC-A2050-07,freeze_thaw_plus_infrastructure,freeze_thaw,infrastructure,cross_system,pathway_remains_possible_but_buffered,qualitative_change,fictional,scenario_assumption,CSA-A2050-05,c9_nca_midwest,limited,"Scenario interaction, not a probability or guaranteed co-occurrence."
A2050,2050,CSC-A2050-08,storm_plus_power_communications,storm,power_communications,cross_system,pathway_remains_possible_but_buffered,qualitative_change,fictional,scenario_assumption,CSA-A2050-06,c9_nca_energy,limited,"Scenario interaction, not a probability or guaranteed co-occurrence."
A2050,2050,CSC-A2050-09,drought_plus_ag_ecology,drought,ag_ecology,cross_system,pathway_remains_possible_but_buffered,qualitative_change,fictional,scenario_assumption,CSA-A2050-01,c9_nca_midwest,limited,"Scenario interaction, not a probability or guaranteed co-occurrence."
A2075,2075,CSC-A2075-01,heat_plus_power,heat,power,cross_system,pathway_remains_possible_but_buffered,qualitative_change,fictional,scenario_assumption,CSA-A2075-05,c9_nca_energy,limited,"Scenario interaction, not a probability or guaranteed co-occurrence."
