scenario_id,scenario_year,dimension,level,notes
A2050,2050,wetland_function,high,Qualitative scenario comparison; no probability or quantitative risk.
A2050,2050,aquatic_connectivity,high,Qualitative scenario comparison; no probability or quantitative risk.
A2050,2050,riparian_connectivity,high,Qualitative scenario comparison; no probability or quantitative risk.
A2050,2050,terrestrial_connectivity,high,Qualitative scenario comparison; no probability or quantitative risk.
A2050,2050,habitat_redundancy,high,Qualitative scenario comparison; no probability or quantitative risk.
A2050,2050,restoration_intensity,high,Qualitative scenario comparison; no probability or quantitative risk.
A2050,2050,disturbance_pressure,low,Qualitative scenario comparison; no probability or quantitative risk.
A2050,2050,agricultural_compatibility,moderate,Qualitative scenario comparison; no probability or quantitative risk.
A2050,2050,management_intensity,high,Qualitative scenario comparison; no probability or quantitative risk.
A2050,2050,monitoring_capacity,high,Qualitative scenario comparison; no probability or quantitative risk.
A2050,2050,ecological_uncertainty,moderate,Qualitative scenario comparison; no probability or quantitative risk.
A2050,2050,mobility_or_recolonization_support,high,Qualitative scenario comparison; no probability or quantitative risk.
A2075,2075,wetland_function,high,Qualitative scenario comparison; no probability or quantitative risk.
A2075,2075,aquatic_connectivity,high,Qualitative scenario comparison; no probability or quantitative risk.
A2075,2075,riparian_connectivity,high,Qualitative scenario comparison; no probability or quantitative risk.
A2075,2075,terrestrial_connectivity,high,Qualitative scenario comparison; no probability or quantitative risk.
A2075,2075,habitat_redundancy,high,Qualitative scenario comparison; no probability or quantitative risk.
A2075,2075,restoration_intensity,high,Qualitative scenario comparison; no probability or quantitative risk.
A2075,2075,disturbance_pressure,low,Qualitative scenario comparison; no probability or quantitative risk.
A2075,2075,agricultural_compatibility,moderate,Qualitative scenario comparison; no probability or quantitative risk.
A2075,2075,management_intensity,high,Qualitative scenario comparison; no probability or quantitative risk.
A2075,2075,monitoring_capacity,high,Qualitative scenario comparison; no probability or quantitative risk.
A2075,2075,ecological_uncertainty,moderate,Qualitative scenario comparison; no probability or quantitative risk.
A2075,2075,mobility_or_recolonization_support,high,Qualitative scenario comparison; no probability or quantitative risk.
B2050,2050,wetland_function,moderate,Qualitative scenario comparison; no probability or quantitative risk.
B2050,2050,aquatic_connectivity,moderate,Qualitative scenario comparison; no probability or quantitative risk.
B2050,2050,riparian_connectivity,moderate,Qualitative scenario comparison; no probability or quantitative risk.
B2050,2050,terrestrial_connectivity,moderate,Qualitative scenario comparison; no probability or quantitative risk.
B2050,2050,habitat_redundancy,moderate,Qualitative scenario comparison; no probability or quantitative risk.
B2050,2050,restoration_intensity,moderate,Qualitative scenario comparison; no probability or quantitative risk.
B2050,2050,disturbance_pressure,moderate,Qualitative scenario comparison; no probability or quantitative risk.
B2050,2050,agricultural_compatibility,high,Qualitative scenario comparison; no probability or quantitative risk.
B2050,2050,management_intensity,moderate,Qualitative scenario comparison; no probability or quantitative risk.
B2050,2050,monitoring_capacity,moderate,Qualitative scenario comparison; no probability or quantitative risk.
B2050,2050,ecological_uncertainty,moderate,Qualitative scenario comparison; no probability or quantitative risk.
B2050,2050,mobility_or_recolonization_support,moderate,Qualitative scenario comparison; no probability or quantitative risk.
B2075,2075,wetland_function,moderate,Qualitative scenario comparison; no probability or quantitative risk.
B2075,2075,aquatic_connectivity,moderate,Qualitative scenario comparison; no probability or quantitative risk.
B2075,2075,riparian_connectivity,moderate,Qualitative scenario comparison; no probability or quantitative risk.
B2075,2075,terrestrial_connectivity,moderate,Qualitative scenario comparison; no probability or quantitative risk.
B2075,2075,habitat_redundancy,moderate,Qualitative scenario comparison; no probability or quantitative risk.
B2075,2075,restoration_intensity,moderate,Qualitative scenario comparison; no probability or quantitative risk.
B2075,2075,disturbance_pressure,moderate,Qualitative scenario comparison; no probability or quantitative risk.
B2075,2075,agricultural_compatibility,high,Qualitative scenario comparison; no probability or quantitative risk.
B2075,2075,management_intensity,moderate,Qualitative scenario comparison; no probability or quantitative risk.
B2075,2075,monitoring_capacity,moderate,Qualitative scenario comparison; no probability or quantitative risk.
B2075,2075,ecological_uncertainty,moderate,Qualitative scenario comparison; no probability or quantitative risk.
B2075,2075,mobility_or_recolonization_support,moderate,Qualitative scenario comparison; no probability or quantitative risk.
C2050,2050,wetland_function,low,Qualitative scenario comparison; no probability or quantitative risk.
C2050,2050,aquatic_connectivity,low,Qualitative scenario comparison; no probability or quantitative risk.
C2050,2050,riparian_connectivity,low,Qualitative scenario comparison; no probability or quantitative risk.
C2050,2050,terrestrial_connectivity,low,Qualitative scenario comparison; no probability or quantitative risk.
C2050,2050,habitat_redundancy,low,Qualitative scenario comparison; no probability or quantitative risk.
C2050,2050,restoration_intensity,low,Qualitative scenario comparison; no probability or quantitative risk.
C2050,2050,disturbance_pressure,high,Qualitative scenario comparison; no probability or quantitative risk.
C2050,2050,agricultural_compatibility,moderate,Qualitative scenario comparison; no probability or quantitative risk.
C2050,2050,management_intensity,high,Qualitative scenario comparison; no probability or quantitative risk.
C2050,2050,monitoring_capacity,low,Qualitative scenario comparison; no probability or quantitative risk.
C2050,2050,ecological_uncertainty,high,Qualitative scenario comparison; no probability or quantitative risk.
C2050,2050,mobility_or_recolonization_support,low,Qualitative scenario comparison; no probability or quantitative risk.
C2075,2075,wetland_function,low,Qualitative scenario comparison; no probability or quantitative risk.
C2075,2075,aquatic_connectivity,low,Qualitative scenario comparison; no probability or quantitative risk.
C2075,2075,riparian_connectivity,low,Qualitative scenario comparison; no probability or quantitative risk.
C2075,2075,terrestrial_connectivity,low,Qualitative scenario comparison; no probability or quantitative risk.
C2075,2075,habitat_redundancy,low,Qualitative scenario comparison; no probability or quantitative risk.
C2075,2075,restoration_intensity,low,Qualitative scenario comparison; no probability or quantitative risk.
C2075,2075,disturbance_pressure,high,Qualitative scenario comparison; no probability or quantitative risk.
C2075,2075,agricultural_compatibility,moderate,Qualitative scenario comparison; no probability or quantitative risk.
C2075,2075,management_intensity,high,Qualitative scenario comparison; no probability or quantitative risk.
C2075,2075,monitoring_capacity,low,Qualitative scenario comparison; no probability or quantitative risk.
C2075,2075,ecological_uncertainty,high,Qualitative scenario comparison; no probability or quantitative risk.
