dependency_id,object_a,object_b,system_a,system_b,relationship_type,documented_or_inferred,relationship_basis,spatial_scale,evidence_strength,source_id,confidence,reality_status,canon_status,notes
VDE-001,temperature,mosquito_seasonal_development,climate,vector_ecology,seasonal_development,documented,documented_relationship,station/regional,moderate,v12_osu_culex,moderate,real,verified,Temperature affects development timing in cited species ecology; no regional thermal model.
VDE-002,temperature,Aedes_lifecycle,climate,vector_ecology,seasonal_development,documented,documented_relationship,regional,moderate,v12_in_ae_albopictus,moderate,real,verified,Indiana reports a shorter lifecycle during high temperatures; no threshold surface.
VDE-003,temperature,Ixodes_activity,climate,vector_ecology,seasonal_development,documented,documented_relationship,regional,moderate,v12_cdc_ixodes,moderate,real,verified,Above-freezing winter adult questing context is not an activity probability.
VDE-004,precipitation,temporary_standing_water,climate,hydrology,habitat_opportunity,documented_plus_inferred,physical_plausibility_plus_source_habitat,station/wetland/watershed,moderate,phase1_hydrology_context,limited,real,inferred,Precipitation can create or replenish water-holding habitat; project relationship is qualitative.
VDE-005,standing_water,mosquito_habitat,hydrology,vector_ecology,habitat_association,documented,documented_relationship,wetland/ditch/container,strong,v12_ohio_mosquitoes,high,real,verified,Standing-water habitat association is distinct from abundance.
VDE-006,wetlands,mosquito_habitat,ecology,vector_ecology,habitat_interface,documented_plus_inferred,accepted_context_plus_source_habitat,wetland/watershed,moderate,phase6_ecology_context,moderate,real,inferred,Accepted wetland context is generalized and does not mark vector detections.
VDE-007,urban_containers,Aedes_albopictus,settlement,vector_ecology,container_habitat,documented,documented_relationship,urban/suburban,strong,v12_ohio_mosquitoes,high,real,verified,Containers support habitat association; no parcel inventory or local abundance.
VDE-008,urban_containers,Aedes_japonicus,settlement,vector_ecology,container_habitat,documented,documented_relationship,study-area/generalized,moderate,v12_ohio_ae_japonicus,moderate,real,verified,Study-area container records are not a Western Basin distribution surface.
VDE-009,forest_edge,Ixodes_host_interface,ecology,vector_ecology,questing_habitat,documented,documented_relationship,forest/edge,moderate,v12_cdc_ticks_live,moderate,real,verified,"Forest/edge habitat is a generalized host-seeking interface, not an exact route."
VDE-010,forest_edge,Aedes_triseriatus,ecology,vector_ecology,woodland_habitat,documented,documented_relationship,woodland/park,moderate,v12_ohio_mosquitoes,moderate,real,verified,Wooded habitat context is distinct from human contact.
VDE-011,host_ecology,mosquito_lifecycle,ecology,vector_ecology,host_association,documented,documented_relationship,regional ecology,moderate,v12_cdc_wnv_about,moderate,real,verified,Bird–mosquito context is retained without human infection or disease modeling.
VDE-012,host_ecology,tick_lifecycle,ecology,vector_ecology,host_association,documented,documented_relationship,regional ecology,moderate,v12_cdc_ticks_live,moderate,real,verified,Host ecology supports lifecycle context; host presence is not contact.
VDE-013,population_concentration,potential_contact_interface,population_settlement,vector_ecology,potential_interface,inferred,project_system_inference,county/place/generalized,limited,phase11_population_context,limited,real,inferred,Population concentration can identify a potential interface for planning; it does not establish contact or exposure.
VDE-014,workplace_settlement,potential_contact_interface,population_mobility,vector_ecology,potential_interface,inferred,project_system_inference,county/place/generalized,limited,phase11_population_context,limited,real,inferred,"Workplace/residence context is not passenger surveillance, contact, or infection."
VDE-015,mosquito_surveillance,vector_detection,surveillance,vector_ecology,detection_interface,documented,documented_program,state/county/agency,strong,v12_ohio_vector_update,high,real,verified,Surveillance programs produce detection records with method and effort limitations.
VDE-016,tick_surveillance,Ixodes_county_status,surveillance,vector_ecology,detection_interface,documented,documented_program,county,strong,v12_cdc_tick_sets,high,real,verified,CDC status definitions retain established/reported/no-record and non-absence rules.
VDE-017,vector_detection,decision_interface,surveillance,governance,information_to_decision,inferred,project_system_inference,agency/county/state,moderate,phase10_governance_context,limited,real,inferred,Detection can inform decisions; monitoring is not control and does not guarantee complete detection.
VDE-018,data_sensors,surveillance_detection,information,surveillance,observation_interface,documented_plus_inferred,accepted_context_plus_program_records,station/program/county,moderate,phase4_data_context,moderate,real,inferred,Observation methods and coverage shape detection; no completeness claim.
VDE-019,climate_hazards,seasonal_habitat_context,climate,vector_ecology,environmental_driver,documented_plus_inferred,accepted_context_plus_source_habitat,station/county/wetland,moderate,phase9_climate_context,limited,real,inferred,Accepted climate observations are cross-linked without future range or hazard-surface modeling.
VDE-020,hydrography_wetlands,standing_water_context,hydrology,vector_ecology,environmental_driver,accepted_context_plus_inferred,accepted_layer_plus_physical_plausibility,watershed/wetland,moderate,phase1_hydrology_context,limited,real,inferred,Hydrography is not a mosquito occurrence layer.
VDE-021,ecology_landscape,host_habitat_context,ecology,vector_ecology,habitat_interface,accepted_context_plus_inferred,accepted_layer_plus_ecological_reasoning,regional/forest/wetland,moderate,phase6_ecology_context,limited,real,inferred,Ecology context is not a host-density or vector-abundance model.
