state_id,scenario_id,scenario,horizon,baseline_object_id,baseline_association_id,habitat_relationship,vector_group,current_fact,future_suitability_state,habitat_opportunity_state,spatial_pattern,change_type,assumption_id,source_or_basis,plausibility,uncertainty,reality_status,canon_status,relationship_basis,notes
HABSTATE-001-A2050,A2050,Managed Ecological Adaptation,2050,VEC-009,HAB-003,urban_container_habitat,mosquito,CURRENT FACT (2026 baseline): Ohio and Indiana sources identify artificial/natural container habitats.,"SCENARIO SUITABILITY: potential opportunity is reduced in selected maintained interfaces; this is potential opportunity, not observed future suitability.",management constrains persistent opportunity while episodic habitat remains possible,selected targeted maintenance and monitoring,managed_opportunity_reduced,VEFA-A2050-02,VFS-005,moderate,moderate,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-002-A2050,A2050,Managed Ecological Adaptation,2050,VEC-001,HAB-001,catch_basin_stagnant_water,mosquito,CURRENT FACT (2026 baseline): Ohio source documents widespread presence and these breeding contexts.,"SCENARIO SUITABILITY: potential opportunity is reduced in selected maintained interfaces; this is potential opportunity, not observed future suitability.",management constrains persistent opportunity while episodic habitat remains possible,selected targeted maintenance and monitoring,managed_opportunity_reduced,VEFA-A2050-01,VFS-002,moderate,moderate,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-003-A2050,A2050,Managed Ecological Adaptation,2050,VEC-008,HAB-011,wetland_standing_water,mosquito/tick interface,CURRENT FACT (2026 baseline): Source-supported habitat logic is cross-linked to accepted hydrology; spatial vector response remains an inference.,"SCENARIO SUITABILITY: environmental opportunity is tracked through emerging adaptive monitoring; this is potential opportunity, not observed future suitability.",conditions remain variable and are not converted to a habitat surface,coordinated but generalized basin interfaces,adaptive_monitoring_strengthened,VEFA-A2050-01,VFS-014,moderate,moderate,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-004-A2050,A2050,Managed Ecological Adaptation,2050,VEC-011,HAB-011,ditch_floodplain_water,mosquito,CURRENT FACT (2026 baseline): Source-supported habitat logic is cross-linked to accepted hydrology; spatial vector response remains an inference.,"SCENARIO SUITABILITY: potential opportunity is reduced in selected maintained interfaces; this is potential opportunity, not observed future suitability.",management constrains persistent opportunity while episodic habitat remains possible,selected targeted maintenance and monitoring,managed_opportunity_reduced,VEFA-A2050-01,VFS-014,moderate,moderate,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-005-A2050,A2050,Managed Ecological Adaptation,2050,VEC-010,HAB-007,forest_edge_humidity,tick/mosquito,CURRENT FACT (2026 baseline): CDC describes questing and broad eastern distribution.,"SCENARIO SUITABILITY: potential humid-edge opportunity is managed selectively; this is potential opportunity, not observed future suitability.",stewardship changes local edge conditions without eliminating habitat,selected managed forest/edge interfaces,edge_stewardship_increased,VEFA-A2050-03,VFS-008,moderate,moderate,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-006-A2050,A2050,Managed Ecological Adaptation,2050,VEC-012,HAB-012,host_ecology,mosquito/tick,CURRENT FACT (2026 baseline): Host-seeking and life-stage context are retained from CDC tick ecology sources.,"SCENARIO SUITABILITY: environmental opportunity is tracked through emerging adaptive monitoring; this is potential opportunity, not observed future suitability.",conditions remain variable and are not converted to a habitat surface,coordinated but generalized basin interfaces,adaptive_monitoring_strengthened,VEFA-A2050-03,VFS-008,moderate,moderate,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-007-A2050,A2050,Managed Ecological Adaptation,2050,VEC-013,HAB-015,temperature_seasonality,mosquito/tick,CURRENT FACT (2026 baseline): OSU describes temperature-linked larval duration and overwintering/emergence context.,"SCENARIO SUITABILITY: environmental opportunity is tracked through emerging adaptive monitoring; this is potential opportunity, not observed future suitability.",conditions remain variable and are not converted to a habitat surface,coordinated but generalized basin interfaces,adaptive_monitoring_strengthened,VEFA-A2050-01,VFS-002,moderate,moderate,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-008-A2050,A2050,Managed Ecological Adaptation,2050,VEC-014,HAB-011,precipitation_hydrology,mosquito,CURRENT FACT (2026 baseline): Source-supported habitat logic is cross-linked to accepted hydrology; spatial vector response remains an inference.,"SCENARIO SUITABILITY: environmental opportunity is tracked through emerging adaptive monitoring; this is potential opportunity, not observed future suitability.",conditions remain variable and are not converted to a habitat surface,coordinated but generalized basin interfaces,adaptive_monitoring_strengthened,VEFA-A2050-01,VFS-014,moderate,moderate,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-001-A2075,A2075,Managed Ecological Adaptation,2075,VEC-009,HAB-003,urban_container_habitat,mosquito,CURRENT FACT (2026 baseline): Ohio and Indiana sources identify artificial/natural container habitats.,"SCENARIO SUITABILITY: potential opportunity is constrained by routine maintenance in selected priority interfaces; this is potential opportunity, not observed future suitability.",recurring drainage and container maintenance limits persistent opportunity while episodic habitat remains possible,routine selected maintenance and adaptive review,managed_opportunity_routinized,VEFA-A2075-02,VFS-005,moderate,moderate,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
HABSTATE-002-A2075,A2075,Managed Ecological Adaptation,2075,VEC-001,HAB-001,catch_basin_stagnant_water,mosquito,CURRENT FACT (2026 baseline): Ohio source documents widespread presence and these breeding contexts.,"SCENARIO SUITABILITY: potential opportunity is constrained by routine maintenance in selected priority interfaces; this is potential opportunity, not observed future suitability.",recurring drainage and container maintenance limits persistent opportunity while episodic habitat remains possible,routine selected maintenance and adaptive review,managed_opportunity_routinized,VEFA-A2075-01,VFS-002,moderate,moderate,fictional,scenario,scenario_assumption,"Habitat relationship is generalized; no precise polygon, vector count, abundance estimate, establishment claim, or human-risk inference is made."
