source_id,title,url,source_type,evidence_role,publication_or_update,retrieval_date,geographic_scope,use_limitations,retrieval_status
s01_epa_sdwa,National Primary Drinking Water Regulations,https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations,federal_regulation,national drinking-water standards context,current page,2026-09-04,United States,Standards context; not a facility-specific operating record.,retrieved
s02_ohio_pws,Understanding Public Water Systems,https://epa.ohio.gov/divisions-and-offices/drinking-and-ground-waters/public-water-systems,state_program,Ohio public-water regulation and monitoring,current page,2026-09-04,Ohio,Program description does not assign a role to every local actor.,retrieved
s03_toledo_treatment,City of Toledo Water Treatment,https://toledo.oh.gov/departments/public-works/water/water-treatment,municipal_primary_source,municipal ownership and operation,2020-06-19 page; current access,2026-09-04,Toledo service area,Operator description; not an independent legal opinion.,retrieved
s04_toledo_quality,City of Toledo Water Quality,https://toledo.oh.gov/residents/water/quality,municipal_primary_source,water-quality monitoring and reporting,updated 2026-06-01,2026-09-04,Toledo service area,Public reporting and monitoring context; no undisclosed threshold is modeled.,retrieved
s05_ohio_npdes,Ohio EPA DSW Permitting,https://epa.ohio.gov/divisions-and-offices/surface-water/permitting,state_regulatory_program,"NPDES, PTI, 401, and isolated-wetland permitting",current page,2026-09-04,Ohio,Program scope is not a facility-specific permit determination.,retrieved
s06_usgs_data,Water Data for the Nation,https://waterdata.usgs.gov/,federal_observing_system,water observations and data,current page,2026-09-04,United States,Observation and data access do not confer regulatory or operating authority.,retrieved
s07_usace_regulatory,Civil Works Regulatory Program and Permits,https://www.usace.army.mil/Missions/Civil-Works/Regulatory-Program-and-Permits/,federal_regulatory_program,aquatic permitting and compliance context,current page,2026-09-04,United States / federal program,Specific jurisdiction depends on the activity and applicable law.,retrieved
s07_glerl,NOAA Great Lakes Environmental Research Laboratory,https://www.glerl.noaa.gov/,federal_scientific_program,"Great Lakes research, observing, and information",current page,2026-09-04,Great Lakes,Research products inform decisions; they are not legal decisions or local operations.,retrieved
s08_usfws_nwi,National Wetlands Inventory,https://www.fws.gov/program/national-wetlands-inventory,federal_dataset_program,wetland mapping and monitoring,current page,2026-09-04,United States,Inventory and status information do not by themselves determine regulatory jurisdiction or wetland condition.,retrieved
s09_ohio_air,Ohio EPA Air Pollution Control,https://epa.ohio.gov/divisions-and-offices/air-pollution-control,state_regulatory_program,"air permitting, enforcement, and monitoring",current page,2026-09-04,Ohio,Program description is not a site-specific permit finding.,retrieved
s10_h2ohio,H2Ohio — Ohio's Strategy for Clean Water,https://h2.ohio.gov/,state_program,state water-quality program and incentive pathway,current page,2026-09-04,Ohio / Maumee context,Program and incentive language is not treated as a universal enforceable farm obligation or achieved reduction.,retrieved
s11_nrcs_ohio,NRCS Ohio,https://www.nrcs.usda.gov/ohio,federal_assistance_program,technical and financial conservation assistance,current page,2026-09-04,Ohio,Assistance and advisory roles are not general regulation.,retrieved
