node_id,name,node_class,disease_group,pathogen_or_agent,transmission_pathway,environment_or_host_interface,geographic_scale,latitude,longitude,source_id,evidence_status,confidence,reality_status,canon_status,notes
DID-001,West Nile virus system,disease_system,vector-borne,West Nile virus,mosquito-mediated enzootic cycle with human infection as a distinct endpoint,"Culex/vector, bird-host, human, and seasonal environmental interfaces",state/county/program; human case geography may be residence,,,s13_cdc_wnv,documented_system,high,real,verified,"Included as a distinct vector-borne surveillance system; positive pools, human cases, infection, and local transmission remain separate; a vector record is not a human infection and is not local transmission."
DID-002,Lyme disease system,disease_system,vector-borne,Borrelia burgdorferi sensu lato; Ixodes scapularis interface,tick-mediated transmission with human case surveillance as a separate stream,"Ixodes, forest/edge, vertebrate hosts, and human interface",county/state; case surveillance commonly uses residence geography,,,s13_cdc_lyme,documented_system,high,real,verified,Uses accepted Phase 12 tick ecology context without reconstructing vector abundance or human exposure location.
DID-003,Legionellosis system,disease_system,waterborne/environmental,Legionella bacteria; Legionnaires' disease and Pontiac fever,inhalation of aerosolized water or droplets; generally not person-to-person,"building water systems, cooling/aerosol interfaces, and healthcare settings",jurisdiction/national; investigation-specific exposure setting,,,s13_cdc_legionella_about,documented_system,high,real,verified,"A building-water pathway is not a contamination, treatment-failure, exposure, infection, or illness finding by itself."
DID-004,Waterborne enteric disease system,disease_system,waterborne/environmental,"multiple enteric agents including norovirus, Giardia, Cryptosporidium, and bacteria","ingestion, contact, or other water-associated pathways established through investigation","drinking water, recreational water, and environmental water interfaces",outbreak investigation / state-local-territorial reporting,,,s13_cdc_water_surv,documented_system,high,real,verified,"Retained as a distinct multi-agent system; no nutrient, bloom, indicator, or infrastructure-age-to-illness inference is made."
DID-005,Salmonella infection system,disease_system,foodborne/enteric,Salmonella,"foodborne, environmental, animal-contact, and person-to-person pathways","food, clinical laboratory, animal, and outbreak-investigation interfaces",state/territorial/national; case and laboratory reporting,,,s13_cdc_enteric,documented_system,high,real,verified,"Kept distinct from Campylobacter, STEC, and outbreak records; it is not a composite disease-risk score and no composite enteric burden is created."
DID-006,Campylobacter infection system,disease_system,foodborne/enteric,Campylobacter,foodborne and other enteric pathways,"food, clinical laboratory, and state/territorial laboratory interfaces",state/territorial/national; laboratory-based reporting,,,s13_cdc_enteric,documented_system,high,real,verified,FoodNet/LEDS/NNDSS system context is retained without treating surveillance coverage as all community infections.
DID-007,Shiga toxin-producing E. coli system,disease_system,foodborne/enteric,Shiga toxin-producing Escherichia coli (STEC),"foodborne, water/environmental, animal-contact, and person-to-person pathways","food, animal, water, clinical laboratory, and outbreak interfaces",state/territorial/national; laboratory and case reporting,,,s13_cdc_enteric,documented_system,high,real,verified,STEC O157 and non-O157 distinctions remain source-dependent; no illness or exposure location is inferred.
DID-008,Seasonal influenza system,disease_system,respiratory,influenza A and B viruses,"respiratory transmission with laboratory, outpatient, hospital, and mortality observation streams","community, healthcare, laboratory, and sentinel-provider interfaces",national/HHS region/state; stream-specific,,,s13_cdc_flu_methods,documented_system,high,real,verified,"Included as a surveillance-system example, not a single transmission-rate or pandemic reconstruction."
DID-009,SARS-CoV-2 community surveillance system,disease_system,respiratory,SARS-CoV-2,respiratory transmission with wastewater and clinical surveillance interfaces,"community/sewershed, laboratory, healthcare, and public-health interfaces",sewershed/community/state/regional/national,,,s13_cdc_wastewater,documented_system,high,real,verified,"Wastewater is an observation stream; it does not supply an infection count, individual exposure estimate, or risk surface."
DID-010,Rabies system,disease_system,zoonotic,rabies virus,animal bite/scratch or saliva exposure with human and animal endpoints distinct,"wildlife, domestic animal, animal-control, laboratory, and PEP interfaces",animal/state/national; exposure investigation-specific,,,s13_cdc_rabies,documented_system,high,real,verified,"Animal infection, potential exposure, PEP, human infection, and human disease remain separate records."
DID-011,Healthcare-associated infection system,disease_system,healthcare/institutional,multiple healthcare-associated pathogens,healthcare-associated acquisition and facility surveillance pathways,"healthcare facilities, infection prevention, laboratory, and public reporting interfaces",facility/state/regional/national,,,s13_cdc_nhsn,documented_system,high,real,verified,"Generalized HAI system only; no facility ranking, performance score, patient data, or community-incidence inference."
DID-012,Antimicrobial-resistance surveillance system,disease_system,healthcare/institutional,multiple antimicrobial-resistant bacteria and fungi,resistance detection and healthcare/community surveillance pathways,"clinical laboratory, healthcare, public-health laboratory, and response interfaces",facility/state/regional/national,,,s13_cdc_ar,documented_system,moderate,real,verified,Generalized AR surveillance context only; national threat estimates are not Western Basin observations.
DID-013,HAB toxic/noninfectious boundary,boundary_interface,noninfectious environmental health,cyanobacterial toxins and other HAB-associated hazards,toxic/environmental pathways kept separate from infection,"source water, recreational water, monitoring, and treatment interfaces",lake/source-water/recreational-water program,,,phase7_exposure,documented_boundary,high,real,verified,"HAB context is not placed in the infectious-disease pathogen set; contamination, toxin exposure, and illness remain separate; it is not a disease-risk index and is not a risk surface."
SUR-001,NNDSS case-surveillance interface,surveillance_system,cross-cutting,nationally notifiable conditions,"case reporting from state, local, tribal, and territorial health departments","healthcare, laboratory, public-health, and jurisdictional reporting",state/territorial/national,,,s13_nndss_about,documented_program,high,real,verified,NNDSS collects case-surveillance data; disease-specific definitions and completeness are not interchangeable.
SUR-002,State and local reportable-disease systems,surveillance_system,cross-cutting,reportable infectious conditions,"provider, laboratory, and public-health reporting","state/local health departments, hospitals, laboratories, and reporting forms",state/county/jurisdiction,,,s13_ind_reportable,documented_program,high,real,verified,"Ohio, Michigan, and Indiana reporting systems are retained as jurisdictional interfaces; no uniform three-state denominator is assumed."
SUR-003,ArboNET and mosquito surveillance interface,surveillance_system,vector-borne,West Nile virus and other arbovirus vector/animal/human streams,"mosquito trapping, pooled testing, animal and human reporting",agency/county/state,agency/county/state,,,s13_cdc_wnv,documented_program,high,real,verified,"Reuses Phase 12 vector context; vector detection, pathogen-positive pools, human infection, and cases remain separate."
SUR-004,Legionellosis surveillance interface,surveillance_system,waterborne/environmental,Legionellosis,case reporting and supplemental exposure/source information,jurisdiction/national; investigation-specific setting,jurisdiction/national,,,s13_cdc_legionella_surv,documented_program,high,real,verified,CDC describes two national surveillance systems and reports provisional periods; this package does not reconstruct case counts.
SUR-005,Waterborne and foodborne outbreak reporting,surveillance_system,waterborne/foodborne,multiple agents and outbreak types,epidemiologic investigation and outbreak reporting,state/local/territorial outbreak and exposure setting,state/local/territorial,,,s13_cdc_nors,documented_program,high,real,verified,Outbreak reporting requires an investigation context; it is not a continuous incidence denominator.
SUR-006,National enteric laboratory and case surveillance,surveillance_system,foodborne/enteric,"Campylobacter, Salmonella, Shigella, STEC and other enteric conditions",clinical and public-health laboratory reporting plus case-based surveillance,state/territorial public-health laboratory and NNDSS/SEDRIC,state/territorial/national,,,s13_cdc_enteric,documented_program,high,real,verified,Laboratory-identified infections and case records do not capture all infections or identify exposure location by default.
SUR-007,FoodNet active surveillance interface,surveillance_system,foodborne/enteric,eight foodborne pathogens,active communication with clinical laboratories and detailed infection follow-up,FoodNet surveillance area / ten state health departments,FoodNet surveillance area,,,s13_cdc_foodnet,documented_program,high,real,verified,"FoodNet coverage and post-2025 reporting changes make it complementary to, not interchangeable with, NNDSS/LEDS."
SUR-008,FluView and influenza surveillance components,surveillance_system,respiratory,influenza A/B,"laboratory, outpatient, hospitalization, mortality, and other reporting streams",national/HHS region/state and sentinel stream,national/HHS region/state,,,s13_cdc_flu_methods,documented_program,high,real,verified,"Testing, sentinel outpatient, hospital, and mortality streams have distinct denominators and interpretations."
SUR-009,CDC wastewater monitoring,surveillance_system,respiratory,SARS-CoV-2 and other tracked respiratory viruses,sewershed wastewater sampling and viral measurement,sewershed/community/state/regional/national,sewershed/community/state/regional,,,s13_cdc_wastewater,documented_program,high,real,verified,"Community-level observation and early warning are not an infection count, incidence rate, or individual risk measure."
SUR-010,Animal rabies and human PEP interface,surveillance_system,zoonotic,rabies virus,"animal testing, exposure assessment, and post-exposure prophylaxis",animal-control/veterinary/public-health and exposure investigation,animal/state/exposure investigation,,,s13_cdc_rabies,documented_program,high,real,verified,Animal test results and PEP are response records; neither is substituted for human infection or disease burden.
SUR-011,NHSN healthcare-associated infection surveillance,surveillance_system,healthcare/institutional,HAIs and facility measures,facility reporting and standardized HAI measures,facility/state/regional/national,facility/state/regional/national,,,s13_cdc_nhsn,documented_program,high,real,verified,The system supports facility and public-health reporting; participation is not a community denominator.
SUR-012,Antimicrobial-resistance observation/response interface,surveillance_system,healthcare/institutional,antimicrobial-resistant bacteria and fungi,clinical laboratory and public-health surveillance,facility/state/regional/national,facility/state/regional/national,,,s13_cdc_ar,documented_program,moderate,real,verified,Retained at generalized system level; no local AR prevalence or facility ranking is generated.
ENV-001,Drinking and recreational water interface,environmental_interface,waterborne/environmental,water-associated pathogens and noninfectious agents,ingestion/contact/aerosol pathways requiring evidence,"source water, finished water, recreational water, and investigation setting",source/recreational-water/program,,,phase7_exposure,accepted_context,high,real,verified,"Source-water condition, treatment, exposure, infection, and reported illness remain separate states."
ENV-002,Building water and aerosol interface,environmental_interface,waterborne/environmental,Legionella and building-water pathogens,aerosol/droplet inhalation and healthcare/building-water interface,"building water systems, cooling/aerosol, healthcare",building/healthcare/investigation,,,s13_cdc_legionella_about,documented_context,high,real,verified,"No building-specific sampling, contamination, exposure, or illness claim is made."
ENV-003,"Food, animal, and environmental interface",environmental_interface,foodborne/zoonotic,enteric pathogens and rabies virus as separate systems,"foodborne, animal-contact, environmental, and bite/scratch pathways","food chain, wildlife/domestic animals, laboratories, and investigations",regional/state/program,,,s13_cdc_nors,documented_context,high,real,verified,The shared interface does not merge unlike pathogens or assert a common burden.
ENV-004,Respiratory community and wastewater interface,environmental_interface,respiratory,"influenza, SARS-CoV-2, and other tracked respiratory viruses",respiratory transmission observed through clinical and wastewater systems,"community, sewershed, laboratory, outpatient, and hospital interfaces",community/sewershed/state/regional,,,s13_cdc_wastewater,documented_context,high,real,verified,"Wastewater, testing, hospitalization, and case reports are complementary streams, not one transmission rate."
