scenario_id,scenario_year,control_state_id,baseline_object_id,control_domain,future_state,reality_status,assumption_id,source_id,notes
A2050,2050,BGS-C-A2050-01,BGC-001,control_or_retention_state,strengthened,fictional,BGSA-A2050-01,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
A2050,2050,BGS-C-A2050-02,BGC-004,control_or_retention_state,strengthened,fictional,BGSA-A2050-02,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
A2050,2050,BGS-C-A2050-03,BGC-005,control_or_retention_state,strengthened,fictional,BGSA-A2050-03,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
A2050,2050,BGS-C-A2050-04,BGC-007,control_or_retention_state,strengthened,fictional,BGSA-A2050-04,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
A2050,2050,BGS-C-A2050-05,BGC-008,control_or_retention_state,strengthened,fictional,BGSA-A2050-05,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
A2050,2050,BGS-C-A2050-06,BGC-010,control_or_retention_state,strengthened,fictional,BGSA-A2050-06,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
A2050,2050,BGS-C-A2050-07,BGC-013,control_or_retention_state,strengthened,fictional,BGSA-A2050-01,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
A2050,2050,BGS-C-A2050-08,BGC-014,control_or_retention_state,strengthened,fictional,BGSA-A2050-02,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
A2075,2075,BGS-C-A2075-01,BGC-001,control_or_retention_state,strengthened,fictional,BGSA-A2075-01,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
A2075,2075,BGS-C-A2075-02,BGC-004,control_or_retention_state,strengthened,fictional,BGSA-A2075-02,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
A2075,2075,BGS-C-A2075-03,BGC-005,control_or_retention_state,strengthened,fictional,BGSA-A2075-03,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
A2075,2075,BGS-C-A2075-04,BGC-007,control_or_retention_state,strengthened,fictional,BGSA-A2075-04,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
A2075,2075,BGS-C-A2075-05,BGC-008,control_or_retention_state,strengthened,fictional,BGSA-A2075-05,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
A2075,2075,BGS-C-A2075-06,BGC-010,control_or_retention_state,strengthened,fictional,BGSA-A2075-06,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
A2075,2075,BGS-C-A2075-07,BGC-013,control_or_retention_state,strengthened,fictional,BGSA-A2075-01,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
A2075,2075,BGS-C-A2075-08,BGC-014,control_or_retention_state,strengthened,fictional,BGSA-A2075-02,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
B2050,2050,BGS-C-B2050-01,BGC-001,control_or_retention_state,selective,fictional,BGSA-B2050-01,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
B2050,2050,BGS-C-B2050-02,BGC-004,control_or_retention_state,selective,fictional,BGSA-B2050-02,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
B2050,2050,BGS-C-B2050-03,BGC-005,control_or_retention_state,selective,fictional,BGSA-B2050-03,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
B2050,2050,BGS-C-B2050-04,BGC-007,control_or_retention_state,selective,fictional,BGSA-B2050-04,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
B2050,2050,BGS-C-B2050-05,BGC-008,control_or_retention_state,selective,fictional,BGSA-B2050-05,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
B2050,2050,BGS-C-B2050-06,BGC-010,control_or_retention_state,selective,fictional,BGSA-B2050-06,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
B2050,2050,BGS-C-B2050-07,BGC-013,control_or_retention_state,selective,fictional,BGSA-B2050-01,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
B2050,2050,BGS-C-B2050-08,BGC-014,control_or_retention_state,selective,fictional,BGSA-B2050-02,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
B2075,2075,BGS-C-B2075-01,BGC-001,control_or_retention_state,selective,fictional,BGSA-B2075-01,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
B2075,2075,BGS-C-B2075-02,BGC-004,control_or_retention_state,selective,fictional,BGSA-B2075-02,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
B2075,2075,BGS-C-B2075-03,BGC-005,control_or_retention_state,selective,fictional,BGSA-B2075-03,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
B2075,2075,BGS-C-B2075-04,BGC-007,control_or_retention_state,selective,fictional,BGSA-B2075-04,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
B2075,2075,BGS-C-B2075-05,BGC-008,control_or_retention_state,selective,fictional,BGSA-B2075-05,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
B2075,2075,BGS-C-B2075-06,BGC-010,control_or_retention_state,selective,fictional,BGSA-B2075-06,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
B2075,2075,BGS-C-B2075-07,BGC-013,control_or_retention_state,selective,fictional,BGSA-B2075-01,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
B2075,2075,BGS-C-B2075-08,BGC-014,control_or_retention_state,selective,fictional,BGSA-B2075-02,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
C2050,2050,BGS-C-C2050-01,BGC-001,control_or_retention_state,burden_increased,fictional,BGSA-C2050-01,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
C2050,2050,BGS-C-C2050-02,BGC-004,control_or_retention_state,burden_increased,fictional,BGSA-C2050-02,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
C2050,2050,BGS-C-C2050-03,BGC-005,control_or_retention_state,burden_increased,fictional,BGSA-C2050-03,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
C2050,2050,BGS-C-C2050-04,BGC-007,control_or_retention_state,burden_increased,fictional,BGSA-C2050-04,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
C2050,2050,BGS-C-C2050-05,BGC-008,control_or_retention_state,burden_increased,fictional,BGSA-C2050-05,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
C2050,2050,BGS-C-C2050-06,BGC-010,control_or_retention_state,burden_increased,fictional,BGSA-C2050-06,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
C2050,2050,BGS-C-C2050-07,BGC-013,control_or_retention_state,burden_increased,fictional,BGSA-C2050-01,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
C2050,2050,BGS-C-C2050-08,BGC-014,control_or_retention_state,burden_increased,fictional,BGSA-C2050-02,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
C2075,2075,BGS-C-C2075-01,BGC-001,control_or_retention_state,burden_increased,fictional,BGSA-C2075-01,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
C2075,2075,BGS-C-C2075-02,BGC-004,control_or_retention_state,burden_increased,fictional,BGSA-C2075-02,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
C2075,2075,BGS-C-C2075-03,BGC-005,control_or_retention_state,burden_increased,fictional,BGSA-C2075-03,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
C2075,2075,BGS-C-C2075-04,BGC-007,control_or_retention_state,burden_increased,fictional,BGSA-C2075-04,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
C2075,2075,BGS-C-C2075-05,BGC-008,control_or_retention_state,burden_increased,fictional,BGSA-C2075-05,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
C2075,2075,BGS-C-C2075-06,BGC-010,control_or_retention_state,burden_increased,fictional,BGSA-C2075-06,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
C2075,2075,BGS-C-C2075-07,BGC-013,control_or_retention_state,burden_increased,fictional,BGSA-C2075-01,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
C2075,2075,BGS-C-C2075-08,BGC-014,control_or_retention_state,burden_increased,fictional,BGSA-C2075-02,bge_ohio_h2ohio,Qualitative control state; effectiveness not quantified.
