state_id,scenario_id,scenario,horizon,archetype,baseline_system_ids,transmission_opportunity_state,environmental_interface_state,seasonal_or_contact_window,host_or_setting_interface,observability_boundary,current_fact,scenario_assumption,scenario_consequence,assumption_id,source_or_basis,plausibility,uncertainty,reality_status,canon_status,relationship_basis,notes
IDFT-A2050-vectorborne,A2050,Coordinated Prevention & Detection,2050,vector-borne,DID-001;DID-002,"selected seasonal vector, host, and human-interface opportunity is reduced or better buffered by prevention and continuity routines; residual opportunity remains (2050 emerging selective prevention and detection routines)","climate, hydrology, vector ecology, host, and settlement interfaces; selected maintenance and adaptation constrain some pathways",seasonal windows and host/vector interfaces; episodic or seasonal conditions remain possible,Culex/Ixodes ecology and aggregate settlement context; no individual contact or exposure is assigned,"Transmission opportunity is a qualitative systems interface; pathogen presence, exposure, infection, reported case, local transmission, outbreak, and disease burden remain separate.","CURRENT FACT (2026 baseline): West Nile virus system; Lyme disease system. Included as a distinct vector-borne surveillance system; positive pools, human cases, infection, and local transmission remain separate; a vector record is not a human infection and is not local transmission. Uses accepted Phase 12 tick ecology context without reconstructing vector abundance or human exposure location.","SCENARIO ASSUMPTION: Environmental-health prevention, vector observation, water-system maintenance, food safety interfaces, and host-interface attention become more coordinated and emerging and selective; episodic opportunities remain possible. 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.","SCENARIO CONSEQUENCE: 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems. The state changes opportunity and interface conditions only; no future incidence, case total, outbreak probability, or disease burden is projected.",IDFA-A2050-01,phase12_vector_dependency_context,moderate,moderate,fictional,scenario,scenario_assumption,"Scenario state is qualitative and archetype-specific; transmission opportunity does not equal future incidence, and environmental suitability does not equal disease burden."
IDFT-A2050-waterborneenvironmental,A2050,Coordinated Prevention & Detection,2050,waterborne/environmental,DID-003;DID-004,selected water-associated environmental opportunity is reduced or better buffered by prevention and continuity routines; residual opportunity remains (2050 emerging selective prevention and detection routines),"flooding, runoff, treatment, wastewater, recreational-water, and building-water interfaces; selected maintenance and adaptation constrain some pathways",event- and season-dependent water conditions; episodic or seasonal conditions remain possible,"source-water, recreational-water, building-water, and investigation settings; no individual contact or exposure is assigned","Transmission opportunity is a qualitative systems interface; pathogen presence, exposure, infection, reported case, local transmission, outbreak, and disease burden remain separate.","CURRENT FACT (2026 baseline): Legionellosis system; Waterborne enteric disease system. A building-water pathway is not a contamination, treatment-failure, exposure, infection, or illness finding by itself. Retained as a distinct multi-agent system; no nutrient, bloom, indicator, or infrastructure-age-to-illness inference is made.","SCENARIO ASSUMPTION: Environmental-health prevention, vector observation, water-system maintenance, food safety interfaces, and host-interface attention become more coordinated and emerging and selective; episodic opportunities remain possible. 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.","SCENARIO CONSEQUENCE: 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems. The state changes opportunity and interface conditions only; no future incidence, case total, outbreak probability, or disease burden is projected.",IDFA-A2050-01,s13_cdc_water_surv,moderate,moderate,fictional,scenario,scenario_assumption,"Scenario state is qualitative and archetype-specific; transmission opportunity does not equal future incidence, and environmental suitability does not equal disease burden."
IDFT-A2050-foodborneenteric,A2050,Coordinated Prevention & Detection,2050,foodborne/enteric,DID-005;DID-006;DID-007,selected food-chain and enteric interface opportunity is reduced or better buffered by prevention and continuity routines; residual opportunity remains (2050 emerging selective prevention and detection routines),"production, processing, storage, cold-chain, freight, and laboratory interfaces; selected maintenance and adaptation constrain some pathways","production, distribution, and investigation windows; episodic or seasonal conditions remain possible","food, animal-contact, clinical-laboratory, and public-health settings; no individual contact or exposure is assigned","Transmission opportunity is a qualitative systems interface; pathogen presence, exposure, infection, reported case, local transmission, outbreak, and disease burden remain separate.","CURRENT FACT (2026 baseline): Salmonella infection system; Campylobacter infection system; Shiga toxin-producing E. coli system. Kept distinct from Campylobacter, STEC, and outbreak records; it is not a composite disease-risk score and no composite enteric burden is created. FoodNet/LEDS/NNDSS system context is retained without treating surveillance coverage as all community infections. STEC O157 and non-O157 distinctions remain source-dependent; no illness or exposure location is inferred.","SCENARIO ASSUMPTION: Mobility and freight connectivity remain active, while setting-aware communication, continuity planning, and investigation links become more coordinated and emerging and selective; connectivity is not transmission certainty. 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.","SCENARIO CONSEQUENCE: 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems. The state changes opportunity and interface conditions only; no future incidence, case total, outbreak probability, or disease burden is projected.",IDFA-A2050-02,phase5_freight_context,moderate,moderate,fictional,scenario,scenario_assumption,"Scenario state is qualitative and archetype-specific; transmission opportunity does not equal future incidence, and environmental suitability does not equal disease burden."
IDFT-A2050-respiratory,A2050,Coordinated Prevention & Detection,2050,respiratory,DID-008;DID-009,selected respiratory contact and setting opportunity is reduced or better buffered by prevention and continuity routines; residual opportunity remains (2050 emerging selective prevention and detection routines),"settlement, indoor/community settings, mobility, seasonality, wastewater, and healthcare interfaces; selected maintenance and adaptation constrain some pathways",seasonal and setting-dependent contact windows; episodic or seasonal conditions remain possible,"aggregate settlement, workplace, mobility, testing, and care settings; no individual contact or exposure is assigned","Transmission opportunity is a qualitative systems interface; pathogen presence, exposure, infection, reported case, local transmission, outbreak, and disease burden remain separate.","CURRENT FACT (2026 baseline): Seasonal influenza system; SARS-CoV-2 community surveillance system. Included as a surveillance-system example, not a single transmission-rate or pandemic reconstruction. Wastewater is an observation stream; it does not supply an infection count, individual exposure estimate, or risk surface.","SCENARIO ASSUMPTION: Mobility and freight connectivity remain active, while setting-aware communication, continuity planning, and investigation links become more coordinated and emerging and selective; connectivity is not transmission certainty. 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.","SCENARIO CONSEQUENCE: 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems. The state changes opportunity and interface conditions only; no future incidence, case total, outbreak probability, or disease burden is projected.",IDFA-A2050-02,phase11_mobility_context,moderate,moderate,fictional,scenario,scenario_assumption,"Scenario state is qualitative and archetype-specific; transmission opportunity does not equal future incidence, and environmental suitability does not equal disease burden."
IDFT-A2050-zoonotic,A2050,Coordinated Prevention & Detection,2050,zoonotic,DID-010,selected animal-human interface opportunity is reduced or better buffered by prevention and continuity routines; residual opportunity remains (2050 emerging selective prevention and detection routines),"wildlife, domestic-animal, occupational, environmental, and veterinary/public-health interfaces; selected maintenance and adaptation constrain some pathways",animal-contact and environmental windows; episodic or seasonal conditions remain possible,"wildlife, domestic-animal, occupational, and exposure-investigation settings; no individual contact or exposure is assigned","Transmission opportunity is a qualitative systems interface; pathogen presence, exposure, infection, reported case, local transmission, outbreak, and disease burden remain separate.","CURRENT FACT (2026 baseline): Rabies system. Animal infection, potential exposure, PEP, human infection, and human disease remain separate records.","SCENARIO ASSUMPTION: Environmental-health prevention, vector observation, water-system maintenance, food safety interfaces, and host-interface attention become more coordinated and emerging and selective; episodic opportunities remain possible. 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.","SCENARIO CONSEQUENCE: 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems. The state changes opportunity and interface conditions only; no future incidence, case total, outbreak probability, or disease burden is projected.",IDFA-A2050-01,s13_cdc_rabies,moderate,moderate,fictional,scenario,scenario_assumption,"Scenario state is qualitative and archetype-specific; transmission opportunity does not equal future incidence, and environmental suitability does not equal disease burden."
IDFT-A2050-healthcareAMR,A2050,Coordinated Prevention & Detection,2050,healthcare/AMR,DID-011;DID-012,selected healthcare and laboratory interface opportunity is reduced or better buffered by prevention and continuity routines; residual opportunity remains (2050 emerging selective prevention and detection routines),"care settings, infection-control, laboratory, energy, communications, and reporting interfaces; selected maintenance and adaptation constrain some pathways","care, detection, and service-continuity windows; episodic or seasonal conditions remain possible","healthcare, laboratory, public-health, and generalized infrastructure settings; no individual contact or exposure is assigned","Transmission opportunity is a qualitative systems interface; pathogen presence, exposure, infection, reported case, local transmission, outbreak, and disease burden remain separate.","CURRENT FACT (2026 baseline): Healthcare-associated infection system; Antimicrobial-resistance surveillance system. Generalized HAI system only; no facility ranking, performance score, patient data, or community-incidence inference. Generalized AR surveillance context only; national threat estimates are not Western Basin observations.","SCENARIO ASSUMPTION: Treatment resilience, cold-chain/storage continuity, laboratory capacity, energy, communications, and selected facility interfaces are adapted in a emerging and selective pattern without assuming universal performance. 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.","SCENARIO CONSEQUENCE: 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems. The state changes opportunity and interface conditions only; no future incidence, case total, outbreak probability, or disease burden is projected.",IDFA-A2050-05,phase3_energy_context,moderate,moderate,fictional,scenario,scenario_assumption,"Scenario state is qualitative and archetype-specific; transmission opportunity does not equal future incidence, and environmental suitability does not equal disease burden."
IDFT-A2075-vectorborne,A2075,Coordinated Prevention & Detection,2075,vector-borne,DID-001;DID-002,"selected seasonal vector, host, and human-interface opportunity is reduced or better buffered by prevention and continuity routines; residual opportunity remains (2075 institutionalized selected prevention and detection routines with residual interfaces)","climate, hydrology, vector ecology, host, and settlement interfaces; selected maintenance and adaptation constrain some pathways",seasonal windows and host/vector interfaces; episodic or seasonal conditions remain possible,Culex/Ixodes ecology and aggregate settlement context; no individual contact or exposure is assigned,"Transmission opportunity is a qualitative systems interface; pathogen presence, exposure, infection, reported case, local transmission, outbreak, and disease burden remain separate.","CURRENT FACT (2026 baseline): West Nile virus system; Lyme disease system. Included as a distinct vector-borne surveillance system; positive pools, human cases, infection, and local transmission remain separate; a vector record is not a human infection and is not local transmission. Uses accepted Phase 12 tick ecology context without reconstructing vector abundance or human exposure location.","SCENARIO ASSUMPTION: Environmental-health prevention, vector observation, water-system maintenance, food safety interfaces, and host-interface attention become more coordinated and institutionalized in selected interfaces; episodic opportunities remain possible. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","SCENARIO CONSEQUENCE: 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains. The state changes opportunity and interface conditions only; no future incidence, case total, outbreak probability, or disease burden is projected.",IDFA-A2075-01,phase12_vector_dependency_context,moderate,moderate,fictional,scenario,scenario_assumption,"Scenario state is qualitative and archetype-specific; transmission opportunity does not equal future incidence, and environmental suitability does not equal disease burden."
IDFT-A2075-waterborneenvironmental,A2075,Coordinated Prevention & Detection,2075,waterborne/environmental,DID-003;DID-004,selected water-associated environmental opportunity is reduced or better buffered by prevention and continuity routines; residual opportunity remains (2075 institutionalized selected prevention and detection routines with residual interfaces),"flooding, runoff, treatment, wastewater, recreational-water, and building-water interfaces; selected maintenance and adaptation constrain some pathways",event- and season-dependent water conditions; episodic or seasonal conditions remain possible,"source-water, recreational-water, building-water, and investigation settings; no individual contact or exposure is assigned","Transmission opportunity is a qualitative systems interface; pathogen presence, exposure, infection, reported case, local transmission, outbreak, and disease burden remain separate.","CURRENT FACT (2026 baseline): Legionellosis system; Waterborne enteric disease system. A building-water pathway is not a contamination, treatment-failure, exposure, infection, or illness finding by itself. Retained as a distinct multi-agent system; no nutrient, bloom, indicator, or infrastructure-age-to-illness inference is made.","SCENARIO ASSUMPTION: Environmental-health prevention, vector observation, water-system maintenance, food safety interfaces, and host-interface attention become more coordinated and institutionalized in selected interfaces; episodic opportunities remain possible. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","SCENARIO CONSEQUENCE: 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains. The state changes opportunity and interface conditions only; no future incidence, case total, outbreak probability, or disease burden is projected.",IDFA-A2075-01,s13_cdc_water_surv,moderate,moderate,fictional,scenario,scenario_assumption,"Scenario state is qualitative and archetype-specific; transmission opportunity does not equal future incidence, and environmental suitability does not equal disease burden."
IDFT-A2075-foodborneenteric,A2075,Coordinated Prevention & Detection,2075,foodborne/enteric,DID-005;DID-006;DID-007,selected food-chain and enteric interface opportunity is reduced or better buffered by prevention and continuity routines; residual opportunity remains (2075 institutionalized selected prevention and detection routines with residual interfaces),"production, processing, storage, cold-chain, freight, and laboratory interfaces; selected maintenance and adaptation constrain some pathways","production, distribution, and investigation windows; episodic or seasonal conditions remain possible","food, animal-contact, clinical-laboratory, and public-health settings; no individual contact or exposure is assigned","Transmission opportunity is a qualitative systems interface; pathogen presence, exposure, infection, reported case, local transmission, outbreak, and disease burden remain separate.","CURRENT FACT (2026 baseline): Salmonella infection system; Campylobacter infection system; Shiga toxin-producing E. coli system. Kept distinct from Campylobacter, STEC, and outbreak records; it is not a composite disease-risk score and no composite enteric burden is created. FoodNet/LEDS/NNDSS system context is retained without treating surveillance coverage as all community infections. STEC O157 and non-O157 distinctions remain source-dependent; no illness or exposure location is inferred.","SCENARIO ASSUMPTION: Mobility and freight connectivity remain active, while setting-aware communication, continuity planning, and investigation links become more coordinated and institutionalized in selected interfaces; connectivity is not transmission certainty. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","SCENARIO CONSEQUENCE: 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains. The state changes opportunity and interface conditions only; no future incidence, case total, outbreak probability, or disease burden is projected.",IDFA-A2075-02,phase5_freight_context,moderate,moderate,fictional,scenario,scenario_assumption,"Scenario state is qualitative and archetype-specific; transmission opportunity does not equal future incidence, and environmental suitability does not equal disease burden."
IDFT-A2075-respiratory,A2075,Coordinated Prevention & Detection,2075,respiratory,DID-008;DID-009,selected respiratory contact and setting opportunity is reduced or better buffered by prevention and continuity routines; residual opportunity remains (2075 institutionalized selected prevention and detection routines with residual interfaces),"settlement, indoor/community settings, mobility, seasonality, wastewater, and healthcare interfaces; selected maintenance and adaptation constrain some pathways",seasonal and setting-dependent contact windows; episodic or seasonal conditions remain possible,"aggregate settlement, workplace, mobility, testing, and care settings; no individual contact or exposure is assigned","Transmission opportunity is a qualitative systems interface; pathogen presence, exposure, infection, reported case, local transmission, outbreak, and disease burden remain separate.","CURRENT FACT (2026 baseline): Seasonal influenza system; SARS-CoV-2 community surveillance system. Included as a surveillance-system example, not a single transmission-rate or pandemic reconstruction. Wastewater is an observation stream; it does not supply an infection count, individual exposure estimate, or risk surface.","SCENARIO ASSUMPTION: Mobility and freight connectivity remain active, while setting-aware communication, continuity planning, and investigation links become more coordinated and institutionalized in selected interfaces; connectivity is not transmission certainty. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","SCENARIO CONSEQUENCE: 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains. The state changes opportunity and interface conditions only; no future incidence, case total, outbreak probability, or disease burden is projected.",IDFA-A2075-02,phase11_mobility_context,moderate,moderate,fictional,scenario,scenario_assumption,"Scenario state is qualitative and archetype-specific; transmission opportunity does not equal future incidence, and environmental suitability does not equal disease burden."
