stressor_id,stressor_class,label,initial_system_id,initial_effect,evidence_class,source_lineage,baseline_or_scenario,notes
STRESS-HEAT-EXTREME,CLIMATE_ENVIRONMENTAL,Extreme heat,SYS-CLIMATE,Climate/hazard state may become stressed or constrained; no heat-health outcome is forecast.,OBSERVED_DOCUMENTED,data/processed/analysis/climate_hazard_dependency_register.csv; Phase 9B accepted context,BASELINE,"Bounded stressor class; not a probability, forecast, risk, or severity value."
STRESS-LOW-FLOW-DROUGHT,CLIMATE_ENVIRONMENTAL,Low flow / drought-like hydrologic stress,SYS-CLIMATE,Hydrologic observations and water-system conditions may become constrained at their native scale.,OBSERVED_DOCUMENTED,data/processed/analysis/climate_hazard_dependency_register.csv; Phase 9B accepted context,BASELINE,"Bounded stressor class; not a probability, forecast, risk, or severity value."
STRESS-HEAVY-PRECIP-FLOOD,CLIMATE_ENVIRONMENTAL,Heavy precipitation / flooding,SYS-CLIMATE,"Flood and runoff context may constrain water, freight, and selected pathway interfaces.",OBSERVED_DOCUMENTED,data/processed/analysis/climate_hazard_dependency_register.csv; Phase 9B accepted context,BASELINE,"Bounded stressor class; not a probability, forecast, risk, or severity value."
STRESS-HAB-WATER-QUALITY,CLIMATE_ENVIRONMENTAL,Harmful algal bloom / nutrient-water-quality pressure,SYS-BIOGEOCHEMISTRY,Nutrient-water-quality context may become constrained or less observable; no bloom magnitude or health outcome is forecast.,OBSERVED_DOCUMENTED,data/processed/analysis/biogeochemical_quantitative_fluxes.csv; Phase 8 accepted context,BASELINE,"Bounded stressor class; not a probability, forecast, risk, or severity value."
STRESS-SEVERE-STORM,CLIMATE_ENVIRONMENTAL,Severe storm / wind / ice,SYS-CLIMATE,Hazard and continuity context may be stressed; no event probability or damage estimate is asserted.,OBSERVED_DOCUMENTED,data/processed/analysis/climate_hazard_dependency_register.csv; Phase 9B accepted context,BASELINE,"Bounded stressor class; not a probability, forecast, risk, or severity value."
STRESS-ECOLOGICAL-DISTURBANCE,CLIMATE_ENVIRONMENTAL,Ecological disturbance,SYS-ECOLOGY,Ecological function or habitat context may become constrained or redistributed.,OBSERVED_DOCUMENTED,data/processed/analysis/ecological_disturbance_register.csv; Phase 6B accepted context,BASELINE,"Bounded stressor class; not a probability, forecast, risk, or severity value."
STRESS-ELECTRIC-GRID,INFRASTRUCTURE,Electric-grid stress,SYS-ENERGY,Energy service may become constrained or delayed; no outage probability or failure is inferred.,INFERRED,data/processed/integration/technology_dependencies.csv; Phase 3B/15A dependency context,BASELINE,"Bounded stressor class; not a probability, forecast, risk, or severity value."
STRESS-COMMS-COMPUTE,INFRASTRUCTURE,Communications / compute disruption,SYS-DATA,Observation and decision-support continuity may become degraded or delayed.,INFERRED,data/processed/integration/atlas_dependency_crosswalk.csv; Phase 3B/4B dependency context,BASELINE,"Bounded stressor class; not a probability, forecast, risk, or severity value."
STRESS-WATER-TREATMENT,INFRASTRUCTURE,Water-treatment or conveyance disruption,SYS-WATER,Water operations may become constrained or delayed; treatment failure and exposure are not inferred.,INFERRED,data/processed/integration/atlas_dependency_crosswalk.csv; Phase 3B/13B dependency context,BASELINE,"Bounded stressor class; not a probability, forecast, risk, or severity value."
STRESS-TRANSPORT-FREIGHT,INFRASTRUCTURE,Transportation / freight disruption,SYS-FREIGHT,Freight and logistics interfaces may become constrained or rerouted; no route or quantity is estimated.,INFERRED,data/processed/integration/atlas_dependency_crosswalk.csv; Phase 5C/11B dependency context,BASELINE,"Bounded stressor class; not a probability, forecast, risk, or severity value."
STRESS-INDUSTRIAL-FACILITY,INFRASTRUCTURE,Industrial facility disruption,SYS-FREIGHT,Industrial and gateway functions may become constrained; no facility failure is asserted.,INFERRED,data/processed/integration/atlas_dependency_crosswalk.csv; Phase 5C dependency context,BASELINE,"Bounded stressor class; not a probability, forecast, risk, or severity value."
STRESS-FUEL-CONSTRAINT,MATERIAL_SUPPLY,Fuel constraint,SYS-FREIGHT,"Generalized fuel-input interfaces may become constrained; no pipeline, contract, or shipment path is modeled.",INFERRED,data/processed/integration/atlas_dependency_crosswalk.csv; Phase 5C material-input context,BASELINE,"Bounded stressor class; not a probability, forecast, risk, or severity value."
STRESS-CRITICAL-MATERIAL,MATERIAL_SUPPLY,Critical material constraint,SYS-MATERIALS,Materials processing or feedstock interfaces may become constrained; no production forecast is asserted.,INFERRED,data/processed/integration/technology_dependencies.csv; Phase 15A materials context,BASELINE,"Bounded stressor class; not a probability, forecast, risk, or severity value."
STRESS-INDUSTRIAL-FEEDSTOCK,MATERIAL_SUPPLY,Industrial feedstock disruption,SYS-MATERIALS,Qualified feedstock and processing dependencies may become constrained; local extraction and nonlocal processing remain distinct.,INFERRED,data/processed/integration/technology_dependencies.csv; Phase 15A materials context,BASELINE,"Bounded stressor class; not a probability, forecast, risk, or severity value."
STRESS-LOGISTICS-INTERRUPTION,MATERIAL_SUPPLY,Logistics interruption,SYS-FREIGHT,Material and freight interfaces may be delayed or redistributed; no exact route or cargo quantity is modeled.,INFERRED,data/processed/integration/atlas_dependency_crosswalk.csv; Phase 5A/5C context,BASELINE,"Bounded stressor class; not a probability, forecast, risk, or severity value."
STRESS-INFECTIOUS-PRESSURE,PUBLIC_HEALTH_BIOLOGICAL,Infectious-disease pressure,SYS-INFECTIOUS-DISEASE,"Surveillance, diagnostic, workforce, and coordination interfaces may become constrained; no incidence or outbreak forecast is made.",INFERRED,data/processed/integration/atlas_dependency_crosswalk.csv; Phase 13A/13B accepted context,BASELINE,"Bounded stressor class; not a probability, forecast, risk, or severity value."
STRESS-VECTOR-PRESSURE,PUBLIC_HEALTH_BIOLOGICAL,Vector-pressure increase,SYS-VECTOR-ECOLOGY,"Vector observation or ecological context may become more variable; no abundance, infection, or disease forecast is made.",INFERRED,data/processed/integration/atlas_dependency_crosswalk.csv; Phase 12A/12B accepted context,BASELINE,"Bounded stressor class; not a probability, forecast, risk, or severity value."
STRESS-WORKFORCE-ABSENTEEISM,PUBLIC_HEALTH_BIOLOGICAL,Workforce illness / absenteeism,SYS-POPULATION,Aggregate workforce and mobility interfaces may become constrained or redistributed; no individual data or illness estimate is used.,INFERRED,data/processed/integration/technology_dependencies.csv; Phase 11/15A context,BASELINE,"Bounded stressor class; not a probability, forecast, risk, or severity value."
STRESS-SURVEILLANCE-STRAIN,PUBLIC_HEALTH_BIOLOGICAL,Surveillance / diagnostic strain,SYS-DATA,"Observation, detection, and reporting may become delayed or less observable; surveillance is not incidence.",INFERRED,data/processed/integration/atlas_dependency_crosswalk.csv; Phase 4B/13B context,BASELINE,"Bounded stressor class; not a probability, forecast, risk, or severity value."
STRESS-SENSOR-DATA-DEGRADATION,INSTITUTIONAL_INFORMATION,Sensor-data degradation,SYS-DATA,"Observation coverage, timeliness, or interpretability may become degraded; a gap is not proof of absence.",INFERRED,data/processed/integration/atlas_dependency_crosswalk.csv; Phase 4B accepted context,BASELINE,"Bounded stressor class; not a probability, forecast, risk, or severity value."
STRESS-CYBER-DIGITAL,INSTITUTIONAL_INFORMATION,Cyber / digital-resilience stress,SYS-DATA,Digital continuity and observability may become degraded or less interoperable; no attack path or offensive detail is modeled.,INFERRED,data/processed/integration/technology_system_interfaces.csv; Phase 15A defensive context,BASELINE,"Bounded stressor class; not a probability, forecast, risk, or severity value."
STRESS-GOV-COORDINATION,INSTITUTIONAL_INFORMATION,Governance coordination friction,SYS-GOVERNANCE,"Coordination or authority interfaces may become delayed, fragmented, or less interoperable; no governance score is assigned.",INFERRED,data/processed/integration/atlas_dependency_crosswalk.csv; Phase 10B accepted context,BASELINE,"Bounded stressor class; not a probability, forecast, risk, or severity value."
STRESS-TRUST-LEGITIMACY,INSTITUTIONAL_INFORMATION,Public-trust / legitimacy stress,SYS-GOVERNANCE,"Coordination, communication, and legitimacy interfaces may become constrained; no political or ideological score is assigned.",SCENARIO_ASSUMPTION,data/processed/scenarios/technology_governance_states.csv; Phase 15B optional modifier,SCENARIO-CONDITIONED,"Bounded stressor class; not a probability, forecast, risk, or severity value."
STRESS-DATA-PRIVACY,INSTITUTIONAL_INFORMATION,Data-access / privacy constraint,SYS-DATA,Data access and interoperability may become constrained or redistributed; privacy is not treated as a technical failure.,SCENARIO_ASSUMPTION,data/processed/scenarios/technology_dependency_states.csv; Phase 15B optional modifier,SCENARIO-CONDITIONED,"Bounded stressor class; not a probability, forecast, risk, or severity value."
