node_id,name,material_system,node_type,supply_chain_role,reality_status,canon_status,local_resource,scenario_year,region,latitude,longitude,source_id,confidence,notes
CARB-GEO-REGIONAL,Regional carbonate bedrock,carbonate,geologic_unit,geologic_occurrence,real,verified,true,2026,Western Basin,,,SRC-ODNR-BEDROCK-2006,high,"Generalized 1:500,000 occurrence context; not reserves or parcel geology."
CARB-EXT-AREA-WOODVILLE,Area Aggregates Woodville extraction,carbonate,facility,extraction,real,verified,true,2026,Black Swamp Country,41.440421365979,-83.357258672099,SRC-OHEPA-AREA-2022,medium,"Current permit and company product evidence; street-address point, not quarry boundary."
CARB-EXT-MM-WOODVILLE,Martin Marietta Woodville quarry,carbonate,facility,extraction,real,verified,true,2026,Black Swamp Country,41.465048865166,-83.366181833374,SRC-ODNR-MINERALS-2021,medium_high,"Quarry context documented by ODNR; represented at the co-located facility address, not an operational boundary."
CARB-PROC-MM-WOODVILLE,Martin Marietta Woodville lime processing,carbonate,facility,primary_processing,real,verified,true,2026,Black Swamp Country,41.465048865166,-83.366181833374,SRC-MM-WOODVILLE-2025,high,Processes dolomitic limestone in lime kilns; no customer-level route modeled.
CARB-PROC-GRAYMONT-GENOA,Graymont Genoa lime processing,carbonate,facility,primary_processing,real,verified,true,2026,Black Swamp Country,41.515270001961,-83.355189973188,SRC-GRAYMONT-GENOA-2026,high,Produces dolomitic hydrated/finish and masonry lime; exact source quarry unresolved.
CARB-MAT-LIME,Lime and dolime products,carbonate,material_product,primary_processing,real,verified,not_applicable,2026,System interface,,,SRC-EPA-CAO-2022,high,Functional product node; not a facility or stock estimate.
CARB-MAT-AGGREGATE,Limestone and aggregate products,carbonate,material_product,primary_processing,real,verified,not_applicable,2026,System interface,,,SRC-KOKOSING-SPECIALTY-2026,high,Product-class node without shipment volume or route.
CARB-END-WATER,Drinking-water and wastewater treatment,carbonate,end_use_function,end_use_sector,real,verified,not_applicable,2026,Water System interface,,,SRC-EPA-CAO-2022,high,General engineering dependency; no claim that a named local facility supplies Toledo.
CARB-END-AGRICULTURE,Agriculture and soil amendment,carbonate,end_use_function,end_use_sector,real,verified,not_applicable,2026,Black Swamp Country interface,,,SRC-KOKOSING-SPECIALTY-2026,high,Woodville agricultural-lime product function.
CARB-END-CONSTRUCTION,Construction and infrastructure,carbonate,end_use_function,end_use_sector,real,verified,not_applicable,2026,Industrial interface,,,SRC-EPA-CAO-2022,high,Broad lime/aggregate function; not a named customer relationship.
CARB-END-METALLURGY,Steel and metallurgical processing,carbonate,end_use_function,end_use_sector,real,verified,not_applicable,2026,Industrial interface,,,SRC-EPA-CAO-2022,high,Broad lime function; not a named local customer relationship.
CARB-END-ENVIRONMENT,Environmental treatment,carbonate,end_use_function,end_use_sector,real,verified,not_applicable,2026,Environmental interface,,,SRC-EPA-CAO-2022,high,Broad remediation/pollution-treatment function.
SYS-IF-ENERGY,Industrial energy demand,shared,system_interface,end_use_sector,real,verified,not_applicable,2026,Future Energy System interface,,,SRC-MM-WOODVILLE-2025,high,Coarse dependency only; no detailed energy model in Phase 2B.
SYS-IF-FREIGHT,Freight and logistics dependency,shared,system_interface,logistics_interface,real,verified,not_applicable,2026,Future Freight System interface,,,SRC-EPA-CAO-2022,medium_high,"Coarse dependency only; no route, mode, schedule, or quantity asserted."
BER-UP-DOMESTIC,External domestic beryllium resource,beryllium,external_resource,extraction,real,verified,false,2026,External - Utah,,,SRC-USGS-BE-2026,high,Broad Spor Mountain/Utah domestic source representation; intentionally no mapped mine-to-Elmore route.
BER-UP-IMPORT,Imported beryl supply,beryllium,external_resource,extraction,real,verified,false,2026,External - global,,,SRC-USGS-BE-2026,high,"Broad imported source representation; no country, depot, mode, route, or quantity inferred."
BER-UP-HYDROXIDE,External beryllium hydroxide intermediate,beryllium,intermediate_material,primary_processing,real,verified,false,2026,External supply system,,,SRC-USGS-BE-2026,high,USGS-described intermediate shipped in part to an Ohio plant.
BER-PROC-ELMORE,Materion Elmore advanced processing,beryllium,facility,advanced_processing,real,verified,false,2026,Black Swamp Country,41.491149985926,-83.215860027455,SRC-EPA-MATERION-ELMORE,high,Strategic processing is true; local extraction is false. Elmore is not a beryllium mine.
BER-MAT-ADVANCED,Advanced beryllium materials,beryllium,material_product,advanced_processing,real,verified,not_applicable,2026,National/global supply system,,,SRC-USGS-BE-2026,high,"Metal, oxide, beryllium-copper master alloy, and specialized downstream materials; no quantity modeled."
BER-END-AERO-DEF,Aerospace and defense systems,beryllium,end_use_sector,end_use_sector,real,inferred,not_applicable,2026,External strategic sector,,,SRC-USGS-BE-2026,high,"Broad sourced sector, not a classified or customer-specific Elmore relationship."
BER-END-ELEC-TELECOM,Electronics and telecommunications,beryllium,end_use_sector,end_use_sector,real,inferred,not_applicable,2026,External strategic sector,,,SRC-USGS-BE-FLOW-2018,high,"Broad sourced sector, not a named Elmore customer relationship."
BER-END-OPTICS,Precision instruments and optics,beryllium,end_use_sector,end_use_sector,real,inferred,not_applicable,2026,External strategic sector,,,SRC-MATERION-ENDUSES-2024,medium_high,Broad company-supported product market; not a named Elmore customer relationship.
BER-END-CFS,Commonwealth Fusion Systems ARC,beryllium,named_end_use,end_use_sector,real,verified,not_applicable,2026,External fusion system,,,SRC-MATERION-CFS-2025,high,Named 2025 beryllium-fluoride/FLiBe supply agreement; no fictional Northwest Ohio reactor.
BER-END-KAIROS,Kairos Power FLiBe system,beryllium,named_end_use,end_use_sector,real,verified,not_applicable,2026,External advanced nuclear system,,,SRC-MATERION-KAIROS-2022,medium_high,Named Elmore collaboration announced/commissioned in 2022; current operating status not independently reverified.
BER-LEG-LUCKEY,Luckey FUSRAP remediation,beryllium,legacy_site,legacy_cleanup,real,verified,false,2026,Black Swamp Country,41.45880174891,-83.490434663133,SRC-USACE-LUCKEY-2026,high,Historical/legacy context only; not current beryllium production.
EXP-PATH-HIST-OCC,Historical occupational exposure potential,exposure,exposure_pathway,exposure_pathway,historical,inferred,not_applicable,historical,Exposure / Environmental Health interface,,,PH2C-NIOSH-BE-2011,medium,Potential inhalation/skin-contact pathway; no individual Luckey exposure or disease is asserted.
EXP-LEG-ENV-CONTAM,Luckey environmental contamination legacy,exposure,environmental_legacy,legacy_contamination,historical,verified,not_applicable,historical,Black Swamp Country,,,PH2C-USACE-LUCKEY-2026,high,Documented soil and groundwater contamination; no plume or exposure radius geometry.
EXP-REM-FUSRAP,Luckey FUSRAP remediation system,exposure,regulatory_program,remediation,real,verified,not_applicable,2026,Black Swamp Country,,,PH2C-USACE-LUCKEY-2026,high,Current cleanup/monitoring institution; not current production.
EXP-IF-WASTE-LOGISTICS,Licensed remediation waste logistics,exposure,system_interface,logistics_interface,real,verified,not_applicable,2026,External remediation interface,,,PH2C-USACE-MILESTONE-2022,high,Off-site licensed disposal is documented; no route geometry is modeled.
EXP-CTRL-MODERN,Modern beryllium industrial-hygiene controls,exposure,control_system,exposure_control,real,verified,not_applicable,2026,Exposure / Environmental Health interface,,,PH2C-OSHA-BE-2018,high,General current regulatory requirements; not a facility-specific compliance conclusion.
