taxonomy_id,source_phase,source_artifact,local_field,local_term,local_term_count,proposed_high_level_class,normalization_status,semantic_compatibility,information_preserved,information_lost_or_caveat
RT-0001,10,data/processed/analysis/governance_dependency_register.csv,dependency_type,advisory_relationship,2,governance / authority,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.","Role, mandate, or coordination relation; monitoring or funding is not automatically control."
RT-0002,10,data/processed/analysis/governance_dependency_register.csv,dependency_type,binational_dependency,1,governance / authority,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.","Role, mandate, or coordination relation; monitoring or funding is not automatically control."
RT-0003,10,data/processed/analysis/governance_dependency_register.csv,dependency_type,control-without-direct-observation,1,governance / authority,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Control or authority relation; it is not an observation edge and does not imply automatic enforcement.
RT-0004,10,data/processed/analysis/governance_dependency_register.csv,dependency_type,emergency_coordination,1,governance / authority,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.","Role, mandate, or coordination relation; monitoring or funding is not automatically control."
RT-0005,10,data/processed/analysis/governance_dependency_register.csv,dependency_type,funding_dependency,3,governance / authority,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.","Role, mandate, or coordination relation; monitoring or funding is not automatically control."
RT-0006,10,data/processed/analysis/governance_dependency_register.csv,dependency_type,information_dependency,3,operational dependency,inventory_only_14A,ambiguous,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Functional dependency/interface; direction is not automatically causation or risk.
RT-0007,10,data/processed/analysis/governance_dependency_register.csv,dependency_type,interstate_dependency,1,governance / authority,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.","Role, mandate, or coordination relation; monitoring or funding is not automatically control."
RT-0008,10,data/processed/analysis/governance_dependency_register.csv,dependency_type,mandatory_coordination,2,governance / authority,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.","Role, mandate, or coordination relation; monitoring or funding is not automatically control."
RT-0009,10,data/processed/analysis/governance_dependency_register.csv,dependency_type,monitoring-without-control,3,information / observation,inventory_only_14A,candidate-compatible,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Observation or detection relation; not a physical or causal edge.
RT-0010,10,data/processed/analysis/governance_dependency_register.csv,dependency_type,overlapping_authority,1,governance / authority,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.","Role, mandate, or coordination relation; monitoring or funding is not automatically control."
RT-0011,10,data/processed/analysis/governance_dependency_register.csv,dependency_type,public_private_dependency,3,governance / authority,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.","Role, mandate, or coordination relation; monitoring or funding is not automatically control."
RT-0012,10,data/processed/analysis/governance_dependency_register.csv,dependency_type,sequential_authority,2,governance / authority,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.","Role, mandate, or coordination relation; monitoring or funding is not automatically control."
RT-0013,10,data/processed/analysis/governance_dependency_register.csv,dependency_type,split_responsibility,1,unclassified candidate,inventory_only_14A,ambiguous,"Local term, field, artifact, and count remain visible; no local value is rewritten.",No 14A normalization asserted; retain the local term for Phase 14B review.
RT-0014,10,data/processed/analysis/governance_dependency_register.csv,dependency_type,voluntary_coordination,1,governance / authority,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.","Role, mandate, or coordination relation; monitoring or funding is not automatically control."
RT-0015,10,data/processed/networks/governance_dependency_edges.csv,dependency_type,advisory_relationship,2,governance / authority,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.","Role, mandate, or coordination relation; monitoring or funding is not automatically control."
RT-0016,10,data/processed/networks/governance_dependency_edges.csv,dependency_type,binational_dependency,1,governance / authority,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.","Role, mandate, or coordination relation; monitoring or funding is not automatically control."
RT-0017,10,data/processed/networks/governance_dependency_edges.csv,dependency_type,control-without-direct-observation,1,governance / authority,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Control or authority relation; it is not an observation edge and does not imply automatic enforcement.
RT-0018,10,data/processed/networks/governance_dependency_edges.csv,dependency_type,emergency_coordination,1,governance / authority,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.","Role, mandate, or coordination relation; monitoring or funding is not automatically control."
RT-0019,10,data/processed/networks/governance_dependency_edges.csv,dependency_type,funding_dependency,3,governance / authority,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.","Role, mandate, or coordination relation; monitoring or funding is not automatically control."
RT-0020,10,data/processed/networks/governance_dependency_edges.csv,dependency_type,information_dependency,3,operational dependency,inventory_only_14A,ambiguous,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Functional dependency/interface; direction is not automatically causation or risk.
RT-0021,10,data/processed/networks/governance_dependency_edges.csv,dependency_type,interstate_dependency,1,governance / authority,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.","Role, mandate, or coordination relation; monitoring or funding is not automatically control."
RT-0022,10,data/processed/networks/governance_dependency_edges.csv,dependency_type,mandatory_coordination,2,governance / authority,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.","Role, mandate, or coordination relation; monitoring or funding is not automatically control."
RT-0023,10,data/processed/networks/governance_dependency_edges.csv,dependency_type,monitoring-without-control,3,information / observation,inventory_only_14A,candidate-compatible,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Observation or detection relation; not a physical or causal edge.
RT-0024,10,data/processed/networks/governance_dependency_edges.csv,dependency_type,overlapping_authority,1,governance / authority,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.","Role, mandate, or coordination relation; monitoring or funding is not automatically control."
RT-0025,10,data/processed/networks/governance_dependency_edges.csv,dependency_type,public_private_dependency,3,governance / authority,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.","Role, mandate, or coordination relation; monitoring or funding is not automatically control."
RT-0026,10,data/processed/networks/governance_dependency_edges.csv,dependency_type,sequential_authority,2,governance / authority,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.","Role, mandate, or coordination relation; monitoring or funding is not automatically control."
RT-0027,10,data/processed/networks/governance_dependency_edges.csv,dependency_type,split_responsibility,1,unclassified candidate,inventory_only_14A,ambiguous,"Local term, field, artifact, and count remain visible; no local value is rewritten.",No 14A normalization asserted; retain the local term for Phase 14B review.
RT-0028,10,data/processed/networks/governance_dependency_edges.csv,dependency_type,voluntary_coordination,1,governance / authority,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.","Role, mandate, or coordination relation; monitoring or funding is not automatically control."
RT-0029,10,data/processed/networks/governance_relationships.csv,relationship_type,actor_system_role,100,unclassified candidate,inventory_only_14A,ambiguous,"Local term, field, artifact, and count remain visible; no local value is rewritten.",No 14A normalization asserted; retain the local term for Phase 14B review.
RT-0030,10,data/processed/scenarios/governance_dependency_states_scenario.csv,dependency_type,advisory_relationship,12,scenario influence,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Scenario term; never merge with a factual relationship or treat as a forecast.
RT-0031,10,data/processed/scenarios/governance_dependency_states_scenario.csv,dependency_type,binational_dependency,6,scenario influence,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Scenario term; never merge with a factual relationship or treat as a forecast.
RT-0032,10,data/processed/scenarios/governance_dependency_states_scenario.csv,dependency_type,control-without-direct-observation,6,scenario influence,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Scenario term; never merge with a factual relationship or treat as a forecast.
RT-0033,10,data/processed/scenarios/governance_dependency_states_scenario.csv,dependency_type,emergency_coordination,6,scenario influence,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Scenario term; never merge with a factual relationship or treat as a forecast.
RT-0034,10,data/processed/scenarios/governance_dependency_states_scenario.csv,dependency_type,funding_dependency,18,scenario influence,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Scenario term; never merge with a factual relationship or treat as a forecast.
RT-0035,10,data/processed/scenarios/governance_dependency_states_scenario.csv,dependency_type,information_dependency,18,scenario influence,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Scenario term; never merge with a factual relationship or treat as a forecast.
RT-0036,10,data/processed/scenarios/governance_dependency_states_scenario.csv,dependency_type,interstate_dependency,6,scenario influence,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Scenario term; never merge with a factual relationship or treat as a forecast.
RT-0037,10,data/processed/scenarios/governance_dependency_states_scenario.csv,dependency_type,mandatory_coordination,12,scenario influence,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Scenario term; never merge with a factual relationship or treat as a forecast.
RT-0038,10,data/processed/scenarios/governance_dependency_states_scenario.csv,dependency_type,monitoring-without-control,18,scenario influence,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Scenario term; never merge with a factual relationship or treat as a forecast.
RT-0039,10,data/processed/scenarios/governance_dependency_states_scenario.csv,dependency_type,overlapping_authority,6,scenario influence,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Scenario term; never merge with a factual relationship or treat as a forecast.
RT-0040,10,data/processed/scenarios/governance_dependency_states_scenario.csv,dependency_type,public_private_dependency,18,scenario influence,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Scenario term; never merge with a factual relationship or treat as a forecast.
RT-0041,10,data/processed/scenarios/governance_dependency_states_scenario.csv,dependency_type,sequential_authority,12,scenario influence,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Scenario term; never merge with a factual relationship or treat as a forecast.
RT-0042,10,data/processed/scenarios/governance_dependency_states_scenario.csv,dependency_type,split_responsibility,6,scenario influence,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Scenario term; never merge with a factual relationship or treat as a forecast.
RT-0043,10,data/processed/scenarios/governance_dependency_states_scenario.csv,dependency_type,voluntary_coordination,6,scenario influence,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Scenario term; never merge with a factual relationship or treat as a forecast.
RT-0044,11,data/processed/analysis/population_system_dependency_register.csv,relationship_type,contextual_interface,52,operational dependency,inventory_only_14A,ambiguous,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Functional dependency/interface; direction is not automatically causation or risk.
RT-0045,11,data/processed/analysis/population_system_dependency_register.csv,relationship_type,functional_service_dependence,208,operational dependency,inventory_only_14A,ambiguous,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Functional dependency/interface; direction is not automatically causation or risk.
RT-0046,11,data/processed/analysis/population_system_dependency_register.csv,relationship_type,institutional_interface,52,operational dependency,inventory_only_14A,ambiguous,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Functional dependency/interface; direction is not automatically causation or risk.
RT-0047,11,data/processed/analysis/population_system_dependency_register.csv,relationship_type,land_cover_interface,52,operational dependency,inventory_only_14A,ambiguous,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Functional dependency/interface; direction is not automatically causation or risk.
RT-0048,11,data/processed/analysis/population_system_dependency_register.csv,relationship_type,material_flow_interface,52,material flow,inventory_only_14A,candidate-compatible,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Material/logistics relation; route or quantity is not implied.
RT-0049,11,data/processed/analysis/population_system_dependency_register.csv,relationship_type,pathway_interface,52,exposure pathway,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.","Exposure or contact interface; not dose, illness, or risk."
RT-0050,11,data/processed/analysis/population_system_dependency_register.csv,relationship_type,physical_hazard_interface,52,operational dependency,inventory_only_14A,ambiguous,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Functional dependency/interface; direction is not automatically causation or risk.
RT-0051,11,data/processed/networks/population_mobility_relationships.csv,relationship_type,commuting_interface_with,142,population / mobility interface,inventory_only_14A,semantically distinct,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Aggregate population or mobility relation; not individual movement or transmission.
RT-0052,11,data/processed/networks/population_settlement_future_relationships.csv,relationship_type,connected_reconcentration_interface,36,operational dependency,inventory_only_14A,ambiguous,"Local term, field, artifact, and count remain visible; no local value is rewritten.",Functional dependency/interface; direction is not automatically causation or risk.
