scenario_id,scenario_year,edge_id,from_object_id,to_object_id,relationship_type,reality_status,relationship_basis,assumption_id,source_id,plausibility,notes
A2050,2050,SE-A2050-01,SCN-A2050-01,SCN-A2050-02,qualitative_interface,fictional,scenario_assumption,ECSA-A2050-1,noaa_hab,moderate,Scenario relationship is not an exact movement route.
A2050,2050,SE-A2050-02,SCN-A2050-02,SCN-A2050-03,qualitative_interface,fictional,scenario_assumption,ECSA-A2050-2,usgs_3dhp_all,moderate,Scenario relationship is not an exact movement route.
A2050,2050,SE-A2050-03,SCN-A2050-03,SCN-A2050-04,qualitative_interface,fictional,scenario_assumption,ECSA-A2050-3,usfws_nwi,moderate,Scenario relationship is not an exact movement route.
A2050,2050,SE-A2050-04,SCN-A2050-04,SCN-A2050-05,qualitative_interface,fictional,scenario_assumption,ECSA-A2050-1,h2ohio_great_black_swamp_history,moderate,Scenario relationship is not an exact movement route.
A2050,2050,SE-A2050-05,SCN-A2050-05,SCN-A2050-06,qualitative_interface,fictional,scenario_assumption,ECSA-A2050-2,phase6a_mrlc_land_cover,moderate,Scenario relationship is not an exact movement route.
A2075,2075,SE-A2075-01,SCN-A2075-01,SCN-A2075-02,qualitative_interface,fictional,scenario_assumption,ECSA-A2075-1,noaa_hab,moderate,Scenario relationship is not an exact movement route.
A2075,2075,SE-A2075-02,SCN-A2075-02,SCN-A2075-03,qualitative_interface,fictional,scenario_assumption,ECSA-A2075-2,usgs_3dhp_all,moderate,Scenario relationship is not an exact movement route.
A2075,2075,SE-A2075-03,SCN-A2075-03,SCN-A2075-04,qualitative_interface,fictional,scenario_assumption,ECSA-A2075-3,usfws_nwi,moderate,Scenario relationship is not an exact movement route.
A2075,2075,SE-A2075-04,SCN-A2075-04,SCN-A2075-05,qualitative_interface,fictional,scenario_assumption,ECSA-A2075-1,h2ohio_great_black_swamp_history,moderate,Scenario relationship is not an exact movement route.
A2075,2075,SE-A2075-05,SCN-A2075-05,SCN-A2075-06,qualitative_interface,fictional,scenario_assumption,ECSA-A2075-2,phase6a_mrlc_land_cover,moderate,Scenario relationship is not an exact movement route.
B2050,2050,SE-B2050-01,SCN-B2050-01,SCN-B2050-02,qualitative_interface,fictional,scenario_assumption,ECSA-B2050-1,noaa_hab,high,Scenario relationship is not an exact movement route.
B2050,2050,SE-B2050-02,SCN-B2050-02,SCN-B2050-03,qualitative_interface,fictional,scenario_assumption,ECSA-B2050-2,usgs_3dhp_all,high,Scenario relationship is not an exact movement route.
B2050,2050,SE-B2050-03,SCN-B2050-03,SCN-B2050-04,qualitative_interface,fictional,scenario_assumption,ECSA-B2050-3,usfws_nwi,high,Scenario relationship is not an exact movement route.
B2050,2050,SE-B2050-04,SCN-B2050-04,SCN-B2050-05,qualitative_interface,fictional,scenario_assumption,ECSA-B2050-1,h2ohio_great_black_swamp_history,high,Scenario relationship is not an exact movement route.
B2050,2050,SE-B2050-05,SCN-B2050-05,SCN-B2050-06,qualitative_interface,fictional,scenario_assumption,ECSA-B2050-2,phase6a_mrlc_land_cover,high,Scenario relationship is not an exact movement route.
B2075,2075,SE-B2075-01,SCN-B2075-01,SCN-B2075-02,qualitative_interface,fictional,scenario_assumption,ECSA-B2075-1,noaa_hab,high,Scenario relationship is not an exact movement route.
B2075,2075,SE-B2075-02,SCN-B2075-02,SCN-B2075-03,qualitative_interface,fictional,scenario_assumption,ECSA-B2075-2,usgs_3dhp_all,high,Scenario relationship is not an exact movement route.
B2075,2075,SE-B2075-03,SCN-B2075-03,SCN-B2075-04,qualitative_interface,fictional,scenario_assumption,ECSA-B2075-3,usfws_nwi,high,Scenario relationship is not an exact movement route.
B2075,2075,SE-B2075-04,SCN-B2075-04,SCN-B2075-05,qualitative_interface,fictional,scenario_assumption,ECSA-B2075-1,h2ohio_great_black_swamp_history,high,Scenario relationship is not an exact movement route.
B2075,2075,SE-B2075-05,SCN-B2075-05,SCN-B2075-06,qualitative_interface,fictional,scenario_assumption,ECSA-B2075-2,phase6a_mrlc_land_cover,high,Scenario relationship is not an exact movement route.
C2050,2050,SE-C2050-01,SCN-C2050-01,SCN-C2050-02,qualitative_interface,fictional,scenario_assumption,ECSA-C2050-1,noaa_hab,moderate,Scenario relationship is not an exact movement route.
C2050,2050,SE-C2050-02,SCN-C2050-02,SCN-C2050-03,qualitative_interface,fictional,scenario_assumption,ECSA-C2050-2,usgs_3dhp_all,moderate,Scenario relationship is not an exact movement route.
C2050,2050,SE-C2050-03,SCN-C2050-03,SCN-C2050-04,qualitative_interface,fictional,scenario_assumption,ECSA-C2050-3,usfws_nwi,moderate,Scenario relationship is not an exact movement route.
C2050,2050,SE-C2050-04,SCN-C2050-04,SCN-C2050-05,qualitative_interface,fictional,scenario_assumption,ECSA-C2050-1,h2ohio_great_black_swamp_history,moderate,Scenario relationship is not an exact movement route.
C2050,2050,SE-C2050-05,SCN-C2050-05,SCN-C2050-06,qualitative_interface,fictional,scenario_assumption,ECSA-C2050-2,phase6a_mrlc_land_cover,moderate,Scenario relationship is not an exact movement route.
C2075,2075,SE-C2075-01,SCN-C2075-01,SCN-C2075-02,qualitative_interface,fictional,scenario_assumption,ECSA-C2075-1,noaa_hab,moderate,Scenario relationship is not an exact movement route.
C2075,2075,SE-C2075-02,SCN-C2075-02,SCN-C2075-03,qualitative_interface,fictional,scenario_assumption,ECSA-C2075-2,usgs_3dhp_all,moderate,Scenario relationship is not an exact movement route.
C2075,2075,SE-C2075-03,SCN-C2075-03,SCN-C2075-04,qualitative_interface,fictional,scenario_assumption,ECSA-C2075-3,usfws_nwi,moderate,Scenario relationship is not an exact movement route.
C2075,2075,SE-C2075-04,SCN-C2075-04,SCN-C2075-05,qualitative_interface,fictional,scenario_assumption,ECSA-C2075-1,h2ohio_great_black_swamp_history,moderate,Scenario relationship is not an exact movement route.
C2075,2075,SE-C2075-05,SCN-C2075-05,SCN-C2075-06,qualitative_interface,fictional,scenario_assumption,ECSA-C2075-2,phase6a_mrlc_land_cover,moderate,Scenario relationship is not an exact movement route.
