record_id,year,vector_group,species_or_vector,pathogen,surveillance_program,surveillance_method,geographic_area,geographic_scale,sampling_effort,detection_status,observed_value,units,source_id,evidence_status,confidence,uncertainty_notes,notes
VS-001,2025,mosquito,species not specified in source,West Nile virus,Ohio Department of Health and local partners,traps; pooled mosquito samples; laboratory testing,Ohio; 42 counties with positive pools,state/county,"11,980 pooled samples from 58 agencies in 49 counties",positive mosquito pools detected in 42 counties,42,counties,v12_ohio_vector_update,documented_surveillance,high,Species composition and comparable county trap effort are not reported in the page summary.,"Positive pool counties are a detection record, not abundance, human contact, human infection, or local transmission proof."
VS-002,2025,mosquito,species not specified in source,not specified,Ohio Department of Health and local partners,traps and pooled mosquito testing,Ohio statewide summary,state/agency/county,"11,980 pooled samples; 58 agencies; 49 counties",samples tested,11980,pooled samples,v12_ohio_vector_update,documented_surveillance,high,Pooled sample count is not a count of individual mosquitoes or abundance.,Sampling effort is retained as reported and is not merged with other programs.
VS-003,2025,mosquito,species not specified in source,La Crosse virus,Ohio Department of Health and local partners,traps; pooled mosquito samples; laboratory testing,Ohio; 4 counties with positive pools,state/county,"1,297 pooled samples from 53 agencies in 44 counties",positive mosquito pools detected in 4 counties,4,counties,v12_ohio_vector_update,documented_surveillance,high,Species composition and county-level effort are not reported in the summary.,This is a separate pathogen stream from WNV and is not combined into an index.
VS-004,2025,human-case-context,not applicable,West Nile virus,Ohio human surveillance,reported human disease surveillance,Ohio; county of residence,county of residence,Case reporting; sampling effort not applicable,reported human cases in 23 counties; 45 total in cited map,45,reported cases,v12_ohio_wnv_map,contextual_human_observation,high,County of residence is not county of exposure or infection; page data are not a vector record.,Context only; not a human-vector contact record or local transmission finding.
VS-005,2023,mosquito,species not specified in source,West Nile virus,Michigan MDHHS and local health departments,"local health-department mosquito sampling, identification, and laboratory testing",Michigan; Kent and Ottawa among positive-pool counties,state/participating counties,"6,351 mosquito pools tested",124 WNV-positive pools,124,pools,v12_mi_annual_2023,documented_surveillance,high,Participating jurisdictions and species/effort details vary.,"Positive pools are not human cases, contact, infection, or disease incidence."
VS-006,2023,mosquito,species not specified in source,Eastern equine encephalitis virus,Michigan MDHHS and local health departments,local health-department mosquito sampling and laboratory testing,Michigan participating jurisdictions,state/participating counties,"6,351 mosquito pools tested in annual arbovirus summary",4 EEE-positive pools,4,pools,v12_mi_annual_2023,documented_surveillance,moderate,The summary is not a uniform statewide abundance survey.,Separate pathogen stream; no human-case or transmission inference.
VS-007,2023,mosquito,species not specified in source,Jamestown Canyon virus,Michigan MDHHS and local health departments,local health-department mosquito sampling and laboratory testing,Michigan participating jurisdictions,state/participating counties,"6,351 mosquito pools tested in annual arbovirus summary",6 JCV-positive pools,6,pools,v12_mi_annual_2023,documented_surveillance,moderate,Species-level pool composition and effort distribution are not supplied.,Separate pathogen stream; no human-case or transmission inference.
VS-008,2023,mosquito,species not specified in source,arbovirus group,Michigan MDHHS and local health departments,local health-department mosquito sampling and laboratory testing,Michigan participating jurisdictions,state/participating counties,"6,351 mosquito pools tested",total mosquito pools tested,6351,pools,v12_mi_annual_2023,documented_surveillance,high,"Annual total is a program denominator, not comparable abundance across programs.",Retained as effort/context only.
VS-009,2026,mosquito,species not specified in source,West Nile virus,Michigan MDHHS 2026 weekly arbovirus summary,mosquito-pool testing,Michigan; Kent (2) and Ottawa (1) positive pools,state/county,"536 pools and 7,383 mosquitoes tested as of 2026-06-12",3 WNV-positive pools,3,pools,v12_mi_wnv,documented_surveillance,high,Weekly summary is date-bounded and not a full-season total.,Positive pool record only; no human-case or transmission inference.
VS-010,2026,mosquito,species not specified in source,Jamestown Canyon virus,Michigan MDHHS 2026 weekly arbovirus summary,mosquito-pool testing,Michigan; Kent positive pool,state/county,"536 pools and 7,383 mosquitoes tested as of 2026-06-12",1 JCV-positive pool,1,pool,v12_mi_wnv,documented_surveillance,moderate,Weekly summary is date-bounded and species-level effort is not reported.,Separate pathogen stream; no human-case or transmission inference.
VS-011,2023,mosquito,Aedes albopictus and Aedes aegypti,not specified,"Michigan MDHHS, Kent County Health Department and partners",property detection; enhanced trapping; control response,Kent County property,county/property,Enhanced trapping reported; trap count not reported,detected at a local property in Aug–Sep 2023; retained as program context,,detection record,v12_mi_annual_2023,documented_detection,high,"The source describes first Kent County detection and enhanced trapping, not a county-wide range.","Detection is not establishment, abundance, or a continuous distribution."
VS-012,2026,mosquito,species not specified in release,West Nile virus,Indiana Department of Health,mosquito testing,Indiana; 33 counties,state/county,Sampling effort not specified in release,mosquitoes tested positive in 33 counties,33,counties,v12_in_wnv_2026,documented_surveillance,moderate,No comparable county effort or species breakdown is supplied.,Positive mosquitoes are not human cases or local transmission proof.
VS-013,2026,human-case-context,not applicable,West Nile virus,Indiana human surveillance,reported human disease surveillance,"Allen County, Indiana; county of residence",county of residence,Case reporting; sampling effort not applicable,first reported 2026 human case in Indiana,1,reported case,v12_in_wnv_2026,contextual_human_observation,high,Patient details are withheld and case geography is residence-based.,"Context only; not vector abundance, contact, infection probability, or local transmission proof."
VS-014,2023,mosquito,Aedes albopictus,not specified,Indiana Department of Health,distribution-map record; method/effort not reported,Indiana; map includes northern and southern counties,state/county,Sampling effort not reported on page,known distribution map record,,distribution record,v12_in_ae_albopictus,documented_distribution_context,moderate,Map was updated February 2023 and does not provide a continuous range or abundance.,"Presence/detection context is not establishment, abundance, or contact."
VS-015,2023,tick,Ixodes scapularis,not assessed in this record,CDC ArboNET Tick Module,county status table; underlying passive jurisdictional surveillance,selected Western Basin core counties,county,County-specific collection effort not reported; status threshold is six or more ticks of one life stage or more than one life stage within 12 months,see county status rows VS-016 onward,,county status,v12_cdc_tick_sets,documented_surveillance,high,The table explicitly says no records are not absence and status is cumulative.,Program-level method record; county rows retain their own status and scale.
VS-016,2023,tick,Ixodes scapularis,not assessed in this record,CDC ArboNET Tick Module,county status table,"Allen County, IN",county,County effort not reported; threshold-based status,established,,county status,v12_cdc_ixodes,documented_surveillance,high,Established means CDC status threshold was met; not an abundance estimate.,County record is not precise local distribution.
VS-017,2023,tick,Ixodes scapularis,not assessed in this record,CDC ArboNET Tick Module,county status table,"DeKalb County, IN",county,County effort not reported; threshold-based status,established,,county status,v12_cdc_ixodes,documented_surveillance,high,Established means CDC status threshold was met; not an abundance estimate.,County record is not precise local distribution.
VS-018,2023,tick,Ixodes scapularis,not assessed in this record,CDC ArboNET Tick Module,county status table,"Steuben County, IN",county,County effort not reported; threshold-based status,established,,county status,v12_cdc_ixodes,documented_surveillance,high,Established means CDC status threshold was met; not an abundance estimate.,County record is not precise local distribution.
