scenario_id,scenario_year,pathway_family,baseline_object_id,change_type,state,reality_status,relationship_basis,assumption_id,plausibility,uncertainty,source_or_basis,notes
A,2050,Drinking Water / HAB,P-01,monitoring_expanded,monitoring and control capacity is strengthened,fictional,scenario delta over validated 2026 baseline,EA-01-01,high,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
A,2050,Ambient Air,P-02,monitoring_expanded,monitoring and control capacity is strengthened,fictional,scenario delta over validated 2026 baseline,EA-01-02,high,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
A,2050,Soil / Groundwater / Legacy Contamination,P-03,monitoring_expanded,monitoring and control capacity is strengthened,fictional,scenario delta over validated 2026 baseline,EA-01-03,high,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
A,2050,Food / Fish / Recreational Water,P-04,monitoring_expanded,monitoring and control capacity is strengthened,fictional,scenario delta over validated 2026 baseline,EA-01-04,high,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
A,2050,Heat,P-05,monitoring_expanded,monitoring and control capacity is strengthened,fictional,scenario delta over validated 2026 baseline,EA-01-05,high,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
A,2075,Drinking Water / HAB,P-01,monitoring_expanded,monitoring and control capacity is strengthened,fictional,scenario delta over validated 2026 baseline,EA-02-01,high,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
A,2075,Ambient Air,P-02,monitoring_expanded,monitoring and control capacity is strengthened,fictional,scenario delta over validated 2026 baseline,EA-02-02,high,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
A,2075,Soil / Groundwater / Legacy Contamination,P-03,monitoring_expanded,monitoring and control capacity is strengthened,fictional,scenario delta over validated 2026 baseline,EA-02-03,high,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
A,2075,Food / Fish / Recreational Water,P-04,monitoring_expanded,monitoring and control capacity is strengthened,fictional,scenario delta over validated 2026 baseline,EA-02-04,high,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
A,2075,Heat,P-05,monitoring_expanded,monitoring and control capacity is strengthened,fictional,scenario delta over validated 2026 baseline,EA-02-05,high,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
B,2050,Drinking Water / HAB,P-01,persist,managed controls persist with heterogeneous capacity,fictional,scenario delta over validated 2026 baseline,EA-03-01,moderate,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
B,2050,Ambient Air,P-02,persist,managed controls persist with heterogeneous capacity,fictional,scenario delta over validated 2026 baseline,EA-03-02,moderate,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
B,2050,Soil / Groundwater / Legacy Contamination,P-03,persist,managed controls persist with heterogeneous capacity,fictional,scenario delta over validated 2026 baseline,EA-03-03,moderate,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
B,2050,Food / Fish / Recreational Water,P-04,persist,managed controls persist with heterogeneous capacity,fictional,scenario delta over validated 2026 baseline,EA-03-04,moderate,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
B,2050,Heat,P-05,persist,managed controls persist with heterogeneous capacity,fictional,scenario delta over validated 2026 baseline,EA-03-05,moderate,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
B,2075,Drinking Water / HAB,P-01,persist,managed controls persist with heterogeneous capacity,fictional,scenario delta over validated 2026 baseline,EA-04-01,moderate,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
B,2075,Ambient Air,P-02,persist,managed controls persist with heterogeneous capacity,fictional,scenario delta over validated 2026 baseline,EA-04-02,moderate,moderate,Phase 7C scenario basis,Does not assert exposure or dose.
