authority_id,actor_id,domain_system,authority_or_role,authority_type,binding_or_nonbinding,legal_or_operational_basis,geographic_scope,jurisdictional_scale,source_id,evidence_strength,reality_status,canon_status,notes
AUTH-001,GA-001,Water,regulate,regulatory_authority,binding,Safe Drinking Water Act / federal drinking-water standards context,United States,federal,s01_epa_sdwa,high,real,verified,Federal standards are not municipal operation.
AUTH-002,GA-001,Water,set_standard,standard_setting,binding,National Primary Drinking Water Regulations,United States,federal,s01_epa_sdwa,high,real,verified,A standard is not a treatment-plant operating command.
AUTH-003,GA-001,Water,coordinate,coordination,mixed,EPA program and intergovernmental coordination roles,Great Lakes / United States,federal,s15_glwqa,moderate,real,verified,Coordination is distinct from each state or local permit.
AUTH-004,GA-001,Water,monitor,monitoring,not_applicable,Great Lakes monitoring and environmental data programs,Great Lakes,federal,s07_glerl,moderate,real,verified,Monitoring does not itself regulate or operate.
AUTH-005,GA-002,Water,regulate,regulatory_authority,binding,Ohio public-water program and water-quality law/program administration,Ohio,state,s02_ohio_pws,high,real,verified,Scope is program-specific.
AUTH-006,GA-002,Water,permit,permitting,binding,"Ohio NPDES, permit-to-install, 401 certification, and wetland permit programs",Ohio,state,s05_ohio_npdes,high,real,verified,Permitting is not physical operation.
AUTH-007,GA-002,Water,enforce,enforcement,binding,Ohio environmental compliance and permit enforcement programs,Ohio,state,s05_ohio_npdes,moderate,real,verified,No facility-specific enforcement finding is made.
AUTH-008,GA-002,Water,monitor,monitoring,not_applicable,Public-water monitoring requirements and environmental monitoring programs,Ohio,state,s02_ohio_pws,high,real,verified,Monitoring is not the same as regulation even when the same agency administers both.
AUTH-009,GA-002,Biogeochemical / Nutrient Flux,regulate,regulatory_authority,binding,Ohio NPDES point-source and stormwater permitting framework,Ohio,state,s05_ohio_npdes,high,real,verified,Point-source regulation is not a farm-level diffuse-source obligation.
AUTH-010,GA-002,Ecology / Biodiversity,permit,permitting,binding,Ohio 401 and isolated-wetland program context,Ohio,state,s05_ohio_npdes,high,real,verified,Ecological interest alone does not establish this permit role; the program source does.
AUTH-011,GA-002,Environmental Health / Exposure,monitor,monitoring,not_applicable,Ohio environmental monitoring and reporting programs,Ohio,state,s09_ohio_air,moderate,real,verified,No medical or individual-exposure conclusion is inferred.
AUTH-012,GA-003,Water,own,ownership,not_applicable,City description of a city-owned and operated water system,Toledo and surrounding service areas,municipal,s03_toledo_treatment,high,real,verified,Ownership does not equal state regulation.
AUTH-013,GA-003,Water,operate,operational_control,not_applicable,City authority over public utilities and water treatment division,Toledo and surrounding service areas,municipal,s03_toledo_treatment,high,real,verified,Operational control is not federal/state regulatory authority.
AUTH-014,GA-004,Water,operate,operational_control,not_applicable,City water-treatment division operates and maintains treatment/distribution facilities,Toledo service area,public utility,s03_toledo_treatment,high,real,verified,"The utility is an operator, not the primary drinking-water regulator."
AUTH-015,GA-004,Water,monitor,monitoring,not_applicable,Certified laboratory and routine plant/distribution sampling described by the City,Toledo service area,public utility,s04_toledo_quality,high,real,verified,Monitoring does not create independent regulatory authority.
AUTH-016,GA-004,Environmental Health / Exposure,provide_data,scientific_information,not_applicable,Public water-quality reporting and laboratory results,Toledo service area,public utility,s04_toledo_quality,high,real,verified,Public data are not themselves legal decisions.
AUTH-017,GA-005,Water,monitor,monitoring,not_applicable,USGS monitoring locations and continuous/daily water data,United States / monitoring locations,federal,s06_usgs_data,high,real,verified,"No permit, enforcement, or operational role."
AUTH-018,GA-005,Climate / Natural Hazards,provide_data,scientific_information,not_applicable,USGS water observations and alert/data services,United States / monitoring locations,federal,s06_usgs_data,high,real,verified,Observation can inform decisions without binding authority.
AUTH-019,GA-005,Water,research,research,not_applicable,USGS water-science mission and data services,United States,federal,s06_usgs_data,high,real,verified,Research is distinct from regulation.
AUTH-020,GA-006,Climate / Natural Hazards,warn,warning,not_applicable,NWS mission to provide forecasts and warnings,United States / forecast areas,federal,s36_nws,high,real,verified,Warning is not emergency command or asset operation.
AUTH-021,GA-006,Climate / Natural Hazards,monitor,monitoring,not_applicable,"Weather, water, and climate observation services",United States / forecast areas,federal,s36_nws,high,real,verified,Observation is not regulation.
AUTH-022,GA-006,Data / Sensors / Security,provide_data,scientific_information,not_applicable,"Forecast, warning, and decision-support information",United States / forecast areas,federal,s36_nws,high,real,verified,Information is not legal decision authority.
AUTH-023,GA-007,Data / Sensors / Security,research,research,not_applicable,"Great Lakes observing, research, and modeling programs",Great Lakes,federal,s07_glerl,high,real,verified,No direct permit or operating control.
AUTH-024,GA-007,Ecology / Biodiversity,monitor,monitoring,not_applicable,Great Lakes ecological monitoring and observation programs,Great Lakes,federal,s07_glerl,high,real,verified,Monitoring does not equal ecological regulation.
AUTH-025,GA-007,Water,provide_data,scientific_information,not_applicable,Research products inform resource-use and management decisions,Great Lakes,federal,s07_glerl,high,real,verified,Scientific information does not bind the recipient.
AUTH-026,GA-008,Ecology / Biodiversity,permit,permitting,binding,USACE Regulatory Program and permit system,United States / covered waters and projects,federal,s07_usace_regulatory,high,real,verified,Permit authority is activity-specific and not ownership or operation.
AUTH-027,GA-008,Ecology / Biodiversity,enforce,enforcement,binding,USACE regulatory compliance framework,United States / covered activities,federal,s07_usace_regulatory,moderate,real,verified,No site-specific enforcement action is asserted.
AUTH-028,GA-009,Ecology / Biodiversity,monitor,monitoring,not_applicable,National Wetlands Inventory mapping and status/trends work,United States,federal,s08_usfws_nwi,high,real,verified,Inventory and monitoring are not permit authority.
AUTH-029,GA-009,Ecology / Biodiversity,research,research,not_applicable,Fish and wildlife information and habitat science programs,United States,federal,s08_usfws_nwi,moderate,real,verified,No species-sensitive location or local enforcement claim.
AUTH-030,GA-009,Ecology / Biodiversity,restore,restoration,mixed,Federal conservation and restoration program context,United States / program sites,federal,s08_usfws_nwi,moderate,real,inferred,Restoration authority and funding are project-specific.
AUTH-031,GA-010,Climate / Natural Hazards,fund,funding,mixed,Conditional mitigation assistance and FEMA program funding,"United States / state, tribal, and local partners",federal,s35_fema_mitigation,high,real,verified,Funding conditions do not make FEMA the local operator.
AUTH-032,GA-010,Climate / Natural Hazards,plan,planning,nonbinding,Hazard mitigation planning guidance and plan framework,"United States / state, tribal, and local governments",federal,s35_fema_mitigation,high,real,verified,Planning is distinct from local land-use administration.
AUTH-033,GA-010,Climate / Natural Hazards,provide_data,scientific_information,not_applicable,National Flood Hazard Layer and flood-data services,United States / mapped communities,federal,s34_fema_nfhl,high,real,verified,"NFHL is mapped regulatory context, not a local floodplain operator."
AUTH-034,GA-011,Biogeochemical / Nutrient Flux,fund,funding,mixed,EQIP conservation financial assistance,United States / Ohio producers,federal,s12_nrcs_eqip,high,real,verified,Financial assistance is not a general enforceable nutrient mandate.
AUTH-035,GA-011,Biogeochemical / Nutrient Flux,advise,advisory,nonbinding,NRCS technical assistance and conservation planning,Ohio agricultural producers,federal,s11_nrcs_ohio,high,real,verified,Technical assistance is not regulation.
AUTH-036,GA-011,Water,plan,planning,nonbinding,Conservation planning and practice assistance,Ohio agricultural producers,federal,s12_nrcs_eqip,high,real,verified,Planning target or plan is not an individual legal obligation absent separate authority.
AUTH-037,GA-012,Biogeochemical / Nutrient Flux,coordinate,coordination,mixed,Ohio agricultural and H2Ohio program coordination context,Ohio,state,s44_ohio_oda,moderate,real,verified,No universal farm-level nutrient mandate is inferred.
AUTH-038,GA-012,Biogeochemical / Nutrient Flux,advise,advisory,nonbinding,Agricultural program and technical-partner context,Ohio,state,s10_h2ohio,moderate,real,verified,Advice and incentives do not equal permit obligations.
AUTH-039,GA-013,Biogeochemical / Nutrient Flux,advise,advisory,nonbinding,Local conservation assistance and H2Ohio partner pathway,Lucas County,special district,s10_h2ohio,moderate,real,verified,Voluntary conservation support is not regulation.
AUTH-040,GA-013,Biogeochemical / Nutrient Flux,plan,planning,nonbinding,Conservation planning and technical assistance,Lucas County,special district,s11_nrcs_ohio,moderate,real,verified,No achieved reduction or binding individual duty is asserted.
AUTH-041,GA-014,Geology / Strategic Materials,monitor,monitoring,not_applicable,Ohio natural-resource and geology information context,Ohio,state,s45_odnr,limited,real,inferred,"Limited monitoring interface; no site-specific mineral permit, reserve, production, or facility authority is inferred."
AUTH-042,GA-014,Ecology / Biodiversity,restore,restoration,mixed,Ohio natural-resource restoration program context,Ohio,state,s45_odnr,limited,real,inferred,Restoration role is program/site dependent.
AUTH-043,GA-015,Water,regulate,regulatory_authority,binding,"Michigan water standards, permits, and compliance programs",Michigan / Great Lakes waters,state,s37_michigan_egle,high,real,verified,Neighboring-state role is not a Western Basin-wide authority.
AUTH-044,GA-015,Water,permit,permitting,binding,"Michigan wastewater, shoreline, dredging, and water-resource permits",Michigan / Great Lakes waters,state,s37_michigan_egle,high,real,verified,Permit scope is activity and location specific.
AUTH-045,GA-015,Water,monitor,monitoring,not_applicable,Michigan water monitoring and assessment programs,Michigan / Great Lakes waters,state,s37_michigan_egle,high,real,verified,Monitoring does not equal operation.
AUTH-046,GA-016,Water,regulate,regulatory_authority,binding,Indiana environmental program context,Indiana,state,s46_indiana_idem,limited,real,inferred,No particular Western Basin permit is assigned.
AUTH-047,GA-017,Water,advise,advisory,nonbinding,Great Lakes Commission policy recommendations,Great Lakes states and Canadian observers,interstate,s13_glc,high,real,verified,Advisory and policy coordination are not domestic regulation.
AUTH-048,GA-017,Water,coordinate,coordination,nonbinding,Compact agency coordination across Great Lakes governments,Great Lakes basin,interstate,s13_glc,high,real,verified,No individual permit or enforcement power is inferred.
AUTH-049,GA-018,Water,coordinate,coordination,mixed,Great Lakes–St. Lawrence water-management framework,Eight states and two provinces,binational,s14_gsgp,high,real,verified,Regional framework does not replace state implementation.
AUTH-050,GA-018,Water,plan,planning,nonbinding,Regional restoration and water-management priorities,Great Lakes basin,binational,s14_gsgp,high,real,verified,Planning is not facility operation.
AUTH-051,GA-019,Water,advise,advisory,nonbinding,Boundary-water reference and advisory context,United States–Canada boundary waters,binational,s16_ijc,limited,real,inferred,No direct domestic permitting or enforcement authority is asserted.
