edge_id,system_a,system_b,actor_a,actor_b,role_a,role_b,dependency_type,coordination_mechanism,source_id,evidence_strength,notes
GEDGE-001,Biogeochemical / Nutrient Flux,Water,GA-012,GA-002,coordinate,regulate,split_responsibility,planning process,s10_h2ohio,moderate,Agricultural program coordination and point-source water regulation are separate institutional tracks; no individual nutrient duty is inferred.
GEDGE-002,Water,Water,GA-002,GA-004,regulate,operate,mandatory_coordination,statute/regulation,s02_ohio_pws,high,Ohio EPA public-water requirements constrain the operator; no facility-specific permit is claimed by this general program source.
GEDGE-003,Water,Water,GA-005,GA-002,monitor,regulate,information_dependency,scientific/data-sharing network,s06_usgs_data,high,"USGS water observations may inform regulation, but observation does not transfer regulatory authority."
GEDGE-004,Water,Water,GA-004,GA-002,monitor,regulate,mandatory_coordination,statute/regulation,s04_toledo_quality,high,Toledo water monitoring/reporting supports Ohio EPA compliance; the utility remains the operator and Ohio EPA remains the regulator.
GEDGE-005,Water,Water,GA-007,GA-004,research,operate,monitoring-without-control,scientific/data-sharing network,s07_glerl,moderate,Great Lakes research can inform management decisions without controlling the treatment plant.
GEDGE-006,Climate / Natural Hazards,Energy / Grid / Compute,GA-006,GA-030,warn,operate,information_dependency,emergency protocol,s36_nws,moderate,Weather warnings may inform utility operations; no formal utility protocol or outcome is asserted.
GEDGE-007,Energy / Grid / Compute,Energy / Grid / Compute,GA-026,GA-030,operate,operate,public_private_dependency,market/operator rule,s24_pjm,high,PJM wholesale/high-voltage operation and utility asset operation are linked but not identical; PJM is not utility ownership.
GEDGE-008,Energy / Grid / Compute,Energy / Grid / Compute,GA-024,GA-026,regulate,operate,sequential_authority,market/operator rule,s21_ferc,high,FERC regulatory oversight and PJM operation occupy different institutional roles.
GEDGE-009,Energy / Grid / Compute,Energy / Grid / Compute,GA-025,GA-030,set_standard,operate,control-without-direct-observation,market/operator rule,s23_nerc,high,Reliability standards create requirements without making NERC the owner or physical operator of utility assets.
GEDGE-010,Energy / Grid / Compute,Energy / Grid / Compute,GA-027,GA-030,regulate,operate,sequential_authority,statute/regulation,s25_puco,high,PUCO economic/service regulation is distinct from utility operation.
GEDGE-011,Climate / Natural Hazards,Climate / Natural Hazards,GA-006,GA-038,warn,plan,emergency_coordination,emergency protocol,s36_nws,moderate,NWS warning provision is documented; the specific warning-to-county planning protocol is inferred and no command structure is modeled.
GEDGE-012,Climate / Natural Hazards,Climate / Natural Hazards,GA-010,GA-038,fund,plan,funding_dependency,funding program,s35_fema_mitigation,high,FEMA assistance and planning conditions can support local mitigation without making FEMA the local planner/operator.
GEDGE-013,Climate / Natural Hazards,Climate / Natural Hazards,GA-010,GA-038,provide_data,plan,information_dependency,planning process,s34_fema_nfhl,high,NFHL data inform local planning; mapped data are not local ownership or observed-event control.
GEDGE-014,Ecology / Biodiversity,Ecology / Biodiversity,GA-008,GA-002,permit,permit,overlapping_authority,permit,s05_ohio_npdes,moderate,"Ohio EPA source documents state permitting; the overlap with USACE is a qualified project inference, not a blanket legal conclusion."
GEDGE-015,Ecology / Biodiversity,Ecology / Biodiversity,GA-009,GA-008,monitor,permit,monitoring-without-control,scientific/data-sharing network,s08_usfws_nwi,moderate,USFWS inventory/monitoring may inform decisions without itself being the permitter.
GEDGE-016,Water,Water,GA-002,GA-015,regulate,regulate,interstate_dependency,compact,s14_gsgp,moderate,Ohio and Michigan state programs are separate authorities connected through regional Great Lakes coordination; no shared regulator is created.
GEDGE-017,Water,Water,GA-020,GA-019,coordinate,coordinate,binational_dependency,treaty/agreement,s15_glwqa,limited,"GLWQA implementation and IJC reference/coordination roles are binational interfaces, not domestic permits."
GEDGE-018,Ecology / Biodiversity,Water,GA-021,GA-018,advise,coordinate,advisory_relationship,consultation relationship,s17_glifwc,moderate,Intertribal treaty-rights/resource expertise may inform regional coordination; no Western Basin jurisdiction is inferred.
GEDGE-019,Ecology / Biodiversity,Water,GA-022,GA-001,advise,coordinate,advisory_relationship,consultation relationship,s18_epa_tribal,limited,EPA describes Tribal-government involvement; this does not establish a specific nation-specific project jurisdiction.
GEDGE-020,Biogeochemical / Nutrient Flux,Water,GA-011,GA-013,advise,advise,voluntary_coordination,funding program,s11_nrcs_ohio,moderate,NRCS technical/financial assistance and local conservation support are voluntary/program-based rather than general regulation.
GEDGE-021,Freight / Industry,Freight / Industry,GA-032,GA-031,fund,own,funding_dependency,funding program,s29_fhwa,high,Federal freight funding and state public-road ownership/operation are sequential support roles.
GEDGE-022,Freight / Industry,Freight / Industry,GA-033,GA-036,regulate,operate,public_private_dependency,statute/regulation,s30_fra,high,FRA safety regulation/enforcement and Norfolk Southern private operation are distinct.
GEDGE-023,Freight / Industry,Freight / Industry,GA-035,GA-037,own,operate,public_private_dependency,memorandum/agreement,s32_port,moderate,Port-authority facilities and private railroad operation can interface without public operation of the railroad.
GEDGE-024,Freight / Industry,Freight / Industry,GA-034,GA-035,plan,own,funding_dependency,funding program,s31_marad,limited,Federal maritime assistance may interface with port-authority facilities; no project-specific award or control is asserted.
GEDGE-025,Environmental Health / Exposure,Water,GA-039,GA-004,monitor,operate,monitoring-without-control,scientific/data-sharing network,s40_lucas_health,limited,Local health information can inform utility/public-health decisions without controlling treatment operations.
