source_id,title,url,source_type,evidence_role,source_scope,retrieval_date,retrieval_status,use_limitations
GFS-001,Great Lakes Commission — About,https://www.glc.org/about,interstate_institutional_source,Great Lakes Commission structure and coordination role,Great Lakes states and Canadian provinces,2026-09-07,retrieved,Supports institutional precedent and coordination context; it is not a future legal forecast.
GFS-002,Great Lakes–St. Lawrence Governors & Premiers — Water Management,https://www.cglg.org/projects/water-management,binational_institutional_source,regional water-management framework and implementation coordination,eight states and two provinces,2026-09-07,retrieved,Supports coordination precedent; it does not establish a future Western Basin government.
GFS-003,Great Lakes Indian Fish & Wildlife Commission,https://www.glifwc.org,tribal_primary_source,"intertribal natural-resource, treaty-rights, and information functions",member tribes and treaty-ceded territories,2026-09-07,retrieved,Supports GLIFWC as an intertribal body; it does not support assigning new Western Basin jurisdiction.
GFS-004,NIST AI Risk Management Framework,https://www.nist.gov/itl/ai-risk-management-framework,federal_governance_guidance,voluntary trustworthy-AI risk-management and public/private collaboration context,United States / general,2026-09-07,retrieved,Supports bounded decision-support governance; no future AI deployment or legal authority is forecast.
GFS-005,NIST Privacy Framework,https://www.nist.gov/privacy-framework,federal_governance_guidance,privacy-aware data stewardship and risk management,United States / general,2026-09-07,retrieved,Supports privacy-aware federation; no personal dataset or privacy score is modeled.
GFS-006,NOAA Integrated Ocean Observing System,https://ioos.noaa.gov,federal_observing_system_source,"integrated observing network, predictive tools, and public-safety information",coasts and Great Lakes,2026-09-07,retrieved,Supports an observing-system precedent; it does not imply complete future coverage or authority.
GFS-007,DOE Grid Modernization and the Smart Grid,https://www.energy.gov/oe/grid-modernization-and-smart-grid,federal_infrastructure_guidance,public/private grid modernization and interoperable technology context,United States / general,2026-09-07,retrieved,"Supports public/private coordination context; no local asset topology, dispatch, or control claim is made."
GFS-008,FEMA Hazard Mitigation Planning,https://www.fema.gov/emergency-managers/risk-management/hazard-mitigation-planning,federal_planning_guidance,hazard-mitigation planning exchange and planning support,"United States / state, tribal, and local partners",2026-09-07,retrieved,Supports planning and finance context; it does not make FEMA the local operator or regulator.
GFS-009,USGS Climate Adaptation Science Centers,https://www.usgs.gov/programs/climate-adaptation-science-centers,federal_science_network,adaptation science partnerships and actionable data/tools,United States / regional centers,2026-09-07,retrieved,Supports adaptation-learning context; it does not quantify future governance performance.
GFS-010,Ostrom — A General Framework for Analyzing Sustainability of Social-Ecological Systems,https://www.science.org/doi/10.1126/science.1172133,peer_reviewed_governance_literature,multi-level social-ecological systems and institutional diversity,general / social-ecological systems,2026-09-07,retrieved,Supports polycentric and multi-level analysis; it is not a Western Basin forecast or governance ranking.
GFS-011,Canada — Great Lakes Water Quality Agreement,https://www.canada.ca/en/environment-climate-change/corporate/international-affairs/partnerships-countries-regions/north-america/great-lakes-water-quality-agreement.html,binational_treaty_source,"GLWQA agreement status, objectives, annexes, implementation, and reporting context",Canada–United States Great Lakes,2026-09-07,delegated_research_retrieved,Current agreement context only; no future treaty amendment or domestic authority is inferred.
GFS-012,Canada Water Agency — Great Lakes Protection,https://www.canada.ca/en/canada-water-agency/freshwater-ecosystem-initiatives/great-lakes/great-lakes-protection/canada-united-states-water-quality-agreement.html,binational_program_source,"GLWQA implementation, consultation, participation, and adaptive-management context",Canada–United States Great Lakes,2026-09-07,delegated_research_retrieved,Supports current participation context; future participation changes remain scenario assumptions.
GFS-013,International Joint Commission — Role,https://ijc.org/en/who/role,binational_treaty_body_source,"IJC case-by-case boundary-water approval, investigation, recommendation, and order context",United States–Canada boundary waters,2026-09-07,delegated_research_retrieved,Current role context only; recommendations and project approvals are not generalized into a basin regulator.
GFS-014,International Joint Commission — Boards,https://ijc.org/en/who/boards,binational_adaptive_management_source,Great Lakes–St. Lawrence adaptive-management and assessment precedent,Great Lakes–St. Lawrence,2026-09-07,delegated_research_retrieved,Supports adaptive-assessment precedent; no future board authority is predicted.
GFS-015,Great Lakes St. Lawrence Governors & Premiers — Agreement and Compact,https://www.gsgp.org/projects/water-management/great-lakes-agreement-and-compact,binational_state_provincial_source,state/provincial water-management framework and implementation context,eight states and two provinces,2026-09-07,delegated_research_retrieved,Supports current framework precedent; no future legal change is inferred.
GFS-016,Folke et al. — Adaptive Governance of Social-Ecological Systems,https://doi.org/10.1146/annurev.energy.30.050504.144511,peer_reviewed_governance_literature,"multi-level networks, learning, bridging organizations, and adaptive co-management",general / social-ecological systems,2026-09-07,delegated_research_retrieved,"Literature basis for scenario construction, not a Western Basin forecast."
GFS-017,"Chaffin, Gosnell & Cosens — Adaptive Governance in the Anthropocene",https://www.ecologyandsociety.org/vol19/iss3/art56/,peer_reviewed_governance_literature,adaptive governance under complexity and uncertainty,general / social-ecological systems,2026-09-07,delegated_research_retrieved,"Literature basis; institutionalization remains an uncertainty, not a predicted outcome."
GFS-018,Carlisle & Gruby — Polycentric Systems of Governance,https://doi.org/10.1111/psj.12212,peer_reviewed_governance_literature,"polycentricity, semiautonomous centers, redundancy, and conflict resolution",general governance systems,2026-09-07,delegated_research_retrieved,Supports Scenario B design; multiplicity does not guarantee resilience or effectiveness.
GFS-019,"Weber & Khademian — Wicked Problems, Knowledge Challenges",https://doi.org/10.1111/j.1540-6210.2007.00866.x,peer_reviewed_governance_literature,"network knowledge transfer, integration, and collaborative capacity",general public administration,2026-09-07,delegated_research_retrieved,Supports network friction and knowledge-integration assumptions; not a local forecast.
