state_id,scenario_id,scenario,horizon,archetype,baseline_surveillance_ids,surveillance_capacity_state,detection_latency_state,coverage_and_method_state,observation_interface,reported_observation_boundary,current_fact,scenario_assumption,scenario_consequence,assumption_id,source_or_basis,plausibility,uncertainty,reality_status,canon_status,relationship_basis,notes
IDFS-A2050-vectorborne,A2050,Coordinated Prevention & Detection,2050,vector-borne,SUR-001;SUR-002;SUR-003,"surveillance coverage and integration are stronger in selected programs, with wastewater, laboratory, vector, veterinary, and healthcare/AMR links more connected",detection latency improves in priority interfaces,"methods, denominators, and native scales remain distinct even where data exchange is stronger","Observation interfaces for vector-borne retain native program, laboratory, sewershed, facility, animal, county, and regional scales.",more detection and reporting can produce more recorded observations without implying more underlying disease,CURRENT FACT (2026 baseline): Phase 13A/13B provide surveillance and observation interfaces for vector-borne; these do not form a complete disease denominator.,"SCENARIO ASSUMPTION: Wastewater, laboratory, vector, veterinary, and healthcare/AMR observation streams gain stronger interoperability and emerging and selective review routines without creating a common disease denominator. 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.","SCENARIO CONSEQUENCE: 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems. Detection timing and coverage change qualitatively; Surveillance sensitivity is not disease intensity; detection capacity is not disease prevalence, incidence, or burden.",IDFA-A2050-03,s13_nndss_about,moderate,moderate,fictional,scenario,scenario_assumption,"Surveillance sensitivity is not disease intensity; detection capacity is not disease prevalence, incidence, or burden. More detection can produce more reported observations without implying more underlying disease."
IDFS-A2050-waterborneenvironmental,A2050,Coordinated Prevention & Detection,2050,waterborne/environmental,SUR-004;SUR-005,"surveillance coverage and integration are stronger in selected programs, with wastewater, laboratory, vector, veterinary, and healthcare/AMR links more connected",detection latency improves in priority interfaces,"methods, denominators, and native scales remain distinct even where data exchange is stronger","Observation interfaces for waterborne/environmental retain native program, laboratory, sewershed, facility, animal, county, and regional scales.",more detection and reporting can produce more recorded observations without implying more underlying disease,CURRENT FACT (2026 baseline): Phase 13A/13B provide surveillance and observation interfaces for waterborne/environmental; these do not form a complete disease denominator.,"SCENARIO ASSUMPTION: Wastewater, laboratory, vector, veterinary, and healthcare/AMR observation streams gain stronger interoperability and emerging and selective review routines without creating a common disease denominator. 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.","SCENARIO CONSEQUENCE: 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems. Detection timing and coverage change qualitatively; Surveillance sensitivity is not disease intensity; detection capacity is not disease prevalence, incidence, or burden.",IDFA-A2050-03,s13_nndss_about,moderate,moderate,fictional,scenario,scenario_assumption,"Surveillance sensitivity is not disease intensity; detection capacity is not disease prevalence, incidence, or burden. More detection can produce more reported observations without implying more underlying disease."
IDFS-A2050-foodborneenteric,A2050,Coordinated Prevention & Detection,2050,foodborne/enteric,SUR-006;SUR-007,"surveillance coverage and integration are stronger in selected programs, with wastewater, laboratory, vector, veterinary, and healthcare/AMR links more connected",detection latency improves in priority interfaces,"methods, denominators, and native scales remain distinct even where data exchange is stronger","Observation interfaces for foodborne/enteric retain native program, laboratory, sewershed, facility, animal, county, and regional scales.",more detection and reporting can produce more recorded observations without implying more underlying disease,CURRENT FACT (2026 baseline): Phase 13A/13B provide surveillance and observation interfaces for foodborne/enteric; these do not form a complete disease denominator.,"SCENARIO ASSUMPTION: Wastewater, laboratory, vector, veterinary, and healthcare/AMR observation streams gain stronger interoperability and emerging and selective review routines without creating a common disease denominator. 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.","SCENARIO CONSEQUENCE: 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems. Detection timing and coverage change qualitatively; Surveillance sensitivity is not disease intensity; detection capacity is not disease prevalence, incidence, or burden.",IDFA-A2050-03,s13_nndss_about,moderate,moderate,fictional,scenario,scenario_assumption,"Surveillance sensitivity is not disease intensity; detection capacity is not disease prevalence, incidence, or burden. More detection can produce more reported observations without implying more underlying disease."
IDFS-A2050-respiratory,A2050,Coordinated Prevention & Detection,2050,respiratory,SUR-008;SUR-009,"surveillance coverage and integration are stronger in selected programs, with wastewater, laboratory, vector, veterinary, and healthcare/AMR links more connected",detection latency improves in priority interfaces,"methods, denominators, and native scales remain distinct even where data exchange is stronger","Observation interfaces for respiratory retain native program, laboratory, sewershed, facility, animal, county, and regional scales.",more detection and reporting can produce more recorded observations without implying more underlying disease,CURRENT FACT (2026 baseline): Phase 13A/13B provide surveillance and observation interfaces for respiratory; these do not form a complete disease denominator.,"SCENARIO ASSUMPTION: Wastewater, laboratory, vector, veterinary, and healthcare/AMR observation streams gain stronger interoperability and emerging and selective review routines without creating a common disease denominator. 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.","SCENARIO CONSEQUENCE: 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems. Detection timing and coverage change qualitatively; Surveillance sensitivity is not disease intensity; detection capacity is not disease prevalence, incidence, or burden.",IDFA-A2050-03,s13_nndss_about,moderate,moderate,fictional,scenario,scenario_assumption,"Surveillance sensitivity is not disease intensity; detection capacity is not disease prevalence, incidence, or burden. More detection can produce more reported observations without implying more underlying disease."
IDFS-A2050-zoonotic,A2050,Coordinated Prevention & Detection,2050,zoonotic,SUR-010,"surveillance coverage and integration are stronger in selected programs, with wastewater, laboratory, vector, veterinary, and healthcare/AMR links more connected",detection latency improves in priority interfaces,"methods, denominators, and native scales remain distinct even where data exchange is stronger","Observation interfaces for zoonotic retain native program, laboratory, sewershed, facility, animal, county, and regional scales.",more detection and reporting can produce more recorded observations without implying more underlying disease,CURRENT FACT (2026 baseline): Phase 13A/13B provide surveillance and observation interfaces for zoonotic; these do not form a complete disease denominator.,"SCENARIO ASSUMPTION: Wastewater, laboratory, vector, veterinary, and healthcare/AMR observation streams gain stronger interoperability and emerging and selective review routines without creating a common disease denominator. 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.","SCENARIO CONSEQUENCE: 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems. Detection timing and coverage change qualitatively; Surveillance sensitivity is not disease intensity; detection capacity is not disease prevalence, incidence, or burden.",IDFA-A2050-03,s13_nndss_about,moderate,moderate,fictional,scenario,scenario_assumption,"Surveillance sensitivity is not disease intensity; detection capacity is not disease prevalence, incidence, or burden. More detection can produce more reported observations without implying more underlying disease."
IDFS-A2050-healthcareAMR,A2050,Coordinated Prevention & Detection,2050,healthcare/AMR,SUR-011;SUR-012,"surveillance coverage and integration are stronger in selected programs, with wastewater, laboratory, vector, veterinary, and healthcare/AMR links more connected",detection latency improves in priority interfaces,"methods, denominators, and native scales remain distinct even where data exchange is stronger","Observation interfaces for healthcare/AMR retain native program, laboratory, sewershed, facility, animal, county, and regional scales.",more detection and reporting can produce more recorded observations without implying more underlying disease,CURRENT FACT (2026 baseline): Phase 13A/13B provide surveillance and observation interfaces for healthcare/AMR; these do not form a complete disease denominator.,"SCENARIO ASSUMPTION: Wastewater, laboratory, vector, veterinary, and healthcare/AMR observation streams gain stronger interoperability and emerging and selective review routines without creating a common disease denominator. 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.","SCENARIO CONSEQUENCE: 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems. Detection timing and coverage change qualitatively; Surveillance sensitivity is not disease intensity; detection capacity is not disease prevalence, incidence, or burden.",IDFA-A2050-03,s13_nndss_about,moderate,moderate,fictional,scenario,scenario_assumption,"Surveillance sensitivity is not disease intensity; detection capacity is not disease prevalence, incidence, or burden. More detection can produce more reported observations without implying more underlying disease."
IDFS-A2075-vectorborne,A2075,Coordinated Prevention & Detection,2075,vector-borne,SUR-001;SUR-002;SUR-003,"surveillance coverage and integration are stronger in selected programs, with wastewater, laboratory, vector, veterinary, and healthcare/AMR links more connected",detection latency is routinely shorter in selected priority interfaces,"methods, denominators, and native scales remain distinct even where data exchange is stronger","Observation interfaces for vector-borne retain native program, laboratory, sewershed, facility, animal, county, and regional scales.",more detection and reporting can produce more recorded observations without implying more underlying disease,CURRENT FACT (2026 baseline): Phase 13A/13B provide surveillance and observation interfaces for vector-borne; these do not form a complete disease denominator.,"SCENARIO ASSUMPTION: Wastewater, laboratory, vector, veterinary, and healthcare/AMR observation streams gain stronger interoperability and institutionalized in selected interfaces review routines without creating a common disease denominator. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","SCENARIO CONSEQUENCE: 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains. Detection timing and coverage change qualitatively; Surveillance sensitivity is not disease intensity; detection capacity is not disease prevalence, incidence, or burden.",IDFA-A2075-03,s13_nndss_about,moderate,moderate,fictional,scenario,scenario_assumption,"Surveillance sensitivity is not disease intensity; detection capacity is not disease prevalence, incidence, or burden. More detection can produce more reported observations without implying more underlying disease."
IDFS-A2075-waterborneenvironmental,A2075,Coordinated Prevention & Detection,2075,waterborne/environmental,SUR-004;SUR-005,"surveillance coverage and integration are stronger in selected programs, with wastewater, laboratory, vector, veterinary, and healthcare/AMR links more connected",detection latency is routinely shorter in selected priority interfaces,"methods, denominators, and native scales remain distinct even where data exchange is stronger","Observation interfaces for waterborne/environmental retain native program, laboratory, sewershed, facility, animal, county, and regional scales.",more detection and reporting can produce more recorded observations without implying more underlying disease,CURRENT FACT (2026 baseline): Phase 13A/13B provide surveillance and observation interfaces for waterborne/environmental; these do not form a complete disease denominator.,"SCENARIO ASSUMPTION: Wastewater, laboratory, vector, veterinary, and healthcare/AMR observation streams gain stronger interoperability and institutionalized in selected interfaces review routines without creating a common disease denominator. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","SCENARIO CONSEQUENCE: 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains. Detection timing and coverage change qualitatively; Surveillance sensitivity is not disease intensity; detection capacity is not disease prevalence, incidence, or burden.",IDFA-A2075-03,s13_nndss_about,moderate,moderate,fictional,scenario,scenario_assumption,"Surveillance sensitivity is not disease intensity; detection capacity is not disease prevalence, incidence, or burden. More detection can produce more reported observations without implying more underlying disease."
IDFS-A2075-foodborneenteric,A2075,Coordinated Prevention & Detection,2075,foodborne/enteric,SUR-006;SUR-007,"surveillance coverage and integration are stronger in selected programs, with wastewater, laboratory, vector, veterinary, and healthcare/AMR links more connected",detection latency is routinely shorter in selected priority interfaces,"methods, denominators, and native scales remain distinct even where data exchange is stronger","Observation interfaces for foodborne/enteric retain native program, laboratory, sewershed, facility, animal, county, and regional scales.",more detection and reporting can produce more recorded observations without implying more underlying disease,CURRENT FACT (2026 baseline): Phase 13A/13B provide surveillance and observation interfaces for foodborne/enteric; these do not form a complete disease denominator.,"SCENARIO ASSUMPTION: Wastewater, laboratory, vector, veterinary, and healthcare/AMR observation streams gain stronger interoperability and institutionalized in selected interfaces review routines without creating a common disease denominator. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","SCENARIO CONSEQUENCE: 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains. Detection timing and coverage change qualitatively; Surveillance sensitivity is not disease intensity; detection capacity is not disease prevalence, incidence, or burden.",IDFA-A2075-03,s13_nndss_about,moderate,moderate,fictional,scenario,scenario_assumption,"Surveillance sensitivity is not disease intensity; detection capacity is not disease prevalence, incidence, or burden. More detection can produce more reported observations without implying more underlying disease."
IDFS-A2075-respiratory,A2075,Coordinated Prevention & Detection,2075,respiratory,SUR-008;SUR-009,"surveillance coverage and integration are stronger in selected programs, with wastewater, laboratory, vector, veterinary, and healthcare/AMR links more connected",detection latency is routinely shorter in selected priority interfaces,"methods, denominators, and native scales remain distinct even where data exchange is stronger","Observation interfaces for respiratory retain native program, laboratory, sewershed, facility, animal, county, and regional scales.",more detection and reporting can produce more recorded observations without implying more underlying disease,CURRENT FACT (2026 baseline): Phase 13A/13B provide surveillance and observation interfaces for respiratory; these do not form a complete disease denominator.,"SCENARIO ASSUMPTION: Wastewater, laboratory, vector, veterinary, and healthcare/AMR observation streams gain stronger interoperability and institutionalized in selected interfaces review routines without creating a common disease denominator. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","SCENARIO CONSEQUENCE: 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains. Detection timing and coverage change qualitatively; Surveillance sensitivity is not disease intensity; detection capacity is not disease prevalence, incidence, or burden.",IDFA-A2075-03,s13_nndss_about,moderate,moderate,fictional,scenario,scenario_assumption,"Surveillance sensitivity is not disease intensity; detection capacity is not disease prevalence, incidence, or burden. More detection can produce more reported observations without implying more underlying disease."
