evidence_id,phase5a_object_id,object_type,facility_or_corridor,mode,commodity_class,previous_basis,evidence_class,source_id,source_date,confidence,upgrade_status,notes
EVID-001,FRT-PORT-TOLEDO,port,Port of Toledo / 13-terminal gateway,marine,container_or_general_freight;aggregate;steel_or_metal_products;industrial_materials,generalized_supply_chain,documented_facility_access,phase5a_toledo_port,current 2026 page,high,confirmed,"Port authority documents 13 terminals, storage, cargo equipment, and seaway/global-market connection."
EVID-002,FRT-PORT-TOLEDO,port,Facility #1 general cargo dock / warehouse,marine,container_or_general_freight;industrial_materials,generalized_supply_chain,documented_facility_access,phase5b_toledo_annual_report,2025 annual report,high,strengthened,Port annual-report material documents the Facility #1 general-cargo warehouse and terminal modernization; no customer or shipment assigned.
EVID-003,FRT-PORT-TOLEDO,port,Adjacent liquid-bulk transloading operation,marine,petroleum_or_fuel;chemicals,generalized_supply_chain,documented_facility_access,phase5b_toledo_annual_report,2025 annual report,high,strengthened,"Port annual-report material documents an adjacent liquid-bulk transloading operation; no product, customer, quantity, or route assigned."
EVID-004,FRT-PORT-TOLEDO,port,Port on-dock Class I rail access,rail,container_or_general_freight;industrial_materials,interchange,documented_interchange,phase5a_toledo_port,current 2026 page,high,confirmed,On-dock Class I rail access is documented; a specific terminal/carrier assignment is not universalized.
EVID-005,FRT-RAIL-NS,rail_interface,Norfolk Southern port/corridor interface,rail,container_or_general_freight;industrial_materials,documented_corridor,documented_interchange,phase5a_toledo_port,current 2026 page,medium,strengthened,Port public transportation material lists NS and documents Class I rail access; exact facility use remains unassigned.
EVID-006,FRT-RAIL-CSXT,rail_interface,CSX port/corridor interface,rail,container_or_general_freight;industrial_materials,documented_corridor,documented_interchange,phase5a_toledo_port,current 2026 page,medium,strengthened,Port public transportation material lists CSX; exact facility use remains unassigned.
EVID-007,FRT-RAIL-CN,rail_interface,Canadian National port/corridor interface,rail,container_or_general_freight;industrial_materials,documented_corridor,documented_interchange,phase5a_toledo_port,current 2026 page,medium,strengthened,Port public transportation material lists CN; exact facility use remains unassigned.
EVID-008,FRT-RAIL-WLE,rail_interface,Wheeling & Lake Erie listed port interface,rail,aggregate;lime;industrial_materials,interchange,proximity_only,phase5a_toledo_port,current 2026 page,medium,unchanged,Public carrier listing supports relevance but does not document a specific Port of Toledo interchange or line use.
EVID-009,FRT-HWY-I75,highway_interface,I-75 Port of Toledo access,highway,container_or_general_freight;automotive;industrial_materials,documented_corridor,documented_facility_access,phase5a_toledo_port,current 2026 page,high,confirmed,Port identifies I-75 as a crossroads; no plant-specific truck route is established.
EVID-010,FRT-HWY-I80-90,highway_interface,I-80/I-90 Port of Toledo access,highway,container_or_general_freight;aggregate;industrial_materials,documented_corridor,documented_facility_access,phase5a_toledo_port,current 2026 page,high,confirmed,Port identifies I-80/90 as a crossroads; no plant-specific truck route is established.
EVID-011,FRT-MKT-MICHIGAN-CANADA,external_market,Michigan/Canada heavy-haul interface,highway,container_or_general_freight;industrial_materials;automotive,generalized_supply_chain,documented_corridor,phase5a_toledo_port,current 2026 page,medium,strengthened,Port documents designated heavy-haul routes; exact permits and route paths are not modeled.
EVID-012,FRT-TERM-IRONVILLE,terminal,Ironville vessel input,marine,steel_or_metal_products;industrial_materials,documented_flow,documented_shipment_relationship,phase5a_toledo_port,current 2026 page,high,confirmed,Port authority documents vessel-delivered product for the Ironville direct-reduction plant; no quantity is used.
EVID-013,FRT-TERM-IRONVILLE,terminal,Ironville finished-product rail output,rail,steel_or_metal_products,documented_flow,documented_shipment_relationship,phase5a_toledo_port,current 2026 page,high,confirmed,Port authority documents finished product leaving by rail; destination remains generalized.
EVID-014,FRT-TERM-IRONVILLE,terminal,Ironville finished-product truck output,highway,steel_or_metal_products,documented_flow,documented_shipment_relationship,phase5a_toledo_port,current 2026 page,high,confirmed,Port authority documents finished product leaving by truck; destination and route remain generalized.
EVID-015,CARB-EXT-AREA-WOODVILLE,industrial_site,Area Aggregates Woodville,generalized,aggregate;limestone;agricultural_bulk,generalized_supply_chain,proximity_only,phase5a_area_woodville,2026 permit context,medium,unchanged,"Facility and product evidence exists, but no specific freight access, customer, mode, route, or quantity is documented."
EVID-016,CARB-PROC-MM-WOODVILLE,material_processor,Martin Marietta Woodville,generalized,lime;limestone;industrial_materials,generalized_supply_chain,proximity_only,phase5a_mm_woodville,2026 facility page,medium,unchanged,"Processing is documented, but no specific freight access, customer, mode, route, or quantity is documented."
EVID-017,CARB-PROC-GRAYMONT-GENOA,material_processor,Graymont Genoa,generalized,lime;limestone;industrial_materials,generalized_supply_chain,unresolved,phase5a_graymont_genoa,2026 facility material,medium,unresolved,Genoa product role is documented; quarry/feed and freight access remain unresolved.
EVID-018,BER-PROC-ELMORE,material_processor,Materion Elmore,generalized,strategic_materials;industrial_materials,generalized_supply_chain,generalized_logistics_dependency,phase5a_materion_elmore,2026 facility record,medium,unchanged,"Nonlocal feed and advanced processing are documented; mode, route, schedule, and quantity are not."
EVID-019,BER-LEG-LUCKEY,industrial_site,Luckey FUSRAP remediation,generalized,industrial_materials;chemicals,documented_flow,documented_shipment_relationship,phase5a_luckey_logistics,2026 remediation source,high,confirmed,Licensed off-site disposal logistics are documented at program level; no hazardous-material route is modeled.
EVID-020,FRT-AG-MIDWEST-BULK,agricultural_node,Midwest agricultural bulk context,multimodal,agricultural_bulk;grain,generalized_supply_chain,unresolved,phase5a_fhwa_faf,2026 FAF context,low,unresolved,"Broad commodity context does not document a Toledo-specific elevator, port shipment, route, or volume."
