source_id,title,url,source_type,evidence_role,source_scope,retrieval_date,retrieval_status,use_limitations
VFS-001,Ohio Department of Health — Mosquitoes in Ohio,https://odh.ohio.gov/know-our-programs/zoonotic-disease-program/animals/mosquitoes-in-ohio,state_public_health,"species, habitat, and seasonal context",Ohio species and seasonal context,2026-09-08,retrieved_from_accepted_12A_registry,Supports established species/habitat context; not a future abundance or local distribution model.
VFS-002,Ohio State University Ohioline — Northern House Mosquito,https://ohioline.osu.edu/factsheet/ent-89,university_extension,"Culex habitat, host, temperature, and overwintering context",Ohio species ecology,2026-09-08,retrieved_from_accepted_12A_registry,Supports qualitative biology only; no fitted phenology or abundance response is adopted.
VFS-003,"Insects — Invasive Aedes japonicus Mosquitoes in Wooster, Ohio",https://www.mdpi.com/2075-4450/14/1/56,peer_reviewed,study-area Aedes japonicus detection and trap composition,"Wooster, Ohio study",2026-09-08,retrieved_from_accepted_12A_registry,Study-specific evidence is not generalized to a Western Basin range or abundance claim.
VFS-004,Establishment of Aedes japonicus in Michigan,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4106292,peer_reviewed,Michigan container-habitat and surveillance context,Saginaw County study context,2026-09-08,retrieved_from_accepted_12A_registry,"Study-area evidence informs plausible habitat relationships, not a current or future basin boundary."
VFS-005,Indiana Department of Health — Aedes albopictus,https://www.in.gov/health/idepd/zoonotic-and-vectorborne-epidemiology-entomology/vector-borne-diseases/mosquito-borne-diseases/aedes-albopictus,state_public_health,Aedes container habitat and temperature-linked lifecycle context,Indiana regional context,2026-09-08,retrieved_from_accepted_12A_registry,Distribution-map and lifecycle context do not support a continuous future range or abundance surface.
VFS-006,CDC — About Mosquitoes,https://www.cdc.gov/mosquitoes/about,federal_public_health,mosquito ecology and vector/pathogen distinction,United States general biology,2026-09-08,retrieved_from_accepted_12A_registry,General biology is not a Western Basin future distribution or disease forecast.
VFS-007,CDC — Mosquito Surveillance Traps,https://www.cdc.gov/mosquitoes/php/toolkit/mosquito-surveillance-traps.html,federal_surveillance_guidance,"trap selectivity, life-stage coverage, and effort limits",United States surveillance methods,2026-09-08,retrieved_from_accepted_12A_registry,Surveillance intensity and detection timing are not abundance.
VFS-008,CDC — Blacklegged Tick Surveillance,https://www.cdc.gov/ticks/data-research/facts-stats/blacklegged-tick-surveillance.html,federal_surveillance,"Ixodes status definitions, seasonality, and broad habitat context",United States county/regional context,2026-09-08,retrieved_from_accepted_12A_registry,"County status is not precise local distribution, abundance, or future establishment."
VFS-009,CDC — American Dog Tick Surveillance,https://www.cdc.gov/ticks/data-research/facts-stats/american-dog-tick-surveillance.html,federal_surveillance,Dermacentor broad regional context,Eastern United States,2026-09-08,retrieved_from_accepted_12A_registry,Retained as context only; no new D. variabilis future range is modeled.
VFS-010,GLISA — Summary of Climate Change in the Great Lakes Region,https://glisa.umich.edu/wp-content/uploads/2025/04/Summary-of-Climate-Change-in-the-Great-Lakes-Region-GLISA-October-2024.pdf,regional_climate_synthesis,mid- and late-century temperature and precipitation envelopes,Great Lakes region,2026-09-08,retrieved_from_accepted_9C_registry,"Projection evidence is regional scenario context, not an observed vector distribution or local forecast."
VFS-011,GLISA — Climate Trends,https://glisa.umich.edu/wp-content/uploads/2025/06/GLISA-Climate-Trends-2-Pager.pdf,regional_climate_synthesis,directional warming and hot-day context,Great Lakes region,2026-09-08,retrieved_from_accepted_9C_registry,"Directional climate evidence does not establish vector abundance, pathogen prevalence, or disease burden."
VFS-012,LOCA Version 2 for North America,https://loca.ucsd.edu/loca-version-2-for-north-america-ca-jan-2023/,downscaled_climate_method,CMIP6 daily temperature and precipitation method context,North America / 6 km method context,2026-09-08,retrieved_from_accepted_9C_registry,Method metadata informs scenario framing; no synthetic future range or exact local value is generated.
VFS-013,Fifth National Climate Assessment — Midwest,https://doi.org/10.7930/NCA5.2023.CH24,federal_climate_assessment,Midwest climate-system and adaptation context,Midwest United States,2026-09-08,retrieved_from_accepted_9C_registry,"Assessment context supports scenario construction, not a vector or disease forecast."
VFS-020,CDC — About West Nile,https://www.cdc.gov/west-nile-virus/about,federal_public_health,bird–mosquito lifecycle and vector/pathogen context,United States general ecology,2026-09-08,retrieved_from_accepted_12A_registry,"Used as ecological context only; no human infection, prevalence, or disease forecast is created."
VFS-021,Ohio Vector-borne Disease Surveillance Update,https://odh.ohio.gov/know-our-programs/zoonotic-disease-program/news/vectorborne-disease-update,state_surveillance,Ohio pooled-mosquito surveillance context,Ohio agency/county summaries,2026-09-08,retrieved_from_accepted_12A_registry,Program summaries are not comparable abundance measures or local transmission evidence.
VFS-022,CDC — Tick Surveillance Data Sets,https://www.cdc.gov/ticks/data-research/facts-stats/tick-surveillance-data-sets.html,federal_surveillance,tick status definitions and no-record caveat,United States county surveillance,2026-09-08,retrieved_from_accepted_12A_registry,"Status categories and no-records are not abundance, absence, or precise distribution."
VFS-023,CDC — Data and Maps for West Nile,https://www.cdc.gov/west-nile-virus/data-maps,federal_surveillance,"separate vector, animal, and human surveillance streams",United States state/county reporting,2026-09-08,retrieved_from_accepted_12A_registry,Positive vector pools are not human cases or local transmission proof.
VFS-024,CDC — Lyme Disease Surveillance and Data,https://www.cdc.gov/lyme/data-research/facts-stats/index.html,federal_surveillance,case-geography and surveillance limitation context,United States county-of-residence context,2026-09-08,retrieved_from_accepted_12A_registry,"Human case geography is not a vector record, exposure location, or local transmission proof."
