dependency_id,population_or_settlement_object,system,interface,relationship_type,documented_or_inferred,spatial_scale,evidence_strength,source_id,confidence,reality_status,canon_status,notes
DEP-0001-water,POP-ZONE-39039,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
DEP-0001-wastewater,POP-ZONE-39039,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_s05_ohio_npdes,limited,real,inferred,"Ohio regulatory program context only; no exact sewer territory, treatment load, or resident assignment."
DEP-0001-energy,POP-ZONE-39039,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0001-transport,POP-ZONE-39039,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_oh_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
DEP-0001-climate_hazard,POP-ZONE-39039,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
DEP-0001-environmental_health,POP-ZONE-39039,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0001-ecology_land,POP-ZONE-39039,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0001-biogeochemical,POP-ZONE-39039,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0001-housing_infrastructure,POP-ZONE-39039,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0001-governance,POP-ZONE-39039,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0002-water,POP-ZONE-39051,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
DEP-0002-wastewater,POP-ZONE-39051,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_s05_ohio_npdes,limited,real,inferred,"Ohio regulatory program context only; no exact sewer territory, treatment load, or resident assignment."
DEP-0002-energy,POP-ZONE-39051,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0002-transport,POP-ZONE-39051,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_oh_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
DEP-0002-climate_hazard,POP-ZONE-39051,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
DEP-0002-environmental_health,POP-ZONE-39051,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0002-ecology_land,POP-ZONE-39051,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0002-biogeochemical,POP-ZONE-39051,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0002-housing_infrastructure,POP-ZONE-39051,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0002-governance,POP-ZONE-39051,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0003-water,POP-ZONE-39063,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
DEP-0003-wastewater,POP-ZONE-39063,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_s05_ohio_npdes,limited,real,inferred,"Ohio regulatory program context only; no exact sewer territory, treatment load, or resident assignment."
DEP-0003-energy,POP-ZONE-39063,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0003-transport,POP-ZONE-39063,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_oh_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
DEP-0003-climate_hazard,POP-ZONE-39063,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
DEP-0003-environmental_health,POP-ZONE-39063,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0003-ecology_land,POP-ZONE-39063,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0003-biogeochemical,POP-ZONE-39063,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0003-housing_infrastructure,POP-ZONE-39063,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0003-governance,POP-ZONE-39063,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0004-water,POP-ZONE-39069,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
DEP-0004-wastewater,POP-ZONE-39069,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_s05_ohio_npdes,limited,real,inferred,"Ohio regulatory program context only; no exact sewer territory, treatment load, or resident assignment."
DEP-0004-energy,POP-ZONE-39069,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0004-transport,POP-ZONE-39069,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_oh_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
DEP-0004-climate_hazard,POP-ZONE-39069,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
DEP-0004-environmental_health,POP-ZONE-39069,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0004-ecology_land,POP-ZONE-39069,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0004-biogeochemical,POP-ZONE-39069,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0004-housing_infrastructure,POP-ZONE-39069,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0004-governance,POP-ZONE-39069,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0005-water,POP-ZONE-39095,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_s03_toledo_treatment,limited,real,inferred,Toledo operator context only; no exact service territory or resident assignment.
DEP-0005-wastewater,POP-ZONE-39095,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_s05_ohio_npdes,limited,real,inferred,"Ohio regulatory program context only; no exact sewer territory, treatment load, or resident assignment."
DEP-0005-energy,POP-ZONE-39095,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0005-transport,POP-ZONE-39095,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_oh_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
DEP-0005-climate_hazard,POP-ZONE-39095,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
