blindspot_state_id,scenario_id,scenario_year,baseline_blindspot_id,domain,affected_chain,change_type,future_blindspot,description,assumption_id,plausibility,relationship_basis,source_or_basis,notes
IBSS-A2050-01,A2050,2050,IBS-A-001,lake_erie_hab,A,reduced,Unequal spatial coverage remains despite interoperable catalogs.,"More comparable products, but point observations still do not represent the full lake or intake geometry.",ISA-A2050-01,moderate,scenario_assumption,phase4c_noaa_ioos,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-A2050-02,A2050,2050,IBS-A-003,lake_erie_hab,A,transformed,Model uncertainty becomes more visible through provenance and explanation.,Transparency improves interpretation without resolving forecast error or local thresholds.,ISA-A2050-02,moderate,scenario_assumption,phase4c_nist_ai_rmf,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-A2050-03,A2050,2050,IBS-B-003,maumee_hydrology,B,reduced,"Warning timing is more legible across public products, but event-specific latency remains variable.",Public understanding improves without a guaranteed response interval.,ISA-A2050-03,moderate,scenario_assumption,phase4a_glerl_hab,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-A2050-04,A2050,2050,IBS-C-001,environmental_regulatory,C,transformed,Public records are more traceable but still do not equal continuous raw measurement.,Provenance improves; periodic or self-reported coverage remains.,ISA-A2050-04,moderate,scenario_assumption,phase4a_nws_flood,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-A2050-05,A2050,2050,IBS-D-001,energy_information,D,persists,Public energy data remain intentionally incomplete at the operational layer.,Interoperability does not open private telemetry or internal workflows.,ISA-A2050-05,moderate,scenario_assumption,phase4c_nist_ai_rmf,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-A2050-06,A2050,2050,,cross_system,X,new_blindspot,Institutional complexity from shared standards and explanation duties.,More interfaces create new maintenance and accountability burdens.,ISA-A2050-06,moderate,scenario_assumption,phase4c_cisa_cpg,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-A2075-01,A2075,2075,IBS-A-001,lake_erie_hab,A,reduced,Coverage metadata and coordinated observation reduce but do not eliminate spatial blind spots.,The physical intake discrepancy remains unresolved unless separately reviewed.,ISA-A2075-01,moderate,scenario_assumption,phase4c_noaa_ioos,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-A2075-02,A2075,2075,IBS-A-002,lake_erie_hab,A,resolved,Current station status and cadence are assumed documented within this scenario.,"This is a scenario condition, not a factual claim about 2026.",ISA-A2075-02,moderate,scenario_assumption,phase4c_nist_ai_rmf,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-A2075-03,A2075,2075,IBS-B-001,maumee_hydrology,B,reduced,Regional observation coordination reduces point-coverage dependence.,No complete basin representation is guaranteed.,ISA-A2075-03,moderate,scenario_assumption,phase4a_glerl_hab,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-A2075-04,A2075,2075,IBS-C-002,environmental_regulatory,C,persists,Jurisdiction boundaries remain even with shared provenance.,Data sharing does not create a single regulator.,ISA-A2075-04,moderate,scenario_assumption,phase4a_nws_flood,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-A2075-05,A2075,2075,IBS-D-001,energy_information,D,persists,Protected operational information remains a public-data boundary.,Trust does not require exposing sensitive detail.,ISA-A2075-05,moderate,scenario_assumption,phase4a_epa_echo,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-A2075-06,A2075,2075,,cross_system,X,new_blindspot,Standard fatigue and institutional accountability across mature shared infrastructure.,Long-lived interoperability creates maintenance and legitimacy obligations.,ISA-A2075-06,moderate,scenario_assumption,phase4c_cisa_cpg,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-B2050-01,B2050,2050,IBS-A-004,lake_erie_hab,A,persists,The direct forecast-to-Toledo handoff remains locally negotiated rather than universal.,Federation supports exchange but does not prove one common feed.,ISA-B2050-01,moderate,scenario_assumption,phase4c_noaa_ioos,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-B2050-02,B2050,2050,IBS-B-002,maumee_hydrology,B,transformed,Station-to-forecast provenance differs across federated participants.,"Multiple paths exist, but standards and lineage can vary.",ISA-B2050-02,moderate,scenario_assumption,phase4c_nist_privacy_framework,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-B2050-03,B2050,2050,IBS-B-003,maumee_hydrology,B,reduced,Local fallback products reduce dependence on one warning service.,Timeliness remains uneven across jurisdictions.,ISA-B2050-03,moderate,scenario_assumption,phase4a_toledo_water_quality,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-B2050-04,B2050,2050,IBS-C-002,environmental_regulatory,C,persists,Jurisdiction boundaries remain explicit and may complicate handoffs.,Fragmentation is not treated as regulatory failure.,ISA-B2050-04,moderate,scenario_assumption,phase4c_cisa_cpg,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-B2050-05,B2050,2050,IBS-D-001,energy_information,D,reduced,Federated continuity information reduces central-service dependence.,Operational detail remains nonpublic.,ISA-B2050-05,moderate,scenario_assumption,phase4a_epa_npdes,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-B2050-06,B2050,2050,,cross_system,X,new_blindspot,Data fragmentation and inconsistent standards across local owners.,Resilience gains can trade against interoperability.,ISA-B2050-06,moderate,scenario_assumption,phase4c_cisa_cpg,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-B2075-01,B2075,2075,IBS-A-004,lake_erie_hab,A,persists,Local forecast handoffs remain negotiated across federated owners.,Federation does not create one Toledo-specific external feed.,ISA-B2075-01,moderate,scenario_assumption,phase4c_noaa_ioos,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-B2075-02,B2075,2075,IBS-B-002,maumee_hydrology,B,transformed,Multiple forecast paths create lineage comparison work.,More alternatives can make disagreement harder to resolve.,ISA-B2075-02,moderate,scenario_assumption,phase4c_nist_privacy_framework,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-B2075-03,B2075,2075,IBS-B-003,maumee_hydrology,B,reduced,Fallback services reduce dependence on one timing path.,Local timing remains variable.,ISA-B2075-03,moderate,scenario_assumption,phase4a_toledo_water_quality,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-B2075-04,B2075,2075,IBS-C-002,environmental_regulatory,C,persists,Jurisdiction is durable and visible.,Federated data do not merge legal authority.,ISA-B2075-04,moderate,scenario_assumption,phase4c_cisa_cpg,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
IBSS-B2075-05,B2075,2075,IBS-D-001,energy_information,D,reduced,Central public-data dependence is reduced.,Protected operator details remain unavailable.,ISA-B2075-05,moderate,scenario_assumption,phase4a_epa_npdes,Qualitative scenario evolution of an information gap; not a vulnerability or failure claim.
