atlas_relationship_id,source_phase,source_artifact,local_relationship_id,source_local_endpoint_id,target_local_endpoint_id,source_atlas_entity_id,target_atlas_entity_id,source_system_id,target_system_id,native_source_system_label,native_target_system_label,normalized_relationship_class,endpoint_role_source,endpoint_role_target,source_join_level,target_join_level,evidence_class,documented_or_inferred,source_id,evidence_strength,confidence,uncertainty_id,directionality,spatial_scale,temporal_basis,scenario_status,inference_basis,uncertainty,suitable_for_visualization,suitable_for_qualitative_reasoning,suitable_for_stress_test_propagation,suitable_for_quantitative_aggregation,Atlas_use,caveat
AR-8B-BGD-001-4f2ae608,8B,data/processed/networks/biogeochemical_dependency_edges.csv,BGD-001,BGC-002,BGC-004,ENT-BIOGEOCHEMISTRY-BGC-002,ENT-BIOGEOCHEMISTRY-BGC-004,SYS-BIOGEOCHEMISTRY,SYS-BIOGEOCHEMISTRY,,,unresolved / unclassified,ecological entity,ecological entity,exact,exact,OBSERVED_DOCUMENTED,documented,bge_ohio_h2ohio,moderate,moderate,,unspecified_or_associative,field/HUC12,2026 baseline,BASELINE_DEPENDENCY,Input presence does not quantify export.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,No defensible shared class is asserted; retain the local term and source lineage for later review. Local caveat: Input presence does not quantify export.
AR-8B-BGD-002-47afdeb4,8B,data/processed/networks/biogeochemical_dependency_edges.csv,BGD-002,BGC-004,BGC-005,ENT-BIOGEOCHEMISTRY-BGC-004,ENT-BIOGEOCHEMISTRY-BGC-005,SYS-BIOGEOCHEMISTRY,SYS-BIOGEOCHEMISTRY,,,material flow,ecological entity,ecological entity,exact,exact,OBSERVED_DOCUMENTED,documented,bge_usgs_3dhp,moderate,moderate,,directed_local_record,HUC12/HUC8,2026 baseline,BASELINE_DEPENDENCY,Connectivity is physical context; event transport varies.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Material or freight relationships do not imply shipment quantity, exact route, capacity, or continuous flow. Local caveat: Connectivity is physical context; event transport varies."
AR-8B-BGD-003-c4267b7d,8B,data/processed/networks/biogeochemical_dependency_edges.csv,BGD-003,BGC-005,BGC-007,ENT-BIOGEOCHEMISTRY-BGC-005,ENT-BIOGEOCHEMISTRY-BGC-007,SYS-BIOGEOCHEMISTRY,SYS-BIOGEOCHEMISTRY,,,material flow,ecological entity,ecological entity,exact,exact,OBSERVED_DOCUMENTED,documented,bge_usgs_3dhp,high,high,,directed_local_record,river/bay,2026 baseline,BASELINE_DEPENDENCY,"Directional connection, no load magnitude.",Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Material or freight relationships do not imply shipment quantity, exact route, capacity, or continuous flow. Local caveat: Directional connection, no load magnitude."
AR-8B-BGD-004-73d6ce64,8B,data/processed/networks/biogeochemical_dependency_edges.csv,BGD-004,BGC-007,BGC-009,ENT-BIOGEOCHEMISTRY-BGC-007,ENT-BIOGEOCHEMISTRY-BGC-009,SYS-BIOGEOCHEMISTRY,SYS-BIOGEOCHEMISTRY,,,material flow,ecological entity,ecological entity,exact,exact,OBSERVED_DOCUMENTED,documented,bge_epa_lake_erie,high,high,,directed_local_record,river/bay,2026 baseline,BASELINE_DEPENDENCY,Delivery can be modified by settling and mixing.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Material or freight relationships do not imply shipment quantity, exact route, capacity, or continuous flow. Local caveat: Delivery can be modified by settling and mixing."
AR-8B-BGD-005-ab41d182,8B,data/processed/networks/biogeochemical_dependency_edges.csv,BGD-005,BGC-009,BGC-008,ENT-BIOGEOCHEMISTRY-BGC-009,ENT-BIOGEOCHEMISTRY-BGC-008,SYS-BIOGEOCHEMISTRY,SYS-BIOGEOCHEMISTRY,,,unresolved / unclassified,ecological entity,ecological entity,exact,exact,OBSERVED_DOCUMENTED,documented,bge_epa_lake_erie,high,high,,unspecified_or_associative,bay/lake,2026 baseline,BASELINE_DEPENDENCY,No plume or bloom footprint.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,No defensible shared class is asserted; retain the local term and source lineage for later review. Local caveat: No plume or bloom footprint.
AR-8B-BGD-006-e4ceff95,8B,data/processed/networks/biogeochemical_dependency_edges.csv,BGD-006,BGC-001,BGC-004,ENT-BIOGEOCHEMISTRY-BGC-001,ENT-BIOGEOCHEMISTRY-BGC-004,SYS-BIOGEOCHEMISTRY,SYS-BIOGEOCHEMISTRY,,,ecological relationship,ecological entity,ecological entity,exact,exact,OBSERVED_DOCUMENTED,documented,bge_nass,moderate,moderate,,directed_local_record,field/HUC12,2026 baseline,BASELINE_DEPENDENCY,Landscape context not management behavior.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Ecological relationships retain native scale and do not imply abundance, establishment, contact, infection, or risk. Local caveat: Landscape context not management behavior."
AR-8B-BGD-007-7e8ead46,8B,data/processed/networks/biogeochemical_dependency_edges.csv,BGD-007,BGC-010,BGC-007,ENT-BIOGEOCHEMISTRY-BGC-010,ENT-BIOGEOCHEMISTRY-BGC-007,SYS-BIOGEOCHEMISTRY,SYS-BIOGEOCHEMISTRY,,,ecological relationship,ecological entity,ecological entity,exact,exact,OBSERVED_DOCUMENTED,documented,bge_usfws_nwi,moderate,moderate,,directed_local_record,wetland/river,2026 baseline,BASELINE_DEPENDENCY,Function varies; removal unknown.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Ecological relationships retain native scale and do not imply abundance, establishment, contact, infection, or risk. Local caveat: Function varies; removal unknown."
AR-8B-BGD-008-d42e46ee,8B,data/processed/networks/biogeochemical_dependency_edges.csv,BGD-008,BGC-011,BGC-007,ENT-BIOGEOCHEMISTRY-BGC-011,ENT-BIOGEOCHEMISTRY-BGC-007,SYS-BIOGEOCHEMISTRY,SYS-BIOGEOCHEMISTRY,,,unresolved / unclassified,ecological entity,ecological entity,exact,exact,OBSERVED_DOCUMENTED,documented,bge_nrscs,moderate,moderate,,unspecified_or_associative,reach/floodplain,2026 baseline,BASELINE_DEPENDENCY,No efficiency estimate.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,No defensible shared class is asserted; retain the local term and source lineage for later review. Local caveat: No efficiency estimate.
AR-8B-BGD-009-87ec6ef6,8B,data/processed/networks/biogeochemical_dependency_edges.csv,BGD-009,BGC-012,BGC-005,ENT-BIOGEOCHEMISTRY-BGC-012,ENT-BIOGEOCHEMISTRY-BGC-005,SYS-BIOGEOCHEMISTRY,SYS-BIOGEOCHEMISTRY,,,physical flow,ecological entity,ecological entity,exact,exact,OBSERVED_DOCUMENTED,documented,bge_ohio_epa_npdes,limited,limited,,directed_source_to_target,municipal/HUC8,2026 baseline,BASELINE_DEPENDENCY,No outfall load.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Physical direction does not add common units, effect size, or risk meaning. Local caveat: No outfall load."
AR-8B-BGD-010-f15b01c7,8B,data/processed/networks/biogeochemical_dependency_edges.csv,BGD-010,BGC-013,BGC-009,ENT-BIOGEOCHEMISTRY-BGC-013,ENT-BIOGEOCHEMISTRY-BGC-009,SYS-BIOGEOCHEMISTRY,SYS-BIOGEOCHEMISTRY,,,operational dependency,ecological entity,ecological entity,exact,exact,OBSERVED_DOCUMENTED,documented,bge_ohio_epa_npdes,high,high,,directed_local_record,facility/receiving water,2026 baseline,BASELINE_DEPENDENCY,Permit is not actual discharge.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Dependency is not risk, failure probability, control proof, or causal effect. Local caveat: Permit is not actual discharge."
