source_id,title,url,source_type,publication_or_period,retrieval_date,geographic_scale,method_or_product,evidence_use,use_limitations,retrieval_url,retrieval_provenance
v12_ohio_mosquitoes,Ohio Department of Health — Mosquitoes in Ohio,https://odh.ohio.gov/know-our-programs/zoonotic-disease-program/animals/mosquitoes-in-ohio,state_public_health,current page; accessed 2026-09-08,2026-09-08,Ohio / species and seasonal context,state species and habitat page,"Ohio species presence, habitats, host context, and May–October activity statement",Page-level distribution is not an abundance survey; lack of a record is not absence.,,
v12_ohio_vector_update,Ohio Vector-borne Disease Surveillance Update,https://odh.ohio.gov/know-our-programs/zoonotic-disease-program/news/vectorborne-disease-update,state_surveillance,2025 year-end update dated 2025-12-11,2026-09-08,Ohio / agency and county summaries,"trapping, pooled mosquito samples, laboratory surveillance",2025 Ohio mosquito-pool and human/vector surveillance summaries,"Species-specific pool counts, trap effort by county, and local transmission are not established by the summary.",,
v12_ohio_wnv_map,Ohio West Nile Virus Disease in Ohio Map,https://ohid.ohio.gov/wps/wcm/connect/gov/ohio+content+english/odh/know-our-programs/zoonotic-disease-program/media/west-nile-virus-map,state_surveillance,2025 data as of 2025-11-19,2026-09-08,Ohio / county of residence,reported human-case map,Contextual human-case observation only,County of residence is not county of infection or local transmission; human cases are not vector abundance.,,
v12_osu_culex,Ohio State University Ohioline — Northern House Mosquito,https://ohioline.osu.edu/factsheet/ent-89,university_extension,current fact sheet; accessed 2026-09-08,2026-09-08,Ohio / urban-suburban-rural and habitat context,species fact sheet and cited literature,"Culex pipiens habitat, host, seasonality, life-cycle and surveillance context",Fact-sheet claims are not a Western Basin abundance estimate; clinical material is not used as a disease model.,,
v12_ohio_ae_japonicus,"Invasive Aedes japonicus Mosquitoes in Wooster, Ohio",https://www.mdpi.com/2075-4450/14/1/56,peer_reviewed,2023 article; 2021 field collections,2026-09-08,"Wooster, northeastern Ohio","CDC light, BG-Sentinel, and gravid traps; morphology and molecular confirmation",Regional evidence of Ae. japonicus establishment and trap-specific composition,Wooster trap composition cannot be generalized to the Western Basin or treated as regional abundance.,,
v12_mi_ae_japonicus,Establishment of Aedes japonicus in Michigan,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4106292,peer_reviewed,2014 article; Michigan field surveillance,2026-09-08,Michigan / Saginaw County study,CDC gravid and New Jersey light traps,Midwest container-habitat and surveillance-method context,Study-area findings do not establish current Western Basin distribution or abundance.,,
v12_mi_annual_2023,Michigan EZID Annual Surveillance Summary,https://www.michigan.gov/emergingdiseases/-/media/Project/Websites/emergingdiseases/EZID_Annual_Surveillance_Summary.pdf,state_surveillance,2023 annual summary,2026-09-08,Michigan / participating local health departments,"local health department mosquito sampling, identification, and laboratory testing","2023 mosquito-pool totals, arbovirus detections, and invasive Aedes response context",Participating jurisdictions and methods vary; mosquito-pool positives are not human cases or local transmission.,,
v12_mi_wnv,Michigan Emerging Disease Issues — West Nile virus,https://www.michigan.gov/emergingdiseases/home/west-nile,state_public_health,current program page; accessed 2026-09-08,2026-09-08,Michigan / state and county program,public surveillance and reporting program,Michigan surveillance-program context,Program page is not a species abundance or local vector-density dataset.,,
v12_in_ae_albopictus,Indiana Department of Health — Aedes albopictus,https://www.in.gov/health/idepd/zoonotic-and-vectorborne-epidemiology-entomology/vector-borne-diseases/mosquito-borne-diseases/aedes-albopictus,state_public_health,page updated 2025-05; distribution map updated 2023-02,2026-09-08,Indiana / county distribution context,distribution map and species life-cycle page,"Indiana Ae. albopictus presence, container habitat, and temperature-linked development context",Known distribution map is not a continuous range or abundance surface; effort is not reported on the page.,,
v12_in_wnv_2026,Indiana Department of Health — First 2026 WNV Case,https://events.in.gov/event/idoh-news-release-indianas-first-west-nile-virus-case-of-2026-reported-in-allen-county,state_surveillance,2026-08-28 news release,2026-09-08,Indiana / county and state summary,mosquito testing and human-case surveillance,33 counties with positive mosquitoes and one contextual human case,The release does not provide comparable county sampling effort or species counts; human case is county of residence context.,,
v12_cdc_mosquito_biology,CDC — About Mosquitoes,https://www.cdc.gov/mosquitoes/about,federal_public_health,current page; accessed 2026-09-08,2026-09-08,United States / general biology,public-health biology reference,Vector-versus-pathogen distinction and environmental determinants of mosquito life span,General biology is not a Western Basin occurrence or abundance record.,,
v12_cdc_mosquito_traps,CDC — Mosquito Surveillance Traps,https://www.cdc.gov/mosquitoes/php/toolkit/mosquito-surveillance-traps.html,federal_surveillance_guidance,current page; accessed 2026-09-08,2026-09-08,United States / surveillance methods,trap-method guidance,"Trap selectivity, life-stage coverage, and effort limitations",Different traps sample different species and life stages; trap counts are not interchangeable abundance measures.,,
v12_cdc_wnv_data,CDC — Data and Maps for West Nile,https://www.cdc.gov/west-nile-virus/data-maps,federal_surveillance,current page; accessed 2026-09-08,2026-09-08,United States / state and territorial reporting,ArboNET and NNDSS context,"Separate mosquito, animal, and human surveillance streams",Reported case data and vector data are distinct surveillance products.,,
v12_cdc_wnv_about,CDC — About West Nile,https://www.cdc.gov/west-nile-virus/about,federal_public_health,current page; accessed 2026-09-08,2026-09-08,United States / general ecology,vector-pathogen lifecycle reference,Bird–mosquito ecological context and seasonal activity framing,Used only as ecological context; no infection probability or clinical model is created.,,
v12_cdc_ticks_live,CDC — Where Ticks Live,https://www.cdc.gov/ticks/about/where-ticks-live.html,federal_public_health,current page; accessed 2026-09-08,2026-09-08,Contiguous United States / broad distribution,species distribution and host-seeking context,"Ixodes scapularis and Dermacentor variabilis regional relevance, habitat/season context",Approximate distributions are not precise local maps or abundance estimates.,,
v12_cdc_tick_data,CDC — Tick Data,https://www.cdc.gov/ticks/data-research/facts-stats,federal_surveillance,current page; accessed 2026-09-08,2026-09-08,United States / county dashboards,surveillance dashboard catalog,Availability and scope of tick surveillance products,Dashboard availability does not imply uniform sampling or comparable effort.,,
