rule_id,stage,stressor_id,chain_parent_rule_id,chain_relation_type,source_system_id,source_state_or_effect,initial_or_prior_effect,relationship_id,relationship_class,target_system_id,propagation_mechanism,evidence_class,lineage_evidence_class,application_fit,direct_or_inferred,baseline_or_scenario,enabling_condition,limiting_condition,temporal_character,spatial_character,reversibility,technology_modifier,governance_modifier,response_option,second_order_effect,uncertainty,source_lineage,notes
RULE-16A-001,1,STRESS-HEAT-EXTREME,,parallel_initial_branch,SYS-CLIMATE,climate stressed,heat-related continuity pressure may constrain energy operations,REL-16A-001,operational dependency,SYS-ENERGY,energy dependency,OBSERVED_DOCUMENTED,OBSERVED_DOCUMENTED,EXACT_SOURCE_APPLICATION,direct,baseline,accepted hazard/dependency interface is applicable,"no demand, outage, or failure probability is inferred",episodic / seasonal,native regional hazard to system interface,potentially reversible; duration unknown,TM-16A-004;TM-16A-005,human/operator and institutional authority remain required,RESP-16A-003,energy service may be delayed or redistributed,native-scale hazard and operating conditions are unresolved,data/processed/analysis/climate_hazard_dependency_register.csv#AR-9B-HZD-001-13a6b9b4,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-002,1,STRESS-HEAT-EXTREME,,parallel_initial_branch,SYS-CLIMATE,climate stressed,ecological condition may become constrained,REL-16A-005,ecological relationship,SYS-ECOLOGY,ecological pathway,INFERRED,OBSERVED_DOCUMENTED,QUALIFIED_INFERENCE_FROM_DIFFERENT_CLIMATE_STRESSOR,inferred,baseline,the documented climate/ecology relationship supports only a qualified qualitative inference for this heat application,"the cited relationship is drought/low-water-specific; a heat-specific ecological response is inferred; no abundance, range, or population effect is inferred",episodic / seasonal,regional climate to ecological context,potentially reversible; recovery unknown,TM-16A-002,monitoring does not create ecological control,RESP-16A-007,ecological observations may become less comparable across time,scale and response are uncertain,data/processed/analysis/climate_hazard_dependency_register.csv#AR-9B-HZD-010-5424717c,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-005,1,STRESS-LOW-FLOW-DROUGHT,,parallel_initial_branch,SYS-CLIMATE,hydrologic context constrained,physical-flow context may be constrained,REL-16A-034,physical flow,SYS-WATER,low-flow propagation,OBSERVED_DOCUMENTED,OBSERVED_DOCUMENTED,EXACT_SOURCE_APPLICATION,direct,baseline,accepted low-flow/receiving-system relationship supports qualitative propagation,one gauge or local record is not a basin-wide forecast,seasonal / potentially persistent,native gauge and water-system scales,potentially reversible; recovery unknown,NONE,no operational control is inferred,RESP-16A-004,water-system observability may become less complete,spatial coverage and duration are unresolved,data/processed/analysis/climate_hazard_dependency_register.csv#AR-9B-HZD-011-6487677d,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-006,2,STRESS-LOW-FLOW-DROUGHT,RULE-16A-005,sequential,SYS-WATER,water constrained after low-flow context,water-dependent energy operations may become constrained,REL-16A-008,operational dependency,SYS-ENERGY,operational dependency,OBSERVED_DOCUMENTED,OBSERVED_DOCUMENTED,EXACT_SOURCE_APPLICATION,direct,baseline,stage 1 water pathway and accepted dependency support the chain,"no cooling load, outage, or capacity estimate",seasonal / potentially persistent,water-system to energy interface,potentially reversible; duration unknown,TM-16A-005,operator review and authority remain required,RESP-16A-003,water-energy coordination may be delayed,local operating evidence is not present,data/processed/networks/energy_dependency_edges.csv#AR-3B-DEP-016-95a609bc,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-007,2,STRESS-LOW-FLOW-DROUGHT,RULE-16A-005,sequential,SYS-WATER,water constrained after low-flow context,potential exposure pathway context may be delayed or less observable,REL-16A-009,exposure pathway,SYS-INFECTIOUS-DISEASE,exposure pathway,INFERRED,INFERRED,INFERRED_SOURCE_APPLICATION,inferred,baseline,accepted water/pathway relationship supports only qualitative review,"contamination, exposure, infection, illness, and outbreak remain separate",seasonal / duration unknown,native water and surveillance scales,potentially reversible; recovery unknown,TM-16A-007,diagnostics are not disease authority,RESP-16A-007,detection or communication timing may change,health boundary is intentionally non-predictive,data/processed/analysis/infectious_disease_dependency_register.csv#AR-13B-IDB-007-c8da7d06,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-008,2,STRESS-LOW-FLOW-DROUGHT,RULE-16A-005,sequential,SYS-WATER,water constrained after low-flow context,vector-ecology context may be redistributed or less observable,REL-16A-011,ecological relationship,SYS-VECTOR-ECOLOGY,ecological pathway,INFERRED,INFERRED,INFERRED_SOURCE_APPLICATION,inferred,baseline,accepted water/vector ecological relationship supports pathway review,"no abundance, establishment, contact, infection, or disease inference",seasonal / duration unknown,native water and vector scales,potentially reversible; recovery unknown,TM-16A-002,surveillance is not control,RESP-16A-007,vector observation effort may need redistribution,sampling effort and detection remain distinct,data/processed/analysis/infectious_disease_dependency_register.csv#AR-13B-IDB-002-eb173fa7,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-009,1,STRESS-HEAVY-PRECIP-FLOOD,,parallel_initial_branch,SYS-CLIMATE,flooding context stressed,physical-flow and water-system context may be delayed or constrained,REL-16A-002,physical flow,SYS-WATER,physical flow propagation,OBSERVED_DOCUMENTED,OBSERVED_DOCUMENTED,EXACT_SOURCE_APPLICATION,direct,baseline,accepted physical-flow relationship supports qualitative pathway review,"no flood extent, discharge, treatment failure, or exposure is inferred",episodic,event-scale to native water-system scale,potentially reversible; recovery unknown,TM-16A-002,monitoring does not create control,RESP-16A-006,water and freight interfaces may be temporally misaligned,event footprint is unresolved,data/processed/analysis/climate_hazard_dependency_register.csv#AR-9B-HZD-004-7a781c1a,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-010,1,STRESS-HEAVY-PRECIP-FLOOD,,parallel_initial_branch,SYS-CLIMATE,flooding context stressed,freight/material interfaces may be delayed or redistributed,REL-16A-003,material flow,SYS-FREIGHT,material-flow propagation,OBSERVED_DOCUMENTED,OBSERVED_DOCUMENTED,EXACT_SOURCE_APPLICATION,direct,baseline,accepted climate/freight relationship supports qualitative chain,"no route, volume, cargo, or probability is inferred",episodic,corridor/interface scale; not an exact route,potentially reversible; recovery unknown,TM-16A-006,automation does not select a route or authorize movement,RESP-16A-006,industrial and energy interfaces may be delayed,freight disruption remains qualitative,data/processed/analysis/climate_hazard_dependency_register.csv#AR-9B-HZD-007-41e5b974,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-011,1,STRESS-HEAVY-PRECIP-FLOOD,,parallel_initial_branch,SYS-CLIMATE,flooding context stressed,potential exposure pathway context may become less observable,REL-16A-004,exposure pathway,SYS-INFECTIOUS-DISEASE,exposure pathway,INFERRED,INFERRED,INFERRED_SOURCE_APPLICATION,inferred,baseline,accepted climate/disease pathway supports only high-level review,"no contamination, exposure, infection, illness, or outbreak is inferred",episodic / lagged,event-scale to native health-surveillance scale,potentially reversible; recovery unknown,TM-16A-007,surveillance and communication are not incidence or authority,RESP-16A-007,diagnostic or communication timing may be altered,health-outcome forecasting is excluded,data/processed/analysis/infectious_disease_dependency_register.csv#AR-13B-IDB-008-d35015f6,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
RULE-16A-012,1,STRESS-HAB-WATER-QUALITY,,parallel_initial_branch,SYS-BIOGEOCHEMISTRY,nutrient-water-quality context constrained,ecological condition may become constrained or less observable,REL-16A-033,ecological relationship,SYS-ECOLOGY,ecological pathway,INFERRED,INFERRED,INFERRED_SOURCE_APPLICATION,inferred,baseline,accepted Phase 14 conceptual interface is explicitly system-level,"no bloom magnitude, ecology score, exposure, dose, or illness is inferred",seasonal / event-linked,system-level water-quality to ecological interface,recovery unknown,TM-16A-002;TM-16A-008,monitoring and stewardship are not control,RESP-16A-007,ecological observation and governance coordination may be delayed,"conceptual interface is inferred, not exact local identity",metadata/atlas_systems.yml#architecture.interfaces:SYS-BIOGEOCHEMISTRY>SYS-ECOLOGY,Stage is an explicit qualitative chain position; parallel initial branches are not sequential propagation; repeated systems do not imply runaway feedback.
