source_id,title,url,product_or_endpoint,source_type,projection_or_context,spatial_scope,temporal_scope,use_limitations
c9_nca_midwest,Fifth National Climate Assessment Midwest chapter,https://doi.org/10.7930/NCA5.2023.CH24,"Midwest climate, infrastructure, agriculture, and ecological context",federal_assessment,projection context,Midwest / Great Lakes,historical and projected,"State and regional synthesis; not local damage, outage, or health projections."
c9_nca_energy,Fifth National Climate Assessment energy chapter,https://doi.org/10.7930/NCA5.2023.CH5,"Heat, cooling demand, and energy-system context",federal_assessment,projection context,United States / Midwest,historical and projected,Supports mechanisms and direction; no local outage probability.
c9_glisa_summary,GLISA Summary of Climate Change in the Great Lakes Region,https://glisa.umich.edu/wp-content/uploads/2025/04/Summary-of-Climate-Change-in-the-Great-Lakes-Region-GLISA-October-2024.pdf,"Regional warming, hot days, precipitation, drought, and seasonality ranges",regional_assessment,projection synthesis,U.S. and Canadian Great Lakes,2040-2059 and 2080-2099 relative to 1980-1999,Ranges are regional synthesis envelopes and are not a single model/scenario mapping.
c9_glisa_trends,GLISA Climate Trends in the Great Lakes Region,https://glisa.umich.edu/wp-content/uploads/2025/06/GLISA-Climate-Trends-2-Pager.pdf,Regional climate trend and projection factsheet,regional_assessment,projection synthesis,Great Lakes region,mid- and late-century,Use rounded ranges with source period; do not relabel late-century as a 2075 point estimate.
c9_loca2,LOCA version 2 for North America,https://loca.ucsd.edu/loca-version-2-for-north-america-ca-jan-2023/,Daily 6 km Tmin/Tmax/precipitation CMIP6 downscaled product,downscaled_climate_product,model_metadata,North America / Great Lakes grid,1950-2100; SSP245/370/585,Product metadata supports explicit 2050/2075 windows; it is not a Lake Erie hydrodynamic or impact model.
c9_nex_gddp,NASA NEX-GDDP-CMIP6,https://nccs.nasa.gov/data-collections/nex-gddp-cmip6/,Bias-corrected daily global downscaled CMIP6 context,downscaled_climate_product,model_metadata,global / Great Lakes scale,historical and future,Secondary screening context; archive/model availability must be checked before numeric use.
c9_ohio_summary,NOAA Ohio State Climate Summary,https://statesummaries.ncics.org/chapter/oh/,"State-level warming, precipitation, flooding, and drought direction",state_assessment,projection context,Ohio,2006-2100 projections,State direction is not a western-basin local quantitative projection.
c9_michigan_summary,NOAA Michigan State Climate Summary,https://statesummaries.ncics.org/chapter/mi/,"State-level warming, precipitation, Great Lakes, and drought direction",state_assessment,projection context,Michigan / Great Lakes,2006-2100 projections,State direction is not a western-basin shoreline quantitative projection.
c9_epa_great_lakes,EPA Great Lakes climate indicators,https://www.epa.gov/climate-indicators/great-lakes,Observed Great Lakes levels/temperature and future variability context,federal_indicators,observed_and_synthesis,Great Lakes,1860-present observations; future synthesis,Models disagree on overall level sign; do not impose a single trend.
c9_notaro_levels,Dynamical Downscaling-Based Projections of Great Lakes Water Levels,https://journals.ametsoc.org/view/journals/clim/28/24/jcli-d-14-00847.1.xml,Opposing MIROC5/CNRM lake-level branches under RCP8.5,peer_reviewed,model_projection,Great Lakes / cross-lake,2040-2059 and 2080-2099,Cross-lake ranges are not western Lake Erie shoreline positions or probabilities.
c9_notaro_snow,Dynamically Downscaled Projections of Lake-Effect Snow,https://journals.ametsoc.org/view/journals/clim/28/4/jcli-d-14-00467.1.xml,"Lake-effect snow, ice, rain/snow transition, and seasonality",peer_reviewed,model_projection,Great Lakes / Lake Erie context,2040-2059 and 2080-2099,Older RCP8.5 model study; no exact future snowstorm or freeze-thaw count.
c9_basile_precip,Projected precipitation changes within the Great Lakes and Western Lake Erie Basin,https://doi.org/10.1002/joc.5128,Western Lake Erie precipitation ensemble context,peer_reviewed,model_projection,Great Lakes and Western Lake Erie Basin,1980-1999 and 2041-2060,Mixed CMIP5/CMIP3/RCM ensembles; no direct 2075 result or probability.
c9_pnas_hab,Western Lake Erie agricultural and meteorological HAB study,https://www.pnas.org/doi/10.1073/pnas.1216006110,Observed nutrient/meteorological/ecological compound mechanism,peer_reviewed,historical_mechanism,Western Lake Erie,2011 event and future-consistency discussion,"Supports mechanism, not future bloom magnitude, toxin, illness, or treatment burden."
