assumption_id,scenario_id,scenario_year,scope,assumption,basis,value_type,source_id,plausibility,uncertainty,status,notes
BGSA-A2050-01,A,2050,cross_system,Landscape retention and soil-function investment changes material mobilization.,qualitative scenario driver,qualitative,bge_epa_lake_erie,limited,moderate,scenario,No probability or exact future flux is assigned.
BGSA-A2050-02,A,2050,cross_system,Hydrologic variability changes the timing and connectivity of transport.,external climate/landscape driver,qualitative,bge_noaa_climate,limited,high,scenario,No probability or exact future flux is assigned.
BGSA-A2050-03,A,2050,cross_system,"Wetland, riparian, and drainage controls change retention and transformation interfaces.",management trajectory,qualitative,bge_epa_lake_erie,limited,moderate,scenario,No probability or exact future flux is assigned.
BGSA-A2050-04,A,2050,cross_system,Wastewater and urban controls change point-source and stormwater interfaces.,infrastructure trajectory,qualitative,bge_epa_lake_erie,limited,moderate,scenario,No probability or exact future flux is assigned.
BGSA-A2050-05,A,2050,cross_system,Monitoring and adaptive governance change the ability to observe and manage fluxes.,governance trajectory,qualitative,bge_epa_lake_erie,limited,moderate,scenario,No probability or exact future flux is assigned.
BGSA-A2050-06,A,2050,cross_system,"Ecological consequences remain condition interfaces, not deterministic HAB outcomes.",scientific boundary,qualitative,bge_epa_lake_erie,limited,high,scenario,No probability or exact future flux is assigned.
BGSA-A2075-01,A,2075,cross_system,Landscape retention and soil-function investment changes material mobilization.,qualitative scenario driver,qualitative,bge_epa_lake_erie,limited,moderate,scenario,No probability or exact future flux is assigned.
BGSA-A2075-02,A,2075,cross_system,Hydrologic variability changes the timing and connectivity of transport.,external climate/landscape driver,qualitative,bge_noaa_climate,limited,high,scenario,No probability or exact future flux is assigned.
BGSA-A2075-03,A,2075,cross_system,"Wetland, riparian, and drainage controls change retention and transformation interfaces.",management trajectory,qualitative,bge_epa_lake_erie,limited,moderate,scenario,No probability or exact future flux is assigned.
BGSA-A2075-04,A,2075,cross_system,Wastewater and urban controls change point-source and stormwater interfaces.,infrastructure trajectory,qualitative,bge_epa_lake_erie,limited,moderate,scenario,No probability or exact future flux is assigned.
