scenario_id,scenario_year,disturbance_id,ecological_component,future_state,relationship_basis,assumption_id,source_id,plausibility,notes
A2050,2050,ECDIS-001,western_lake_erie_aquatic,reduced,qualitative_scenario,scenario_assumption,noaa_hab,moderate,No quantitative consequence or species-specific impact.
A2050,2050,ECDIS-002,maumee_tributary_floodplain,reduced,qualitative_scenario,scenario_assumption,usgs_3dhp_all,moderate,No quantitative consequence or species-specific impact.
A2050,2050,ECDIS-003,coastal_wetlands_marshes,reduced,qualitative_scenario,scenario_assumption,usfws_nwi,moderate,No quantitative consequence or species-specific impact.
A2050,2050,ECDIS-004,black_swamp_legacy_agriculture,reduced,qualitative_scenario,scenario_assumption,h2ohio_great_black_swamp_history,moderate,No quantitative consequence or species-specific impact.
A2050,2050,ECDIS-005,terrestrial_habitat_fragmentation,reduced,qualitative_scenario,scenario_assumption,phase6a_mrlc_land_cover,moderate,No quantitative consequence or species-specific impact.
A2050,2050,ECDIS-006,migratory_mobile_species,reduced,qualitative_scenario,scenario_assumption,phase6a_usfws_ottawa_nwr,moderate,No quantitative consequence or species-specific impact.
A2075,2075,ECDIS-001,western_lake_erie_aquatic,reduced,qualitative_scenario,scenario_assumption,noaa_hab,moderate,No quantitative consequence or species-specific impact.
A2075,2075,ECDIS-002,maumee_tributary_floodplain,reduced,qualitative_scenario,scenario_assumption,usgs_3dhp_all,moderate,No quantitative consequence or species-specific impact.
A2075,2075,ECDIS-003,coastal_wetlands_marshes,reduced,qualitative_scenario,scenario_assumption,usfws_nwi,moderate,No quantitative consequence or species-specific impact.
A2075,2075,ECDIS-004,black_swamp_legacy_agriculture,reduced,qualitative_scenario,scenario_assumption,h2ohio_great_black_swamp_history,moderate,No quantitative consequence or species-specific impact.
A2075,2075,ECDIS-005,terrestrial_habitat_fragmentation,reduced,qualitative_scenario,scenario_assumption,phase6a_mrlc_land_cover,moderate,No quantitative consequence or species-specific impact.
A2075,2075,ECDIS-006,migratory_mobile_species,reduced,qualitative_scenario,scenario_assumption,phase6a_usfws_ottawa_nwr,moderate,No quantitative consequence or species-specific impact.
B2050,2050,ECDIS-001,western_lake_erie_aquatic,persists,qualitative_scenario,scenario_assumption,noaa_hab,high,No quantitative consequence or species-specific impact.
B2050,2050,ECDIS-002,maumee_tributary_floodplain,persists,qualitative_scenario,scenario_assumption,usgs_3dhp_all,high,No quantitative consequence or species-specific impact.
B2050,2050,ECDIS-003,coastal_wetlands_marshes,persists,qualitative_scenario,scenario_assumption,usfws_nwi,high,No quantitative consequence or species-specific impact.
B2050,2050,ECDIS-004,black_swamp_legacy_agriculture,persists,qualitative_scenario,scenario_assumption,h2ohio_great_black_swamp_history,high,No quantitative consequence or species-specific impact.
B2050,2050,ECDIS-005,terrestrial_habitat_fragmentation,persists,qualitative_scenario,scenario_assumption,phase6a_mrlc_land_cover,high,No quantitative consequence or species-specific impact.
B2050,2050,ECDIS-006,migratory_mobile_species,persists,qualitative_scenario,scenario_assumption,phase6a_usfws_ottawa_nwr,high,No quantitative consequence or species-specific impact.
B2075,2075,ECDIS-001,western_lake_erie_aquatic,persists,qualitative_scenario,scenario_assumption,noaa_hab,high,No quantitative consequence or species-specific impact.
B2075,2075,ECDIS-002,maumee_tributary_floodplain,persists,qualitative_scenario,scenario_assumption,usgs_3dhp_all,high,No quantitative consequence or species-specific impact.
B2075,2075,ECDIS-003,coastal_wetlands_marshes,persists,qualitative_scenario,scenario_assumption,usfws_nwi,high,No quantitative consequence or species-specific impact.
B2075,2075,ECDIS-004,black_swamp_legacy_agriculture,persists,qualitative_scenario,scenario_assumption,h2ohio_great_black_swamp_history,high,No quantitative consequence or species-specific impact.
B2075,2075,ECDIS-005,terrestrial_habitat_fragmentation,persists,qualitative_scenario,scenario_assumption,phase6a_mrlc_land_cover,high,No quantitative consequence or species-specific impact.
B2075,2075,ECDIS-006,migratory_mobile_species,persists,qualitative_scenario,scenario_assumption,phase6a_usfws_ottawa_nwr,high,No quantitative consequence or species-specific impact.
C2050,2050,ECDIS-001,western_lake_erie_aquatic,intensified,qualitative_scenario,scenario_assumption,noaa_hab,moderate,No quantitative consequence or species-specific impact.
C2050,2050,ECDIS-002,maumee_tributary_floodplain,intensified,qualitative_scenario,scenario_assumption,usgs_3dhp_all,moderate,No quantitative consequence or species-specific impact.
C2050,2050,ECDIS-003,coastal_wetlands_marshes,intensified,qualitative_scenario,scenario_assumption,usfws_nwi,moderate,No quantitative consequence or species-specific impact.
C2050,2050,ECDIS-004,black_swamp_legacy_agriculture,intensified,qualitative_scenario,scenario_assumption,h2ohio_great_black_swamp_history,moderate,No quantitative consequence or species-specific impact.
C2050,2050,ECDIS-005,terrestrial_habitat_fragmentation,intensified,qualitative_scenario,scenario_assumption,phase6a_mrlc_land_cover,moderate,No quantitative consequence or species-specific impact.
C2050,2050,ECDIS-006,migratory_mobile_species,intensified,qualitative_scenario,scenario_assumption,phase6a_usfws_ottawa_nwr,moderate,No quantitative consequence or species-specific impact.
C2075,2075,ECDIS-001,western_lake_erie_aquatic,intensified,qualitative_scenario,scenario_assumption,noaa_hab,moderate,No quantitative consequence or species-specific impact.
C2075,2075,ECDIS-002,maumee_tributary_floodplain,intensified,qualitative_scenario,scenario_assumption,usgs_3dhp_all,moderate,No quantitative consequence or species-specific impact.
C2075,2075,ECDIS-003,coastal_wetlands_marshes,intensified,qualitative_scenario,scenario_assumption,usfws_nwi,moderate,No quantitative consequence or species-specific impact.
C2075,2075,ECDIS-004,black_swamp_legacy_agriculture,intensified,qualitative_scenario,scenario_assumption,h2ohio_great_black_swamp_history,moderate,No quantitative consequence or species-specific impact.
C2075,2075,ECDIS-005,terrestrial_habitat_fragmentation,intensified,qualitative_scenario,scenario_assumption,phase6a_mrlc_land_cover,moderate,No quantitative consequence or species-specific impact.
C2075,2075,ECDIS-006,migratory_mobile_species,intensified,qualitative_scenario,scenario_assumption,phase6a_usfws_ottawa_nwr,moderate,No quantitative consequence or species-specific impact.
