source_id,title,agency_or_publisher,publication_date,URL_or_identifier,retrieval_date,source_type,historical_period,spatial_scale_if_applicable,terms,confidence,notes
PH2C-USACE-LUCKEY-2026,Luckey Site,"U.S. Army Corps of Engineers, Buffalo District",2026-07-16,https://www.lrd.usace.army.mil/Missions/Projects/Article/3613204/luckey-site/,2026-08-31,government_summary,1942-2030,approximately 40-acre site; address point used on map,Public official web page or publication; retain agency attribution.,high,"Primary Phase 2C chronology, contaminant, remedy, and 2026 status source."
PH2C-USACE-GW-2026,Groundwater Monitoring Data Release: Fall 2025 Sampling Event,"U.S. Army Corps of Engineers, Buffalo District",2026-01,https://d34w7g4gy10iej.cloudfront.net/pubs/pdf_76367.pdf,2026-08-31,regulatory_record,2002-2025 monitoring series,site monitoring-well network,Public official web page or publication; retain agency attribution.,high,"Three onsite, non-water-supply wells exceeded the beryllium MCL in September 2025; sampled residential well did not exceed listed COC standards."
PH2C-USACE-FUSRAP,Formerly Utilized Sites Remedial Action Program,U.S. Army Corps of Engineers,current,https://www.usace.army.mil/Missions/Environmental/FUSRAP.aspx,2026-08-31,government_summary,1974-present,non-spatial document,Public official web page or publication; retain agency attribution.,high,Program began in 1974; execution transferred from DOE to USACE in October 1997.
PH2C-USACE-MILESTONE-2021,Luckey FUSRAP Site Hits Milestone Trifecta,"U.S. Army Corps of Engineers, Buffalo District",2021-03-23,https://www.lrd.usace.army.mil/News/News-Releases/Display/Article/3637812/luckey-fusrap-site-hits-milestone-trifecta/,2026-08-31,government_summary,2018-2021,site/remediation project,Public official web page or publication; retain agency attribution.,high,"Documents excavation, production-building deconstruction, controlled dust practices, and licensed off-site disposal."
PH2C-USACE-MILESTONE-2022,"10,000 Truckloads Safely Moved from the Luckey FUSRAP Site","U.S. Army Corps of Engineers, Buffalo District",2022-07-21,https://www.lrd.usace.army.mil/News/News-Releases/Display/Article/3636698/10000-truckloads-safely-moved-from-the-luckey-fusrap-site/,2026-08-31,government_summary,2018-2022,site-to-licensed-disposal logistics; route not modeled,Public official web page or publication; retain agency attribution.,high,"Documents remediation waste logistics and progress, not historical production transport."
PH2C-USACE-FY2023,Progress on Buffalo District FUSRAP Projects Highlighted in Annual Report,"U.S. Army Corps of Engineers, Buffalo District",2024-02-08,https://www.lrd.usace.army.mil/News/News-Releases/Display/Article/3669657/progress-on-buffalo-district-fusrap-projects-highlighted-in-annual-report/,2026-08-31,government_summary,2023,project summary,Public official web page or publication; retain agency attribution.,high,Documents FY2023 soil disposal and water treatment; values are not used as current totals.
PH2C-USACE-FIVEYEAR-2021,Five-Year Review of Selected Remedies: Luckey FUSRAP Site,"U.S. Army Corps of Engineers, Buffalo District",2021-12-06,https://www.lrd.usace.army.mil/News/News-Releases/Display/Article/3637910/five-year-review-of-selected-remedies-luckey-formerly-utilized-sites-remedial-a/,2026-08-31,regulatory_record,2006-2021,soil and groundwater operable units,Public official web page or publication; retain agency attribution.,high,"Documents CERCLA review, soil excavation remedy, groundwater monitored natural attenuation, and future stewardship."
PH2C-NIOSH-LUCKEY-2011,Residual Beryllium Evaluations: Brush Luckey Plant,NIOSH,2011-03-09,https://www.cdc.gov/niosh/ocas/pdfs/tbd/rescon/appx-b2-030911.pdf,2026-08-31,government_summary,1949-present,facility-level historical evaluation,Public official web page or publication; retain agency attribution.,high,Corroborates AEC-contracted beryllium work and remediation period; does not establish individual exposure or illness.
PH2C-DOE-WORKER-SCREEN,Brush Luckey Plant Former Construction Worker Screening Projects,U.S. Department of Energy,current,https://www.energy.gov/ehss/brush-luckey-plant-former-construction-worker-screening-projects,2026-08-31,government_summary,former-worker program,non-spatial document,Public official web page or publication; retain agency attribution.,high,"Documents an eligible screening program and exposure concerns, not a finding that a named worker was exposed or ill."
PH2C-NIOSH-BE-2011,Preventing Beryllium Sensitization and Chronic Beryllium Disease,NIOSH,2011-02,https://www.cdc.gov/niosh/docs/2011-107/default.html,2026-08-31,government_summary,modern health context,non-spatial document,Public official web page or publication; retain agency attribution.,high,General occupational-health mechanism and prevention context; not a Luckey or Elmore disease finding.
PH2C-OSHA-BE-2018,Occupational Exposure to Beryllium: Final Rule,Occupational Safety and Health Administration,2018-03-07,https://www.osha.gov/laws-regs/federalregister/2018-03-07,2026-08-31,regulatory_record,modern regulation,non-spatial document,Public official web page or publication; retain agency attribution.,high,"Documents current PEL/STEL and exposure assessment, controls, PPE, housekeeping, surveillance, communication, and recordkeeping requirements."
PH2C-ATSDR-BE-2022,Toxicological Profile for Beryllium,Agency for Toxic Substances and Disease Registry,2022-09,https://www.atsdr.cdc.gov/toxprofiles/tp4.pdf,2026-08-31,government_summary,modern toxicological context,non-spatial document,Public official web page or publication; retain agency attribution.,high,General inhalation/dermal health context; no site-specific disease inference.
PH2C-ATSDR-ELMORE-2006,Brush Wellman Elmore Plant Health Consultation,Agency for Toxic Substances and Disease Registry,2006-12-01,https://www.atsdr.cdc.gov/HAC/PHA/brush_wellman/BrushWellmanHCRevised120106.pdf,2026-08-31,regulatory_record,historical Elmore review through 2006,facility/community review,Public official web page or publication; retain agency attribution.,high,Historical public-health consultation; not evidence of 2026 conditions or a Luckey-to-Elmore production link.
