edge_id,scenario_id,scenario_year,from_object_id,to_object_id,relationship_type,change_type,reality_status,relationship_basis,assumption_id,plausibility,source_or_basis,notes
IFE-A2050-01,A2050,2050,IF-A2050-01,IF-A2050-02,supports_decision,provenance_strengthened,fictional,scenario_assumption,ISA-A2050-01,moderate,phase4c_noaa_ioos,Scenario relationship only; not a physical communication route or automated final decision.
IFE-A2050-02,A2050,2050,IF-A2050-02,IF-A2050-03,feeds,new_edge,fictional,scenario_assumption,ISA-A2050-02,moderate,phase4c_nist_ai_rmf,Scenario relationship only; not a physical communication route or automated final decision.
IFE-A2050-03,A2050,2050,IF-A2050-03,IF-A2050-04,supports_decision,human_authority_retained,fictional,scenario_assumption,ISA-A2050-03,moderate,phase4a_glerl_hab,Scenario relationship only; not a physical communication route or automated final decision.
IFE-A2050-04,A2050,2050,IF-A2050-05,IF-A2050-06,supports_decision,new_edge,fictional,scenario_assumption,ISA-A2050-04,moderate,phase4a_nws_flood,Scenario relationship only; not a physical communication route or automated final decision.
IFE-A2050-05,A2050,2050,IF-A2050-06,IF-A2050-04,supports_decision,new_edge,fictional,scenario_assumption,ISA-A2050-05,moderate,phase4c_nist_ai_rmf,Scenario relationship only; not a physical communication route or automated final decision.
IFE-A2050-06,A2050,2050,IF-A2050-07,IF-A2050-04,used_by,new_edge,fictional,scenario_assumption,ISA-A2050-06,moderate,phase4c_cisa_cpg,Scenario relationship only; not a physical communication route or automated final decision.
IFE-A2050-07,A2050,2050,IF-A2050-08,IF-A2050-09,used_by,new_edge,fictional,scenario_assumption,ISA-A2050-01,moderate,phase4c_noaa_ioos,Scenario relationship only; not a physical communication route or automated final decision.
IFE-A2050-08,A2050,2050,IF-A2050-10,IF-A2050-11,supports_decision,new_edge,fictional,scenario_assumption,ISA-A2050-02,moderate,phase4c_nist_ai_rmf,Scenario relationship only; not a physical communication route or automated final decision.
IFE-A2075-01,A2075,2075,IF-A2075-01,IF-A2075-02,supports_decision,provenance_strengthened,fictional,scenario_assumption,ISA-A2075-01,moderate,phase4c_noaa_ioos,Scenario relationship only; not a physical communication route or automated final decision.
IFE-A2075-02,A2075,2075,IF-A2075-02,IF-A2075-03,feeds,new_edge,fictional,scenario_assumption,ISA-A2075-02,moderate,phase4c_nist_ai_rmf,Scenario relationship only; not a physical communication route or automated final decision.
IFE-A2075-03,A2075,2075,IF-A2075-03,IF-A2075-04,supports_decision,human_authority_retained,fictional,scenario_assumption,ISA-A2075-03,moderate,phase4a_glerl_hab,Scenario relationship only; not a physical communication route or automated final decision.
IFE-A2075-04,A2075,2075,IF-A2075-05,IF-A2075-06,supports_decision,new_edge,fictional,scenario_assumption,ISA-A2075-04,moderate,phase4a_nws_flood,Scenario relationship only; not a physical communication route or automated final decision.
IFE-A2075-05,A2075,2075,IF-A2075-06,IF-A2075-04,supports_decision,new_edge,fictional,scenario_assumption,ISA-A2075-05,moderate,phase4a_epa_echo,Scenario relationship only; not a physical communication route or automated final decision.
IFE-A2075-06,A2075,2075,IF-A2075-07,IF-A2075-04,used_by,new_edge,fictional,scenario_assumption,ISA-A2075-06,moderate,phase4c_cisa_cpg,Scenario relationship only; not a physical communication route or automated final decision.
IFE-A2075-07,A2075,2075,IF-A2075-08,IF-A2075-09,used_by,new_edge,fictional,scenario_assumption,ISA-A2075-01,moderate,phase4c_noaa_ioos,Scenario relationship only; not a physical communication route or automated final decision.
IFE-A2075-08,A2075,2075,IF-A2075-10,IF-A2075-11,supports_decision,new_edge,fictional,scenario_assumption,ISA-A2075-02,moderate,phase4c_nist_ai_rmf,Scenario relationship only; not a physical communication route or automated final decision.
IFE-B2050-01,B2050,2050,IF-B2050-01,IF-B2050-02,supports_decision,provenance_strengthened,fictional,scenario_assumption,ISA-B2050-01,moderate,phase4c_noaa_ioos,Scenario relationship only; not a physical communication route or automated final decision.
IFE-B2050-02,B2050,2050,IF-B2050-02,IF-B2050-03,feeds,new_edge,fictional,scenario_assumption,ISA-B2050-02,moderate,phase4c_nist_privacy_framework,Scenario relationship only; not a physical communication route or automated final decision.
IFE-B2050-03,B2050,2050,IF-B2050-03,IF-B2050-04,supports_decision,human_authority_retained,fictional,scenario_assumption,ISA-B2050-03,moderate,phase4a_toledo_water_quality,Scenario relationship only; not a physical communication route or automated final decision.
IFE-B2050-04,B2050,2050,IF-B2050-05,IF-B2050-06,supports_decision,new_edge,fictional,scenario_assumption,ISA-B2050-04,moderate,phase4c_cisa_cpg,Scenario relationship only; not a physical communication route or automated final decision.
IFE-B2050-05,B2050,2050,IF-B2050-06,IF-B2050-04,supports_decision,new_edge,fictional,scenario_assumption,ISA-B2050-05,moderate,phase4a_epa_npdes,Scenario relationship only; not a physical communication route or automated final decision.
