blindspot_id,domain,affected_chain,blindspot_type,description,consequence_type,evidence_basis,source_id,confidence,additional_data_needed,notes
IBS-A-001,lake_erie_hab,A,spatial_coverage,"The single public GLOS crib coordinate is a point observation context, not coverage of all Western Lake Erie conditions or a resolved physical intake location.",decision_context_may_not_represent_full_lake,GLOS publishes one named station dataset; the repository retains a separate intake-coordinate discrepancy.,phase4a_glos_crib,high,Independent intake-coordinate reconciliation and additional public observation coverage metadata,Do not treat the station coordinate as the sole intake geometry.
IBS-A-002,lake_erie_hab,A,status_uncertainty,"The public dataset establishes a station and time series, but this baseline does not establish current operating status or update cadence.",currentness_of_observation_is_uncertain,ERDDAP dataset metadata and public station record,phase4a_glos_crib,medium,Current station status and documented update/cadence metadata,No station retirement or failure is inferred.
IBS-A-003,lake_erie_hab,A,model_uncertainty,"NOAA's forecast combines satellite imagery, models, and field samples; this baseline does not assign local forecast error or an action threshold.",forecast_interpretation_remains_qualified,NOAA NCCOS forecast description,phase4a_nccos_hab_forecast,high,Documented forecast uncertainty and locally adopted decision thresholds,"This is uncertainty, not a finding that the forecast is unreliable."
IBS-A-004,lake_erie_hab,A,organizational_handoff,Public sources support general drinking-water-manager use of HAB forecasts but do not establish a direct NOAA-to-Toledo operational data handoff.,external_forecast_use_by_toledo_is_not_established,GLERL stakeholder statement plus City monitoring description,phase4a_glerl_hab,medium,Publicly documented Toledo use pathway or local decision record,The Phase 4A edge remains qualified rather than treated as an automated feed.
IBS-B-001,maumee_hydrology,B,spatial_coverage,"USGS 04193500 is one representative Lower Maumee gauge and cannot stand for rainfall, tributary, or basin-wide conditions.",basin_understanding_is_point_limited,USGS station record and representative-chain scope,phase4a_usgs_waterville,high,Additional gauge/rainfall coverage and documented basin aggregation methods,No complete hydrology inventory is attempted.
IBS-B-002,maumee_hydrology,B,organizational_handoff,The public chain does not document station-specific ingestion from NWIS into a particular NWPS forecast run.,forecast_provenance_is_product_level,NWIS and NWPS public service descriptions,phase4a_noaa_nwps,medium,Public station-to-forecast provenance or method documentation,Do not infer a missing feed or operational failure.
IBS-B-003,maumee_hydrology,B,temporal_latency,"The baseline does not assign a common observation-to-warning update interval across gauge data, forecast products, and NWS warnings.",warning_timeliness_is_not_quantified,NWPS and NWS public forecast/warning interfaces,phase4a_nws_flood,medium,Documented update schedules and event-specific warning timelines,No response delay or probability is calculated.
IBS-C-001,environmental_regulatory,C,public_data_gap,ECHO exposes public facility/compliance information but is not modeled as a raw continuous sensor feed.,public_view_is_not_full_measurement_record,EPA ECHO data-download description,phase4a_epa_echo,high,Underlying monitoring records and reporting cadence for a defined facility,Periodic or self-reported data are not treated as evidence of regulatory failure.
IBS-C-002,environmental_regulatory,C,jurisdiction_boundary,EPA and state-authorized NPDES roles are distinct; this baseline does not assign a specific local regulatory decision.,authority_path_is_program_level,EPA NPDES program description,phase4a_epa_npdes,high,"Named permit, state program, facility, and decision record","The boundary is organizational, not a claim of conflict or failure."
IBS-D-001,energy_information,D,public_data_gap,PJM public operating information and EIA statistics do not expose the private telemetry or internal decision detail needed to reconstruct operations.,public_information_is_high_level,"PJM Data Miner, PJM Markets and Operations, and EIA public data pages",phase4a_pjm_dataminer,high,Publicly releasable operator-method documentation at the required level,"No SCADA, control architecture, or cyber detail is sought."
