scenario_id,scenario_year,from_object_id,to_object_id,change_type,reality_status,relationship_basis,assumption_id,plausibility,source_or_basis,notes
A2050,2050,SCN-A2050-GRID,ENE-GRID-ATSI,new_edge,fictional,scenario_assumption,A2050-GRID,moderate,A2050-GRID,Scenario grid-modernization function supports the ATSI interface. Not a power-flow route or quantitative reliability claim.
A2050,2050,SCN-A2050-GRID,ENE-GRID-DTE,new_edge,fictional,scenario_assumption,A2050-GRID,moderate,A2050-GRID,Scenario grid-modernization function supports the DTE interface. Not a power-flow route or quantitative reliability claim.
A2050,2050,SCN-A2050-RESILIENCE,ENE-LOAD-COLLINS,resilience_upgrade,fictional,scenario_assumption,A2050-LOAD,moderate,A2050-LOAD,Qualitative critical-water resilience function. Not a power-flow route or quantitative reliability claim.
A2050,2050,SCN-A2050-RESILIENCE,ENE-LOAD-BAYVIEW,distributed_support,fictional,scenario_assumption,A2050-LOAD,moderate,A2050-LOAD,Qualitative wastewater resilience function. Not a power-flow route or quantitative reliability claim.
A2050,2050,SCN-A2050-INDUSTRIAL-COMPUTE,ENE-LOAD-ELMORE,new_function,fictional,scenario_assumption,A2050-MATERIALS,moderate,A2050-MATERIALS,Industrial-processing role changes without facility demand values. Not a power-flow route or quantitative reliability claim.
A2050,2050,SCN-A2050-INDUSTRIAL-COMPUTE,ENE-LOAD-WOODVILLE,new_function,fictional,scenario_assumption,A2050-MATERIALS,moderate,A2050-MATERIALS,Industrial-efficiency/electrification role changes without route or quantity. Not a power-flow route or quantitative reliability claim.
A2050,2050,SCN-A2050-INDUSTRIAL-COMPUTE,ENE-COMPUTE-BG-5MW,compute_growth,fictional,scenario_assumption,A2050-COMPUTE,moderate,A2050-COMPUTE,Generalized compute-service role; Oppidan's 2026 status remains planned/unverified. Not a power-flow route or quantitative reliability claim.
A2050,2050,ENE-EIA-65951,ENE-GRID-ATSI,storage_expansion,fictional,scenario_assumption,A2050-STORAGE,moderate,A2050-STORAGE,Bowling Green storage becomes a scenario support interface. Not a power-flow route or quantitative reliability claim.
A2050,2050,ENE-EIA-67758,ENE-GRID-DTE,storage_expansion,fictional,scenario_assumption,A2050-STORAGE,moderate,A2050-STORAGE,Slocum storage becomes a scenario support interface. Not a power-flow route or quantitative reliability claim.
A2050,2050,DEP-NATURAL-GAS-SUPPLY,ENE-EIA-59764,dependency_reduced,fictional,scenario_assumption,A2050-GEN,moderate,A2050-GEN,External natural-gas dependence changes qualitatively. Not a power-flow route or quantitative reliability claim.
A2050,2050,DEP-NATURAL-GAS-SUPPLY,ENE-EIA-55348,dependency_reduced,fictional,scenario_assumption,A2050-GEN,moderate,A2050-GEN,External natural-gas dependence changes qualitatively. Not a power-flow route or quantitative reliability claim.
A2050,2050,DEP-NATURAL-GAS-SUPPLY,ENE-EIA-55701,dependency_reduced,fictional,scenario_assumption,A2050-GEN,moderate,A2050-GEN,External natural-gas dependence changes qualitatively. Not a power-flow route or quantitative reliability claim.
A2050,2050,DEP-FUEL-LOGISTICS,ENE-EIA-1733,dependency_reduced,fictional,scenario_assumption,A2050-GEN,moderate,A2050-GEN,Monroe fuel/logistics relationship follows the scenario transition context. Not a power-flow route or quantitative reliability claim.
A2050,2050,DEP-COOLING-WATER,ENE-EIA-6149,dependency_increased,fictional,scenario_assumption,A2050-GEN,moderate,A2050-GEN,Nuclear cooling/water relationship remains qualitative and license-dependent. Not a power-flow route or quantitative reliability claim.
A2050,2050,DEP-COOLING-WATER,ENE-EIA-1729,dependency_increased,fictional,scenario_assumption,A2050-GEN,moderate,A2050-GEN,Nuclear cooling/water relationship remains qualitative and license-dependent. Not a power-flow route or quantitative reliability claim.
A2050,2050,DEP-WEATHER-RESOURCE,ENE-EIA-60622,dependency_increased,fictional,scenario_assumption,A2050-GEN,moderate,A2050-GEN,Weather/resource dependence changes with renewable role. Not a power-flow route or quantitative reliability claim.
A2050,2050,DEP-WEATHER-RESOURCE,ENE-EIA-63322,dependency_increased,fictional,scenario_assumption,A2050-GEN,moderate,A2050-GEN,Weather/resource dependence changes with renewable role. Not a power-flow route or quantitative reliability claim.
A2050,2050,DEP-WEATHER-RESOURCE,ENE-EIA-56226,dependency_increased,fictional,scenario_assumption,A2050-GEN,moderate,A2050-GEN,Weather/resource dependence changes with renewable role. Not a power-flow route or quantitative reliability claim.
A2050,2050,DEP-COMMUNICATIONS-NETWORK,SCN-A2050-GRID,new_edge,fictional,scenario_assumption,A2050-GRID,moderate,A2050-GRID,Operational communications remain a generalized coordination dependency. Not a power-flow route or quantitative reliability claim.
A2075,2075,SCN-A2075-GRID,ENE-GRID-ATSI,new_edge,fictional,scenario_assumption,A2075-GRID,moderate,A2075-GRID,Scenario grid-modernization function supports the ATSI interface. Not a power-flow route or quantitative reliability claim.
A2075,2075,SCN-A2075-GRID,ENE-GRID-DTE,new_edge,fictional,scenario_assumption,A2075-GRID,moderate,A2075-GRID,Scenario grid-modernization function supports the DTE interface. Not a power-flow route or quantitative reliability claim.
A2075,2075,SCN-A2075-RESILIENCE,ENE-LOAD-COLLINS,resilience_upgrade,fictional,scenario_assumption,A2075-LOAD,moderate,A2075-LOAD,Qualitative critical-water resilience function. Not a power-flow route or quantitative reliability claim.
A2075,2075,SCN-A2075-RESILIENCE,ENE-LOAD-BAYVIEW,distributed_support,fictional,scenario_assumption,A2075-LOAD,moderate,A2075-LOAD,Qualitative wastewater resilience function. Not a power-flow route or quantitative reliability claim.
A2075,2075,SCN-A2075-INDUSTRIAL-COMPUTE,ENE-LOAD-ELMORE,new_function,fictional,scenario_assumption,A2075-MATERIALS,moderate,A2075-MATERIALS,Industrial-processing role changes without facility demand values. Not a power-flow route or quantitative reliability claim.
A2075,2075,SCN-A2075-INDUSTRIAL-COMPUTE,ENE-LOAD-WOODVILLE,new_function,fictional,scenario_assumption,A2075-MATERIALS,moderate,A2075-MATERIALS,Industrial-efficiency/electrification role changes without route or quantity. Not a power-flow route or quantitative reliability claim.
A2075,2075,SCN-A2075-INDUSTRIAL-COMPUTE,ENE-COMPUTE-BG-5MW,compute_growth,fictional,scenario_assumption,A2075-COMPUTE,moderate,A2075-COMPUTE,Generalized compute-service role; Oppidan's 2026 status remains planned/unverified. Not a power-flow route or quantitative reliability claim.
A2075,2075,ENE-EIA-65951,ENE-GRID-ATSI,storage_expansion,fictional,scenario_assumption,A2075-STORAGE,moderate,A2075-STORAGE,Bowling Green storage becomes a scenario support interface. Not a power-flow route or quantitative reliability claim.
A2075,2075,ENE-EIA-67758,ENE-GRID-DTE,storage_expansion,fictional,scenario_assumption,A2075-STORAGE,moderate,A2075-STORAGE,Slocum storage becomes a scenario support interface. Not a power-flow route or quantitative reliability claim.
A2075,2075,DEP-NATURAL-GAS-SUPPLY,ENE-EIA-59764,dependency_reduced,fictional,scenario_assumption,A2075-GEN,moderate,A2075-GEN,External natural-gas dependence changes qualitatively. Not a power-flow route or quantitative reliability claim.
A2075,2075,DEP-NATURAL-GAS-SUPPLY,ENE-EIA-55348,dependency_reduced,fictional,scenario_assumption,A2075-GEN,moderate,A2075-GEN,External natural-gas dependence changes qualitatively. Not a power-flow route or quantitative reliability claim.
A2075,2075,DEP-NATURAL-GAS-SUPPLY,ENE-EIA-55701,dependency_reduced,fictional,scenario_assumption,A2075-GEN,moderate,A2075-GEN,External natural-gas dependence changes qualitatively. Not a power-flow route or quantitative reliability claim.
A2075,2075,DEP-FUEL-LOGISTICS,ENE-EIA-1733,dependency_reduced,fictional,scenario_assumption,A2075-GEN,moderate,A2075-GEN,Monroe fuel/logistics relationship follows the scenario transition context. Not a power-flow route or quantitative reliability claim.
A2075,2075,DEP-COOLING-WATER,ENE-EIA-6149,uncertain_future,fictional,scenario_assumption,A2075-GEN,moderate,A2075-GEN,Nuclear cooling/water relationship remains qualitative and license-dependent. Not a power-flow route or quantitative reliability claim.
A2075,2075,DEP-COOLING-WATER,ENE-EIA-1729,uncertain_future,fictional,scenario_assumption,A2075-GEN,moderate,A2075-GEN,Nuclear cooling/water relationship remains qualitative and license-dependent. Not a power-flow route or quantitative reliability claim.
A2075,2075,DEP-WEATHER-RESOURCE,ENE-EIA-60622,dependency_increased,fictional,scenario_assumption,A2075-GEN,moderate,A2075-GEN,Weather/resource dependence changes with renewable role. Not a power-flow route or quantitative reliability claim.
