node_id,node_type,name,state,geoid,geographic_unit,geographic_scale,latitude,longitude,settlement_class,study_frame,source_id,confidence,reality_status,canon_status,notes
POP-ZONE-39039,population_zone,"Defiance County, OH",OH,39039,county,county,41.32396627146696,-84.49041589813646,county_population_zone,western_basin_core_county_frame,s11a_decennial_oh_pl,high,real,verified,Analytical county frame; not a new jurisdiction or utility service territory.
POP-ZONE-39051,population_zone,"Fulton County, OH",OH,39051,county,county,41.60181436210216,-84.13007760559009,county_population_zone,western_basin_core_county_frame,s11a_decennial_oh_pl,high,real,verified,Analytical county frame; not a new jurisdiction or utility service territory.
POP-ZONE-39063,population_zone,"Hancock County, OH",OH,39063,county,county,41.00184990042036,-83.66658280862177,county_population_zone,western_basin_core_county_frame,s11a_decennial_oh_pl,high,real,verified,Analytical county frame; not a new jurisdiction or utility service territory.
POP-ZONE-39069,population_zone,"Henry County, OH",OH,39069,county,county,41.333793077577084,-84.06818436337035,county_population_zone,western_basin_core_county_frame,s11a_decennial_oh_pl,high,real,verified,Analytical county frame; not a new jurisdiction or utility service territory.
POP-ZONE-39095,population_zone,"Lucas County, OH",OH,39095,county,county,41.68429801148275,-83.4689078454401,county_population_zone,western_basin_core_county_frame,s11a_decennial_oh_pl,high,real,verified,Analytical county frame; not a new jurisdiction or utility service territory.
POP-ZONE-39123,population_zone,"Ottawa County, OH",OH,39123,county,county,41.5939140874382,-83.02008273325995,county_population_zone,western_basin_core_county_frame,s11a_decennial_oh_pl,high,real,verified,Analytical county frame; not a new jurisdiction or utility service territory.
POP-ZONE-39125,population_zone,"Paulding County, OH",OH,39125,county,county,41.11660361884419,-84.58017069597048,county_population_zone,western_basin_core_county_frame,s11a_decennial_oh_pl,high,real,verified,Analytical county frame; not a new jurisdiction or utility service territory.
POP-ZONE-39137,population_zone,"Putnam County, OH",OH,39137,county,county,41.02204919584685,-84.13179732158935,county_population_zone,western_basin_core_county_frame,s11a_decennial_oh_pl,high,real,verified,Analytical county frame; not a new jurisdiction or utility service territory.
POP-ZONE-39143,population_zone,"Sandusky County, OH",OH,39143,county,county,41.35746686715614,-83.14387705178287,county_population_zone,western_basin_core_county_frame,s11a_decennial_oh_pl,high,real,verified,Analytical county frame; not a new jurisdiction or utility service territory.
POP-ZONE-39147,population_zone,"Seneca County, OH",OH,39147,county,county,41.12390335344081,-83.12770544535557,county_population_zone,western_basin_core_county_frame,s11a_decennial_oh_pl,high,real,verified,Analytical county frame; not a new jurisdiction or utility service territory.
POP-ZONE-39161,population_zone,"Van Wert County, OH",OH,39161,county,county,40.85536995457079,-84.5860829385921,county_population_zone,western_basin_core_county_frame,s11a_decennial_oh_pl,high,real,verified,Analytical county frame; not a new jurisdiction or utility service territory.
POP-ZONE-39171,population_zone,"Williams County, OH",OH,39171,county,county,41.56024942795717,-84.58811705825572,county_population_zone,western_basin_core_county_frame,s11a_decennial_oh_pl,high,real,verified,Analytical county frame; not a new jurisdiction or utility service territory.
POP-ZONE-39173,population_zone,"Wood County, OH",OH,39173,county,county,41.361551725287114,-83.62310961583917,county_population_zone,western_basin_core_county_frame,s11a_decennial_oh_pl,high,real,verified,Analytical county frame; not a new jurisdiction or utility service territory.
POP-ZONE-26091,population_zone,"Lenawee County, MI",MI,26091,county,county,41.895023769222725,-84.06638178458512,county_population_zone,western_basin_core_county_frame,s11a_decennial_mi_pl,high,real,verified,Analytical county frame; not a new jurisdiction or utility service territory.
POP-ZONE-26115,population_zone,"Monroe County, MI",MI,26115,county,county,41.92133242119052,-83.49437913264413,county_population_zone,western_basin_core_county_frame,s11a_decennial_mi_pl,high,real,verified,Analytical county frame; not a new jurisdiction or utility service territory.
POP-ZONE-18003,population_zone,"Allen County, IN",IN,18003,county,county,41.09079660270694,-85.06656726150952,county_population_zone,western_basin_core_county_frame,s11a_decennial_in_pl,high,real,verified,Analytical county frame; not a new jurisdiction or utility service territory.
POP-ZONE-18033,population_zone,"DeKalb County, IN",IN,18033,county,county,41.397540263403975,-84.9990876850778,county_population_zone,western_basin_core_county_frame,s11a_decennial_in_pl,high,real,verified,Analytical county frame; not a new jurisdiction or utility service territory.
POP-ZONE-18151,population_zone,"Steuben County, IN",IN,18151,county,county,41.6438461128555,-85.00076571887416,county_population_zone,western_basin_core_county_frame,s11a_decennial_in_pl,high,real,verified,Analytical county frame; not a new jurisdiction or utility service territory.
MUNI-1801666,municipality,Angola city,IN,1600000US1801666,place,place,41.64109,-85.0109731,rural_settlement,western_basin_core_county_frame,s11a_decennial_in_pl,high,real,verified,Generalized place-size context; not an official urban/rural classification or service assignment.
MUNI-1802674,municipality,Auburn city,IN,1600000US1802674,place,place,41.3666371,-85.0559255,suburban_center,western_basin_core_county_frame,s11a_decennial_in_pl,high,real,verified,Generalized place-size context; not an official urban/rural classification or service assignment.
MUNI-1825000,municipality,Fort Wayne city,IN,1600000US1825000,place,place,41.0891325,-85.1438998,urban_center,western_basin_core_county_frame,s11a_decennial_in_pl,high,real,verified,Generalized place-size context; not an official urban/rural classification or service assignment.
MUNI-1826386,municipality,Garrett city,IN,1600000US1826386,place,place,41.3526122,-85.1237514,rural_settlement,western_basin_core_county_frame,s11a_decennial_in_pl,high,real,verified,Generalized place-size context; not an official urban/rural classification or service assignment.
