source_id,title,url,source_type,evidence_role,source_scope,retrieval_date,retrieval_status,use_limitations
S11C-BASELINE-11A,Accepted Phase 11A population and settlement freeze manifest,reports/phase11a_population_settlement_freeze_manifest.json,repository_accepted_layer,current factual baseline,selected OH/MI/IN county and place settlement frame,2026-09-08,verified in repository,Baseline reference only; no future values are copied into factual tables.
S11C-BASELINE-11B,Accepted Phase 11B population mobility and dependency freeze manifest,reports/phase11b_population_mobility_dependencies_freeze_manifest.json,repository_accepted_layer,current mobility and dependency context,generalized residence/workplace and system interfaces,2026-09-08,verified in repository,"Commuting, workplace, residence, and dependencies remain distinct from migration and future totals."
S11C-POP-PROJ,U.S. Census Bureau Population Projections,https://www.census.gov/programs-surveys/popproj.html,federal_projection_program,official projection method and horizon context,United States; national projection program,2026-09-08,retrieved,Supports projection context only; it does not allocate a future total to this selected county frame.
S11C-POP-PROJ-TABLES,2023 National Population Projections Tables: Main Series,https://www.census.gov/data/tables/2023/demo/popproj/2023-summary-tables.html,federal_projection_tables,official 2023–2100 national projection series and alternative-scenario boundary,United States; national tables,2026-09-08,retrieved,"2050 is available at national scale, not as an adopted selected-county forecast; the package uses no numeric projection values."
S11C-PEP,Census Bureau Population and Housing Unit Estimates,https://www.census.gov/programs-surveys/popest.html,federal_estimate_program,distinction between current estimates and projections,"states, counties, metropolitan areas, cities, and towns",2026-09-08,retrieved,"PEP provides estimates, not a 2050/2075 local projection for this package."
S11C-NOAA,NOAA Climate Change Impacts,https://www.noaa.gov/education/resource-collections/climate/climate-change-impacts,federal_science_education_source,"climate impacts on water, energy, transportation, infrastructure, ecosystems, and human systems",United States; national climate context,2026-09-08,retrieved,Used for broad climate-system context only; climate migration remains an explicit high-uncertainty scenario mechanism with no migration count or causal local forecast.
S11C-OHIO,Ohio Department of Development — Population Projections Overview: 2020 to 2050,https://development.ohio.gov/about-us/research/population/population-projections/pop-projection-overview-2020-2050,state_government_context,official Ohio 2020–2050 county projection overview,Ohio; statewide projection with county comparison and map,2026-09-08,retrieved,"Supports 2050 county directional reference; exact values are not copied into scenario-state rows, which remain qualitative."
S11C-MICHIGAN,Michigan Center for Data and Analytics — County Population Projections through 2050,https://www.michigan.gov/mcda/insights/2025/03/06/mich-county-popproj-2050,state_government_context,official Michigan 2025–2050 all-county projection overview,Michigan; all 83 counties,2026-09-08,retrieved,Supports 2050 county directional reference for Lenawee and Monroe; exact values are not copied into qualitative scenario-state rows.
S11C-INDIANA,STATS Indiana — Population Projections Help Page,https://www.stats.indiana.edu/pop_proj/default.html,state_university_context,official Indiana 2025–2050 substate projection tool,"Indiana; counties, regions, and custom county groupings",2026-09-08,retrieved,"Supports 2050 county directional reference for Allen, DeKalb, and Steuben; exact values are not copied into qualitative scenario-state rows."
S11C-NETWORK,Phase 11B generalized mobility and system-dependency interfaces,reports/phase11b_population_mobility_dependencies_freeze_manifest.json,repository_accepted_layer,spatial and functional relationship context,county interfaces; generalized employment and service relationships,2026-09-08,verified in repository,"Provides relationship context, not a future commuting or migration simulator."
S11C-CLIMATE,Accepted Phase 9 climate and natural-hazards context,reports/phase9c_climate_hazard_futures_freeze_manifest.json,repository_accepted_layer,inherited climate-hazard scenario context,Western Basin; qualitative 2050/2075 hazard layer,2026-09-08,verified in repository,"Climate interface is not a population projection, exposure finding, or migration count."
