node_id,name,node_type,mode,industrial_role,commodity_classes,status,latitude,longitude,source_id,confidence,notes
FRT-PORT-TOLEDO,Port of Toledo,port,marine,Great Lakes port gateway,container_or_general_freight;aggregate;steel_or_metal_products;industrial_materials,operating public port,41.653818167585,-83.528499986757,phase5a_port_geocode,high,"Address-level port anchor at 1 Maritime Plaza; terminals and docks are generalized, not individually mapped."
FRT-TERM-IRONVILLE,Ironville Terminal / Cleveland-Cliffs HBI interface,terminal,marine,direct-reduced iron / HBI bulk-material interface,steel_or_metal_products;industrial_materials,documented terminal role; point not separately geocoded,,,phase5a_toledo_port,high,Port authority documents vessel delivery of product to the Ironville direct-reduction plant and finished product leaving by truck and rail; destination routes are not specified.
FRT-RAIL-NS,Norfolk Southern Class I freight corridor context,rail_interface,rail,Class I freight rail corridor,steel_or_metal_products;aggregate;industrial_materials;container_or_general_freight,public corridor,,,phase5a_ntad_rail,high,NTAD Class I corridor geometry; corridor presence does not prove facility use or a shipment.
FRT-RAIL-CSXT,CSX Class I freight corridor context,rail_interface,rail,Class I freight rail corridor,steel_or_metal_products;aggregate;industrial_materials;container_or_general_freight,public corridor,,,phase5a_ntad_rail,high,NTAD Class I corridor geometry; corridor presence does not prove facility use or a shipment.
FRT-RAIL-CN,Canadian National Class I freight corridor context,rail_interface,rail,Class I freight rail corridor,steel_or_metal_products;aggregate;industrial_materials;container_or_general_freight,public corridor,,,phase5a_ntad_rail,high,NTAD Class I corridor geometry; carrier presence is represented at corridor level only.
FRT-RAIL-WLE,Wheeling & Lake Erie Railway public port interface,rail_interface,rail,regional freight-rail interface,aggregate;lime;industrial_materials;steel_or_metal_products,publicly listed regional interface; geometry not modeled,,,phase5a_toledo_port,medium,"Port authority lists the carrier as a rail contact; no line, yard, customer, or shipment route is inferred."
FRT-HWY-I75,I-75 freight corridor,highway_interface,highway,north-south regional freight corridor,container_or_general_freight;automotive;steel_or_metal_products;industrial_materials,public primary-road corridor,,,census_tigerweb_context,high,Existing TIGER primary-road geometry; no plant-specific truck route or truck count.
FRT-HWY-I80-90,I-80 / I-90 Ohio Turnpike freight corridor,highway_interface,highway,east-west regional freight corridor,container_or_general_freight;agricultural_bulk;aggregate;industrial_materials,public primary-road corridor,,,census_tigerweb_context,high,Existing TIGER primary-road geometry and Port of Toledo crossroads context; no facility-specific route or truck count.
FRT-HWY-I280,I-280 freight connector context,highway_interface,highway,Toledo harbor and regional connector,container_or_general_freight;steel_or_metal_products;industrial_materials,public primary-road corridor,,,census_tigerweb_context,medium,Existing TIGER primary-road geometry; no port-terminal route or truck movement is inferred.
FRT-HWY-US23,US-23 freight corridor,highway_interface,highway,north-south regional freight connector,container_or_general_freight;agricultural_bulk;automotive;industrial_materials,public primary-road corridor,,,census_tigerweb_context,high,Existing TIGER primary-road geometry; no facility-specific route or truck count.
FRT-FUEL-EXTERNAL,External fuel and petroleum logistics interface,pipeline_interface,generalized,high-level external fuel supply context,petroleum_or_fuel;chemicals,generalized external interface,,,phase5a_eia_petroleum,medium,"Generalized regional fuel interface only; no pipeline alignment, station, valve, pressure, capacity, or contract route is modeled."
FRT-MKT-GREAT-LAKES,Great Lakes / St. Lawrence external markets,external_market,marine,marine-connected external market interface,container_or_general_freight;aggregate;steel_or_metal_products;industrial_materials,generalized market interface,,,phase5a_great_lakes_seaway,high,External connection through the Great Lakes/St. Lawrence Seaway System; no vessel schedule or named customer is modeled.
FRT-MKT-MIDWEST-INDUSTRIAL,Midwest industrial markets,external_market,multimodal,generalized regional industrial market interface,steel_or_metal_products;aggregate;lime;industrial_materials;automotive,generalized market interface,,,phase5a_fhwa_faf,medium,Generalized market endpoint for documented or broad functional flows; no destination facility or volume is assigned.
FRT-MKT-MICHIGAN-CANADA,Michigan / Canada freight interface,external_market,multimodal,cross-border and heavy-haul market interface,container_or_general_freight;steel_or_metal_products;industrial_materials;automotive,generalized market interface,,,phase5a_toledo_port,medium,"Port authority documents designated heavy-haul connections; no exact route, permit, schedule, or customer is modeled."
FRT-MKT-LICENSED-DISPOSAL,External licensed remediation-disposal destination,external_market,generalized,remediation logistics destination,industrial_materials;chemicals,documented program-level destination,,,phase5a_luckey_logistics,high,"Represents off-site licensed disposal as a destination class; no hazardous-material route, facility, schedule, or quantity is modeled."
FRT-AG-MIDWEST-BULK,Midwest agricultural bulk market context,agricultural_node,multimodal,broad agricultural bulk origin/market context,agricultural_bulk;grain,generalized external context,,,phase5a_fhwa_faf,medium,"Freight Analysis Framework context only; no Toledo-specific grain shipment, elevator, volume, or route is asserted."
FRT-IND-IRONVILLE,Cleveland-Cliffs Ironville direct-reduction plant,industrial_site,multimodal,HBI production and bulk industrial processing,steel_or_metal_products;industrial_materials,documented industrial role; exact terminal point generalized,,,phase5a_toledo_port,high,Port authority documents vessel input and truck/rail output; this node is not separately geocoded to avoid inventing terminal geometry.
CARB-EXT-AREA-WOODVILLE,Area Aggregates Woodville extraction,industrial_site,generalized,carbonate aggregate extraction,aggregate;limestone;agricultural_bulk,operating 2026 permit context,41.440421365979,-83.357258672099,phase5a_area_woodville,high,"Existing materials-system node reused; freight mode, customer, route, and quantity are not established."
CARB-PROC-MM-WOODVILLE,Martin Marietta Woodville lime processing,material_processor,generalized,lime and dolomitic-material processing,lime;limestone;industrial_materials;agricultural_bulk,operating 2026 facility context,41.465048865166,-83.366181833374,phase5a_mm_woodville,high,Existing materials-system node reused; distribution relationship is generalized and no route or quantity is asserted.
CARB-PROC-GRAYMONT-GENOA,Graymont Genoa lime processing,material_processor,generalized,dolomitic lime processing,lime;limestone;industrial_materials,operating 2026 facility context,41.515270001961,-83.355189973188,phase5a_graymont_genoa,high,Existing materials-system node reused; specific quarry/feed and freight route remain unresolved.
BER-PROC-ELMORE,Materion Elmore advanced processing,material_processor,generalized,advanced strategic-material processing,strategic_materials;industrial_materials,operating 2026 facility context,41.491149985926,-83.215860027455,phase5a_materion_elmore,high,"Existing materials-system node reused; nonlocal feed is documented, but transport mode, route, schedule, and quantity are not."
BER-LEG-LUCKEY,Luckey FUSRAP remediation site,industrial_site,generalized,legacy remediation and licensed waste logistics,industrial_materials;chemicals,active remediation 2026,41.45880174891,-83.490434663133,phase5a_luckey_usace,high,"Existing materials-system node reused; this is legacy/remediation context, not current production or a freight corridor."
