dependency_id,from_id,to_id,relationship_type,dependency_type,archetype,documented_or_inferred,relationship_basis,direction,spatial_scale,temporal_scope,evidence_strength,source_id,uncertainty_id,uncertainty,confidence,reality_status,canon_status,relevant_disease_systems,notes
IDB-001,EXT-CLIMATE,EXT-VECTOR-ECOLOGY,frames_seasonality,environmental driver,vector-borne,inferred,accepted_layer_plus_project_inference,climate context -> seasonal vector ecology potential,station/county/regional,2026 context; seasonal,moderate,phase9_hazard_dependency_context,IDBU-001,"Climate observations can frame seasonal context, but this package does not estimate vector suitability, abundance, or disease incidence.",limited,real,inferred,DID-001;DID-002,Accepted climate/hazard context can frame seasonality; it is not a thermal suitability model or disease forecast.
IDB-002,EXT-HYDROLOGY,EXT-VECTOR-ECOLOGY,creates_habitat_opportunity,ecological mediator,vector-borne,inferred,accepted_layer_plus_project_inference,hydrology context -> standing-water/vector habitat opportunity,watershed/wetland/ditch generalized,2026 context; event/season dependent,moderate,phase1_water_context,IDBU-002,"Standing-water and wetland context can identify a habitat interface, but vector response is not quantified.",limited,real,inferred,DID-001,"Hydrology and wetland context can identify a habitat interface, but no vector count, abundance response, or human disease result is inferred."
IDB-003,EXT-ECOLOGY,EXT-VECTOR-ECOLOGY,mediates_host_habitat,ecological mediator,vector-borne,inferred,accepted_layer_plus_project_inference,ecology/host context -> vector lifecycle interface,regional ecology/forest/wetland,2026 context,moderate,phase6_ecology_context,IDBU-003,"Vector ecology and pathogen-in-vector context do not establish human contact, exposure, infection, or clinical disease.",limited,real,inferred,DID-001;DID-002,Accepted ecology and vector layers meet at generalized habitat and host interfaces; no abundance or contact rate is produced.
IDB-004,EXT-VECTOR-ECOLOGY,DID-001,frames_transmission_opportunity,ecological mediator,vector-borne,inferred,accepted_layer_plus_project_inference,vector ecology context -> vector-borne transmission opportunity,county/habitat/program,2026 context,moderate,phase12_vector_dependency_context,IDBU-003,"Vector ecology and pathogen-in-vector context do not establish human contact, exposure, infection, or clinical disease.",limited,real,inferred,DID-001,"Vector ecology is a dependency context for the West Nile system; it is not human infection, disease, incidence, or local transmission."
IDB-005,HOST-001,DID-002,frames_contact_opportunity,population/contact interface,vector-borne,inferred,project_inference,aggregate settlement context -> possible human-vector contact interface,county/place/generalized employment,2026 context,limited,phase11_population,IDBU-007,"Population concentration identifies a possible contact structure, not contact events, exposure, infection, or incidence.",limited,real,inferred,DID-002,"Population and settlement context identifies a possible interface only; no individual contact, exposure, infection, or disease is assigned."
IDB-006,SUR-003,REF-4,feeds_observation,surveillance dependency,vector-borne,inferred,accepted_layer_plus_project_inference,vector surveillance -> observation/data interface,agency/county/state/program,2026 program context,moderate,phase4_information,IDBU-011,"Surveillance intensity, testing, reporting, and laboratory participation change detection opportunity and do not equal incidence or burden.",moderate,real,inferred,DID-001;SUR-003,"Vector detections can enter an observation chain; this is not a disease observation or a risk estimate; detection intensity is not incidence, abundance, or response effectiveness."
IDB-007,EXT-HYDROLOGY,ENV-001,conditions_exposure_opportunity,environmental driver,waterborne/environmental,inferred,accepted_layer_plus_project_inference,hydrology/flooding context -> water exposure opportunity,watershed/source/recreational water,2026 context; event dependent,moderate,phase1_water_context,IDBU-004,"Water-system condition or flooding identifies an exposure opportunity only; contamination, exposure, infection, illness, and outbreak require separate evidence.",limited,real,inferred,DID-003;DID-004,Water-system and hydrologic context support pathway analysis only; no contamination or exposure event is asserted.
IDB-008,EXT-FLOODING,ENV-001,disrupts_or_connects_pathway,environmental driver,waterborne/environmental,inferred,accepted_layer_plus_project_inference,flooding/runoff context -> water-system exposure opportunity,watershed/floodplain/source/recreational water,2026 context; event dependent,moderate,phase9_hazard_dependency_context,IDBU-004,"Water-system condition or flooding identifies an exposure opportunity only; contamination, exposure, infection, illness, and outbreak require separate evidence.",limited,real,inferred,DID-004,"Flooding and runoff are qualitative pathway interfaces; the record does not establish contamination, infection, illness, or outbreak."
IDB-009,EXT-WATER-INFRASTRUCTURE,ENV-001,depends_on_system_condition,infrastructure dependency,waterborne/environmental,inferred,accepted_layer_plus_project_inference,water infrastructure condition -> treatment/source-water pathway context,water system/source/utility generalized,2026 context,moderate,phase1_water_context,IDBU-005,Water and energy infrastructure are generalized dependencies; facility condition and treatment performance are not modeled.,limited,real,inferred,DID-003;DID-004,"Infrastructure condition is generalized; no treatment failure, facility condition, receptor exposure, or disease burden is inferred."
IDB-010,ENV-001,DID-004,frames_exposure_opportunity,population/contact interface,waterborne/environmental,documented,documented_source,water interface -> waterborne exposure opportunity,source/recreational-water/investigation,current surveillance/pathway context,strong,s13_cdc_water_surv,IDBU-004,"Water-system condition or flooding identifies an exposure opportunity only; contamination, exposure, infection, illness, and outbreak require separate evidence.",high,real,verified,DID-004,CDC waterborne surveillance supports an exposure/pathway interface; contamination is not infection or illness.
IDB-011,SUR-004,INST-001,supplies_case_observation,surveillance dependency,waterborne/environmental,documented,documented_source,legionellosis surveillance -> laboratory/reporting interface,jurisdiction/national/investigation,current program context,strong,s13_cdc_legionella_surv,IDBU-011,"Surveillance intensity, testing, reporting, and laboratory participation change detection opportunity and do not equal incidence or burden.",high,real,verified,DID-003;SUR-004,Legionellosis reporting and exposure-setting information are surveillance interfaces; source attribution requires investigation.
IDB-012,REF-4,REF-10,supports_response_coordination,institutional response dependency,waterborne/environmental,inferred,accepted_layer_plus_project_inference,observation/data -> governance/coordination decision interface,program/agency/jurisdiction,2026 context,moderate,phase10_coordination_context,IDBU-011,"Surveillance intensity, testing, reporting, and laboratory participation change detection opportunity and do not equal incidence or burden.",moderate,real,inferred,DID-004;SUR-005,Observation may inform coordination; this is not a risk model; monitoring is not control and no response effectiveness is estimated.
IDB-013,EXT-FOOD-PRODUCTION,EXT-FOOD-PROCESSING,connects_food_system,food/freight interface,foodborne/enteric,inferred,accepted_layer_plus_project_inference,food production context -> processing/distribution interface,regional/agricultural/bulk generalized,2026 context,limited,phase5_freight_context,IDBU-006,"Food/freight connectivity is an interface for distribution and investigation, not evidence of shipment, contamination, or outbreak.",limited,real,inferred,DID-005;DID-006;DID-007,"Accepted freight/material context supports a generalized food-system interface; no facility, commodity, shipment, or contamination claim is made."
IDB-014,EXT-FOOD-PROCESSING,EXT-FREIGHT,connects_distribution,food/freight interface,foodborne/enteric,inferred,accepted_layer_plus_project_inference,food processing context -> generalized freight/distribution connectivity,regional freight/gateway/interchange,2026 context,limited,phase5_freight_context,IDBU-006,"Food/freight connectivity is an interface for distribution and investigation, not evidence of shipment, contamination, or outbreak.",limited,real,inferred,DID-005;DID-006;DID-007,"Freight connectivity is an interface for propagation opportunity and investigation, not evidence of a shipment or outbreak."
IDB-015,EXT-FREIGHT,DID-005,creates_propagation_opportunity,food/freight interface,foodborne/enteric,inferred,accepted_layer_plus_project_inference,distribution connectivity -> possible foodborne propagation opportunity,regional freight/gateway/interchange,2026 context,limited,phase5_freight_context,IDBU-006,"Food/freight connectivity is an interface for distribution and investigation, not evidence of shipment, contamination, or outbreak.",limited,real,inferred,DID-005,"Food/freight connectivity is an interface, not a shipment, contaminated product, exposure, infection, incidence, or outbreak finding."
IDB-016,DID-005,SUR-006,is_observed_by,surveillance dependency,foodborne/enteric,documented,documented_source,enteric disease system -> laboratory/case surveillance,state/territorial/national laboratory,current program context,strong,s13_cdc_enteric,IDBU-011,"Surveillance intensity, testing, reporting, and laboratory participation change detection opportunity and do not equal incidence or burden.",high,real,verified,DID-005;DID-006;DID-007;SUR-006,Laboratory and case surveillance identifies reported records; it does not capture all community infections or exposure locations.
IDB-017,SUR-006,SUR-007,complements_detection,surveillance dependency,foodborne/enteric,documented,documented_source,laboratory/case surveillance -> active surveillance interface,state/territorial/FoodNet surveillance area,current program context,strong,s13_cdc_foodnet,IDBU-011,"Surveillance intensity, testing, reporting, and laboratory participation change detection opportunity and do not equal incidence or burden.",high,real,verified,DID-005;DID-006;DID-007,FoodNet is complementary surveillance with its own coverage and denominator; it is not a Western Basin incidence estimate.
IDB-018,SUR-005,REF-10,supports_investigation_response,institutional response dependency,foodborne/enteric,inferred,accepted_layer_plus_project_inference,outbreak reporting/investigation -> governance response interface,state/local/territorial investigation,current program context,moderate,s13_cdc_nors,IDBU-006,"Food/freight connectivity is an interface for distribution and investigation, not evidence of shipment, contamination, or outbreak.",moderate,real,inferred,DID-005;DID-006;DID-007;SUR-005,Outbreak reporting can support investigation and coordination; this is not outbreak evidence and connectivity is not an outbreak assertion.
IDB-019,EXT-SETTLEMENT,EXT-CONTACT-STRUCTURE,structures_contact_opportunity,population/contact interface,respiratory,inferred,accepted_layer_plus_project_inference,settlement context -> possible contact structure,county/place/generalized settlement,2026 context,moderate,phase11_population,IDBU-007,"Population concentration identifies a possible contact structure, not contact events, exposure, infection, or incidence.",limited,real,inferred,DID-008;DID-009,Population concentration is an interface for contact structure only; no density-to-incidence relationship is estimated.
IDB-020,EXT-MOBILITY,EXT-CONTACT-STRUCTURE,connects_contact_opportunity,mobility interface,respiratory,inferred,accepted_layer_plus_project_inference,aggregate mobility -> possible connectivity among settings,county/place/generalized mobility,2026 context,limited,phase11_mobility_context,IDBU-008,"Aggregate mobility can indicate possible connectivity, but commuting and movement are not transmission observations.",limited,real,inferred,DID-008;DID-009,"Aggregate mobility and commuting do not identify transmission, contacts, infections, or local incidence."
IDB-021,EXT-CONTACT-STRUCTURE,DID-008,frames_transmission_opportunity,population/contact interface,respiratory,inferred,project_inference,contact structure -> respiratory transmission opportunity,community/setting/generalized,2026 context,limited,s13_cdc_flu_methods,IDBU-009,Indoor/community setting is a qualitative interface for respiratory systems; no density-to-incidence relationship is estimated.,limited,real,inferred,DID-008,"Respiratory contact opportunity is a systems interface, not a population-density incidence model."
IDB-022,DID-009,SUR-009,is_observed_by,surveillance dependency,respiratory,documented,documented_source,SARS-CoV-2 community system -> wastewater observation,sewershed/community/state/regional,current program context,strong,s13_cdc_wastewater,IDBU-011,"Surveillance intensity, testing, reporting, and laboratory participation change detection opportunity and do not equal incidence or burden.",high,real,verified,DID-009;SUR-009,Wastewater supplies a community-level signal; it does not determine the number of infections or individual exposure.
IDB-023,SUR-008,INST-001,supplies_surveillance_data,surveillance dependency,respiratory,documented,documented_source,influenza surveillance streams -> laboratory/reporting interface,national/HHS region/state/stream,2026 weekly program context,strong,s13_cdc_flu_methods,IDBU-011,"Surveillance intensity, testing, reporting, and laboratory participation change detection opportunity and do not equal incidence or burden.",high,real,verified,DID-008;SUR-008,"Influenza laboratory, outpatient, hospital, and mortality streams have distinct denominators and are not one transmission rate."
IDB-024,REF-4,REF-10,supports_response_coordination,institutional response dependency,respiratory,inferred,accepted_layer_plus_project_inference,observation/data -> governance/coordination decision interface,program/agency/jurisdiction,2026 context,moderate,phase10_coordination_context,IDBU-011,"Surveillance intensity, testing, reporting, and laboratory participation change detection opportunity and do not equal incidence or burden.",moderate,real,inferred,DID-008;DID-009;SUR-008;SUR-009,Detection can inform response interfaces; surveillance intensity is not disease intensity and response effectiveness is not estimated.
IDB-025,EXT-ECOLOGY,EXT-ANIMAL-HOSTS,mediates_host_interface,ecological mediator,zoonotic,inferred,accepted_layer_plus_project_inference,ecology context -> wildlife/domestic host interface,regional ecology/wildlife/domestic animal,2026 context,limited,phase6_ecology_context,IDBU-010,"Wildlife, domestic-animal, and occupational interfaces are pathway contexts; animal contact does not establish human infection or disease.",limited,real,inferred,DID-010,"Generalized host ecology is retained without an animal abundance, contact, or infection estimate."
IDB-026,EXT-ANIMAL-HOSTS,DID-010,frames_animal_human_opportunity,population/contact interface,zoonotic,documented,documented_source,animal host/contact interface -> possible rabies exposure opportunity,wildlife/domestic animal/exposure investigation,current public-health context,strong,s13_cdc_rabies,IDBU-010,"Wildlife, domestic-animal, and occupational interfaces are pathway contexts; animal contact does not establish human infection or disease.",high,real,verified,DID-010,Rabies animal contact and potential-exposure pathways are documented; human infection or disease is not inferred.
IDB-027,EXT-OCCUPATIONAL-CONTACT,DID-010,frames_contact_opportunity,population/contact interface,zoonotic,inferred,documented_source_plus_project_inference,occupational/environmental contact -> possible animal-human interface,occupational/exposure investigation,current public-health context,limited,s13_cdc_rabies,IDBU-010,"Wildlife, domestic-animal, and occupational interfaces are pathway contexts; animal contact does not establish human infection or disease.",limited,real,inferred,DID-010,"Potential contact is not documented exposure, infection, clinical disease, or disease burden."
IDB-028,DID-010,SUR-010,is_observed_by,surveillance dependency,zoonotic,documented,documented_source,rabies system -> animal testing/exposure/PEP surveillance,animal-control/veterinary/public-health,current program context,strong,s13_cdc_rabies,IDBU-011,"Surveillance intensity, testing, reporting, and laboratory participation change detection opportunity and do not equal incidence or burden.",high,real,verified,DID-010;SUR-010,"Animal testing, exposure assessment, and post-exposure prophylaxis are separate response records."
IDB-029,SUR-010,REF-10,supports_response_coordination,institutional response dependency,zoonotic,inferred,accepted_layer_plus_project_inference,animal/public-health surveillance -> coordination interface,animal/state/exposure investigation,current program context,moderate,phase10_coordination_context,IDBU-011,"Surveillance intensity, testing, reporting, and laboratory participation change detection opportunity and do not equal incidence or burden.",moderate,real,inferred,DID-010;SUR-010,Surveillance can inform coordination; a response interface is not proof of complete detection or outcome.
