relationship_id,module,source_node_id,target_node_id,relationship_type,value,units,reference_year,release_year,estimate_period,origin_geography,destination_geography,geographic_scale,source_product,observed_estimated_modeled,source_id,evidence_strength,relationship_basis,confidence,reality_status,canon_status,notes
MREL-0001,11B,POP-ZONE-39095,POP-ZONE-39173,commuting_interface_with,25171,jobs,2023,2025,2023,39095,39173,county_pair,LODES 8.4 OD 2023,modeled,s11b_lodes_oh_od,high,generalized residence-to-workplace relationship,high,real,verified,"Commuting is not migration, passenger surveillance, or a route model."
MREL-0002,11B,POP-ZONE-39173,POP-ZONE-39095,commuting_interface_with,20012,jobs,2023,2025,2023,39173,39095,county_pair,LODES 8.4 OD 2023,modeled,s11b_lodes_oh_od,high,generalized residence-to-workplace relationship,high,real,verified,"Commuting is not migration, passenger surveillance, or a route model."
MREL-0003,11B,POP-ZONE-18033,POP-ZONE-18003,commuting_interface_with,5922,jobs,2023,2025,2023,18033,18003,county_pair,LODES 8.4 OD 2023,modeled,s11b_lodes_in_od,high,generalized residence-to-workplace relationship,high,real,verified,"Commuting is not migration, passenger surveillance, or a route model."
MREL-0004,11B,POP-ZONE-39051,POP-ZONE-39095,commuting_interface_with,5067,jobs,2023,2025,2023,39051,39095,county_pair,LODES 8.4 OD 2023,modeled,s11b_lodes_oh_od,high,generalized residence-to-workplace relationship,high,real,verified,"Commuting is not migration, passenger surveillance, or a route model."
MREL-0005,11B,POP-ZONE-18003,POP-ZONE-18033,commuting_interface_with,4751,jobs,2023,2025,2023,18003,18033,county_pair,LODES 8.4 OD 2023,modeled,s11b_lodes_in_od,high,generalized residence-to-workplace relationship,high,real,verified,"Commuting is not migration, passenger surveillance, or a route model."
MREL-0006,11B,POP-ZONE-39173,POP-ZONE-39063,commuting_interface_with,3166,jobs,2023,2025,2023,39173,39063,county_pair,LODES 8.4 OD 2023,modeled,s11b_lodes_oh_od,high,generalized residence-to-workplace relationship,high,real,verified,"Commuting is not migration, passenger surveillance, or a route model."
MREL-0007,11B,POP-ZONE-39147,POP-ZONE-39063,commuting_interface_with,2797,jobs,2023,2025,2023,39147,39063,county_pair,LODES 8.4 OD 2023,modeled,s11b_lodes_oh_od,high,generalized residence-to-workplace relationship,high,real,verified,"Commuting is not migration, passenger surveillance, or a route model."
MREL-0008,11B,POP-ZONE-39123,POP-ZONE-39095,commuting_interface_with,2675,jobs,2023,2025,2023,39123,39095,county_pair,LODES 8.4 OD 2023,modeled,s11b_lodes_oh_od,high,generalized residence-to-workplace relationship,high,real,verified,"Commuting is not migration, passenger surveillance, or a route model."
MREL-0009,11B,POP-ZONE-39147,POP-ZONE-39143,commuting_interface_with,2266,jobs,2023,2025,2023,39147,39143,county_pair,LODES 8.4 OD 2023,modeled,s11b_lodes_oh_od,high,generalized residence-to-workplace relationship,high,real,verified,"Commuting is not migration, passenger surveillance, or a route model."
MREL-0010,11B,POP-ZONE-18151,POP-ZONE-18003,commuting_interface_with,2172,jobs,2023,2025,2023,18151,18003,county_pair,LODES 8.4 OD 2023,modeled,s11b_lodes_in_od,high,generalized residence-to-workplace relationship,high,real,verified,"Commuting is not migration, passenger surveillance, or a route model."
