scenario_id,scenario_year,ecological_component,future_state,change_type,relationship_basis,source_id,plausibility,notes
A2050,2050,western_lake_erie_aquatic,strengthened,qualitative_scenario,scenario_assumption,noaa_hab,moderate,"Descriptive future support state, not a risk score."
A2050,2050,maumee_tributary_floodplain,strengthened,qualitative_scenario,scenario_assumption,usgs_3dhp_all,moderate,"Descriptive future support state, not a risk score."
A2050,2050,coastal_wetlands_marshes,strengthened,qualitative_scenario,scenario_assumption,usfws_nwi,moderate,"Descriptive future support state, not a risk score."
A2050,2050,black_swamp_legacy_agriculture,strengthened,qualitative_scenario,scenario_assumption,h2ohio_great_black_swamp_history,moderate,"Descriptive future support state, not a risk score."
A2050,2050,terrestrial_habitat_fragmentation,strengthened,qualitative_scenario,scenario_assumption,phase6a_mrlc_land_cover,moderate,"Descriptive future support state, not a risk score."
A2050,2050,migratory_mobile_species,strengthened,qualitative_scenario,scenario_assumption,phase6a_usfws_ottawa_nwr,moderate,"Descriptive future support state, not a risk score."
A2075,2075,western_lake_erie_aquatic,strengthened,qualitative_scenario,scenario_assumption,noaa_hab,moderate,"Descriptive future support state, not a risk score."
A2075,2075,maumee_tributary_floodplain,strengthened,qualitative_scenario,scenario_assumption,usgs_3dhp_all,moderate,"Descriptive future support state, not a risk score."
A2075,2075,coastal_wetlands_marshes,strengthened,qualitative_scenario,scenario_assumption,usfws_nwi,moderate,"Descriptive future support state, not a risk score."
A2075,2075,black_swamp_legacy_agriculture,strengthened,qualitative_scenario,scenario_assumption,h2ohio_great_black_swamp_history,moderate,"Descriptive future support state, not a risk score."
A2075,2075,terrestrial_habitat_fragmentation,strengthened,qualitative_scenario,scenario_assumption,phase6a_mrlc_land_cover,moderate,"Descriptive future support state, not a risk score."
A2075,2075,migratory_mobile_species,strengthened,qualitative_scenario,scenario_assumption,phase6a_usfws_ottawa_nwr,moderate,"Descriptive future support state, not a risk score."
B2050,2050,western_lake_erie_aquatic,persists,qualitative_scenario,scenario_assumption,noaa_hab,high,"Descriptive future support state, not a risk score."
B2050,2050,maumee_tributary_floodplain,persists,qualitative_scenario,scenario_assumption,usgs_3dhp_all,high,"Descriptive future support state, not a risk score."
B2050,2050,coastal_wetlands_marshes,persists,qualitative_scenario,scenario_assumption,usfws_nwi,high,"Descriptive future support state, not a risk score."
B2050,2050,black_swamp_legacy_agriculture,persists,qualitative_scenario,scenario_assumption,h2ohio_great_black_swamp_history,high,"Descriptive future support state, not a risk score."
B2050,2050,terrestrial_habitat_fragmentation,persists,qualitative_scenario,scenario_assumption,phase6a_mrlc_land_cover,high,"Descriptive future support state, not a risk score."
B2050,2050,migratory_mobile_species,persists,qualitative_scenario,scenario_assumption,phase6a_usfws_ottawa_nwr,high,"Descriptive future support state, not a risk score."
B2075,2075,western_lake_erie_aquatic,persists,qualitative_scenario,scenario_assumption,noaa_hab,high,"Descriptive future support state, not a risk score."
B2075,2075,maumee_tributary_floodplain,persists,qualitative_scenario,scenario_assumption,usgs_3dhp_all,high,"Descriptive future support state, not a risk score."
B2075,2075,coastal_wetlands_marshes,persists,qualitative_scenario,scenario_assumption,usfws_nwi,high,"Descriptive future support state, not a risk score."
B2075,2075,black_swamp_legacy_agriculture,persists,qualitative_scenario,scenario_assumption,h2ohio_great_black_swamp_history,high,"Descriptive future support state, not a risk score."
B2075,2075,terrestrial_habitat_fragmentation,persists,qualitative_scenario,scenario_assumption,phase6a_mrlc_land_cover,high,"Descriptive future support state, not a risk score."
B2075,2075,migratory_mobile_species,persists,qualitative_scenario,scenario_assumption,phase6a_usfws_ottawa_nwr,high,"Descriptive future support state, not a risk score."
C2050,2050,western_lake_erie_aquatic,weakened,qualitative_scenario,scenario_assumption,noaa_hab,moderate,"Descriptive future support state, not a risk score."
C2050,2050,maumee_tributary_floodplain,weakened,qualitative_scenario,scenario_assumption,usgs_3dhp_all,moderate,"Descriptive future support state, not a risk score."
C2050,2050,coastal_wetlands_marshes,weakened,qualitative_scenario,scenario_assumption,usfws_nwi,moderate,"Descriptive future support state, not a risk score."
C2050,2050,black_swamp_legacy_agriculture,weakened,qualitative_scenario,scenario_assumption,h2ohio_great_black_swamp_history,moderate,"Descriptive future support state, not a risk score."
C2050,2050,terrestrial_habitat_fragmentation,weakened,qualitative_scenario,scenario_assumption,phase6a_mrlc_land_cover,moderate,"Descriptive future support state, not a risk score."
C2050,2050,migratory_mobile_species,weakened,qualitative_scenario,scenario_assumption,phase6a_usfws_ottawa_nwr,moderate,"Descriptive future support state, not a risk score."
C2075,2075,western_lake_erie_aquatic,weakened,qualitative_scenario,scenario_assumption,noaa_hab,moderate,"Descriptive future support state, not a risk score."
C2075,2075,maumee_tributary_floodplain,weakened,qualitative_scenario,scenario_assumption,usgs_3dhp_all,moderate,"Descriptive future support state, not a risk score."
C2075,2075,coastal_wetlands_marshes,weakened,qualitative_scenario,scenario_assumption,usfws_nwi,moderate,"Descriptive future support state, not a risk score."
C2075,2075,black_swamp_legacy_agriculture,weakened,qualitative_scenario,scenario_assumption,h2ohio_great_black_swamp_history,moderate,"Descriptive future support state, not a risk score."
C2075,2075,terrestrial_habitat_fragmentation,weakened,qualitative_scenario,scenario_assumption,phase6a_mrlc_land_cover,moderate,"Descriptive future support state, not a risk score."
C2075,2075,migratory_mobile_species,weakened,qualitative_scenario,scenario_assumption,phase6a_usfws_ottawa_nwr,moderate,"Descriptive future support state, not a risk score."
