state_id,scenario_id,scenario_family,horizon,system_id,technology_family,convergence_mechanism,state_direction,dependency_change,governance_effect,uncertainty,evidence_basis,assumption_id,source_or_basis,reality_status,canon_status,relationship_basis,notes
TSS-A2050-01,A2050,Coordinated Technological Adaptation,2050,SYS-WATER,ADVANCED SENSING / AUTONOMOUS SYSTEMS;AI / ADVANCED COMPUTE / AUTOMATION;CYBERSECURITY / DIGITAL RESILIENCE,AI + sensing + defensive cyber,more adaptive,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2050 remains a bounded extrapolation from current/emerging capability.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2050-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Water / Hydrology; state direction is not a score, forecast, causal estimate, or geographic deployment. 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation."
TSS-A2050-02,A2050,Coordinated Technological Adaptation,2050,SYS-MATERIALS,ADVANCED MATERIALS / MANUFACTURING;AI / ADVANCED COMPUTE / AUTOMATION;ADVANCED ENERGY,automation + advanced manufacturing + energy,strengthened,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2050 remains a bounded extrapolation from current/emerging capability.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2050-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Geology / Minerals / Strategic Materials; state direction is not a score, forecast, causal estimate, or geographic deployment. 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation."
TSS-A2050-03,A2050,Coordinated Technological Adaptation,2050,SYS-ENERGY,ADVANCED ENERGY;AI / ADVANCED COMPUTE / AUTOMATION;CYBERSECURITY / DIGITAL RESILIENCE,AI + grid/storage + cyber,more adaptive,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2050 remains a bounded extrapolation from current/emerging capability.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2050-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Energy / Grid / Compute; state direction is not a score, forecast, causal estimate, or geographic deployment. 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation."
TSS-A2050-04,A2050,Coordinated Technological Adaptation,2050,SYS-DATA,AI / ADVANCED COMPUTE / AUTOMATION;ADVANCED SENSING / AUTONOMOUS SYSTEMS;PRIVACY / SURVEILLANCE / DATA GOVERNANCE;CYBERSECURITY / DIGITAL RESILIENCE,AI + sensing + privacy/data governance + PQC,more observable,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2050 remains a bounded extrapolation from current/emerging capability.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2050-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Data / Sensors / Observation & Decision Infrastructure; state direction is not a score, forecast, causal estimate, or geographic deployment. 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation."
TSS-A2050-05,A2050,Coordinated Technological Adaptation,2050,SYS-FREIGHT,AI / ADVANCED COMPUTE / AUTOMATION;ADVANCED MATERIALS / MANUFACTURING;CYBERSECURITY / DIGITAL RESILIENCE,automation + manufacturing + cyber,more automated,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2050 remains a bounded extrapolation from current/emerging capability.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2050-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Freight / Industry / Material Flows; state direction is not a score, forecast, causal estimate, or geographic deployment. 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation."
TSS-A2050-06,A2050,Coordinated Technological Adaptation,2050,SYS-ECOLOGY,ADVANCED SENSING / AUTONOMOUS SYSTEMS;BIOTECHNOLOGY / GENETIC ENGINEERING;PRIVACY / SURVEILLANCE / DATA GOVERNANCE,sensing + genomic diagnostics + data governance,more observable,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2050 remains a bounded extrapolation from current/emerging capability.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2050-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Ecology / Biodiversity; state direction is not a score, forecast, causal estimate, or geographic deployment. 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation."
TSS-A2050-07,A2050,Coordinated Technological Adaptation,2050,SYS-EXPOSURE,ADVANCED SENSING / AUTONOMOUS SYSTEMS;BIOTECHNOLOGY / GENETIC ENGINEERING;PRIVACY / SURVEILLANCE / DATA GOVERNANCE,sensing + genomic diagnostics + privacy,more observable,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2050 remains a bounded extrapolation from current/emerging capability.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2050-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Exposure / Environmental Health; state direction is not a score, forecast, causal estimate, or geographic deployment. 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation."
TSS-A2050-08,A2050,Coordinated Technological Adaptation,2050,SYS-BIOGEOCHEMISTRY,ADVANCED SENSING / AUTONOMOUS SYSTEMS;AI / ADVANCED COMPUTE / AUTOMATION;BIOTECHNOLOGY / GENETIC ENGINEERING,AI + sensing + biotechnology,more adaptive,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2050 remains a bounded extrapolation from current/emerging capability.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2050-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Nutrients / Biogeochemistry; state direction is not a score, forecast, causal estimate, or geographic deployment. 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation."
TSS-A2050-09,A2050,Coordinated Technological Adaptation,2050,SYS-CLIMATE,ADVANCED SENSING / AUTONOMOUS SYSTEMS;AI / ADVANCED COMPUTE / AUTOMATION;ADVANCED ENERGY,AI + sensing + advanced energy,more observable,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2050 remains a bounded extrapolation from current/emerging capability.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2050-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Climate / Natural Hazards; state direction is not a score, forecast, causal estimate, or geographic deployment. 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation."
TSS-A2050-10,A2050,Coordinated Technological Adaptation,2050,SYS-GOVERNANCE,PRIVACY / SURVEILLANCE / DATA GOVERNANCE;CYBERSECURITY / DIGITAL RESILIENCE;AI / ADVANCED COMPUTE / AUTOMATION,privacy/data governance + cyber + human-supervised AI,strengthened,"Some dependencies are buffered or substituted in selected interfaces, while energy, compute, data, and maintenance coupling remains visible.","Human authority, institutional role boundaries, privacy, and public communication remain explicit; decision support does not become authority.",Moderate uncertainty: 2050 remains a bounded extrapolation from current/emerging capability.,Phase 14 frozen systems ontology plus Phase 15A technology interfaces and explicit scenario construction; no system is redefined.,TFA-A2050-04,REG-PHASE14B-ATLAS,scenario,scenario,scenario_assumption,"Qualitative effect on Governance / Jurisdiction; state direction is not a score, forecast, causal estimate, or geographic deployment. 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation."
