uncertainty_id,subject_id,category,statement,resolution_status,source_id,confidence,notes
IDU-001,DID-001,vector_to_human,"Positive mosquito pools and vector detections do not establish human infection, clinical disease, or local transmission.",qualified,s13_cdc_wnv,high,Vector detection != pathogen-positive vector != human infection.
IDU-002,DID-002,case_geography,Lyme case residence geography does not identify the place of exposure or local transmission.,qualified,s13_cdc_lyme,high,Reported case != place of exposure.
IDU-003,DID-003,environmental_chain,"Building-water or aerosol pathway context does not establish contamination, treatment failure, exposure, infection, or illness.",qualified,s13_cdc_legionella_about,high,Direct evidence chain required.
IDU-004,DID-004,water_chain,"Source-water contamination, microbial indicators, HABs, nutrient loading, or infrastructure age do not independently establish illness.",qualified,s13_cdc_water_surv,high,Contamination != exposure != infection != reported case.
IDU-005,DID-004,outbreak_reporting,NORS and waterborne outbreak reports are investigation-dependent and non-reporting is not pathogen absence.,open,s13_cdc_nors,high,Outbreak surveillance is not a continuous incidence series.
IDU-006,DID-005,enteric_coverage,"Laboratory-based Salmonella, Campylobacter, and STEC reporting does not capture all community infections or all exposures.",open,s13_cdc_enteric,high,"Detection depends on care-seeking, testing, laboratory methods, and reporting."
IDU-007,DID-006,foodnet_scale,FoodNet coverage and participation do not support Western Basin county or neighborhood estimates.,open,s13_cdc_foodnet,high,FoodNet surveillance area != Western Basin.
IDU-008,DID-008,respiratory_denominators,"Influenza laboratory positivity, outpatient visits, hospitalizations, and mortality have different denominators and are not one transmission rate.",qualified,s13_cdc_flu_methods,high,Testing intensity != disease intensity; hospitalization != community incidence.
IDU-009,DID-009,wastewater_interpretation,Wastewater data provide community-level signals but cannot currently determine the number of infections.,qualified,s13_cdc_wastewater,high,Sewershed coverage and shedding variation remain important limits.
IDU-010,DID-010,zoonotic_endpoints,"Animal rabies cases, potential exposures, PEP, human infection, and human disease are distinct records.",qualified,s13_cdc_rabies,high,Animal-human interface does not imply human disease.
IDU-011,DID-011,facility_scale,NHSN facility participation and HAI measures do not represent community incidence or permit a facility ranking in this baseline.,open,s13_cdc_nhsn,high,Healthcare surveillance remains generalized.
IDU-012,DID-012,regional_transfer,National antimicrobial-resistance estimates are not transferred to the Western Basin.,qualified,s13_cdc_ar,moderate,National estimate != regional observation.
IDU-013,HOST-001,population_interface,"Population, settlement, workplace, and mobility context identify system interfaces only; they do not establish contact, exposure, infection, or disease.",qualified,phase11_population,high,County/place scale is retained.
IDU-014,INST-001,surveillance_effort,"Surveillance intensity, testing availability, reporting infrastructure, and laboratory participation are not incidence.",qualified,phase4_information,high,Observation effort != disease intensity.
IDU-015,DID-013,toxic_infectious_boundary,HAB toxic/environmental pathways are not folded into an infectious-disease system or composite score.,qualified,phase7_exposure,high,Toxicity and infection remain separate.
IDU-016,REF-12,frozen_reuse,Phase 12A/B/C accepted artifacts are reused by reference and remain immutable during Phase 13A.,qualified,phase12_vector,high,No vector ecology rebuild or modification.
IDU-017,REF-9,climate_boundary,Accepted climate observations provide environmental context but do not establish causal disease incidence or future behavior.,qualified,phase9_climate,high,Historical climate behavior != future disease baseline.
IDU-018,REF-10,governance_boundary,"Institutional monitoring, advice, funding, and information are not automatically operational control or legal authority.",qualified,phase10_governance,high,Governance roles remain distinct.
