object_id,object_type,object_name,settlement_concentration,mobility_dependency,employment_access,housing_constraint,water_dependency,wastewater_dependency,energy_dependency,transport_dependency,climate_hazard_interface,environmental_health_interface,governance_dependency,service_access,data_certainty,notes
POP-ZONE-39039,population_zone,"Defiance County, OH",limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
POP-ZONE-39051,population_zone,"Fulton County, OH",limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
POP-ZONE-39063,population_zone,"Hancock County, OH",moderate,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
POP-ZONE-39069,population_zone,"Henry County, OH",limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
POP-ZONE-39095,population_zone,"Lucas County, OH",strong,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_s03_toledo_treatment;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr;phase10_governance_context; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
POP-ZONE-39123,population_zone,"Ottawa County, OH",limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
POP-ZONE-39125,population_zone,"Paulding County, OH",limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
POP-ZONE-39137,population_zone,"Putnam County, OH",limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
POP-ZONE-39143,population_zone,"Sandusky County, OH",moderate,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
POP-ZONE-39147,population_zone,"Seneca County, OH",moderate,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
POP-ZONE-39161,population_zone,"Van Wert County, OH",limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
POP-ZONE-39171,population_zone,"Williams County, OH",limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
POP-ZONE-39173,population_zone,"Wood County, OH",moderate,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s05_ohio_npdes;phase10_s24_pjm;s11b_lodes_oh_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
POP-ZONE-26091,population_zone,"Lenawee County, MI",moderate,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s24_pjm;s11b_lodes_mi_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
POP-ZONE-26115,population_zone,"Monroe County, MI",moderate,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s24_pjm;s11b_lodes_mi_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
POP-ZONE-18003,population_zone,"Allen County, IN",strong,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s24_pjm;s11b_lodes_in_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
POP-ZONE-18033,population_zone,"DeKalb County, IN",limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s24_pjm;s11b_lodes_in_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
POP-ZONE-18151,population_zone,"Steuben County, IN",limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s24_pjm;s11b_lodes_in_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-1801666,municipality,Angola city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s24_pjm;s11b_lodes_in_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-1802674,municipality,Auburn city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s24_pjm;s11b_lodes_in_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-1825000,municipality,Fort Wayne city,strong,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s24_pjm;s11b_lodes_in_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-1826386,municipality,Garrett city,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s24_pjm;s11b_lodes_in_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
MUNI-1835266,municipality,Huntertown town,limited,moderate,unknown,unknown,limited,limited,moderate,moderate,limited,limited,moderate,unknown,limited,Qualitative interface matrix derived from the dependency register; sources=phase10_governance_context;phase10_s24_pjm;s11b_lodes_in_od;phase9_hazard_context;phase7_exposure_context;phase6_ecology_context;phase8_biogeochemical_context;s11a_acs_2024_5yr; evidence_strengths=limited;moderate; UNKNOWN is not LOW and dependence is not vulnerability.
