state_id,scenario_id,scenario,horizon,baseline_dependency_id,object_a,object_b,system_a,system_b,relationship_type,spatial_scale,current_fact,scenario_assumption,scenario_consequence,dependency_state,assumption_id,source_or_basis,plausibility,uncertainty,reality_status,canon_status,relationship_basis,notes
VECDEPSTATE-A2050-001,A2050,Managed Ecological Adaptation,2050,VDE-001,temperature,mosquito_seasonal_development,climate,vector_ecology,seasonal_development,station/regional,CURRENT FACT (2026 baseline): temperature to mosquito_seasonal_development is recorded as a seasonal_development interface at station/regional; evidence class is documented.,"SCENARIO ASSUMPTION: Temperature and precipitation variability remain physical drivers, while adaptive water and habitat management reduces some persistent standing-water opportunities without eliminating seasonal or episodic habitat. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. monitoring, habitat management, and decision handoffs are more connected in selected systems; the underlying evidence limits remain; no abundance, contact, infection, disease, or probability is inferred.",selected_interface_strengthened,VEFA-A2050-01,VFS-002,moderate,moderate,fictional,scenario,scenario_assumption,"Dependency future state preserves documented-versus-inferred and scale limits; no dependency becomes a risk score, control proof, contact estimate, or disease forecast."
VECDEPSTATE-A2050-002,A2050,Managed Ecological Adaptation,2050,VDE-002,temperature,Aedes_lifecycle,climate,vector_ecology,seasonal_development,regional,CURRENT FACT (2026 baseline): temperature to Aedes_lifecycle is recorded as a seasonal_development interface at regional; evidence class is documented.,"SCENARIO ASSUMPTION: Temperature and precipitation variability remain physical drivers, while adaptive water and habitat management reduces some persistent standing-water opportunities without eliminating seasonal or episodic habitat. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. monitoring, habitat management, and decision handoffs are more connected in selected systems; the underlying evidence limits remain; no abundance, contact, infection, disease, or probability is inferred.",selected_interface_strengthened,VEFA-A2050-01,VFS-005,moderate,moderate,fictional,scenario,scenario_assumption,"Dependency future state preserves documented-versus-inferred and scale limits; no dependency becomes a risk score, control proof, contact estimate, or disease forecast."
VECDEPSTATE-A2050-003,A2050,Managed Ecological Adaptation,2050,VDE-003,temperature,Ixodes_activity,climate,vector_ecology,seasonal_development,regional,CURRENT FACT (2026 baseline): temperature to Ixodes_activity is recorded as a seasonal_development interface at regional; evidence class is documented.,"SCENARIO ASSUMPTION: Temperature and precipitation variability remain physical drivers, while adaptive water and habitat management reduces some persistent standing-water opportunities without eliminating seasonal or episodic habitat. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. monitoring, habitat management, and decision handoffs are more connected in selected systems; the underlying evidence limits remain; no abundance, contact, infection, disease, or probability is inferred.",selected_interface_strengthened,VEFA-A2050-01,VFS-008,moderate,moderate,fictional,scenario,scenario_assumption,"Dependency future state preserves documented-versus-inferred and scale limits; no dependency becomes a risk score, control proof, contact estimate, or disease forecast."
VECDEPSTATE-A2050-004,A2050,Managed Ecological Adaptation,2050,VDE-004,precipitation,temporary_standing_water,climate,hydrology,habitat_opportunity,station/wetland/watershed,CURRENT FACT (2026 baseline): precipitation to temporary_standing_water is recorded as a habitat_opportunity interface at station/wetland/watershed; evidence class is documented_plus_inferred.,"SCENARIO ASSUMPTION: Temperature and precipitation variability remain physical drivers, while adaptive water and habitat management reduces some persistent standing-water opportunities without eliminating seasonal or episodic habitat. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. monitoring, habitat management, and decision handoffs are more connected in selected systems; the underlying evidence limits remain; no abundance, contact, infection, disease, or probability is inferred.",selected_interface_strengthened,VEFA-A2050-01,VFS-014,moderate,moderate,fictional,scenario,scenario_assumption,"Dependency future state preserves documented-versus-inferred and scale limits; no dependency becomes a risk score, control proof, contact estimate, or disease forecast."
VECDEPSTATE-A2050-005,A2050,Managed Ecological Adaptation,2050,VDE-005,standing_water,mosquito_habitat,hydrology,vector_ecology,habitat_association,wetland/ditch/container,CURRENT FACT (2026 baseline): standing_water to mosquito_habitat is recorded as a habitat_association interface at wetland/ditch/container; evidence class is documented.,"SCENARIO ASSUMPTION: Temperature and precipitation variability remain physical drivers, while adaptive water and habitat management reduces some persistent standing-water opportunities without eliminating seasonal or episodic habitat. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. monitoring, habitat management, and decision handoffs are more connected in selected systems; the underlying evidence limits remain; no abundance, contact, infection, disease, or probability is inferred.",selected_interface_strengthened,VEFA-A2050-01,VFS-001,moderate,moderate,fictional,scenario,scenario_assumption,"Dependency future state preserves documented-versus-inferred and scale limits; no dependency becomes a risk score, control proof, contact estimate, or disease forecast."
VECDEPSTATE-A2050-006,A2050,Managed Ecological Adaptation,2050,VDE-006,wetlands,mosquito_habitat,ecology,vector_ecology,habitat_interface,wetland/watershed,CURRENT FACT (2026 baseline): wetlands to mosquito_habitat is recorded as a habitat_interface interface at wetland/watershed; evidence class is documented_plus_inferred.,"SCENARIO ASSUMPTION: Forest-edge stewardship and ecological monitoring improve attention to humidity, host, and edge conditions without controlling tick or mosquito presence. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. monitoring, habitat management, and decision handoffs are more connected in selected systems; the underlying evidence limits remain; no abundance, contact, infection, disease, or probability is inferred.",selected_interface_strengthened,VEFA-A2050-03,VFS-015,moderate,moderate,fictional,scenario,scenario_assumption,"Dependency future state preserves documented-versus-inferred and scale limits; no dependency becomes a risk score, control proof, contact estimate, or disease forecast."
VECDEPSTATE-A2050-007,A2050,Managed Ecological Adaptation,2050,VDE-007,urban_containers,Aedes_albopictus,settlement,vector_ecology,container_habitat,urban/suburban,CURRENT FACT (2026 baseline): urban_containers to Aedes_albopictus is recorded as a container_habitat interface at urban/suburban; evidence class is documented.,"SCENARIO ASSUMPTION: Settlement and infrastructure planning uses generalized vector-habitat interfaces to target maintenance and monitoring without assigning residents to contact, exposure, or infection. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. monitoring, habitat management, and decision handoffs are more connected in selected systems; the underlying evidence limits remain; no abundance, contact, infection, disease, or probability is inferred.",selected_interface_strengthened,VEFA-A2050-05,VFS-001,moderate,moderate,fictional,scenario,scenario_assumption,"Dependency future state preserves documented-versus-inferred and scale limits; no dependency becomes a risk score, control proof, contact estimate, or disease forecast."
VECDEPSTATE-A2050-008,A2050,Managed Ecological Adaptation,2050,VDE-008,urban_containers,Aedes_japonicus,settlement,vector_ecology,container_habitat,study-area/generalized,CURRENT FACT (2026 baseline): urban_containers to Aedes_japonicus is recorded as a container_habitat interface at study-area/generalized; evidence class is documented.,"SCENARIO ASSUMPTION: Settlement and infrastructure planning uses generalized vector-habitat interfaces to target maintenance and monitoring without assigning residents to contact, exposure, or infection. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. monitoring, habitat management, and decision handoffs are more connected in selected systems; the underlying evidence limits remain; no abundance, contact, infection, disease, or probability is inferred.",selected_interface_strengthened,VEFA-A2050-05,VFS-003,moderate,moderate,fictional,scenario,scenario_assumption,"Dependency future state preserves documented-versus-inferred and scale limits; no dependency becomes a risk score, control proof, contact estimate, or disease forecast."
VECDEPSTATE-A2050-009,A2050,Managed Ecological Adaptation,2050,VDE-009,forest_edge,Ixodes_host_interface,ecology,vector_ecology,questing_habitat,forest/edge,CURRENT FACT (2026 baseline): forest_edge to Ixodes_host_interface is recorded as a questing_habitat interface at forest/edge; evidence class is documented.,"SCENARIO ASSUMPTION: Forest-edge stewardship and ecological monitoring improve attention to humidity, host, and edge conditions without controlling tick or mosquito presence. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. monitoring, habitat management, and decision handoffs are more connected in selected systems; the underlying evidence limits remain; no abundance, contact, infection, disease, or probability is inferred.",selected_interface_strengthened,VEFA-A2050-03,VFS-008,moderate,moderate,fictional,scenario,scenario_assumption,"Dependency future state preserves documented-versus-inferred and scale limits; no dependency becomes a risk score, control proof, contact estimate, or disease forecast."
VECDEPSTATE-A2050-010,A2050,Managed Ecological Adaptation,2050,VDE-010,forest_edge,Aedes_triseriatus,ecology,vector_ecology,woodland_habitat,woodland/park,CURRENT FACT (2026 baseline): forest_edge to Aedes_triseriatus is recorded as a woodland_habitat interface at woodland/park; evidence class is documented.,"SCENARIO ASSUMPTION: Forest-edge stewardship and ecological monitoring improve attention to humidity, host, and edge conditions without controlling tick or mosquito presence. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. monitoring, habitat management, and decision handoffs are more connected in selected systems; the underlying evidence limits remain; no abundance, contact, infection, disease, or probability is inferred.",selected_interface_strengthened,VEFA-A2050-03,VFS-001,moderate,moderate,fictional,scenario,scenario_assumption,"Dependency future state preserves documented-versus-inferred and scale limits; no dependency becomes a risk score, control proof, contact estimate, or disease forecast."
