uncertainty_id,scenario_id,scenario,horizon,category,subject,current_fact,scenario_assumption,uncertainty_state,source_or_basis,assumption_id,reality_status,canon_status,notes
PFU-A2050-01,A2050,Connected Reconcentration,2050,projection_coverage,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Connected Reconcentration explores this uncertainty at the 2050 horizon without promoting it to fact.,official projection context exists at national scale; comparable selected-county 2050 adoption remains unresolved,S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-A2050-01,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-A2050-02,A2050,Connected Reconcentration,2050,subcounty_distribution,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Connected Reconcentration explores this uncertainty at the 2050 horizon without promoting it to fact.,"future block, tract, neighborhood, and parcel redistribution is unknown",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-A2050-02,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-A2050-03,A2050,Connected Reconcentration,2050,climate_migration,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Connected Reconcentration explores this uncertainty at the 2050 horizon without promoting it to fact.,"high-uncertainty scenario mechanism; not a population-growth assumption, count, or causal claim",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-A2050-03,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-A2050-04,A2050,Connected Reconcentration,2050,household_housing_conversion,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Connected Reconcentration explores this uncertainty at the 2050 horizon without promoting it to fact.,"future household size, vacancy, tenure, and housing-unit conversion are unknown",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-A2050-04,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-A2050-05,A2050,Connected Reconcentration,2050,employment_worker_job_relationship,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Connected Reconcentration explores this uncertainty at the 2050 horizon without promoting it to fact.,"future jobs, workers, workplaces, and commuter interfaces are not forecast or converted into population",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-A2050-05,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-A2050-06,A2050,Connected Reconcentration,2050,service_territory_and_capacity,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Connected Reconcentration explores this uncertainty at the 2050 horizon without promoting it to fact.,"exact utility service territories, capacity, and population served are unknown",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-A2050-06,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-A2075-01,A2075,Connected Reconcentration,2075,projection_coverage,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Connected Reconcentration explores this uncertainty at the 2075 horizon without promoting it to fact.,official projection context exists at national scale; comparable selected-county 2050 adoption remains unresolved,S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-A2075-01,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-A2075-02,A2075,Connected Reconcentration,2075,subcounty_distribution,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Connected Reconcentration explores this uncertainty at the 2075 horizon without promoting it to fact.,"future block, tract, neighborhood, and parcel redistribution is unknown",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-A2075-02,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-A2075-03,A2075,Connected Reconcentration,2075,climate_migration,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Connected Reconcentration explores this uncertainty at the 2075 horizon without promoting it to fact.,"high-uncertainty scenario mechanism; not a population-growth assumption, count, or causal claim",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-A2075-03,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
PFU-A2075-04,A2075,Connected Reconcentration,2075,household_housing_conversion,selected Western Basin county/place settlement frame,CURRENT FACT (2026 baseline): accepted Phase 11A/11B records preserve their native scales and vintages.,SCENARIO ASSUMPTION: Connected Reconcentration explores this uncertainty at the 2075 horizon without promoting it to fact.,"future household size, vacancy, tenure, and housing-unit conversion are unknown",S11C-BASELINE-11A;S11C-BASELINE-11B;S11C-POP-PROJ,S11C-A2075-04,fictional,scenario,"Unknown is retained as unknown; it is not treated as low, absent, or a vulnerability score."
