association_id,vector_or_group,association_type,environment_or_host,relationship_description,season_or_period,geographic_scale,evidence_status,source_id,confidence,notes
HAB-001,Culex pipiens,presence_and_habitat,"stagnant water, catch basins, ditches, containers with organic matter",Ohio source documents widespread presence and these breeding contexts.,warm season; twilight adult activity,Ohio / species page,documented,v12_ohio_mosquitoes,high,Sampling effort and abundance are not supplied.
HAB-002,Culex pipiens,host_ecology,birds; humans and dogs as accepted hosts,Bird preference and broader host context are documented; this is not contact or infection evidence.,spring/early summer bird context; seasonal shift discussed by OSU,Ohio / species ecology,documented,v12_osu_culex,moderate,No host-contact rate is estimated.
HAB-003,Aedes albopictus,container_habitat,"tires, plastic containers, treeholes, clogged gutters",Ohio and Indiana sources identify artificial/natural container habitats.,warm season; day activity in shade,Ohio/Indiana regional,documented,v12_ohio_mosquitoes,high,Container presence is not a local abundance or contact estimate.
HAB-004,Aedes albopictus,development_temperature,water-holding container lifecycle,Indiana states that the 7–10 day lifecycle can take less time during high temperatures.,warm-season development,Indiana species page,documented,v12_in_ae_albopictus,moderate,No thermal threshold or suitability surface is modeled.
HAB-005,Aedes japonicus,container_and_forest_edge,"natural/artificial containers, forest/stream study sites",Ohio and Michigan studies document container-associated field surveillance.,study-period dependent,Ohio/Michigan study areas,documented,v12_ohio_ae_japonicus,moderate,Trap composition is not regional abundance.
HAB-006,Aedes triseriatus,woodland_treehole,"treeholes, wooded areas, parks, artificial containers",Ohio source documents distribution and habitat association.,day activity in shady conditions,Ohio / species page,documented,v12_ohio_mosquitoes,high,No exact wooded occurrence points are mapped.
HAB-007,Ixodes scapularis,questing_habitat,"grasses, shrubs, forest/edge paths and host interface",CDC describes questing and broad eastern distribution.,spring/summer/fall; above-freezing winter adult context,contiguous U.S. / regional,documented,v12_cdc_ticks_live,moderate,Broad habitat context is not a local range or abundance estimate.
HAB-008,Dermacentor variabilis,terrestrial_edge,grass and shrub terrestrial habitats,CDC documents broad eastern distribution and spring/summer biting context.,spring/summer,eastern U.S. / regional,documented,v12_cdc_dvariabilis,moderate,No core-county status table is ingested.
HAB-009,mosquitoes,seasonality,warm-season air and water conditions,Ohio describes mosquito activity usually May through October; CDC WNV page describes summer through fall activity.,May–October / summer–fall,Ohio/United States,documented,v12_ohio_mosquitoes,high,Seasonality is not a daily abundance curve.
HAB-010,ticks,seasonality,temperature and host-seeking conditions,"CDC identifies spring, summer, and fall activity with above-freezing winter adult context for Ixodes.",spring–fall; winter exception,contiguous U.S. / regional,documented,v12_cdc_ixodes,high,No activity probability is estimated.
HAB-011,mosquitoes,precipitation_hydrology,"temporary standing water, wetlands, ditches, floodplain and drainage context",Source-supported habitat logic is cross-linked to accepted hydrology; spatial vector response remains an inference.,event and season dependent,wetland/watershed generalized,documented_plus_inferred,phase1_hydrology_context,moderate,No continuous habitat or abundance surface is generated.
HAB-012,ticks,host_ecology,"deer, small mammals, birds, and other vertebrate hosts",Host-seeking and life-stage context are retained from CDC tick ecology sources.,life-stage and season dependent,regional ecology,documented_context,v12_cdc_ticks_live,moderate,Host presence is not human-vector contact.
HAB-013,mosquitoes,surveillance_methods,"CDC light, gravid, BG-Sentinel, ovicup, and resting traps",CDC describes different target taxa/life stages and trap uses.,method-dependent,surveillance-method context,documented,v12_cdc_mosquito_traps,high,Trap counts are not comparable without effort and design harmonization.
HAB-014,Aedes japonicus,study_composition,gravid-trap and other trap collections in Wooster,Ae. japonicus dominated the cited Wooster gravid-trap collection; the observation is study- and trap-specific.,2021 field study,"Wooster, northeastern Ohio",documented_study,v12_ohio_ae_japonicus,high,The record explicitly does not become a regional abundance index.
HAB-015,Culex pipiens,temperature_and_overwintering,"seasonal emergence, diapause, and larval development",OSU describes temperature-linked larval duration and overwintering/emergence context.,spring emergence; late-summer/autumn diapause context,Ohio / species ecology,documented,v12_osu_culex,moderate,No phenology model is fitted.
