node_id,name,node_type,vector_group,taxon_or_system,habitat_context,seasonality,geographic_scale,latitude,longitude,source_id,evidence_status,confidence,reality_status,canon_status,notes
VEC-001,Northern house mosquito,vector_taxon,mosquito,Culex pipiens,"urban/suburban/rural; stagnant water, catch basins, ditches, containers",twilight activity; Ohio warm-season activity; overwintering/diapause context,Ohio / regional species context,,,v12_ohio_mosquitoes,documented_presence,high,real,verified,"Ohio source describes widespread occurrence; this is presence and ecology context, not abundance."
VEC-002,Culex pipiens/restuans complex context,vector_taxon,mosquito,Culex pipiens plus close relative Culex restuans,"temperate urban, suburban, rural, and wet/ditch interfaces",seasonal mosquito activity; taxon-level surveillance may differ by program,Ohio / Midwest taxonomic context,,,v12_osu_culex,documented_taxonomic_context,moderate,real,verified,The project retains the complex as a surveillance/ecology context and does not combine species into a pseudo-abundance measure.
VEC-003,Asian tiger mosquito,vector_taxon,mosquito,Aedes albopictus,vegetated urban edges; artificial and natural containers; tires and gutters,"day activity, especially shade; warm-season container lifecycle",Ohio/Indiana/Michigan regional context,,,v12_ohio_mosquitoes,documented_presence,high,real,verified,Ohio and Indiana sources document regional presence/context; county records are not a precise Western Basin distribution.
VEC-004,Asian bush mosquito,vector_taxon,mosquito,Aedes japonicus,natural and artificial container habitats; forest/stream settings in study sources,field-study seasonality; trap-specific detection,Ohio/Michigan study context,,,v12_ohio_ae_japonicus,documented_regional_study,moderate,real,verified,"Wooster Ohio and Michigan study evidence is retained as regional context, not a local Western Basin range claim."
VEC-005,Eastern treehole mosquito,vector_taxon,mosquito,Aedes triseriatus,"wooded areas, treeholes, parks, and artificial containers",day activity in shady wooded settings,Ohio / species context,,,v12_ohio_mosquitoes,documented_presence,high,real,verified,Ohio source describes distribution and habitat; no abundance or disease-incidence inference is made.
VEC-006,Blacklegged tick,vector_taxon,tick,Ixodes scapularis,grass/shrub questing and host-associated forest/edge interface,"spring, summer, fall; adults may quest above freezing in winter",selected Ohio/Michigan/Indiana counties,,,v12_cdc_ixodes,surveillance_status,high,real,verified,"County status rows below use the CDC 2023 summary; established status is a threshold-based surveillance classification, not abundance."
VEC-007,American dog tick,vector_taxon,tick,Dermacentor variabilis,grass/shrub and terrestrial edge context,highest biting context in spring and summer,eastern United States / regional context,,,v12_cdc_dvariabilis,documented_broad_distribution,moderate,real,verified,CDC documents broad eastern distribution; no core-county D. variabilis status table is asserted here.
VEC-008,Western Basin wetland and standing-water interface,habitat_context,mosquito/tick interface,wetland and standing-water systems,"wetlands, ponds, ditches, temporary and permanent water",seasonal water availability; hydrologic variability,wetland / watershed / generalized regional,41.690,-83.220,phase1_hydrology_context,accepted_context,high,real,verified,Generalized accepted wetland context anchor; it is not a vector collection location or detection.
VEC-009,Urban and container habitat interface,habitat_context,mosquito,artificial containers and developed edges,"artificial containers, catch basins, gutters, tires, household and developed edges",warm-season container availability,urban/suburban generalized interface,,,v12_ohio_mosquitoes,documented_habitat_context,high,real,inferred,"Habitat class is generalized; no parcel, block, container inventory, or local abundance is modeled."
VEC-010,Forest and edge host interface,habitat_context,tick/mosquito,"woodland edge, grasses, shrubs, treeholes, and hosts","woodland edge, grass, shrubs, treeholes, small-mammal and deer host interface",spring through fall tick context; shaded mosquito context,forest/edge generalized interface,,,v12_cdc_ticks_live,documented_habitat_context,moderate,real,inferred,Broad host-seeking and habitat interface; no exact movement route or sensitive host location.
VEC-011,"Agricultural, ditch, and floodplain water interface",habitat_context,mosquito,"ditches, temporary water, floodplain, and drainage-altered landscape","ditches, temporary water, floodplain and drainage-altered landscape",event and season dependent,watershed / floodplain generalized interface,,,phase1_hydrology_context,project_interface,limited,real,inferred,A generalized hydrology-to-habitat interface; no flood footprint or mosquito abundance is assigned.
VEC-012,Vertebrate host ecology context,host_ecology,mosquito/tick,"birds, small mammals, deer, domestic animals, and humans","birds, small mammals, deer, domestic animals, and humans as distinct host contexts",life-stage and season dependent,regional ecological context,,,v12_cdc_wnv_about,documented_ecological_context,moderate,real,verified,"Host ecology supports lifecycle context; host presence is not contact, infection, or disease."
VEC-013,Temperature and seasonal development interface,environmental_driver,mosquito/tick,"temperature, humidity, photoperiod, and freeze/thaw","temperature, humidity, photoperiod, freeze/thaw",seasonal development and activity,station/regional climate context,,,phase9_climate_context,accepted_context_plus_documented_biology,moderate,real,inferred,Temperature relationship is a qualitative interface; no thermal suitability or future range model is created.
VEC-014,Precipitation and hydrology interface,environmental_driver,mosquito,"rainfall, standing water, flow, wetlands, and drainage","rainfall, standing water, flow, wetland and drainage conditions",event and season dependent,station/watershed/wetland context,,,phase1_hydrology_context,accepted_context_plus_documented_habitat,moderate,real,inferred,Hydrology is linked qualitatively to habitat opportunity; no continuous habitat surface or causal count is estimated.
VEC-015,Ohio vector surveillance program,surveillance_program,mosquito/tick,"Ohio Department of Health, laboratory, local public-health, and sanitary-district partners","Ohio Department of Health, laboratory, local public-health and sanitary-district partners",summer/fall reporting program,state/agency/county,,,v12_ohio_vector_update,documented_program,high,real,verified,Program and pooled results are retained as surveillance records with effort and scale limits.
