edge_id,from_id,to_id,mode,flow_role,commodity_class,relationship_basis,status,source_id,confidence,notes
FRT-E-001,FRT-PORT-TOLEDO,FRT-MKT-GREAT-LAKES,marine,documented_port_connection,container_or_general_freight;aggregate;steel_or_metal_products;industrial_materials,documented_corridor,current_2026,phase5a_toledo_port,high,Port is linked to global markets through the Great Lakes/St. Lawrence Seaway System; no named shipment is asserted.
FRT-E-002,FRT-PORT-TOLEDO,FRT-MKT-MICHIGAN-CANADA,highway,documented_heavy_haul_interface,container_or_general_freight;steel_or_metal_products;industrial_materials,documented_corridor,current_2026,phase5a_toledo_port,medium,Designated Michigan/Canada heavy-haul context; exact routes and permits are not modeled.
FRT-E-003,FRT-PORT-TOLEDO,FRT-RAIL-NS,rail,documented_on_dock_class_i_access,container_or_general_freight;steel_or_metal_products;industrial_materials,interchange,current_2026,phase5a_toledo_port,high,Port page documents on-dock Class I rail access; the corridor is not a claim that every terminal uses NS.
FRT-E-004,FRT-PORT-TOLEDO,FRT-RAIL-CSXT,rail,documented_carrier_interface,container_or_general_freight;steel_or_metal_products;industrial_materials,interchange,current_2026,phase5a_toledo_port,medium,Port public transportation page lists CSX; no customer-specific route is inferred.
FRT-E-005,FRT-PORT-TOLEDO,FRT-RAIL-CN,rail,documented_carrier_interface,container_or_general_freight;steel_or_metal_products;industrial_materials,interchange,current_2026,phase5a_toledo_port,medium,Port public transportation page lists CN; no customer-specific route is inferred.
FRT-E-006,FRT-PORT-TOLEDO,FRT-RAIL-WLE,rail,documented_regional_rail_interface,aggregate;lime;industrial_materials;steel_or_metal_products,interchange,current_2026,phase5a_toledo_port,medium,Port public transportation page lists Wheeling & Lake Erie; no line or shipment route is inferred.
FRT-E-007,FRT-PORT-TOLEDO,FRT-HWY-I75,highway,documented_port_access,container_or_general_freight;automotive;industrial_materials,documented_corridor,current_2026,phase5a_toledo_port,high,Port identifies I-75 as a crossroads; no plant-specific truck route is inferred.
FRT-E-008,FRT-PORT-TOLEDO,FRT-HWY-I80-90,highway,documented_port_access,container_or_general_freight;agricultural_bulk;aggregate;industrial_materials,documented_corridor,current_2026,phase5a_toledo_port,high,Port identifies I-80/90 as a crossroads; no plant-specific truck route is inferred.
FRT-E-009,FRT-PORT-TOLEDO,FRT-TERM-IRONVILLE,marine,documented_vessel_delivery_to_terminal,steel_or_metal_products;industrial_materials,documented_flow,current_2026,phase5a_toledo_port,high,Port authority documents product delivered by vessel to the Ironville direct-reduction plant; quantity is intentionally not used.
FRT-E-010,FRT-TERM-IRONVILLE,FRT-MKT-MIDWEST-INDUSTRIAL,rail,documented_finished_product_exit,steel_or_metal_products,documented_flow,current_2026,phase5a_toledo_port,high,Port authority states that finished HBI product leaves via rail; destination remains generalized.
FRT-E-011,FRT-TERM-IRONVILLE,FRT-MKT-MIDWEST-INDUSTRIAL,highway,documented_finished_product_exit,steel_or_metal_products,documented_flow,current_2026,phase5a_toledo_port,high,Port authority states that finished HBI product leaves via truck; destination and route remain generalized.
FRT-E-012,FRT-RAIL-NS,FRT-MKT-MIDWEST-INDUSTRIAL,rail,regional_corridor_to_market,steel_or_metal_products;aggregate;industrial_materials,documented_corridor,current_2026,phase5a_ntad_rail,medium,"Class I corridor geometry supports regional connectivity, not a facility-to-market shipment claim."
FRT-E-013,FRT-RAIL-CSXT,FRT-MKT-MIDWEST-INDUSTRIAL,rail,regional_corridor_to_market,steel_or_metal_products;aggregate;industrial_materials,documented_corridor,current_2026,phase5a_ntad_rail,medium,"Class I corridor geometry supports regional connectivity, not a facility-to-market shipment claim."
FRT-E-014,FRT-RAIL-CN,FRT-MKT-GREAT-LAKES,rail,regional_corridor_to_market,container_or_general_freight;industrial_materials,documented_corridor,current_2026,phase5a_ntad_rail,medium,"Class I corridor geometry supports regional connectivity, not a facility-to-market shipment claim."
FRT-E-015,FRT-HWY-I75,FRT-MKT-MICHIGAN-CANADA,highway,regional_freight_connectivity,container_or_general_freight;automotive;industrial_materials,documented_corridor,current_2026,phase5a_fhwa_faf,medium,Freight-relevant public corridor; no facility-specific truck route is inferred.
FRT-E-016,FRT-HWY-I80-90,FRT-MKT-MIDWEST-INDUSTRIAL,highway,regional_freight_connectivity,container_or_general_freight;agricultural_bulk;aggregate;industrial_materials,documented_corridor,current_2026,phase5a_fhwa_faf,medium,Freight-relevant public corridor; no facility-specific truck route is inferred.
FRT-E-017,FRT-HWY-I280,FRT-MKT-MIDWEST-INDUSTRIAL,highway,regional_freight_connectivity,container_or_general_freight;industrial_materials,documented_corridor,current_2026,phase5a_fhwa_faf,low,Primary-road corridor is mapped as context only; no port-terminal or plant-specific movement is inferred.
FRT-E-018,FRT-HWY-US23,FRT-MKT-MIDWEST-INDUSTRIAL,highway,regional_freight_connectivity,agricultural_bulk;automotive;industrial_materials,documented_corridor,current_2026,phase5a_fhwa_faf,medium,Freight-relevant public corridor; no facility-specific truck route is inferred.
FRT-E-019,FRT-AG-MIDWEST-BULK,FRT-MKT-GREAT-LAKES,multimodal,broad_agricultural_market_interface,agricultural_bulk;grain,generalized_supply_chain,current_2026,phase5a_fhwa_faf,low,"Broad FAF commodity context only; no Toledo-specific elevator, shipment, route, or volume is asserted."
FRT-E-020,FRT-FUEL-EXTERNAL,ENE-EIA-59764,generalized,external_fuel_interface,petroleum_or_fuel,engineering_logistics_dependency,current_2026,phase5a_eia_petroleum,low,"General fuel-interface relationship only; no pipeline, contract, capacity, or facility route is modeled."
